open,high,low,close,volume,datetime,symbol
9.95,9.95,9.95,9.95,200,2021-05-03 08:00:00,ACAC
10.0001,10.0001,10.0,10.0,220,2021-05-03 13:20:00,ACAC
10.06,10.06,10.06,10.06,215,2021-05-03 13:30:00,ACAC
10.004,10.006,10.004,10.006,400,2021-05-03 13:35:00,ACAC
10.0,10.0017,10.0,10.0017,2100,2021-05-03 13:50:00,ACAC
10.0,10.0,10.0,10.0,300,2021-05-03 13:55:00,ACAC
10.01,10.01,10.0,10.0,1000,2021-05-03 14:00:00,ACAC
10.02,10.02,10.0042,10.0042,1118,2021-05-03 14:05:00,ACAC
10.0,10.0,10.0,10.0,100,2021-05-03 14:15:00,ACAC
10.02,10.02,10.02,10.02,100,2021-05-03 14:25:00,ACAC
10.02,10.02,10.02,10.02,100,2021-05-03 14:35:00,ACAC
10.02,10.02,10.02,10.02,100,2021-05-03 14:45:00,ACAC
10.028,10.028,10.02,10.02,1750,2021-05-03 14:50:00,ACAC
10.02,10.0216,10.02,10.0216,229,2021-05-03 14:55:00,ACAC
10.02,10.02,10.02,10.02,100,2021-05-03 15:00:00,ACAC
10.02,10.02,10.02,10.02,300,2021-05-03 15:10:00,ACAC
10.0,10.0,10.0,10.0,15276,2021-05-03 15:15:00,ACAC
10.0,10.0,10.0,10.0,100,2021-05-03 15:20:00,ACAC
10.0165,10.0165,10.0,10.0,200,2021-05-03 15:35:00,ACAC
10.0001,10.0001,10.0001,10.0001,100,2021-05-03 15:40:00,ACAC
10.01,10.02,10.0,10.0021,6260,2021-05-03 15:45:00,ACAC
10.0,10.0002,10.0,10.0002,1080,2021-05-03 15:55:00,ACAC
10.0,10.0,10.0,10.0,100,2021-05-03 16:00:00,ACAC
10.0018,10.0018,10.0,10.0,300,2021-05-03 16:10:00,ACAC
10.0,10.0,10.0,10.0,1644,2021-05-03 16:15:00,ACAC
9.99,9.99,9.99,9.99,100,2021-05-03 16:20:00,ACAC
9.995,9.995,9.995,9.995,200,2021-05-03 16:25:00,ACAC
10.0,10.0,10.0,10.0,100,2021-05-03 16:40:00,ACAC
9.9901,9.9901,9.99,9.99,1140,2021-05-03 16:50:00,ACAC
9.995,9.995,9.995,9.995,142,2021-05-03 17:05:00,ACAC
10.0,10.0,10.0,10.0,1700,2021-05-03 17:10:00,ACAC
9.9924,9.9924,9.9924,9.9924,100,2021-05-03 17:50:00,ACAC
9.9901,9.9901,9.9901,9.9901,500,2021-05-03 18:15:00,ACAC
9.995,9.995,9.99,9.9902,1099,2021-05-03 18:30:00,ACAC
9.99,9.993,9.99,9.993,1400,2021-05-03 18:45:00,ACAC
10.0,10.0,9.99,9.99,600,2021-05-03 18:50:00,ACAC
9.99,9.99,9.99,9.99,994,2021-05-03 18:55:00,ACAC
