open,high,low,close,volume,datetime,symbol
6.79,6.79,6.79,6.79,1000,2021-05-03 12:25:00,ACIU
6.86,7.108,6.86,7.05,600,2021-05-03 12:45:00,ACIU
7.05,7.05,7.05,7.05,100,2021-05-03 13:20:00,ACIU
6.81,7.025,6.7,6.9,8270,2021-05-03 13:30:00,ACIU
6.87,7.0287,6.72,6.84,4872,2021-05-03 13:35:00,ACIU
6.775,6.775,6.715,6.715,1209,2021-05-03 13:40:00,ACIU
6.71,6.83,6.69,6.825,1385,2021-05-03 13:45:00,ACIU
6.82,6.82,6.82,6.82,950,2021-05-03 13:50:00,ACIU
6.76,6.76,6.76,6.76,100,2021-05-03 13:55:00,ACIU
6.7101,6.72,6.64,6.645,3608,2021-05-03 14:00:00,ACIU
6.685,6.75,6.68,6.75,1828,2021-05-03 14:05:00,ACIU
6.75,6.75,6.75,6.75,100,2021-05-03 14:10:00,ACIU
6.7101,6.7101,6.7101,6.7101,319,2021-05-03 14:15:00,ACIU
6.72,6.72,6.62,6.655,4523,2021-05-03 14:25:00,ACIU
6.66,6.66,6.63,6.63,885,2021-05-03 14:30:00,ACIU
6.65,6.67,6.59,6.6578,3170,2021-05-03 14:35:00,ACIU
6.6,6.66,6.54,6.635,17750,2021-05-03 14:40:00,ACIU
6.58,6.64,6.58,6.64,200,2021-05-03 14:50:00,ACIU
6.57,6.57,6.57,6.57,100,2021-05-03 14:55:00,ACIU
6.64,6.64,6.57,6.57,825,2021-05-03 15:00:00,ACIU
6.59,6.65,6.59,6.63,4937,2021-05-03 15:05:00,ACIU
6.63,6.67,6.61,6.63,1740,2021-05-03 15:10:00,ACIU
6.6298,6.6298,6.6,6.6,600,2021-05-03 15:15:00,ACIU
6.6,6.6,6.55,6.6,3179,2021-05-03 15:20:00,ACIU
6.59,6.59,6.59,6.59,200,2021-05-03 15:25:00,ACIU
6.61,6.63,6.6,6.63,400,2021-05-03 15:30:00,ACIU
6.615,6.615,6.51,6.575,15770,2021-05-03 15:35:00,ACIU
6.57,6.61,6.42,6.48,37692,2021-05-03 15:40:00,ACIU
6.48,6.55,6.46,6.55,1000,2021-05-03 15:45:00,ACIU
6.51,6.525,6.51,6.525,200,2021-05-03 15:50:00,ACIU
6.51,6.59,6.51,6.54,1368,2021-05-03 15:55:00,ACIU
6.57,6.57,6.57,6.57,300,2021-05-03 16:00:00,ACIU
6.57,6.57,6.52,6.535,3360,2021-05-03 16:10:00,ACIU
6.56,6.56,6.535,6.56,1361,2021-05-03 16:15:00,ACIU
6.54,6.54,6.51,6.5301,12619,2021-05-03 16:20:00,ACIU
6.53,6.55,6.46,6.475,12081,2021-05-03 16:25:00,ACIU
6.475,6.5,6.475,6.475,1712,2021-05-03 16:30:00,ACIU
6.505,6.505,6.42,6.455,10210,2021-05-03 16:35:00,ACIU
