open,high,low,close,volume,datetime,symbol
9.97,9.97,9.97,9.97,100,2021-05-03 11:15:00,DVAX
9.98,9.98,9.9799,9.98,520,2021-05-03 12:00:00,DVAX
9.98,9.98,9.98,9.98,100,2021-05-03 12:10:00,DVAX
10.07,10.07,10.07,10.07,5000,2021-05-03 12:40:00,DVAX
10.04,10.07,10.03,10.03,5400,2021-05-03 12:55:00,DVAX
10.07,10.07,10.07,10.07,200,2021-05-03 13:00:00,DVAX
10.07,10.07,10.07,10.07,500,2021-05-03 13:05:00,DVAX
10.08,10.1,10.08,10.1,700,2021-05-03 13:25:00,DVAX
10.11,10.11,9.9253,9.9253,56480,2021-05-03 13:30:00,DVAX
9.9,9.96,9.9,9.96,22760,2021-05-03 13:35:00,DVAX
9.96,10.02,9.95,9.97,11497,2021-05-03 13:40:00,DVAX
9.97,10.0082,9.9356,9.9517,15824,2021-05-03 13:45:00,DVAX
9.95,9.9881,9.9199,9.97,30884,2021-05-03 13:50:00,DVAX
9.96,9.99,9.92,9.94,28113,2021-05-03 13:55:00,DVAX
9.95,9.98,9.8999,9.91,34855,2021-05-03 14:00:00,DVAX
9.925,9.9389,9.87,9.9,25155,2021-05-03 14:05:00,DVAX
9.89,9.9299,9.88,9.895,27100,2021-05-03 14:10:00,DVAX
9.8992,9.95,9.88,9.94,40123,2021-05-03 14:15:00,DVAX
9.94,9.95,9.8799,9.885,42279,2021-05-03 14:20:00,DVAX
9.88,9.88,9.7718,9.7781,53429,2021-05-03 14:25:00,DVAX
9.78,9.7986,9.73,9.74,48873,2021-05-03 14:30:00,DVAX
9.74,9.74,9.69,9.695,63949,2021-05-03 14:35:00,DVAX
9.7,9.74,9.6893,9.6899,38804,2021-05-03 14:40:00,DVAX
9.68,9.72,9.62,9.62,39164,2021-05-03 14:45:00,DVAX
9.65,9.67,9.6,9.61,32769,2021-05-03 14:50:00,DVAX
9.64,9.68,9.63,9.66,40243,2021-05-03 14:55:00,DVAX
9.65,9.68,9.61,9.66,35416,2021-05-03 15:00:00,DVAX
9.66,9.72,9.66,9.72,52411,2021-05-03 15:05:00,DVAX
9.7101,9.7211,9.62,9.6299,41314,2021-05-03 15:10:00,DVAX
9.64,9.7,9.63,9.6998,30440,2021-05-03 15:15:00,DVAX
9.7099,9.71,9.67,9.71,16319,2021-05-03 15:20:00,DVAX
9.7,9.7,9.65,9.67,11462,2021-05-03 15:25:00,DVAX
9.67,9.72,9.655,9.72,12543,2021-05-03 15:30:00,DVAX
9.72,9.74,9.67,9.68,11736,2021-05-03 15:35:00,DVAX
9.67,9.7099,9.66,9.6999,15660,2021-05-03 15:40:00,DVAX
9.7081,9.7501,9.65,9.65,15882,2021-05-03 15:45:00,DVAX
9.65,9.65,9.6,9.6021,7932,2021-05-03 15:50:00,DVAX
9.62,9.67,9.6,9.66,32040,2021-05-03 15:55:00,DVAX
9.6601,9.6601,9.6212,9.66,8522,2021-05-03 16:00:00,DVAX
9.67,9.71,9.6649,9.705,4244,2021-05-03 16:05:00,DVAX
9.7,9.71,9.685,9.7,2912,2021-05-03 16:10:00,DVAX
9.69,9.76,9.685,9.74,6491,2021-05-03 16:15:00,DVAX
9.73,9.765,9.73,9.76,6357,2021-05-03 16:20:00,DVAX
9.77,9.78,9.73,9.74,5000,2021-05-03 16:25:00,DVAX
9.741,9.76,9.71,9.74,27429,2021-05-03 16:30:00,DVAX
9.75,9.78,9.7301,9.7301,14852,2021-05-03 16:35:00,DVAX
9.74,9.74,9.6832,9.6832,25471,2021-05-03 16:40:00,DVAX
9.6899,9.71,9.6899,9.71,4628,2021-05-03 16:45:00,DVAX
9.69,9.71,9.685,9.7001,4380,2021-05-03 16:50:00,DVAX
9.72,9.72,9.68,9.68,2700,2021-05-03 16:55:00,DVAX
9.68,9.7,9.68,9.695,5097,2021-05-03 17:00:00,DVAX
9.71,9.78,9.71,9.75,19499,2021-05-03 17:05:00,DVAX
9.745,9.745,9.7,9.715,5996,2021-05-03 17:10:00,DVAX
9.7107,9.72,9.7,9.7,4198,2021-05-03 17:15:00,DVAX
9.69,9.6999,9.67,9.67,2224,2021-05-03 17:20:00,DVAX
9.675,9.6899,9.67,9.67,3964,2021-05-03 17:25:00,DVAX
9.67,9.685,9.66,9.67,4179,2021-05-03 17:30:00,DVAX
9.68,9.725,9.66,9.725,13938,2021-05-03 17:35:00,DVAX
9.73,9.7899,9.725,9.7601,30706,2021-05-03 17:40:00,DVAX
9.76,9.79,9.745,9.78,20431,2021-05-03 17:45:00,DVAX
9.78,9.79,9.73,9.7301,10825,2021-05-03 17:50:00,DVAX
