open,high,low,close,volume,datetime,symbol
4.02,4.13,4.01,4.09,37519,2021-05-03 08:00:00,EBON
4.09,4.15,4.09,4.12,40238,2021-05-03 08:05:00,EBON
4.13,4.14,4.1,4.1,5709,2021-05-03 08:10:00,EBON
4.1,4.1,4.1,4.1,5381,2021-05-03 08:15:00,EBON
4.09,4.09,4.06,4.06,3506,2021-05-03 08:20:00,EBON
4.1,4.11,4.1,4.1,8476,2021-05-03 08:25:00,EBON
4.1,4.11,4.1,4.1,2240,2021-05-03 08:30:00,EBON
4.11,4.11,4.09,4.09,6277,2021-05-03 08:35:00,EBON
4.1,4.13,4.1,4.1,16994,2021-05-03 08:40:00,EBON
4.1,4.1,4.09,4.09,387,2021-05-03 08:45:00,EBON
4.09,4.1,4.08,4.1,2825,2021-05-03 08:50:00,EBON
4.1,4.11,4.1,4.11,2219,2021-05-03 08:55:00,EBON
4.11,4.11,4.1,4.11,2576,2021-05-03 09:00:00,EBON
4.1,4.1,4.1,4.1,10300,2021-05-03 09:05:00,EBON
4.1,4.1,4.1,4.1,1600,2021-05-03 09:15:00,EBON
4.1,4.1,4.1,4.1,200,2021-05-03 09:20:00,EBON
4.1,4.1,4.1,4.1,1082,2021-05-03 09:25:00,EBON
4.1,4.13,4.1,4.12,6270,2021-05-03 09:30:00,EBON
4.12,4.13,4.12,4.13,500,2021-05-03 09:35:00,EBON
4.11,4.11,4.11,4.11,333,2021-05-03 09:40:00,EBON
4.13,4.13,4.13,4.13,625,2021-05-03 09:45:00,EBON
4.1,4.1,4.1,4.1,897,2021-05-03 09:50:00,EBON
4.1,4.1,4.07,4.07,3985,2021-05-03 10:05:00,EBON
4.07,4.07,4.07,4.07,270,2021-05-03 10:10:00,EBON
4.08,4.08,4.08,4.08,900,2021-05-03 10:15:00,EBON
4.1,4.1,4.1,4.1,964,2021-05-03 10:20:00,EBON
4.1,4.1,4.1,4.1,100,2021-05-03 10:25:00,EBON
4.1,4.11,4.1,4.11,2903,2021-05-03 10:30:00,EBON
4.11,4.11,4.1,4.11,470,2021-05-03 10:45:00,EBON
4.1,4.1,4.09,4.09,1839,2021-05-03 10:50:00,EBON
4.09,4.11,4.08,4.08,1620,2021-05-03 10:55:00,EBON
4.1,4.1,4.0,4.03,30623,2021-05-03 11:00:00,EBON
4.04,4.04,4.04,4.04,100,2021-05-03 11:05:00,EBON
4.04,4.04,4.03,4.03,4825,2021-05-03 11:10:00,EBON
4.04,4.04,4.03,4.03,7962,2021-05-03 11:15:00,EBON
4.04,4.04,4.04,4.04,600,2021-05-03 11:20:00,EBON
4.04,4.04,4.03,4.03,600,2021-05-03 11:25:00,EBON
4.03,4.03,4.02,4.02,12595,2021-05-03 11:30:00,EBON
4.02,4.02,4.02,4.02,746,2021-05-03 11:35:00,EBON
4.03,4.03,4.03,4.03,2255,2021-05-03 11:40:00,EBON
4.03,4.04,4.02,4.03,7431,2021-05-03 11:45:00,EBON
4.03,4.04,4.03,4.04,12279,2021-05-03 11:50:00,EBON
4.03,4.04,4.01,4.01,9268,2021-05-03 11:55:00,EBON
4.04,4.04,3.99,4.02,36116,2021-05-03 12:00:00,EBON
