open,high,low,close,volume,datetime,symbol
57.1,57.485,56.92,57.37,13203,2021-05-03 13:30:00,MTSI
57.43,57.47,56.94,57.225,10216,2021-05-03 13:35:00,MTSI
57.21,57.39,56.89,56.91,12366,2021-05-03 13:40:00,MTSI
56.95,57.18,56.7,57.08,29163,2021-05-03 13:45:00,MTSI
56.9,57.09,56.6641,57.05,12833,2021-05-03 13:50:00,MTSI
57.0206,57.17,56.89,57.17,9290,2021-05-03 13:55:00,MTSI
57.23,57.23,56.9101,57.035,1731,2021-05-03 14:00:00,MTSI
57.1037,57.1037,56.92,57.024,5226,2021-05-03 14:05:00,MTSI
56.85,57.03,56.79,56.935,3980,2021-05-03 14:10:00,MTSI
56.86,57.0,56.76,56.9,15466,2021-05-03 14:15:00,MTSI
56.9,56.99,56.77,56.87,11364,2021-05-03 14:20:00,MTSI
56.71,56.71,56.26,56.385,1830,2021-05-03 14:25:00,MTSI
56.56,56.56,56.41,56.47,2250,2021-05-03 14:30:00,MTSI
56.51,56.67,56.2,56.2,7651,2021-05-03 14:35:00,MTSI
56.16,56.57,56.155,56.49,11400,2021-05-03 14:40:00,MTSI
56.485,56.485,56.22,56.405,13400,2021-05-03 14:45:00,MTSI
56.3927,56.61,56.34,56.535,15300,2021-05-03 14:50:00,MTSI
56.54,56.595,56.535,56.595,2013,2021-05-03 14:55:00,MTSI
56.525,56.525,56.34,56.415,16159,2021-05-03 15:00:00,MTSI
56.435,56.59,56.425,56.505,4372,2021-05-03 15:05:00,MTSI
56.505,56.505,56.41,56.435,6781,2021-05-03 15:10:00,MTSI
56.48,56.49,56.38,56.44,4839,2021-05-03 15:15:00,MTSI
56.445,56.52,56.445,56.495,5695,2021-05-03 15:20:00,MTSI
56.49,56.49,56.17,56.17,10402,2021-05-03 15:25:00,MTSI
56.17,56.3,55.965,56.24,6470,2021-05-03 15:30:00,MTSI
56.24,56.32,56.22,56.32,3546,2021-05-03 15:35:00,MTSI
56.31,56.535,56.26,56.535,9931,2021-05-03 15:40:00,MTSI
56.48,56.48,56.34,56.39,9172,2021-05-03 15:45:00,MTSI
56.395,56.4,56.34,56.35,6651,2021-05-03 15:50:00,MTSI
56.37,56.42,56.32,56.36,2570,2021-05-03 15:55:00,MTSI
56.315,56.38,56.28,56.37,86943,2021-05-03 16:00:00,MTSI
56.32,56.375,56.21,56.255,23443,2021-05-03 16:05:00,MTSI
56.25,56.26,55.92,55.95,9021,2021-05-03 16:10:00,MTSI
55.81,56.04,55.74,55.93,2002,2021-05-03 16:15:00,MTSI
55.84,56.08,55.84,56.08,1406,2021-05-03 16:20:00,MTSI
56.05,56.05,55.76,55.81,1500,2021-05-03 16:25:00,MTSI
55.76,55.81,55.69,55.76,3100,2021-05-03 16:30:00,MTSI
55.8,55.88,55.78,55.845,8400,2021-05-03 16:35:00,MTSI
55.7944,55.7944,55.74,55.77,1750,2021-05-03 16:40:00,MTSI
