open,high,low,close,volume,datetime,symbol
12.19,12.19,12.11,12.11,2843,2021-05-03 13:30:00,SSSS
12.08,12.08,12.01,12.01,1912,2021-05-03 13:35:00,SSSS
12.12,12.17,12.11,12.11,1353,2021-05-03 13:40:00,SSSS
12.09,12.09,12.06,12.06,600,2021-05-03 13:45:00,SSSS
12.09,12.09,11.95,11.97,1600,2021-05-03 13:50:00,SSSS
11.95,12.05,11.95,12.03,4522,2021-05-03 13:55:00,SSSS
12.005,12.005,11.91,11.95,1397,2021-05-03 14:05:00,SSSS
11.965,11.965,11.965,11.965,200,2021-05-03 14:10:00,SSSS
11.9678,11.9678,11.9678,11.9678,200,2021-05-03 14:15:00,SSSS
12.0,12.01,11.96,11.96,1600,2021-05-03 14:20:00,SSSS
11.93,11.93,11.8,11.8,1130,2021-05-03 14:25:00,SSSS
11.815,11.86,11.76,11.855,2322,2021-05-03 14:30:00,SSSS
11.875,11.88,11.865,11.865,500,2021-05-03 14:35:00,SSSS
11.865,11.865,11.865,11.865,100,2021-05-03 14:40:00,SSSS
11.8689,11.88,11.85,11.85,800,2021-05-03 14:50:00,SSSS
11.85,11.86,11.75,11.83,4835,2021-05-03 14:55:00,SSSS
11.83,11.86,11.81,11.83,2674,2021-05-03 15:00:00,SSSS
11.82,11.84,11.81,11.825,800,2021-05-03 15:05:00,SSSS
11.81,11.81,11.64,11.69,18146,2021-05-03 15:10:00,SSSS
11.71,11.72,11.64,11.69,5337,2021-05-03 15:15:00,SSSS
11.68,11.715,11.68,11.71,3447,2021-05-03 15:20:00,SSSS
11.695,11.705,11.68,11.685,3717,2021-05-03 15:25:00,SSSS
11.69,11.7463,11.65,11.7463,5803,2021-05-03 15:30:00,SSSS
11.71,11.76,11.7,11.75,720,2021-05-03 15:35:00,SSSS
11.725,11.725,11.65,11.68,4123,2021-05-03 15:40:00,SSSS
11.7,11.71,11.56,11.59,25434,2021-05-03 15:45:00,SSSS
11.61,11.7,11.61,11.66,3971,2021-05-03 15:50:00,SSSS
11.6996,11.76,11.695,11.72,5273,2021-05-03 15:55:00,SSSS
11.76,11.77,11.72,11.74,750,2021-05-03 16:00:00,SSSS
11.72,11.79,11.7,11.79,1256,2021-05-03 16:05:00,SSSS
11.78,11.78,11.78,11.78,800,2021-05-03 16:10:00,SSSS
11.8,11.83,11.8,11.8,1800,2021-05-03 16:20:00,SSSS
11.795,11.82,11.76,11.76,1009,2021-05-03 16:25:00,SSSS
11.77,11.79,11.76,11.76,1000,2021-05-03 16:30:00,SSSS
11.76,11.77,11.7,11.755,1828,2021-05-03 16:35:00,SSSS
11.76,11.8,11.76,11.765,850,2021-05-03 16:40:00,SSSS
11.775,11.8,11.75,11.78,500,2021-05-03 16:45:00,SSSS
11.76,11.79,11.75,11.77,1320,2021-05-03 16:50:00,SSSS
11.77,11.78,11.75,11.75,800,2021-05-03 16:55:00,SSSS
11.75,11.77,11.7,11.77,6783,2021-05-03 17:00:00,SSSS
11.78,11.78,11.78,11.78,200,2021-05-03 17:05:00,SSSS
11.8,11.8,11.77,11.77,200,2021-05-03 17:10:00,SSSS
11.81,11.81,11.78,11.78,259,2021-05-03 17:15:00,SSSS
11.77,11.77,11.77,11.77,100,2021-05-03 17:20:00,SSSS
11.77,11.79,11.77,11.77,800,2021-05-03 17:30:00,SSSS
11.78,11.81,11.76,11.77,1828,2021-05-03 17:35:00,SSSS
11.79,11.805,11.76,11.8,7323,2021-05-03 17:40:00,SSSS
11.805,11.805,11.75,11.78,1651,2021-05-03 17:45:00,SSSS
11.77,11.77,11.75,11.75,400,2021-05-03 17:50:00,SSSS
11.76,11.76,11.71,11.71,4062,2021-05-03 17:55:00,SSSS
11.71,11.75,11.71,11.75,1431,2021-05-03 18:00:00,SSSS
11.73,11.745,11.71,11.745,800,2021-05-03 18:05:00,SSSS
11.745,11.75,11.73,11.73,1200,2021-05-03 18:10:00,SSSS
11.74,11.78,11.73,11.76,2200,2021-05-03 18:15:00,SSSS
11.76,11.77,11.74,11.74,1098,2021-05-03 18:20:00,SSSS
11.74,11.74,11.74,11.74,700,2021-05-03 18:25:00,SSSS
11.72,11.76,11.72,11.76,1800,2021-05-03 18:30:00,SSSS
11.775,11.805,11.75,11.75,1044,2021-05-03 18:35:00,SSSS
11.75,11.76,11.72,11.74,2273,2021-05-03 18:40:00,SSSS
11.735,11.76,11.735,11.74,1100,2021-05-03 18:45:00,SSSS
11.71,11.77,11.71,11.74,3391,2021-05-03 18:50:00,SSSS
11.74,11.74,11.72,11.72,900,2021-05-03 18:55:00,SSSS
11.73,11.73,11.71,11.71,700,2021-05-03 19:00:00,SSSS
11.71,11.76,11.71,11.75,1638,2021-05-03 19:05:00,SSSS
11.75,11.78,11.745,11.78,1421,2021-05-03 19:10:00,SSSS
11.77,11.809,11.77,11.78,592,2021-05-03 19:15:00,SSSS
11.75,11.77,11.75,11.77,300,2021-05-03 19:20:00,SSSS
11.75,11.81,11.75,11.81,1973,2021-05-03 19:25:00,SSSS
11.8,11.81,11.7603,11.77,2600,2021-05-03 19:30:00,SSSS
11.78,11.8,11.725,11.755,10347,2021-05-03 19:35:00,SSSS
11.76,11.78,11.73,11.755,3100,2021-05-03 19:40:00,SSSS
11.75,11.79,11.75,11.75,4980,2021-05-03 19:45:00,SSSS
11.75,11.79,11.74,11.75,6942,2021-05-03 19:50:00,SSSS
11.75,11.79,11.75,11.79,14233,2021-05-03 19:55:00,SSSS
11.77,11.77,11.77,11.77,2007,2021-05-03 20:00:00,SSSS
11.78,11.78,11.78,11.78,466,2021-05-04 13:30:00,SSSS
11.77,11.78,11.66,11.68,3634,2021-05-04 13:35:00,SSSS
11.68,11.71,11.68,11.71,200,2021-05-04 13:40:00,SSSS
11.6963,11.6963,11.5,11.55,6255,2021-05-04 13:45:00,SSSS
11.655,11.655,11.4509,11.51,6340,2021-05-04 13:50:00,SSSS
11.5,11.54,11.45,11.54,5723,2021-05-04 13:55:00,SSSS
11.55,11.58,11.55,11.58,1074,2021-05-04 14:00:00,SSSS
11.5799,11.5799,11.51,11.54,2472,2021-05-04 14:05:00,SSSS
11.54,11.556,11.5,11.53,9345,2021-05-04 14:10:00,SSSS
11.53,11.55,11.44,11.49,12480,2021-05-04 14:15:00,SSSS
