open,high,low,close,volume,datetime,symbol
46.74,46.88,46.74,46.88,683,2021-05-03 13:30:00,TCBK
47.54,47.54,47.54,47.54,100,2021-05-03 13:35:00,TCBK
47.1685,47.1685,47.1685,47.1685,149,2021-05-03 13:40:00,TCBK
46.81,47.148,46.81,47.148,249,2021-05-03 13:45:00,TCBK
47.17,47.17,47.17,47.17,500,2021-05-03 13:55:00,TCBK
46.89,46.89,46.89,46.89,100,2021-05-03 14:00:00,TCBK
46.435,46.435,46.435,46.435,100,2021-05-03 14:05:00,TCBK
46.51,46.51,46.51,46.51,100,2021-05-03 14:15:00,TCBK
46.45,46.45,46.11,46.2,3400,2021-05-03 14:25:00,TCBK
46.25,46.31,46.16,46.16,304,2021-05-03 14:30:00,TCBK
46.77,46.77,46.585,46.77,300,2021-05-03 14:35:00,TCBK
46.66,46.67,46.51,46.51,700,2021-05-03 14:40:00,TCBK
46.47,46.47,46.47,46.47,100,2021-05-03 14:45:00,TCBK
46.46,46.49,46.46,46.46,300,2021-05-03 14:50:00,TCBK
46.61,46.61,46.56,46.605,300,2021-05-03 14:55:00,TCBK
46.69,46.69,46.69,46.69,100,2021-05-03 15:00:00,TCBK
46.64,46.71,46.57,46.57,700,2021-05-03 15:05:00,TCBK
46.77,46.77,46.62,46.62,600,2021-05-03 15:10:00,TCBK
46.775,46.99,46.775,46.99,200,2021-05-03 15:15:00,TCBK
46.8,46.88,46.8,46.88,200,2021-05-03 15:20:00,TCBK
46.815,46.83,46.75,46.83,400,2021-05-03 15:25:00,TCBK
46.83,46.9,46.76,46.815,2127,2021-05-03 15:30:00,TCBK
46.8275,46.9,46.8275,46.88,701,2021-05-03 15:35:00,TCBK
46.87,46.97,46.78,46.97,1200,2021-05-03 15:40:00,TCBK
46.93,46.94,46.85,46.915,1747,2021-05-03 15:45:00,TCBK
47.0,47.0,46.88,46.88,600,2021-05-03 15:50:00,TCBK
46.85,46.85,46.85,46.85,100,2021-05-03 15:55:00,TCBK
46.94,46.98,46.93,46.93,502,2021-05-03 16:05:00,TCBK
46.9825,46.9825,46.9825,46.9825,100,2021-05-03 16:10:00,TCBK
47.0,47.035,46.98,47.035,1897,2021-05-03 16:15:00,TCBK
46.99,46.99,46.985,46.985,633,2021-05-03 16:20:00,TCBK
47.03,47.115,47.03,47.09,2108,2021-05-03 16:25:00,TCBK
47.02,47.09,47.02,47.09,501,2021-05-03 16:30:00,TCBK
47.06,47.06,46.89,46.89,600,2021-05-03 16:35:00,TCBK
46.78,46.78,46.78,46.78,100,2021-05-03 16:40:00,TCBK
46.88,46.88,46.88,46.88,200,2021-05-03 16:45:00,TCBK
46.9,46.9,46.9,46.9,100,2021-05-03 16:50:00,TCBK
46.88,46.88,46.88,46.88,100,2021-05-03 17:00:00,TCBK
46.96,46.98,46.96,46.98,901,2021-05-03 17:10:00,TCBK
47.36,47.36,47.08,47.08,2300,2021-05-03 17:20:00,TCBK
47.235,47.33,47.235,47.265,2100,2021-05-03 17:25:00,TCBK
47.33,47.36,47.27,47.36,649,2021-05-03 17:30:00,TCBK
47.35,47.35,47.35,47.35,158,2021-05-03 17:35:00,TCBK
47.3,47.415,47.3,47.415,200,2021-05-03 17:40:00,TCBK
47.365,47.365,47.36,47.36,200,2021-05-03 17:45:00,TCBK
47.31,47.44,47.31,47.39,400,2021-05-03 17:50:00,TCBK
47.36,47.36,47.36,47.36,100,2021-05-03 17:55:00,TCBK
47.41,47.41,47.31,47.31,200,2021-05-03 18:00:00,TCBK
47.32,47.358,47.12,47.13,500,2021-05-03 18:05:00,TCBK
47.18,47.31,47.18,47.26,400,2021-05-03 18:10:00,TCBK
47.155,47.155,47.08,47.09,400,2021-05-03 18:15:00,TCBK
47.235,47.26,47.21,47.21,400,2021-05-03 18:25:00,TCBK
47.33,47.33,47.32,47.32,600,2021-05-03 18:35:00,TCBK
47.33,47.33,47.33,47.33,854,2021-05-03 18:40:00,TCBK
47.295,47.295,47.28,47.28,200,2021-05-03 18:45:00,TCBK
47.27,47.3,47.27,47.3,200,2021-05-03 18:50:00,TCBK
47.39,47.39,47.26,47.26,775,2021-05-03 19:00:00,TCBK
47.25,47.26,47.25,47.26,300,2021-05-03 19:05:00,TCBK
47.26,47.26,47.26,47.26,100,2021-05-03 19:10:00,TCBK
47.285,47.37,47.285,47.37,301,2021-05-03 19:20:00,TCBK
47.325,47.375,47.325,47.375,200,2021-05-03 19:25:00,TCBK
47.345,47.3625,47.345,47.3625,300,2021-05-03 19:30:00,TCBK
47.39,47.44,47.28,47.385,3453,2021-05-03 19:35:00,TCBK
47.395,47.395,47.39,47.39,300,2021-05-03 19:40:00,TCBK
47.4,47.41,47.32,47.32,1509,2021-05-03 19:45:00,TCBK
47.38,47.46,47.35,47.45,2481,2021-05-03 19:50:00,TCBK
47.5,47.5,47.26,47.29,5117,2021-05-03 19:55:00,TCBK
47.27,47.27,47.27,47.27,16922,2021-05-03 20:00:00,TCBK
47.25,47.25,46.88,46.88,1180,2021-05-04 13:30:00,TCBK
47.42,47.42,47.02,47.02,200,2021-05-04 13:35:00,TCBK
47.115,47.115,47.065,47.065,600,2021-05-04 13:50:00,TCBK
46.77,47.045,46.77,47.04,500,2021-05-04 13:55:00,TCBK
47.035,47.035,46.7,47.0,780,2021-05-04 14:00:00,TCBK
47.13,47.19,47.1,47.18,723,2021-05-04 14:05:00,TCBK
46.96,46.96,46.955,46.955,600,2021-05-04 14:10:00,TCBK
46.96,47.16,46.955,47.16,1300,2021-05-04 14:15:00,TCBK
47.35,47.35,47.34,47.34,600,2021-05-04 14:25:00,TCBK
47.32,47.32,47.15,47.15,500,2021-05-04 14:30:00,TCBK
47.07,47.07,47.07,47.07,400,2021-05-04 14:35:00,TCBK
47.34,47.43,47.34,47.43,300,2021-05-04 14:40:00,TCBK
