open,high,low,close,volume,datetime,symbol
13.98,13.98,13.98,13.98,1000,2021-06-01 13:20:00,ABST
13.9,13.97,13.9,13.945,1027,2021-06-01 13:30:00,ABST
13.93,13.93,13.92,13.92,300,2021-06-01 13:35:00,ABST
13.99,14.0025,13.98,14.0025,909,2021-06-01 13:40:00,ABST
13.95,13.96,13.95,13.96,471,2021-06-01 13:50:00,ABST
13.95,13.95,13.95,13.95,100,2021-06-01 13:55:00,ABST
13.97,13.98,13.97,13.97,500,2021-06-01 14:00:00,ABST
13.95,13.96,13.95,13.96,400,2021-06-01 14:05:00,ABST
13.95,13.96,13.89,13.89,600,2021-06-01 14:10:00,ABST
13.87,13.87,13.865,13.865,200,2021-06-01 14:15:00,ABST
13.85,13.85,13.78,13.78,200,2021-06-01 14:20:00,ABST
13.86,13.86,13.86,13.86,100,2021-06-01 14:30:00,ABST
13.8364,13.8445,13.79,13.84,3100,2021-06-01 14:35:00,ABST
13.85,13.85,13.85,13.85,100,2021-06-01 14:40:00,ABST
13.86,13.86,13.8,13.85,1400,2021-06-01 14:45:00,ABST
13.8,13.81,13.8,13.81,200,2021-06-01 14:50:00,ABST
13.785,13.8,13.785,13.8,200,2021-06-01 14:55:00,ABST
13.81,13.81,13.79,13.79,1100,2021-06-01 15:00:00,ABST
13.81,13.81,13.81,13.81,300,2021-06-01 15:10:00,ABST
13.84,13.84,13.84,13.84,100,2021-06-01 15:15:00,ABST
13.89,13.89,13.89,13.89,100,2021-06-01 15:20:00,ABST
13.9,13.9,13.9,13.9,100,2021-06-01 15:30:00,ABST
13.9,13.9,13.88,13.9,3700,2021-06-01 15:40:00,ABST
13.9,13.93,13.9,13.93,200,2021-06-01 15:45:00,ABST
13.9,13.9,13.9,13.9,100,2021-06-01 15:50:00,ABST
13.92,13.92,13.92,13.92,100,2021-06-01 16:00:00,ABST
13.94,13.94,13.94,13.94,100,2021-06-01 16:05:00,ABST
13.92,13.92,13.91,13.92,400,2021-06-01 16:10:00,ABST
13.93,13.93,13.93,13.93,100,2021-06-01 16:20:00,ABST
13.9572,13.9572,13.945,13.945,1141,2021-06-01 16:25:00,ABST
13.965,13.965,13.93,13.94,1150,2021-06-01 16:35:00,ABST
13.91,13.92,13.9,13.91,2500,2021-06-01 16:40:00,ABST
13.92,13.92,13.92,13.92,300,2021-06-01 16:45:00,ABST
13.92,13.92,13.91,13.91,200,2021-06-01 16:50:00,ABST
13.92,13.92,13.92,13.92,200,2021-06-01 17:05:00,ABST
14.0,14.0,14.0,14.0,100,2021-06-01 17:20:00,ABST
13.985,13.99,13.975,13.975,500,2021-06-01 17:25:00,ABST
13.97,13.97,13.97,13.97,100,2021-06-01 17:30:00,ABST
13.95,13.95,13.95,13.95,418,2021-06-01 17:35:00,ABST
13.93,13.93,13.93,13.93,100,2021-06-01 17:45:00,ABST
13.93,13.95,13.93,13.93,1990,2021-06-01 17:50:00,ABST
13.885,13.885,13.885,13.885,100,2021-06-01 18:05:00,ABST
13.9,13.9,13.9,13.9,562,2021-06-01 18:20:00,ABST
13.89,13.89,13.89,13.89,300,2021-06-01 18:35:00,ABST
13.9,13.9,13.9,13.9,400,2021-06-01 18:40:00,ABST
13.9,13.92,13.9,13.9,647,2021-06-01 18:45:00,ABST
13.89,13.89,13.87,13.87,200,2021-06-01 18:50:00,ABST
13.88,13.88,13.88,13.88,400,2021-06-01 18:55:00,ABST
13.88,13.88,13.88,13.88,200,2021-06-01 19:00:00,ABST
13.89,13.9099,13.85,13.9099,3690,2021-06-01 19:05:00,ABST
13.88,13.89,13.88,13.88,1500,2021-06-01 19:10:00,ABST
13.88,13.89,13.88,13.89,600,2021-06-01 19:20:00,ABST
13.86,13.86,13.86,13.86,200,2021-06-01 19:25:00,ABST
13.85,13.85,13.84,13.84,500,2021-06-01 19:35:00,ABST
13.82,13.82,13.82,13.82,100,2021-06-01 19:40:00,ABST
13.81,13.85,13.81,13.85,300,2021-06-01 19:45:00,ABST
13.85,13.85,13.83,13.83,1100,2021-06-01 19:50:00,ABST
13.83,13.84,13.78,13.8,2012,2021-06-01 19:55:00,ABST
13.79,13.79,13.79,13.79,819,2021-06-01 20:00:00,ABST
13.71,13.71,13.71,13.71,100,2021-06-01 20:35:00,ABST
13.77,13.81,13.77,13.81,296,2021-06-02 13:30:00,ABST
13.87,13.88,13.87,13.87,300,2021-06-02 13:35:00,ABST
13.87,13.87,13.82,13.82,833,2021-06-02 13:40:00,ABST
13.82,13.84,13.82,13.84,500,2021-06-02 13:45:00,ABST
13.85,13.92,13.85,13.87,9319,2021-06-02 13:50:00,ABST
13.84,13.855,13.78,13.81,8604,2021-06-02 13:55:00,ABST
13.79,13.81,13.78,13.78,6700,2021-06-02 14:00:00,ABST
13.8,13.81,13.79,13.79,1700,2021-06-02 14:15:00,ABST
13.79,13.8,13.78,13.79,2500,2021-06-02 14:20:00,ABST
13.87,13.87,13.84,13.84,3600,2021-06-02 14:25:00,ABST
13.84,13.84,13.82,13.82,1000,2021-06-02 14:30:00,ABST
13.8,13.8,13.8,13.8,200,2021-06-02 14:35:00,ABST
13.83,13.83,13.83,13.83,100,2021-06-02 14:40:00,ABST
13.81,13.83,13.81,13.82,600,2021-06-02 14:50:00,ABST
13.82,13.83,13.82,13.83,800,2021-06-02 14:55:00,ABST
13.82,13.82,13.82,13.82,200,2021-06-02 15:00:00,ABST
13.82,13.82,13.82,13.82,400,2021-06-02 15:05:00,ABST
13.8374,13.8374,13.8166,13.8166,1400,2021-06-02 15:10:00,ABST
13.82,13.82,13.81,13.81,500,2021-06-02 15:15:00,ABST
13.82,13.83,13.81,13.81,1000,2021-06-02 15:20:00,ABST
13.81,13.82,13.81,13.82,305,2021-06-02 15:35:00,ABST
13.8,13.8,13.78,13.78,600,2021-06-02 15:55:00,ABST
13.7881,13.79,13.78,13.78,2000,2021-06-02 16:00:00,ABST
13.78,13.78,13.78,13.78,100,2021-06-02 16:05:00,ABST
13.7801,13.7801,13.78,13.78,500,2021-06-02 16:15:00,ABST
13.76,13.76,13.73,13.73,3000,2021-06-02 16:20:00,ABST
13.75,13.75,13.73,13.73,600,2021-06-02 16:30:00,ABST
13.71,13.71,13.68,13.68,400,2021-06-02 16:35:00,ABST
13.69,13.69,13.69,13.69,800,2021-06-02 16:45:00,ABST
13.68,13.68,13.68,13.68,100,2021-06-02 16:50:00,ABST
13.68,13.68,13.68,13.68,100,2021-06-02 16:55:00,ABST
13.68,13.68,13.68,13.68,200,2021-06-02 17:00:00,ABST
13.69,13.69,13.68,13.69,400,2021-06-02 17:05:00,ABST
13.68,13.68,13.68,13.68,500,2021-06-02 17:10:00,ABST
13.68,13.68,13.67,13.68,600,2021-06-02 17:15:00,ABST
13.65,13.65,13.65,13.65,100,2021-06-02 17:20:00,ABST
13.59,13.59,13.59,13.59,100,2021-06-02 17:40:00,ABST
13.61,13.61,13.61,13.61,100,2021-06-02 17:45:00,ABST
13.66,13.66,13.66,13.66,100,2021-06-02 17:50:00,ABST
13.6362,13.6362,13.6362,13.6362,100,2021-06-02 17:55:00,ABST
13.645,13.65,13.641,13.65,650,2021-06-02 18:00:00,ABST
13.64,13.655,13.64,13.655,600,2021-06-02 18:05:00,ABST
13.62,13.62,13.62,13.62,200,2021-06-02 18:10:00,ABST
13.68,13.68,13.67,13.67,1000,2021-06-02 18:30:00,ABST
13.66,13.66,13.66,13.66,100,2021-06-02 18:35:00,ABST
13.67,13.67,13.67,13.67,500,2021-06-02 18:40:00,ABST
13.69,13.69,13.69,13.69,200,2021-06-02 18:45:00,ABST
13.695,13.695,13.69,13.69,300,2021-06-02 18:50:00,ABST
13.6683,13.6683,13.6683,13.6683,100,2021-06-02 18:55:00,ABST
13.68,13.68,13.68,13.68,354,2021-06-02 19:00:00,ABST
13.63,13.7,13.63,13.7,833,2021-06-02 19:45:00,ABST
13.69,13.69,13.67,13.67,1010,2021-06-02 19:50:00,ABST
13.675,13.69,13.67,13.67,1045,2021-06-02 19:55:00,ABST
13.7,13.7,13.7,13.7,2649,2021-06-02 20:00:00,ABST
13.62,13.7,13.62,13.69,581,2021-06-03 13:30:00,ABST
13.72,13.76,13.7,13.7,1100,2021-06-03 13:35:00,ABST
13.69,13.69,13.67,13.67,400,2021-06-03 13:40:00,ABST
13.6,13.6,13.53,13.53,200,2021-06-03 13:45:00,ABST
13.53,13.55,13.5031,13.55,700,2021-06-03 13:50:00,ABST
13.66,13.66,13.62,13.62,600,2021-06-03 14:00:00,ABST
13.63,13.63,13.62,13.63,500,2021-06-03 14:05:00,ABST
13.625,13.625,13.625,13.625,100,2021-06-03 14:10:00,ABST
13.61,13.61,13.6,13.6,50000,2021-06-03 14:15:00,ABST
13.6,13.6,13.6,13.6,69272,2021-06-03 14:20:00,ABST
13.6499,13.6499,13.6499,13.6499,100,2021-06-03 14:25:00,ABST
13.64,13.64,13.62,13.64,350,2021-06-03 14:30:00,ABST
13.63,13.63,13.63,13.63,100,2021-06-03 14:40:00,ABST
13.65,13.6999,13.65,13.6999,3100,2021-06-03 14:45:00,ABST
13.675,13.69,13.66,13.69,600,2021-06-03 14:50:00,ABST
13.7,13.71,13.7,13.7,600,2021-06-03 14:55:00,ABST
13.7,13.7,13.69,13.69,200,2021-06-03 15:00:00,ABST
13.67,13.67,13.67,13.67,100,2021-06-03 15:10:00,ABST
13.65,13.65,13.62,13.62,200,2021-06-03 15:15:00,ABST
13.59,13.62,13.59,13.62,200,2021-06-03 15:20:00,ABST
13.59,13.61,13.59,13.61,200,2021-06-03 15:25:00,ABST
13.64,13.64,13.62,13.62,200,2021-06-03 15:35:00,ABST
13.6,13.6,13.6,13.6,100,2021-06-03 15:40:00,ABST
13.56,13.58,13.56,13.58,1000,2021-06-03 15:45:00,ABST
13.55,13.55,13.55,13.55,100,2021-06-03 15:55:00,ABST
13.6,13.6,13.6,13.6,100,2021-06-03 16:00:00,ABST
13.61,13.61,13.6099,13.6099,300,2021-06-03 16:10:00,ABST
13.59,13.59,13.59,13.59,100,2021-06-03 16:15:00,ABST
13.58,13.58,13.58,13.58,100,2021-06-03 16:20:00,ABST
13.6,13.6,13.6,13.6,645,2021-06-03 16:30:00,ABST
13.59,13.6,13.59,13.6,1150,2021-06-03 16:35:00,ABST
13.61,13.61,13.58,13.58,800,2021-06-03 16:40:00,ABST
13.62,13.62,13.62,13.62,200,2021-06-03 16:45:00,ABST
13.65,13.65,13.63,13.63,405,2021-06-03 17:00:00,ABST
13.65,13.65,13.65,13.65,100,2021-06-03 17:05:00,ABST
13.64,13.64,13.63,13.63,1000,2021-06-03 17:10:00,ABST
13.64,13.64,13.64,13.64,100,2021-06-03 17:40:00,ABST
13.6397,13.6397,13.6397,13.6397,110,2021-06-03 18:00:00,ABST
13.6454,13.6454,13.6454,13.6454,300,2021-06-03 18:05:00,ABST
13.63,13.63,13.63,13.63,100,2021-06-03 18:15:00,ABST
13.6445,13.6445,13.64,13.64,269,2021-06-03 18:35:00,ABST
13.69,13.69,13.69,13.69,100,2021-06-03 18:50:00,ABST
13.66,13.66,13.66,13.66,750,2021-06-03 19:15:00,ABST
13.66,13.67,13.66,13.67,800,2021-06-03 19:20:00,ABST
13.67,13.67,13.67,13.67,100,2021-06-03 19:25:00,ABST
13.66,13.66,13.66,13.66,200,2021-06-03 19:30:00,ABST
13.66,13.67,13.65,13.65,400,2021-06-03 19:35:00,ABST
13.65,13.65,13.64,13.64,800,2021-06-03 19:50:00,ABST
13.65,13.65,13.625,13.625,959,2021-06-03 19:55:00,ABST
13.65,13.65,13.65,13.65,1354,2021-06-03 20:00:00,ABST
13.53,13.53,13.53,13.53,100,2021-06-03 20:35:00,ABST
13.65,13.86,13.65,13.82,564,2021-06-04 13:30:00,ABST
13.77,13.79,13.77,13.79,200,2021-06-04 13:35:00,ABST
13.76,13.78,13.72,13.72,1100,2021-06-04 13:40:00,ABST
13.76,13.87,13.76,13.83,1757,2021-06-04 13:45:00,ABST
13.95,13.99,13.92,13.99,1900,2021-06-04 13:50:00,ABST
13.961,14.0,13.96,14.0,2742,2021-06-04 13:55:00,ABST
14.03,14.03,13.97,13.97,500,2021-06-04 14:00:00,ABST
13.99,14.03,13.99,14.03,800,2021-06-04 14:05:00,ABST
14.038,14.038,14.038,14.038,125,2021-06-04 14:10:00,ABST
14.0001,14.01,14.0001,14.01,300,2021-06-04 14:15:00,ABST
13.97,13.98,13.97,13.98,400,2021-06-04 14:20:00,ABST
14.0,14.0,14.0,14.0,100,2021-06-04 14:25:00,ABST
13.98,13.98,13.98,13.98,100,2021-06-04 14:30:00,ABST
13.99,13.99,13.99,13.99,600,2021-06-04 14:35:00,ABST
13.97,13.97,13.95,13.95,200,2021-06-04 14:40:00,ABST
13.99,14.01,13.99,14.0,800,2021-06-04 15:00:00,ABST
14.0,14.01,14.0,14.01,300,2021-06-04 15:05:00,ABST
14.01,14.01,14.01,14.01,100,2021-06-04 15:10:00,ABST
14.02,14.02,14.02,14.02,100,2021-06-04 15:20:00,ABST
14.02,14.06,14.02,14.02,1900,2021-06-04 15:25:00,ABST
14.04,14.05,14.04,14.05,300,2021-06-04 15:30:00,ABST
14.06,14.06,14.04,14.05,900,2021-06-04 15:35:00,ABST
14.05,14.05,14.04,14.04,200,2021-06-04 15:40:00,ABST
14.04,14.05,14.04,14.05,500,2021-06-04 15:45:00,ABST
14.03,14.03,14.03,14.03,100,2021-06-04 15:50:00,ABST
14.05,14.05,14.04,14.05,300,2021-06-04 15:55:00,ABST
14.015,14.015,14.015,14.015,100,2021-06-04 16:05:00,ABST
14.02,14.02,14.005,14.005,200,2021-06-04 16:10:00,ABST
14.01,14.01,14.01,14.01,200,2021-06-04 16:25:00,ABST
14.01,14.01,14.01,14.01,100,2021-06-04 16:30:00,ABST
14.02,14.02,14.02,14.02,300,2021-06-04 16:35:00,ABST
14.0,14.0,14.0,14.0,400,2021-06-04 16:40:00,ABST
14.0,14.01,14.0,14.0,1000,2021-06-04 16:45:00,ABST
13.975,13.975,13.975,13.975,100,2021-06-04 17:10:00,ABST
14.0,14.0,14.0,14.0,374,2021-06-04 17:20:00,ABST
14.0,14.0,14.0,14.0,100,2021-06-04 17:25:00,ABST
13.97,13.97,13.95,13.95,300,2021-06-04 17:50:00,ABST
13.95,13.95,13.95,13.95,400,2021-06-04 18:00:00,ABST
13.94,13.94,13.94,13.94,100,2021-06-04 18:05:00,ABST
13.94,13.94,13.94,13.94,100,2021-06-04 18:15:00,ABST
13.94,13.94,13.94,13.94,200,2021-06-04 18:40:00,ABST
13.94,13.94,13.94,13.94,100,2021-06-04 18:45:00,ABST
13.91,13.92,13.91,13.92,400,2021-06-04 18:50:00,ABST
13.91,13.91,13.9,13.9,400,2021-06-04 19:00:00,ABST
13.9,13.9,13.88,13.9,928,2021-06-04 19:05:00,ABST
13.93,13.93,13.91,13.92,800,2021-06-04 19:20:00,ABST
13.91,13.91,13.91,13.91,200,2021-06-04 19:35:00,ABST
13.9,13.91,13.9,13.91,300,2021-06-04 19:40:00,ABST
13.91,13.92,13.905,13.905,300,2021-06-04 19:45:00,ABST
13.92,13.92,13.9,13.9,200,2021-06-04 19:50:00,ABST
13.9,13.94,13.9,13.94,1386,2021-06-04 19:55:00,ABST
13.91,13.91,13.91,13.91,1590,2021-06-04 20:00:00,ABST
14.07,14.07,13.95,13.97,2572,2021-06-07 13:30:00,ABST
13.91,13.91,13.84,13.84,300,2021-06-07 13:45:00,ABST
13.8,13.81,13.78,13.81,500,2021-06-07 13:55:00,ABST
13.83,13.83,13.83,13.83,125,2021-06-07 14:00:00,ABST
13.84,13.84,13.806,13.806,800,2021-06-07 14:05:00,ABST
13.8,13.83,13.8,13.83,450,2021-06-07 14:10:00,ABST
13.82,13.83,13.8042,13.8042,1000,2021-06-07 14:20:00,ABST
13.86,13.86,13.8235,13.8308,500,2021-06-07 14:30:00,ABST
13.8664,13.8664,13.8664,13.8664,264,2021-06-07 14:35:00,ABST
13.86,13.86,13.85,13.85,200,2021-06-07 14:40:00,ABST
13.95,13.97,13.95,13.97,500,2021-06-07 14:50:00,ABST
13.99,13.99,13.99,13.99,100,2021-06-07 15:05:00,ABST
14.0,14.0,13.91,13.91,1327,2021-06-07 15:10:00,ABST
13.94,13.94,13.94,13.94,100,2021-06-07 15:30:00,ABST
13.9636,13.9636,13.9636,13.9636,360,2021-06-07 15:45:00,ABST
13.98,13.98,13.98,13.98,100,2021-06-07 15:50:00,ABST
13.99,13.99,13.99,13.99,500,2021-06-07 16:05:00,ABST
13.98,13.98,13.98,13.98,100,2021-06-07 16:15:00,ABST
14.0,14.0,14.0,14.0,100,2021-06-07 16:40:00,ABST
13.99,13.99,13.99,13.99,100,2021-06-07 17:00:00,ABST
13.98,13.98,13.98,13.98,100,2021-06-07 17:10:00,ABST
13.99,14.0,13.99,14.0,400,2021-06-07 17:15:00,ABST
14.0,14.0,13.99,13.99,3573,2021-06-07 17:20:00,ABST
13.99,13.99,13.99,13.99,200,2021-06-07 17:25:00,ABST
14.0,14.0,14.0,14.0,2400,2021-06-07 17:30:00,ABST
14.0,14.01,14.0,14.01,1000,2021-06-07 17:35:00,ABST
14.0,14.02,14.0,14.02,600,2021-06-07 17:40:00,ABST
14.025,14.05,14.025,14.05,26700,2021-06-07 17:45:00,ABST
14.04,14.06,14.04,14.04,1100,2021-06-07 17:50:00,ABST
14.06,14.06,14.03,14.03,400,2021-06-07 17:55:00,ABST
14.02,14.03,14.02,14.03,300,2021-06-07 18:00:00,ABST
14.02,14.03,14.01,14.011,600,2021-06-07 18:05:00,ABST
14.015,14.05,14.015,14.03,18610,2021-06-07 18:10:00,ABST
14.035,14.05,14.03,14.03,1330,2021-06-07 18:15:00,ABST
14.05,14.05,14.03,14.03,1720,2021-06-07 18:20:00,ABST
14.045,14.09,14.045,14.065,24128,2021-06-07 18:25:00,ABST
14.065,14.075,14.06,14.06,600,2021-06-07 18:30:00,ABST
14.08,14.08,14.06,14.07,440,2021-06-07 18:35:00,ABST
14.05,14.065,14.05,14.05,400,2021-06-07 18:40:00,ABST
14.05,14.05,14.03,14.03,200,2021-06-07 18:45:00,ABST
14.04,14.05,14.04,14.05,800,2021-06-07 18:50:00,ABST
