open,high,low,close,volume,datetime,symbol
124.77,125.19,124.665,125.005,8008,2021-06-01 13:30:00,RGLD
124.8,124.8,124.12,124.12,730,2021-06-01 13:35:00,RGLD
124.75,124.89,124.41,124.48,1650,2021-06-01 13:40:00,RGLD
124.71,124.71,124.41,124.41,1200,2021-06-01 13:45:00,RGLD
124.5594,124.64,124.15,124.18,2435,2021-06-01 13:50:00,RGLD
124.315,124.36,124.173,124.26,6185,2021-06-01 13:55:00,RGLD
124.19,124.45,123.95,123.98,3050,2021-06-01 14:00:00,RGLD
123.695,123.86,123.69,123.69,722,2021-06-01 14:05:00,RGLD
123.82,123.85,123.6,123.76,3400,2021-06-01 14:10:00,RGLD
123.72,123.9,123.24,123.571,1600,2021-06-01 14:15:00,RGLD
123.44,123.675,123.4,123.67,600,2021-06-01 14:20:00,RGLD
123.54,123.7,123.54,123.62,1100,2021-06-01 14:25:00,RGLD
123.45,123.45,123.21,123.29,600,2021-06-01 14:30:00,RGLD
123.34,123.34,122.8,123.13,1538,2021-06-01 14:35:00,RGLD
123.02,123.2196,122.76,122.76,1194,2021-06-01 14:40:00,RGLD
122.8,123.04,122.51,123.04,1300,2021-06-01 14:45:00,RGLD
122.9451,123.03,122.9451,122.98,500,2021-06-01 14:50:00,RGLD
123.12,123.33,123.03,123.295,700,2021-06-01 14:55:00,RGLD
123.18,123.43,123.18,123.38,1321,2021-06-01 15:00:00,RGLD
123.49,123.64,123.49,123.64,200,2021-06-01 15:05:00,RGLD
123.63,123.8,123.57,123.6861,1802,2021-06-01 15:10:00,RGLD
123.83,123.83,123.6861,123.6861,535,2021-06-01 15:15:00,RGLD
123.775,123.86,123.73,123.86,600,2021-06-01 15:20:00,RGLD
123.86,124.14,123.86,124.06,2910,2021-06-01 15:25:00,RGLD
124.0,124.08,123.93,124.08,1400,2021-06-01 15:30:00,RGLD
124.17,124.17,123.99,123.99,560,2021-06-01 15:35:00,RGLD
123.98,124.05,123.82,123.82,992,2021-06-01 15:40:00,RGLD
123.74,123.74,123.58,123.59,1100,2021-06-01 15:45:00,RGLD
123.68,123.72,123.59,123.72,1329,2021-06-01 15:50:00,RGLD
123.775,123.775,123.65,123.65,400,2021-06-01 15:55:00,RGLD
123.82,123.8275,123.82,123.8275,200,2021-06-01 16:00:00,RGLD
123.99,124.11,123.99,124.11,500,2021-06-01 16:05:00,RGLD
124.18,124.18,124.07,124.07,2202,2021-06-01 16:10:00,RGLD
124.27,124.3,124.1,124.215,1399,2021-06-01 16:15:00,RGLD
124.2,124.4195,124.2,124.335,2208,2021-06-01 16:20:00,RGLD
124.38,124.38,124.38,124.38,100,2021-06-01 16:25:00,RGLD
124.3684,124.4475,124.34,124.35,917,2021-06-01 16:30:00,RGLD
124.35,124.35,124.22,124.22,1230,2021-06-01 16:35:00,RGLD
124.36,124.37,124.35,124.36,400,2021-06-01 16:40:00,RGLD
124.3,124.415,124.19,124.26,1010,2021-06-01 16:45:00,RGLD
124.1565,124.18,124.1565,124.18,360,2021-06-01 16:50:00,RGLD
124.23,124.24,124.16,124.24,1206,2021-06-01 16:55:00,RGLD
124.16,124.23,124.11,124.11,600,2021-06-01 17:00:00,RGLD
124.1,124.1,123.92,123.985,2124,2021-06-01 17:05:00,RGLD
123.97,124.07,123.95,124.05,1212,2021-06-01 17:10:00,RGLD
124.08,124.11,124.06,124.1,1085,2021-06-01 17:15:00,RGLD
124.07,124.12,124.06,124.06,950,2021-06-01 17:20:00,RGLD
124.06,124.06,123.97,123.98,2000,2021-06-01 17:25:00,RGLD
124.1285,124.1285,124.1285,124.1285,100,2021-06-01 17:30:00,RGLD
124.11,124.11,124.015,124.04,1300,2021-06-01 17:35:00,RGLD
124.07,124.09,123.97,124.09,1800,2021-06-01 17:40:00,RGLD
124.05,124.16,124.05,124.1,2247,2021-06-01 17:45:00,RGLD
124.2,124.21,124.1,124.2,2200,2021-06-01 17:50:00,RGLD
124.25,124.29,124.17,124.17,1201,2021-06-01 17:55:00,RGLD
124.1,124.21,124.08,124.08,627,2021-06-01 18:00:00,RGLD
124.1,124.15,124.05,124.15,1900,2021-06-01 18:05:00,RGLD
124.18,124.18,124.1,124.115,700,2021-06-01 18:10:00,RGLD
124.11,124.16,124.0995,124.11,449,2021-06-01 18:15:00,RGLD
124.17,124.17,124.07,124.09,2100,2021-06-01 18:20:00,RGLD
124.16,124.17,124.03,124.03,800,2021-06-01 18:25:00,RGLD
124.035,124.06,123.99,124.02,2188,2021-06-01 18:30:00,RGLD
123.98,123.98,123.9152,123.93,1016,2021-06-01 18:35:00,RGLD
123.98,124.02,123.96,123.96,300,2021-06-01 18:40:00,RGLD
124.02,124.12,124.02,124.1,1962,2021-06-01 18:45:00,RGLD
124.12,124.15,124.01,124.01,1480,2021-06-01 18:50:00,RGLD
124.02,124.04,124.0,124.04,600,2021-06-01 18:55:00,RGLD
123.96,124.05,123.945,123.99,610,2021-06-01 19:00:00,RGLD
123.93,124.045,123.91,124.045,511,2021-06-01 19:05:00,RGLD
124.025,124.09,123.98,124.05,1352,2021-06-01 19:10:00,RGLD
124.08,124.11,124.02,124.09,1016,2021-06-01 19:15:00,RGLD
124.11,124.12,124.075,124.08,1000,2021-06-01 19:20:00,RGLD
124.08,124.1,123.98,123.99,2606,2021-06-01 19:25:00,RGLD
124.025,124.025,123.87,123.87,1600,2021-06-01 19:30:00,RGLD
123.94,123.95,123.845,123.92,2000,2021-06-01 19:35:00,RGLD
123.84,123.95,123.82,123.93,2375,2021-06-01 19:40:00,RGLD
123.955,123.98,123.88,123.97,3342,2021-06-01 19:45:00,RGLD
124.04,124.04,123.88,123.96,5209,2021-06-01 19:50:00,RGLD
123.93,123.985,123.8,123.94,12981,2021-06-01 19:55:00,RGLD
123.96,123.96,123.96,123.96,76623,2021-06-01 20:00:00,RGLD
123.96,123.96,123.96,123.96,1937,2021-06-01 21:35:00,RGLD
124.0,124.0,124.0,124.0,501,2021-06-02 12:25:00,RGLD
124.33,124.57,123.46,123.46,4238,2021-06-02 13:30:00,RGLD
123.65,123.69,123.52,123.55,1000,2021-06-02 13:35:00,RGLD
123.61,123.87,123.61,123.87,400,2021-06-02 13:40:00,RGLD
123.96,123.97,123.936,123.936,615,2021-06-02 13:45:00,RGLD
123.735,123.735,123.53,123.53,1220,2021-06-02 13:50:00,RGLD
123.72,123.72,123.63,123.63,400,2021-06-02 13:55:00,RGLD
123.64,123.64,123.64,123.64,100,2021-06-02 14:00:00,RGLD
123.8881,124.48,123.86,124.36,4357,2021-06-02 14:05:00,RGLD
124.38,124.5,124.2,124.39,3632,2021-06-02 14:10:00,RGLD
124.215,124.25,124.01,124.2,700,2021-06-02 14:15:00,RGLD
124.1,124.11,124.0,124.0,700,2021-06-02 14:20:00,RGLD
124.03,124.03,124.03,124.03,100,2021-06-02 14:25:00,RGLD
124.31,124.39,124.31,124.36,500,2021-06-02 14:30:00,RGLD
124.48,124.48,124.35,124.35,500,2021-06-02 14:35:00,RGLD
124.36,124.4699,124.36,124.46,300,2021-06-02 14:40:00,RGLD
124.44,124.44,124.3,124.3799,600,2021-06-02 14:45:00,RGLD
124.13,124.13,124.13,124.13,200,2021-06-02 14:50:00,RGLD
124.075,124.075,124.0,124.0,300,2021-06-02 14:55:00,RGLD
123.91,123.985,123.85,123.86,1664,2021-06-02 15:00:00,RGLD
123.87,124.02,123.87,124.01,300,2021-06-02 15:05:00,RGLD
124.12,124.175,124.01,124.175,500,2021-06-02 15:10:00,RGLD
124.19,124.32,124.19,124.26,500,2021-06-02 15:15:00,RGLD
124.42,124.48,124.42,124.48,400,2021-06-02 15:20:00,RGLD
124.46,124.49,124.41,124.49,700,2021-06-02 15:25:00,RGLD
124.53,124.54,124.385,124.54,2013,2021-06-02 15:30:00,RGLD
124.59,124.63,124.59,124.63,579,2021-06-02 15:35:00,RGLD
124.68,124.7,124.53,124.53,800,2021-06-02 15:40:00,RGLD
124.57,124.59,124.32,124.32,4200,2021-06-02 15:45:00,RGLD
124.33,124.33,124.28,124.33,800,2021-06-02 15:50:00,RGLD
124.4,124.42,124.3,124.34,1523,2021-06-02 15:55:00,RGLD
124.27,124.48,124.25,124.42,1400,2021-06-02 16:00:00,RGLD
124.54,124.63,124.515,124.515,769,2021-06-02 16:05:00,RGLD
124.57,124.57,124.55,124.55,400,2021-06-02 16:10:00,RGLD
124.6354,124.65,124.57,124.57,600,2021-06-02 16:15:00,RGLD
124.53,124.67,124.53,124.67,419,2021-06-02 16:20:00,RGLD
124.7,124.79,124.7,124.72,400,2021-06-02 16:25:00,RGLD
124.69,124.69,124.65,124.65,300,2021-06-02 16:30:00,RGLD
124.6,124.65,124.52,124.53,740,2021-06-02 16:35:00,RGLD
124.55,124.55,124.45,124.45,650,2021-06-02 16:40:00,RGLD
124.52,124.54,124.35,124.35,2699,2021-06-02 16:45:00,RGLD
124.33,124.39,124.29,124.38,2228,2021-06-02 16:50:00,RGLD
124.4,124.4,124.32,124.32,300,2021-06-02 16:55:00,RGLD
124.5356,124.5356,124.5356,124.5356,500,2021-06-02 17:00:00,RGLD
124.69,124.72,124.69,124.72,300,2021-06-02 17:05:00,RGLD
124.77,124.95,124.7204,124.74,2912,2021-06-02 17:10:00,RGLD
124.8,124.81,124.68,124.68,512,2021-06-02 17:15:00,RGLD
124.64,124.75,124.64,124.75,500,2021-06-02 17:20:00,RGLD
124.87,124.87,124.75,124.86,1300,2021-06-02 17:25:00,RGLD
124.8,124.8,124.77,124.77,400,2021-06-02 17:30:00,RGLD
124.73,124.733,124.6647,124.733,1190,2021-06-02 17:35:00,RGLD
124.72,124.72,124.56,124.6,1430,2021-06-02 17:40:00,RGLD
124.58,124.58,124.53,124.53,200,2021-06-02 17:45:00,RGLD
124.43,124.495,124.42,124.495,750,2021-06-02 17:50:00,RGLD
124.39,124.44,124.3406,124.3406,2100,2021-06-02 18:00:00,RGLD
124.34,124.37,124.15,124.15,1100,2021-06-02 18:05:00,RGLD
124.25,124.26,124.18,124.18,365,2021-06-02 18:10:00,RGLD
124.12,124.39,124.12,124.29,800,2021-06-02 18:15:00,RGLD
124.33,124.33,124.26,124.29,500,2021-06-02 18:20:00,RGLD
124.235,124.235,124.18,124.18,1100,2021-06-02 18:25:00,RGLD
124.17,124.17,124.05,124.05,1000,2021-06-02 18:30:00,RGLD
124.01,124.15,124.01,124.125,608,2021-06-02 18:35:00,RGLD
124.14,124.17,124.13,124.17,588,2021-06-02 18:40:00,RGLD
124.2,124.24,124.19,124.19,802,2021-06-02 18:45:00,RGLD
124.1805,124.32,124.1805,124.26,600,2021-06-02 18:50:00,RGLD
124.26,124.26,124.1122,124.1122,1546,2021-06-02 18:55:00,RGLD
124.07,124.1,124.04,124.1,800,2021-06-02 19:00:00,RGLD
124.09,124.09,124.05,124.05,500,2021-06-02 19:05:00,RGLD
124.06,124.076,123.98,123.98,630,2021-06-02 19:10:00,RGLD
123.9993,124.05,123.9993,124.045,700,2021-06-02 19:15:00,RGLD
124.05,124.05,123.9,123.9,1500,2021-06-02 19:20:00,RGLD
123.87,123.88,123.7901,123.86,1717,2021-06-02 19:25:00,RGLD
123.89,123.95,123.86,123.88,1640,2021-06-02 19:30:00,RGLD
123.87,124.09,123.87,124.01,2800,2021-06-02 19:35:00,RGLD
124.08,124.11,124.0,124.0,2824,2021-06-02 19:40:00,RGLD
123.985,124.06,123.95,124.0,2232,2021-06-02 19:45:00,RGLD
123.95,124.145,123.88,123.94,8228,2021-06-02 19:50:00,RGLD
123.965,124.08,123.81,124.08,13708,2021-06-02 19:55:00,RGLD
123.95,123.95,123.95,123.95,35812,2021-06-02 20:00:00,RGLD
122.7,122.7,122.7,122.7,385,2021-06-03 12:25:00,RGLD
120.65,122.0,119.76,120.07,15133,2021-06-03 13:30:00,RGLD
120.17,120.43,119.772,120.43,3450,2021-06-03 13:35:00,RGLD
120.275,120.7057,120.275,120.49,1100,2021-06-03 13:40:00,RGLD
120.53,120.74,120.29,120.45,2700,2021-06-03 13:45:00,RGLD
120.57,120.72,120.35,120.53,6500,2021-06-03 13:50:00,RGLD
120.355,120.48,120.27,120.4,1125,2021-06-03 13:55:00,RGLD
120.37,120.46,120.1232,120.46,3043,2021-06-03 14:00:00,RGLD
120.43,120.64,120.395,120.6,2400,2021-06-03 14:05:00,RGLD
120.7,120.74,120.49,120.6025,6277,2021-06-03 14:10:00,RGLD
120.71,120.81,120.54,120.785,2298,2021-06-03 14:15:00,RGLD
120.81,120.81,120.46,120.765,3500,2021-06-03 14:20:00,RGLD
120.73,120.73,120.36,120.475,1512,2021-06-03 14:25:00,RGLD
120.58,120.6949,120.4,120.44,2227,2021-06-03 14:30:00,RGLD
120.47,120.77,120.47,120.5547,1194,2021-06-03 14:35:00,RGLD
120.525,120.525,120.44,120.48,700,2021-06-03 14:40:00,RGLD
120.52,120.59,120.52,120.59,300,2021-06-03 14:45:00,RGLD
120.52,120.5381,120.39,120.39,1369,2021-06-03 14:50:00,RGLD
120.45,120.6,120.39,120.59,1715,2021-06-03 14:55:00,RGLD
120.55,120.5899,120.18,120.36,4500,2021-06-03 15:00:00,RGLD
120.32,120.41,120.265,120.265,1715,2021-06-03 15:05:00,RGLD
120.22,120.22,119.93,120.0,1747,2021-06-03 15:10:00,RGLD
120.03,120.03,119.885,119.885,1300,2021-06-03 15:15:00,RGLD
119.94,120.01,119.76,119.76,2200,2021-06-03 15:20:00,RGLD
119.82,119.9,119.81,119.84,1400,2021-06-03 15:25:00,RGLD
119.91,119.915,119.67,119.67,1739,2021-06-03 15:30:00,RGLD
119.6958,119.6958,119.37,119.37,3876,2021-06-03 15:35:00,RGLD
119.435,119.87,119.435,119.87,1390,2021-06-03 15:40:00,RGLD
119.8,119.8,119.66,119.8,1504,2021-06-03 15:45:00,RGLD
119.71,119.78,119.68,119.705,1900,2021-06-03 15:50:00,RGLD
119.67,119.73,119.67,119.73,800,2021-06-03 15:55:00,RGLD
119.81,120.02,119.78,119.94,3100,2021-06-03 16:00:00,RGLD
120.01,120.06,119.95,120.02,1500,2021-06-03 16:05:00,RGLD
119.96,120.0,119.88,119.905,600,2021-06-03 16:10:00,RGLD
119.88,119.915,119.87,119.905,1100,2021-06-03 16:15:00,RGLD
119.83,119.83,119.76,119.76,1300,2021-06-03 16:20:00,RGLD
119.81,119.87,119.75,119.77,2700,2021-06-03 16:25:00,RGLD
119.74,119.9,119.74,119.79,1098,2021-06-03 16:30:00,RGLD
119.81,119.94,119.81,119.94,2282,2021-06-03 16:35:00,RGLD
119.94,119.94,119.81,119.87,1700,2021-06-03 16:40:00,RGLD
119.852,119.9185,119.82,119.91,2954,2021-06-03 16:45:00,RGLD
119.87,119.87,119.81,119.84,900,2021-06-03 16:50:00,RGLD
119.85,119.99,119.85,119.99,3923,2021-06-03 16:55:00,RGLD
120.005,120.25,119.96,120.21,1235,2021-06-03 17:00:00,RGLD
120.26,120.28,120.1,120.24,1300,2021-06-03 17:05:00,RGLD
