open,high,low,close,volume,datetime,symbol
10.24,10.24,10.23,10.23,10000,2021-07-01 15:50:00,KINZU
10.24,10.24,10.24,10.24,100,2021-07-01 16:45:00,KINZU
10.26,10.26,10.26,10.26,500,2021-07-01 17:55:00,KINZU
10.24,10.24,10.23,10.23,10000,2021-07-01 19:35:00,KINZU
10.255,10.255,10.255,10.255,600,2021-07-01 19:50:00,KINZU
10.225,10.225,10.21,10.21,450,2021-07-02 14:20:00,KINZU
10.25,10.25,10.25,10.25,100,2021-07-02 14:35:00,KINZU
10.26,10.26,10.26,10.26,115,2021-07-02 19:55:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-06 16:50:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-06 17:50:00,KINZU
10.3,10.3,10.3,10.3,155,2021-07-06 18:50:00,KINZU
10.3,10.3,10.3,10.3,105,2021-07-08 17:10:00,KINZU
10.28,10.28,10.28,10.28,199,2021-07-08 17:40:00,KINZU
10.29,10.3,10.29,10.3,200,2021-07-08 17:45:00,KINZU
10.28,10.3,10.28,10.3,4600,2021-07-08 19:10:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-08 19:40:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-08 19:50:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-09 19:40:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-12 14:30:00,KINZU
10.3,10.3,10.3,10.3,1200,2021-07-12 14:40:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-12 14:55:00,KINZU
10.3,10.3,10.3,10.3,300,2021-07-12 16:15:00,KINZU
10.3,10.3,10.3,10.3,800,2021-07-12 16:20:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-12 16:25:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-12 16:35:00,KINZU
10.3,10.3,10.3,10.3,211,2021-07-12 17:00:00,KINZU
10.3,10.3,10.3,10.3,200,2021-07-12 17:05:00,KINZU
10.28,10.3,10.27,10.3,13389,2021-07-12 17:10:00,KINZU
10.32,10.32,10.32,10.32,200,2021-07-12 17:50:00,KINZU
10.3,10.3,10.3,10.3,100,2021-07-12 18:15:00,KINZU
10.31,10.31,10.3,10.3,200,2021-07-12 18:40:00,KINZU
10.32,10.32,10.32,10.32,200,2021-07-12 18:50:00,KINZU
10.3,10.3,10.3,10.3,100,2021-07-12 19:15:00,KINZU
10.32,10.32,10.32,10.32,200,2021-07-12 19:50:00,KINZU
10.221,10.221,10.221,10.221,350,2021-07-13 14:00:00,KINZU
10.24,10.24,10.24,10.24,500,2021-07-13 15:35:00,KINZU
10.32,10.35,10.32,10.35,778,2021-07-13 16:05:00,KINZU
10.32,10.32,10.32,10.32,100,2021-07-13 19:55:00,KINZU
10.22,10.22,10.22,10.22,50000,2021-07-14 15:00:00,KINZU
10.22,10.22,10.22,10.22,50000,2021-07-14 15:40:00,KINZU
10.34,10.35,10.34,10.35,15600,2021-07-14 16:50:00,KINZU
10.34,10.35,10.34,10.35,7000,2021-07-15 13:45:00,KINZU
10.31,10.31,10.31,10.31,150,2021-07-15 14:30:00,KINZU
10.31,10.32,10.31,10.31,1000,2021-07-15 19:50:00,KINZU
10.39,10.39,10.39,10.39,3200,2021-07-15 19:55:00,KINZU
10.2851,10.2851,10.2851,10.2851,200,2021-07-20 14:05:00,KINZU
10.28,10.28,10.28,10.28,400,2021-07-21 13:50:00,KINZU
10.29,10.29,10.26,10.2706,10100,2021-07-26 15:10:00,KINZU
10.27,10.27,10.25,10.25,22299,2021-07-26 17:35:00,KINZU
10.24,10.25,10.24,10.24,5100,2021-07-26 17:40:00,KINZU
10.24,10.25,10.24,10.25,200,2021-07-26 17:55:00,KINZU
10.24,10.25,10.24,10.25,200,2021-07-26 18:05:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 18:10:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 18:20:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 18:30:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 18:35:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 18:45:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 18:50:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 18:55:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 19:05:00,KINZU
10.25,10.25,10.25,10.25,115,2021-07-26 19:10:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 19:35:00,KINZU
10.25,10.25,10.25,10.25,200,2021-07-26 19:55:00,KINZU
10.22,10.22,10.22,10.22,101,2021-07-27 13:30:00,KINZU
10.19,10.19,10.18,10.18,600,2021-07-27 15:10:00,KINZU
10.24,10.24,10.24,10.24,100,2021-07-27 19:55:00,KINZU
10.1718,10.1718,10.1718,10.1718,138,2021-07-28 13:50:00,KINZU
10.25,10.25,10.25,10.25,2432,2021-07-29 15:50:00,KINZU
