open,high,low,close,volume,datetime,symbol
89.52,89.52,89.52,89.52,100,2021-07-01 13:25:00,PCAR
89.6,90.09,89.6,89.78,64883,2021-07-01 13:30:00,PCAR
89.7,89.7,89.36,89.45,9272,2021-07-01 13:35:00,PCAR
89.35,89.61,89.32,89.57,3818,2021-07-01 13:40:00,PCAR
89.58,89.65,89.31,89.47,22251,2021-07-01 13:45:00,PCAR
89.5,89.5,89.3,89.37,4600,2021-07-01 13:50:00,PCAR
89.35,89.37,89.29,89.29,2694,2021-07-01 13:55:00,PCAR
89.25,89.36,89.22,89.31,3819,2021-07-01 14:00:00,PCAR
89.36,89.6,89.36,89.495,6910,2021-07-01 14:05:00,PCAR
89.49,89.49,89.39,89.47,5108,2021-07-01 14:10:00,PCAR
89.51,89.66,89.5,89.66,26882,2021-07-01 14:15:00,PCAR
89.63,89.63,89.4404,89.4404,7223,2021-07-01 14:20:00,PCAR
89.45,89.47,89.37,89.37,4299,2021-07-01 14:25:00,PCAR
89.38,89.45,89.36,89.41,10482,2021-07-01 14:30:00,PCAR
89.44,89.45,89.35,89.35,4145,2021-07-01 14:35:00,PCAR
89.345,89.44,89.333,89.38,3520,2021-07-01 14:40:00,PCAR
89.41,89.48,89.38,89.47,24916,2021-07-01 14:45:00,PCAR
89.49,89.55,89.49,89.505,4011,2021-07-01 14:50:00,PCAR
89.48,89.5099,89.36,89.36,2025,2021-07-01 14:55:00,PCAR
89.36,89.44,89.345,89.43,14940,2021-07-01 15:00:00,PCAR
89.42,89.43,89.38,89.38,2817,2021-07-01 15:05:00,PCAR
89.37,89.37,89.26,89.265,2348,2021-07-01 15:10:00,PCAR
89.28,89.31,89.27,89.27,3081,2021-07-01 15:15:00,PCAR
89.29,89.31,89.27,89.3,1700,2021-07-01 15:20:00,PCAR
89.31,89.41,89.31,89.41,6063,2021-07-01 15:25:00,PCAR
89.405,89.405,89.22,89.27,5010,2021-07-01 15:30:00,PCAR
89.32,89.32,89.25,89.28,1810,2021-07-01 15:35:00,PCAR
89.24,89.24,89.135,89.17,2900,2021-07-01 15:40:00,PCAR
89.175,89.175,89.13,89.15,1500,2021-07-01 15:45:00,PCAR
89.16,89.19,89.125,89.13,13288,2021-07-01 15:50:00,PCAR
89.12,89.12,89.01,89.01,2459,2021-07-01 15:55:00,PCAR
89.03,89.085,89.01,89.08,6578,2021-07-01 16:00:00,PCAR
89.09,89.0999,88.951,88.97,4705,2021-07-01 16:05:00,PCAR
88.965,89.03,88.88,88.88,17413,2021-07-01 16:10:00,PCAR
88.875,88.91,88.86,88.88,6049,2021-07-01 16:15:00,PCAR
88.87,88.89,88.82,88.83,5226,2021-07-01 16:20:00,PCAR
88.82,88.83,88.76,88.82,10438,2021-07-01 16:25:00,PCAR
88.82,88.86,88.8,88.86,11091,2021-07-01 16:30:00,PCAR
88.85,88.87,88.78,88.78,4170,2021-07-01 16:35:00,PCAR
88.79,88.87,88.79,88.85,12942,2021-07-01 16:40:00,PCAR
88.84,88.91,88.835,88.865,9534,2021-07-01 16:45:00,PCAR
88.875,88.91,88.78,88.78,5515,2021-07-01 16:50:00,PCAR
88.8,88.86,88.8,88.845,7374,2021-07-01 16:55:00,PCAR
88.81,88.87,88.81,88.865,4900,2021-07-01 17:00:00,PCAR
88.85,88.89,88.85,88.89,4912,2021-07-01 17:05:00,PCAR
88.87,88.87,88.77,88.77,5070,2021-07-01 17:10:00,PCAR
88.77,88.82,88.77,88.82,3988,2021-07-01 17:15:00,PCAR
88.81,88.82,88.775,88.805,6927,2021-07-01 17:20:00,PCAR
88.81,88.83,88.74,88.74,6042,2021-07-01 17:25:00,PCAR
88.725,88.74,88.7,88.74,5752,2021-07-01 17:30:00,PCAR
88.7648,88.7648,88.71,88.74,7526,2021-07-01 17:35:00,PCAR
88.73,88.76,88.68,88.685,8893,2021-07-01 17:40:00,PCAR
88.67,88.75,88.66,88.74,15163,2021-07-01 17:45:00,PCAR
88.74,88.77,88.7,88.735,5609,2021-07-01 17:50:00,PCAR
88.75,88.77,88.74,88.75,5607,2021-07-01 17:55:00,PCAR
88.73,88.75,88.69,88.73,5568,2021-07-01 18:00:00,PCAR
88.68,88.68,88.66,88.68,3051,2021-07-01 18:05:00,PCAR
88.67,88.71,88.66,88.69,7099,2021-07-01 18:10:00,PCAR
88.69,88.72,88.685,88.7,8007,2021-07-01 18:15:00,PCAR
88.7,88.78,88.69,88.75,9377,2021-07-01 18:20:00,PCAR
88.75,88.8,88.75,88.8,4902,2021-07-01 18:25:00,PCAR
88.8,88.835,88.77,88.815,7592,2021-07-01 18:30:00,PCAR
88.82,88.87,88.815,88.85,12068,2021-07-01 18:35:00,PCAR
88.86,88.94,88.86,88.94,6678,2021-07-01 18:40:00,PCAR
88.92,88.95,88.8844,88.95,6176,2021-07-01 18:45:00,PCAR
88.94,89.04,88.91,89.0,22010,2021-07-01 18:50:00,PCAR
89.0,89.06,89.0,89.04,7239,2021-07-01 18:55:00,PCAR
89.03,89.03,88.98,88.98,3426,2021-07-01 19:00:00,PCAR
88.97,88.98,88.915,88.97,8997,2021-07-01 19:05:00,PCAR
88.9826,89.025,88.94,89.025,6687,2021-07-01 19:10:00,PCAR
89.02,89.07,89.01,89.011,7779,2021-07-01 19:15:00,PCAR
89.01,89.06,89.01,89.055,7845,2021-07-01 19:20:00,PCAR
89.05,89.06,89.04,89.04,5348,2021-07-01 19:25:00,PCAR
89.04,89.04,88.93,88.93,12283,2021-07-01 19:30:00,PCAR
88.93,88.94,88.83,88.86,14365,2021-07-01 19:35:00,PCAR
88.855,88.87,88.78,88.855,14894,2021-07-01 19:40:00,PCAR
