open,high,low,close,volume,datetime,symbol
49.22,49.72,49.03,49.03,2311,2021-07-01 13:30:00,ZUMZ
49.3,49.3,49.3,49.3,100,2021-07-01 13:35:00,ZUMZ
49.14,49.14,48.88,48.88,200,2021-07-01 13:40:00,ZUMZ
49.2,49.309,49.2,49.309,2208,2021-07-01 13:45:00,ZUMZ
49.3,49.3,49.13,49.29,1013,2021-07-01 13:50:00,ZUMZ
49.25,49.25,49.01,49.192,801,2021-07-01 13:55:00,ZUMZ
49.24,49.24,49.19,49.22,565,2021-07-01 14:00:00,ZUMZ
49.01,49.34,49.01,49.34,500,2021-07-01 14:05:00,ZUMZ
49.34,49.44,49.34,49.44,500,2021-07-01 14:10:00,ZUMZ
49.46,49.7,49.43,49.67,5033,2021-07-01 14:15:00,ZUMZ
49.71,50.0,49.59,49.91,32582,2021-07-01 14:20:00,ZUMZ
50.14,50.34,49.95,50.285,6881,2021-07-01 14:25:00,ZUMZ
50.25,50.86,50.25,50.77,31499,2021-07-01 14:30:00,ZUMZ
50.82,50.86,50.4,50.54,6065,2021-07-01 14:35:00,ZUMZ
50.4,50.5386,50.35,50.48,3902,2021-07-01 14:40:00,ZUMZ
50.5647,50.6369,50.35,50.6369,3915,2021-07-01 14:45:00,ZUMZ
50.7,50.7,50.29,50.29,1100,2021-07-01 14:50:00,ZUMZ
50.38,50.38,50.18,50.18,2579,2021-07-01 14:55:00,ZUMZ
50.06,50.165,49.925,50.165,3690,2021-07-01 15:00:00,ZUMZ
50.22,50.52,50.18,50.42,4149,2021-07-01 15:05:00,ZUMZ
50.4,51.68,50.37,51.5941,12148,2021-07-01 15:10:00,ZUMZ
51.575,51.78,50.9301,51.01,2505,2021-07-01 15:15:00,ZUMZ
50.93,51.09,50.7,50.78,4273,2021-07-01 15:20:00,ZUMZ
50.64,50.81,50.61,50.81,700,2021-07-01 15:25:00,ZUMZ
50.6888,51.15,50.6888,51.01,2199,2021-07-01 15:30:00,ZUMZ
