open,high,low,close,volume,datetime,symbol
24.674,24.674,24.674,24.674,200,2021-08-02 13:50:00,CNFRL
24.5,24.5,24.5,24.5,200,2021-08-03 16:40:00,CNFRL
24.51,24.51,24.5,24.5,497,2021-08-04 16:15:00,CNFRL
24.5,24.5,24.5,24.5,1658,2021-08-04 16:20:00,CNFRL
24.87,24.87,24.72,24.838,602,2021-08-04 18:35:00,CNFRL
24.83,24.83,24.83,24.83,186,2021-08-05 17:20:00,CNFRL
24.3682,24.3682,24.3682,24.3682,110,2021-08-06 15:05:00,CNFRL
24.79,25.15,24.79,25.15,490,2021-08-06 18:10:00,CNFRL
25.15,25.15,25.15,25.15,1400,2021-08-06 18:15:00,CNFRL
24.73,24.73,24.73,24.73,610,2021-08-06 19:55:00,CNFRL
24.85,24.85,24.7,24.7,859,2021-08-09 18:25:00,CNFRL
24.8,24.8,24.8,24.8,355,2021-08-10 13:30:00,CNFRL
24.8,24.8,24.8,24.8,100,2021-08-10 14:05:00,CNFRL
24.6,24.6,24.6,24.6,300,2021-08-10 19:40:00,CNFRL
24.41,24.41,24.35,24.35,840,2021-08-11 18:40:00,CNFRL
24.37,24.37,24.37,24.37,100,2021-08-11 19:55:00,CNFRL
24.7,24.7,24.7,24.7,566,2021-08-12 13:30:00,CNFRL
24.7,24.7,24.7,24.7,500,2021-08-12 13:35:00,CNFRL
24.81,24.81,24.81,24.81,200,2021-08-12 13:40:00,CNFRL
24.8,24.8,24.8,24.8,100,2021-08-12 13:50:00,CNFRL
24.6,24.61,24.6,24.61,400,2021-08-12 14:10:00,CNFRL
24.7,24.7,24.7,24.7,100,2021-08-12 14:15:00,CNFRL
24.8,24.8,24.8,24.8,100,2021-08-12 14:20:00,CNFRL
24.7,24.7,24.7,24.7,100,2021-08-12 14:25:00,CNFRL
24.8,24.8,24.8,24.8,100,2021-08-12 15:00:00,CNFRL
24.8,24.8,24.68,24.68,300,2021-08-12 15:35:00,CNFRL
24.6667,24.6667,24.6667,24.6667,500,2021-08-12 16:00:00,CNFRL
24.61,24.61,24.6,24.6,700,2021-08-12 17:20:00,CNFRL
24.61,24.61,24.61,24.61,400,2021-08-12 18:30:00,CNFRL
24.69,24.7,24.69,24.7,600,2021-08-12 19:10:00,CNFRL
25.3,25.3,24.7,24.7,1400,2021-08-12 19:30:00,CNFRL
25.2568,25.2568,25.2568,25.2568,250,2021-08-12 19:40:00,CNFRL
24.62,24.62,24.62,24.62,200,2021-08-13 13:55:00,CNFRL
25.0,25.0,25.0,25.0,100,2021-08-13 14:15:00,CNFRL
24.76,24.76,24.72,24.72,400,2021-08-13 14:30:00,CNFRL
24.8,24.8,24.8,24.8,200,2021-08-13 14:40:00,CNFRL
24.79,24.8,24.79,24.8,500,2021-08-13 14:50:00,CNFRL
24.85,24.85,24.85,24.85,160,2021-08-13 16:55:00,CNFRL
24.72,24.72,24.7,24.7,400,2021-08-13 17:40:00,CNFRL
25.2899,25.2899,25.2899,25.2899,250,2021-08-16 14:10:00,CNFRL
24.95,24.9544,24.95,24.9544,1000,2021-08-16 19:15:00,CNFRL
25.0,25.0,25.0,25.0,200,2021-08-16 19:40:00,CNFRL
24.93,24.93,24.93,24.93,100,2021-08-17 19:55:00,CNFRL
25.0,25.0,25.0,25.0,100,2021-08-18 13:35:00,CNFRL
24.85,24.85,24.85,24.85,100,2021-08-18 17:35:00,CNFRL
24.8499,24.8499,24.8499,24.8499,1726,2021-08-18 17:50:00,CNFRL
24.8486,24.8486,24.8486,24.8486,100,2021-08-18 18:20:00,CNFRL
24.78,24.78,24.78,24.78,300,2021-08-18 19:55:00,CNFRL
25.005,25.005,25.005,25.005,400,2021-08-19 15:45:00,CNFRL
24.89,24.89,24.89,24.89,100,2021-08-19 19:20:00,CNFRL
24.9,24.9,24.9,24.9,385,2021-08-19 19:50:00,CNFRL
24.82,24.82,24.75,24.75,600,2021-08-20 15:20:00,CNFRL
24.7,24.7,24.7,24.7,496,2021-08-20 17:25:00,CNFRL
24.74,24.74,24.7,24.7,400,2021-08-20 18:30:00,CNFRL
24.9,24.9,24.9,24.9,200,2021-08-23 14:10:00,CNFRL
24.9,24.9,24.9,24.9,300,2021-08-23 15:55:00,CNFRL
24.95,24.95,24.95,24.95,800,2021-08-23 19:15:00,CNFRL
25.0,25.0,24.9998,24.9998,200,2021-08-23 19:25:00,CNFRL
25.0,25.0,25.0,25.0,100,2021-08-25 16:10:00,CNFRL
24.77,24.77,24.77,24.77,100,2021-08-25 18:50:00,CNFRL
24.875,24.875,24.875,24.875,450,2021-08-25 19:10:00,CNFRL
25.0,25.0,24.9035,24.9035,1308,2021-08-25 19:30:00,CNFRL
24.955,24.955,24.91,24.91,200,2021-08-26 15:15:00,CNFRL
24.9,25.0,24.8825,24.8825,2300,2021-08-26 15:20:00,CNFRL
24.85,24.85,24.85,24.85,400,2021-08-26 18:10:00,CNFRL
24.85,24.85,24.85,24.85,200,2021-08-26 18:50:00,CNFRL
24.9014,24.9335,24.9014,24.9335,600,2021-08-27 16:10:00,CNFRL
25.0,25.21,24.95,24.95,400,2021-08-27 16:25:00,CNFRL
25.0,25.0,25.0,25.0,100,2021-08-27 17:45:00,CNFRL
25.0,25.0,25.0,25.0,100,2021-08-27 18:10:00,CNFRL
25.0,25.0,24.83,24.83,200,2021-08-27 19:50:00,CNFRL
25.01,25.01,25.01,25.01,1000,2021-08-30 14:15:00,CNFRL
25.1956,25.1956,25.1956,25.1956,400,2021-08-30 14:50:00,CNFRL
25.185,25.185,25.185,25.185,100,2021-08-30 15:00:00,CNFRL
25.185,25.185,25.15,25.15,300,2021-08-30 16:50:00,CNFRL
25.05,25.05,25.04,25.04,200,2021-08-31 13:45:00,CNFRL
25.22,25.22,25.22,25.22,100,2021-08-31 14:15:00,CNFRL
25.15,25.15,25.15,25.15,400,2021-08-31 15:00:00,CNFRL
24.98,24.98,24.98,24.98,200,2021-08-31 17:50:00,CNFRL
24.98,24.98,24.98,24.98,100,2021-08-31 18:00:00,CNFRL
24.88,24.88,24.765,24.765,675,2021-08-31 19:15:00,CNFRL
24.8127,24.8127,24.8127,24.8127,400,2021-08-31 19:30:00,CNFRL
