open,high,low,close,volume,datetime,symbol
246.39,247.67,246.39,247.525,2644,2021-08-02 13:30:00,COHR
247.53,248.2228,247.525,248.2228,300,2021-08-02 13:35:00,COHR
247.99,247.99,247.16,247.32,1100,2021-08-02 13:40:00,COHR
247.285,247.335,247.285,247.335,500,2021-08-02 13:45:00,COHR
247.01,247.61,246.71,247.15,1300,2021-08-02 13:50:00,COHR
246.76,247.36,246.76,247.36,200,2021-08-02 13:55:00,COHR
247.58,247.62,247.58,247.62,300,2021-08-02 14:00:00,COHR
247.3301,247.79,247.25,247.61,3800,2021-08-02 14:05:00,COHR
247.35,247.35,246.69,246.69,400,2021-08-02 14:15:00,COHR
247.6,247.6,247.325,247.325,200,2021-08-02 14:20:00,COHR
247.11,247.11,247.11,247.11,100,2021-08-02 14:25:00,COHR
246.87,246.87,246.745,246.745,200,2021-08-02 14:30:00,COHR
246.89,246.89,246.89,246.89,100,2021-08-02 14:35:00,COHR
246.935,246.935,246.81,246.81,900,2021-08-02 14:40:00,COHR
246.91,246.91,246.91,246.91,306,2021-08-02 14:45:00,COHR
246.81,246.81,246.68,246.68,1500,2021-08-02 14:55:00,COHR
246.71,246.71,246.1,246.1,600,2021-08-02 15:00:00,COHR
246.335,246.9,246.335,246.9,1200,2021-08-02 15:05:00,COHR
246.54,246.54,246.54,246.54,200,2021-08-02 15:10:00,COHR
246.7047,246.7047,246.66,246.66,200,2021-08-02 15:15:00,COHR
246.89,246.89,246.855,246.855,200,2021-08-02 15:20:00,COHR
246.855,246.88,246.76,246.865,700,2021-08-02 15:25:00,COHR
246.89,246.91,246.56,246.63,3800,2021-08-02 15:30:00,COHR
246.63,246.83,246.54,246.62,4677,2021-08-02 15:35:00,COHR
246.52,246.57,246.44,246.51,3000,2021-08-02 15:40:00,COHR
246.33,246.545,245.56,246.02,1700,2021-08-02 15:45:00,COHR
246.0,246.26,245.89,246.26,300,2021-08-02 15:50:00,COHR
245.79,245.79,245.79,245.79,100,2021-08-02 15:55:00,COHR
245.79,245.84,245.5,245.84,2200,2021-08-02 16:00:00,COHR
246.14,246.14,245.695,245.82,1142,2021-08-02 16:05:00,COHR
245.65,246.22,245.435,246.13,6153,2021-08-02 16:10:00,COHR
246.13,246.34,246.0,246.205,3429,2021-08-02 16:15:00,COHR
246.235,246.31,245.58,246.0,1600,2021-08-02 16:20:00,COHR
246.005,246.005,246.005,246.005,200,2021-08-02 16:25:00,COHR
246.0,246.1,245.92,246.1,800,2021-08-02 16:30:00,COHR
246.135,246.25,246.0,246.245,1100,2021-08-02 16:35:00,COHR
246.07,246.14,246.01,246.06,500,2021-08-02 16:40:00,COHR
246.0,246.03,245.9,245.94,999,2021-08-02 16:45:00,COHR
245.9,246.15,245.9,246.06,1070,2021-08-02 16:50:00,COHR
246.06,246.06,245.97,245.97,300,2021-08-02 16:55:00,COHR
246.1,246.255,246.0,246.235,1000,2021-08-02 17:00:00,COHR
246.09,246.275,245.94,246.15,1300,2021-08-02 17:05:00,COHR
246.05,246.1,246.0,246.0,800,2021-08-02 17:10:00,COHR
246.02,246.095,245.86,246.095,300,2021-08-02 17:15:00,COHR
246.265,246.265,246.04,246.18,1100,2021-08-02 17:20:00,COHR
246.155,246.19,246.03,246.07,1300,2021-08-02 17:25:00,COHR
246.085,246.085,246.025,246.05,900,2021-08-02 17:30:00,COHR
246.03,246.03,245.99,246.03,400,2021-08-02 17:35:00,COHR
246.02,246.02,245.91,245.92,800,2021-08-02 17:40:00,COHR
246.0,246.065,245.89,246.065,1200,2021-08-02 17:45:00,COHR
245.89,245.95,245.88,245.95,400,2021-08-02 17:50:00,COHR
245.9,246.36,245.9,246.01,1637,2021-08-02 17:55:00,COHR
246.05,246.175,245.91,245.91,6300,2021-08-02 18:00:00,COHR
246.02,246.2,245.97,246.09,7400,2021-08-02 18:05:00,COHR
246.015,246.19,245.975,246.15,5549,2021-08-02 18:10:00,COHR
246.095,246.13,246.0,246.025,2400,2021-08-02 18:15:00,COHR
246.03,246.13,245.915,245.915,1100,2021-08-02 18:20:00,COHR
245.915,246.0,245.915,246.0,500,2021-08-02 18:25:00,COHR
246.07,246.1,245.985,246.0,3600,2021-08-02 18:30:00,COHR
245.99,246.0,245.99,246.0,200,2021-08-02 18:35:00,COHR
246.0,246.61,245.96,246.55,3962,2021-08-02 18:40:00,COHR
246.57,246.57,246.151,246.54,1000,2021-08-02 18:45:00,COHR
246.375,246.41,246.24,246.41,800,2021-08-02 18:50:00,COHR
246.49,246.49,246.4,246.4,400,2021-08-02 18:55:00,COHR
246.62,246.69,246.47,246.57,1049,2021-08-02 19:00:00,COHR
246.52,246.52,246.21,246.315,710,2021-08-02 19:05:00,COHR
246.18,246.31,246.08,246.11,1200,2021-08-02 19:10:00,COHR
246.13,246.13,246.1,246.1,619,2021-08-02 19:15:00,COHR
246.02,246.41,246.02,246.05,1957,2021-08-02 19:20:00,COHR
246.03,246.03,245.87,245.94,900,2021-08-02 19:25:00,COHR
245.93,246.02,245.91,245.91,600,2021-08-02 19:30:00,COHR
245.91,246.06,245.8,245.89,1700,2021-08-02 19:35:00,COHR
245.88,246.0731,245.77,245.87,3600,2021-08-02 19:40:00,COHR
245.78,245.89,245.63,245.63,2300,2021-08-02 19:45:00,COHR
245.78,245.78,245.45,245.655,5601,2021-08-02 19:50:00,COHR
245.66,246.03,245.51,246.03,9766,2021-08-02 19:55:00,COHR
245.37,245.37,245.37,245.37,9356,2021-08-02 20:00:00,COHR
245.0,245.0,245.0,245.0,100,2021-08-02 20:05:00,COHR
244.83,244.83,243.42,243.8,6893,2021-08-03 13:30:00,COHR
243.48,243.48,243.085,243.085,630,2021-08-03 13:35:00,COHR
242.48,242.95,242.1,242.825,4240,2021-08-03 13:40:00,COHR
243.0,243.0,241.95,242.21,2800,2021-08-03 13:45:00,COHR
241.96,242.22,241.3,241.3,1100,2021-08-03 13:50:00,COHR
241.32,241.32,240.94,241.04,400,2021-08-03 13:55:00,COHR
241.26,241.33,241.0,241.04,4560,2021-08-03 14:00:00,COHR
240.66,240.66,239.19,239.19,2000,2021-08-03 14:05:00,COHR
239.166,239.166,239.166,239.166,125,2021-08-03 14:10:00,COHR
239.09,239.27,238.48,238.88,3166,2021-08-03 14:15:00,COHR
239.095,240.55,239.095,240.55,6636,2021-08-03 14:20:00,COHR
240.63,241.31,240.56,241.145,2200,2021-08-03 14:25:00,COHR
240.52,240.52,240.43,240.43,745,2021-08-03 14:30:00,COHR
240.05,240.28,239.655,239.71,1000,2021-08-03 14:35:00,COHR
239.545,239.56,239.27,239.39,1408,2021-08-03 14:40:00,COHR
239.455,239.455,238.96,239.25,2120,2021-08-03 14:45:00,COHR
239.52,239.52,239.14,239.14,300,2021-08-03 14:50:00,COHR
239.18,239.18,238.78,238.88,1810,2021-08-03 14:55:00,COHR
238.745,238.745,238.37,238.37,400,2021-08-03 15:00:00,COHR
238.42,238.42,238.22,238.29,850,2021-08-03 15:05:00,COHR
238.135,238.355,238.135,238.355,300,2021-08-03 15:15:00,COHR
238.355,238.355,238.11,238.11,1200,2021-08-03 15:20:00,COHR
238.175,238.175,237.83,237.98,700,2021-08-03 15:25:00,COHR
237.98,238.03,237.14,237.59,4874,2021-08-03 15:30:00,COHR
237.41,237.565,236.405,236.405,2249,2021-08-03 15:35:00,COHR
236.4,236.46,236.255,236.45,500,2021-08-03 15:40:00,COHR
236.15,236.76,236.15,236.62,5302,2021-08-03 15:45:00,COHR
236.62,236.89,236.5,236.5,3100,2021-08-03 15:50:00,COHR
236.475,236.475,235.8,235.83,4004,2021-08-03 15:55:00,COHR
236.04,236.04,235.43,235.59,3000,2021-08-03 16:00:00,COHR
235.5554,235.6799,235.13,235.59,3100,2021-08-03 16:05:00,COHR
235.5,235.51,234.97,234.97,1700,2021-08-03 16:10:00,COHR
234.76,234.76,233.69,233.72,2600,2021-08-03 16:15:00,COHR
233.86,233.86,232.62,232.64,5495,2021-08-03 16:20:00,COHR
233.04,233.07,231.61,231.84,8730,2021-08-03 16:25:00,COHR
231.84,231.93,230.99,231.63,2225,2021-08-03 16:30:00,COHR
231.41,232.94,231.41,232.94,5125,2021-08-03 16:35:00,COHR
233.905,234.325,233.12,233.99,2325,2021-08-03 16:40:00,COHR
233.985,234.96,233.62,234.96,3600,2021-08-03 16:45:00,COHR
235.18,235.39,234.39,234.55,4618,2021-08-03 16:50:00,COHR
234.78,234.78,234.39,234.39,1700,2021-08-03 16:55:00,COHR
234.55,235.085,234.55,235.085,1500,2021-08-03 17:00:00,COHR
235.11,235.81,234.84,235.81,1500,2021-08-03 17:05:00,COHR
235.19,235.57,234.73,234.955,1300,2021-08-03 17:10:00,COHR
234.63,234.78,234.09,234.09,2616,2021-08-03 17:15:00,COHR
233.72,233.9,232.85,232.85,2730,2021-08-03 17:20:00,COHR
233.01,233.56,232.85,233.4,1600,2021-08-03 17:25:00,COHR
233.035,233.4,232.7,232.7,1700,2021-08-03 17:30:00,COHR
233.22,233.365,232.81,233.36,3700,2021-08-03 17:35:00,COHR
233.03,233.32,232.735,232.815,4050,2021-08-03 17:40:00,COHR
232.795,233.035,232.66,232.94,1621,2021-08-03 17:45:00,COHR
232.855,232.855,232.3,232.54,3668,2021-08-03 17:50:00,COHR
232.76,232.91,232.4852,232.5,4100,2021-08-03 17:55:00,COHR
232.22,232.49,232.1485,232.49,1145,2021-08-03 18:00:00,COHR
232.4,232.59,232.38,232.39,2800,2021-08-03 18:05:00,COHR
232.445,232.7,232.39,232.47,4300,2021-08-03 18:10:00,COHR
232.29,233.52,232.2,233.485,6120,2021-08-03 18:15:00,COHR
233.485,233.78,233.3192,233.465,2913,2021-08-03 18:20:00,COHR
233.465,233.61,233.32,233.505,2410,2021-08-03 18:25:00,COHR
233.505,233.79,233.34,233.57,3530,2021-08-03 18:30:00,COHR
233.58,233.63,233.34,233.34,2126,2021-08-03 18:35:00,COHR
233.34,233.35,233.18,233.18,1310,2021-08-03 18:40:00,COHR
233.13,233.49,233.12,233.445,1874,2021-08-03 18:45:00,COHR
233.4337,234.665,233.4337,234.665,2820,2021-08-03 18:50:00,COHR
234.52,234.52,234.285,234.295,1516,2021-08-03 18:55:00,COHR
234.325,234.56,234.24,234.56,1600,2021-08-03 19:00:00,COHR
234.485,234.63,234.485,234.58,1700,2021-08-03 19:05:00,COHR
234.51,234.58,234.45,234.525,1116,2021-08-03 19:10:00,COHR
234.66,235.78,234.66,235.78,2200,2021-08-03 19:15:00,COHR
235.91,236.14,235.745,236.065,2000,2021-08-03 19:20:00,COHR
236.11,236.58,236.11,236.56,2516,2021-08-03 19:25:00,COHR
236.57,237.25,236.57,237.14,1600,2021-08-03 19:30:00,COHR
237.23,238.31,237.14,238.31,4010,2021-08-03 19:35:00,COHR
238.3,239.14,238.21,238.44,6846,2021-08-03 19:40:00,COHR
