open,high,low,close,volume,datetime,symbol
26.38,26.39,26.372,26.39,482,2021-08-02 13:40:00,GBLI
26.1877,26.1877,26.1877,26.1877,100,2021-08-02 13:45:00,GBLI
26.05,26.05,26.05,26.05,213,2021-08-02 14:25:00,GBLI
26.22,26.39,26.22,26.39,500,2021-08-02 14:45:00,GBLI
26.05,26.05,26.05,26.05,100,2021-08-02 15:20:00,GBLI
26.07,26.07,26.07,26.07,100,2021-08-02 17:30:00,GBLI
26.07,26.07,26.05,26.05,500,2021-08-02 17:45:00,GBLI
26.05,26.05,26.0,26.0,495,2021-08-02 17:50:00,GBLI
26.175,26.175,26.175,26.175,200,2021-08-02 18:00:00,GBLI
26.05,26.11,26.0206,26.1005,400,2021-08-02 19:15:00,GBLI
26.0,26.0,26.0,26.0,193,2021-08-02 19:20:00,GBLI
26.0,26.3857,25.99,26.0,700,2021-08-02 19:25:00,GBLI
26.01,26.01,26.01,26.01,100,2021-08-02 19:30:00,GBLI
25.95,25.95,25.8,25.8,600,2021-08-02 19:35:00,GBLI
25.62,25.6995,25.62,25.6995,600,2021-08-02 19:45:00,GBLI
25.9,25.9,25.9,25.9,138,2021-08-03 13:30:00,GBLI
25.949,25.949,25.949,25.949,800,2021-08-03 14:15:00,GBLI
25.95,26.06,25.9,25.9,1208,2021-08-03 14:30:00,GBLI
25.9,25.9,25.8,25.8,1402,2021-08-03 14:35:00,GBLI
25.91,25.93,25.91,25.91,400,2021-08-03 15:10:00,GBLI
25.91,25.91,25.9,25.9,550,2021-08-03 15:15:00,GBLI
25.85,25.85,25.85,25.85,72689,2021-08-03 16:00:00,GBLI
26.0,26.0,26.0,26.0,100,2021-08-03 17:25:00,GBLI
26.1907,26.1907,26.1907,26.1907,500,2021-08-03 17:50:00,GBLI
26.19,26.19,26.19,26.19,100,2021-08-04 15:50:00,GBLI
26.26,26.26,26.26,26.26,100,2021-08-04 18:05:00,GBLI
26.42,26.5,26.42,26.5,300,2021-08-04 18:25:00,GBLI
26.39,26.39,26.39,26.39,100,2021-08-04 19:35:00,GBLI
26.4,26.4,26.27,26.4,2406,2021-08-04 19:50:00,GBLI
26.4,26.4,26.39,26.3995,400,2021-08-04 19:55:00,GBLI
26.4,26.4,26.4,26.4,184,2021-08-04 20:00:00,GBLI
26.17,26.1994,26.17,26.1994,200,2021-08-05 14:00:00,GBLI
26.5,26.5,26.5,26.5,230,2021-08-05 14:30:00,GBLI
26.25,26.25,26.25,26.25,100,2021-08-05 17:35:00,GBLI
26.28,26.28,26.28,26.28,300,2021-08-05 19:25:00,GBLI
26.28,26.28,26.28,26.28,1400,2021-08-06 17:15:00,GBLI
26.3458,26.555,26.3458,26.555,585,2021-08-06 17:45:00,GBLI
26.56,26.56,26.31,26.31,1025,2021-08-06 19:20:00,GBLI
26.51,26.51,26.51,26.51,100,2021-08-09 13:30:00,GBLI
27.23,27.23,27.23,27.23,230,2021-08-09 13:40:00,GBLI
26.9,26.9,26.9,26.9,100,2021-08-09 18:05:00,GBLI
26.501,26.501,26.4969,26.5,1314,2021-08-09 19:35:00,GBLI
26.48,26.48,26.4,26.4,695,2021-08-09 19:55:00,GBLI
26.42,26.42,26.42,26.42,101,2021-08-10 13:30:00,GBLI
26.46,26.46,26.46,26.46,211,2021-08-10 14:00:00,GBLI
26.46,26.5,26.45,26.45,474,2021-08-10 14:05:00,GBLI
26.4,26.4,26.3,26.3,1100,2021-08-10 14:30:00,GBLI
26.3,26.5,26.3,26.5,900,2021-08-10 14:35:00,GBLI
26.4999,26.4999,26.38,26.38,400,2021-08-10 15:05:00,GBLI
26.4,26.92,26.4,26.92,210,2021-08-10 15:20:00,GBLI
26.4,26.44,26.195,26.195,1330,2021-08-10 15:25:00,GBLI
26.27,26.44,26.27,26.44,295,2021-08-10 15:30:00,GBLI
26.435,26.435,26.435,26.435,100,2021-08-10 16:45:00,GBLI
26.595,26.595,26.595,26.595,200,2021-08-10 18:05:00,GBLI
26.6,26.635,26.6,26.635,300,2021-08-10 18:15:00,GBLI
26.635,26.635,26.51,26.51,400,2021-08-10 18:20:00,GBLI
26.54,26.54,26.5,26.5,300,2021-08-10 18:25:00,GBLI
26.3,26.3,26.3,26.3,200,2021-08-10 18:40:00,GBLI
26.31,26.31,26.31,26.31,100,2021-08-10 18:45:00,GBLI
27.0,27.0,27.0,27.0,175,2021-08-11 18:25:00,GBLI
27.6444,27.6444,27.6444,27.6444,200,2021-08-11 18:40:00,GBLI
27.6444,27.6444,27.6444,27.6444,200,2021-08-11 18:50:00,GBLI
26.71,26.71,26.71,26.71,100,2021-08-11 19:25:00,GBLI
27.155,27.155,27.155,27.155,100,2021-08-11 19:30:00,GBLI
27.155,27.155,27.155,27.155,100,2021-08-11 20:00:00,GBLI
26.36,26.36,26.36,26.36,1694,2021-08-12 13:30:00,GBLI
26.98,27.34,26.98,27.34,600,2021-08-12 13:55:00,GBLI
27.5,27.53,27.35,27.53,450,2021-08-12 14:00:00,GBLI
27.47,27.47,27.0,27.0,1100,2021-08-12 15:10:00,GBLI
27.4,27.4,27.4,27.4,200,2021-08-12 15:15:00,GBLI
27.4,27.4,27.4,27.4,300,2021-08-12 15:50:00,GBLI
27.4,27.4,27.4,27.4,100,2021-08-12 16:15:00,GBLI
27.4,27.4,27.35,27.4,677,2021-08-12 16:50:00,GBLI
27.4,27.4,27.4,27.4,100,2021-08-12 17:00:00,GBLI
27.3,27.3001,27.0,27.0075,10737,2021-08-12 17:10:00,GBLI
26.776,26.776,26.776,26.776,500,2021-08-12 17:30:00,GBLI
26.8302,26.8302,26.8302,26.8302,1000,2021-08-12 17:45:00,GBLI
26.97,26.99,26.75,26.75,940,2021-08-12 17:50:00,GBLI
26.65,26.65,26.65,26.65,133,2021-08-12 20:00:00,GBLI
27.5918,27.5918,27.5918,27.5918,100,2021-08-13 16:05:00,GBLI
27.23,27.23,27.23,27.23,500,2021-08-13 17:45:00,GBLI
27.3872,27.3872,27.3872,27.3872,500,2021-08-13 17:50:00,GBLI
27.0,27.2999,27.0,27.2999,700,2021-08-13 19:00:00,GBLI
27.2741,27.2741,27.2741,27.2741,500,2021-08-13 19:15:00,GBLI
27.27,27.27,27.27,27.27,100,2021-08-13 19:50:00,GBLI
27.0,27.0,27.0,27.0,200,2021-08-16 18:05:00,GBLI
26.7601,26.925,26.39,26.39,6093,2021-08-16 19:20:00,GBLI
26.205,26.205,26.205,26.205,300,2021-08-16 19:50:00,GBLI
26.7,26.7,26.7,26.7,217,2021-08-16 20:00:00,GBLI
26.44,26.44,26.44,26.44,114,2021-08-17 13:30:00,GBLI
26.57,26.57,26.57,26.57,200,2021-08-17 16:40:00,GBLI
26.51,26.51,26.5,26.5,200,2021-08-18 18:05:00,GBLI
26.0,26.0,26.0,26.0,161,2021-08-19 20:00:00,GBLI
25.69,25.69,25.69,25.69,215,2021-08-23 13:30:00,GBLI
25.66,25.66,25.66,25.66,100,2021-08-23 15:10:00,GBLI
25.39,25.5433,25.39,25.5433,300,2021-08-23 16:40:00,GBLI
25.7399,25.94,25.675,25.94,1204,2021-08-23 17:35:00,GBLI
26.07,26.14,26.07,26.14,600,2021-08-23 17:55:00,GBLI
26.5934,26.5934,26.4642,26.4642,601,2021-08-23 18:00:00,GBLI
26.0,26.075,26.0,26.075,763,2021-08-23 18:30:00,GBLI
26.505,26.505,26.505,26.505,100,2021-08-23 19:15:00,GBLI
26.05,26.05,26.05,26.05,149,2021-08-23 20:00:00,GBLI
26.24,26.24,26.24,26.24,137,2021-08-24 13:30:00,GBLI
26.3,26.3,26.3,26.3,100,2021-08-24 14:30:00,GBLI
26.3,26.3,26.3,26.3,200,2021-08-24 15:15:00,GBLI
26.2,26.2,26.2,26.2,794,2021-08-24 16:10:00,GBLI
26.24,26.24,26.24,26.24,200,2021-08-24 16:45:00,GBLI
26.1,26.1,26.1,26.1,223,2021-08-24 17:40:00,GBLI
26.1,26.1,25.66,25.88,2038,2021-08-24 19:45:00,GBLI
26.1,26.1,26.1,26.1,179,2021-08-25 13:30:00,GBLI
26.29,26.3,26.25,26.282,1930,2021-08-25 18:35:00,GBLI
26.25,26.25,26.25,26.25,360,2021-08-25 18:40:00,GBLI
26.75,26.75,26.75,26.75,111,2021-08-26 18:45:00,GBLI
26.76,26.76,26.76,26.76,123,2021-08-26 20:00:00,GBLI
26.73,26.75,26.73,26.75,400,2021-08-27 14:25:00,GBLI
26.75,26.75,26.75,26.75,323,2021-08-27 14:30:00,GBLI
26.62,26.62,26.62,26.62,600,2021-08-27 17:15:00,GBLI
26.2,26.7,26.2,26.205,1100,2021-08-27 19:15:00,GBLI
26.7,26.7,26.18,26.65,950,2021-08-27 19:20:00,GBLI
26.6999,26.7,26.69,26.7,600,2021-08-27 19:30:00,GBLI
26.7,26.7,26.7,26.7,130,2021-08-27 19:55:00,GBLI
26.39,26.39,26.39,26.39,220,2021-08-30 13:30:00,GBLI
26.21,26.21,25.3903,25.41,1575,2021-08-30 14:30:00,GBLI
26.05,26.05,26.01,26.05,900,2021-08-30 14:55:00,GBLI
26.11,26.11,26.0815,26.0815,200,2021-08-30 15:00:00,GBLI
26.0,26.0,26.0,26.0,156,2021-08-30 19:10:00,GBLI
26.0,26.35,26.0,26.35,3857,2021-08-30 19:55:00,GBLI
26.01,26.01,26.01,26.01,154,2021-08-30 20:00:00,GBLI
26.49,26.5,26.49,26.5,706,2021-08-31 18:30:00,GBLI
26.51,26.51,26.51,26.51,100,2021-08-31 19:10:00,GBLI
26.5,26.5,26.5,26.5,105,2021-08-31 19:50:00,GBLI
26.5,26.76,26.5,26.5,1700,2021-08-31 19:55:00,GBLI
