open,high,low,close,volume,datetime,symbol
13.8,13.8,13.625,13.8,4036,2021-08-02 13:30:00,LIND
13.99,13.99,13.94,13.95,1153,2021-08-02 13:35:00,LIND
13.93,14.005,13.84,14.005,2788,2021-08-02 13:40:00,LIND
14.07,14.17,14.03,14.17,1205,2021-08-02 13:45:00,LIND
14.12,14.12,13.95,13.96,1914,2021-08-02 13:50:00,LIND
13.96,14.1,13.96,14.05,1890,2021-08-02 13:55:00,LIND
14.0,14.08,14.0,14.02,1797,2021-08-02 14:00:00,LIND
13.94,13.98,13.94,13.97,2177,2021-08-02 14:05:00,LIND
13.99,14.0,13.95,13.95,1200,2021-08-02 14:10:00,LIND
13.93,13.93,13.78,13.78,1300,2021-08-02 14:15:00,LIND
13.84,13.84,13.84,13.84,100,2021-08-02 14:20:00,LIND
13.795,13.85,13.72,13.85,2531,2021-08-02 14:25:00,LIND
13.76,13.82,13.74,13.8,7337,2021-08-02 14:30:00,LIND
13.89,13.89,13.79,13.79,800,2021-08-02 14:35:00,LIND
13.76,13.7686,13.7,13.7686,1600,2021-08-02 14:40:00,LIND
13.725,13.74,13.68,13.7,1055,2021-08-02 14:45:00,LIND
13.71,13.72,13.645,13.645,1408,2021-08-02 14:50:00,LIND
13.66,13.7,13.635,13.65,2744,2021-08-02 14:55:00,LIND
13.655,13.69,13.655,13.685,1200,2021-08-02 15:00:00,LIND
13.69,13.71,13.66,13.71,1600,2021-08-02 15:05:00,LIND
13.66,13.74,13.66,13.74,2200,2021-08-02 15:10:00,LIND
13.72,13.72,13.67,13.67,2016,2021-08-02 15:15:00,LIND
13.66,13.66,13.63,13.64,474,2021-08-02 15:20:00,LIND
13.645,13.67,13.64,13.67,1453,2021-08-02 15:25:00,LIND
13.65,13.69,13.65,13.67,3000,2021-08-02 15:30:00,LIND
13.67,13.69,13.66,13.67,2825,2021-08-02 15:35:00,LIND
13.69,13.695,13.65,13.685,4000,2021-08-02 15:40:00,LIND
13.705,13.705,13.69,13.7,1100,2021-08-02 15:45:00,LIND
13.69,13.695,13.67,13.685,2527,2021-08-02 15:50:00,LIND
13.685,13.7,13.67,13.68,3400,2021-08-02 15:55:00,LIND
13.67,13.705,13.655,13.705,3678,2021-08-02 16:00:00,LIND
13.69,13.69,13.66,13.66,1700,2021-08-02 16:05:00,LIND
13.67,13.7,13.67,13.7,1800,2021-08-02 16:10:00,LIND
13.719,13.72,13.719,13.72,268,2021-08-02 16:15:00,LIND
13.71,13.73,13.68,13.73,2500,2021-08-02 16:20:00,LIND
13.71,13.78,13.7,13.75,15864,2021-08-02 16:25:00,LIND
13.75,13.75,13.7,13.725,1860,2021-08-02 16:30:00,LIND
13.725,13.725,13.69,13.69,1287,2021-08-02 16:35:00,LIND
13.695,13.75,13.68,13.74,4818,2021-08-02 16:40:00,LIND
13.71,13.71,13.68,13.705,673,2021-08-02 16:45:00,LIND
13.68,13.71,13.66,13.71,1353,2021-08-02 16:50:00,LIND
13.7,13.7,13.66,13.69,4326,2021-08-02 16:55:00,LIND
13.715,13.715,13.69,13.695,889,2021-08-02 17:00:00,LIND
13.68,13.71,13.66,13.69,2975,2021-08-02 17:05:00,LIND
13.69,13.7,13.68,13.68,1500,2021-08-02 17:10:00,LIND
13.66,13.67,13.65,13.65,926,2021-08-02 17:15:00,LIND
13.69,13.69,13.67,13.67,885,2021-08-02 17:20:00,LIND
13.68,13.7,13.62,13.64,713,2021-08-02 17:25:00,LIND
13.66,13.72,13.65,13.72,3061,2021-08-02 17:30:00,LIND
13.72,13.72,13.72,13.72,300,2021-08-02 17:35:00,LIND
13.72,13.75,13.69,13.715,2323,2021-08-02 17:40:00,LIND
13.7,13.74,13.7,13.74,3276,2021-08-02 17:45:00,LIND
13.71,13.73,13.7,13.72,3182,2021-08-02 17:50:00,LIND
13.74,13.79,13.74,13.79,1262,2021-08-02 17:55:00,LIND
13.77,13.77,13.73,13.74,1223,2021-08-02 18:00:00,LIND
13.76,13.82,13.74,13.82,4871,2021-08-02 18:05:00,LIND
13.84,13.84,13.8,13.84,1809,2021-08-02 18:10:00,LIND
13.835,13.85,13.8,13.8,850,2021-08-02 18:15:00,LIND
13.8,13.85,13.79,13.85,3906,2021-08-02 18:20:00,LIND
13.83,13.9,13.83,13.84,3712,2021-08-02 18:25:00,LIND
13.83,13.83,13.83,13.83,997,2021-08-02 18:30:00,LIND
13.83,13.83,13.81,13.81,1400,2021-08-02 18:35:00,LIND
13.79,13.79,13.77,13.77,421,2021-08-02 18:40:00,LIND
13.77,13.78,13.72,13.77,1273,2021-08-02 18:45:00,LIND
13.75,13.78,13.75,13.77,942,2021-08-02 18:50:00,LIND
13.76,13.77,13.74,13.77,2292,2021-08-02 18:55:00,LIND
13.76,13.76,13.76,13.76,100,2021-08-02 19:00:00,LIND
13.77,13.78,13.74,13.74,1748,2021-08-02 19:05:00,LIND
13.72,13.725,13.7,13.71,1204,2021-08-02 19:10:00,LIND
13.7,13.73,13.69,13.73,2258,2021-08-02 19:15:00,LIND
13.72,13.73,13.7,13.71,1993,2021-08-02 19:20:00,LIND
13.69,13.69,13.63,13.63,2043,2021-08-02 19:25:00,LIND
13.65,13.67,13.58,13.58,4413,2021-08-02 19:30:00,LIND
13.6,13.6,13.58,13.58,1825,2021-08-02 19:35:00,LIND
13.59,13.61,13.57,13.58,3980,2021-08-02 19:40:00,LIND
13.57,13.57,13.52,13.54,4376,2021-08-02 19:45:00,LIND
13.52,13.54,13.46,13.505,8936,2021-08-02 19:50:00,LIND
13.49,13.56,13.49,13.55,11209,2021-08-02 19:55:00,LIND
13.56,13.56,13.56,13.56,18716,2021-08-02 20:00:00,LIND
12.89,12.89,12.89,12.89,100,2021-08-03 11:20:00,LIND
13.56,13.86,13.56,13.665,2621,2021-08-03 13:30:00,LIND
13.665,13.665,13.66,13.66,200,2021-08-03 13:35:00,LIND
13.24,13.5,12.6,12.6,6874,2021-08-03 13:40:00,LIND
12.71,12.96,12.64,12.8,24267,2021-08-03 13:45:00,LIND
12.78,12.83,12.6211,12.74,4480,2021-08-03 13:50:00,LIND
12.77,13.3,12.77,13.0,15408,2021-08-03 13:55:00,LIND
13.01,13.2,12.87,12.97,2308,2021-08-03 14:00:00,LIND
12.92,12.98,12.87,12.92,2300,2021-08-03 14:05:00,LIND
12.88,12.89,12.83,12.85,1676,2021-08-03 14:10:00,LIND
12.84,12.873,12.78,12.8,16629,2021-08-03 14:15:00,LIND
12.8,12.855,12.8,12.83,3121,2021-08-03 14:20:00,LIND
12.81,12.835,12.78,12.82,2596,2021-08-03 14:25:00,LIND
12.81,12.82,12.74,12.745,3001,2021-08-03 14:30:00,LIND
12.77,12.89,12.77,12.89,3253,2021-08-03 14:35:00,LIND
12.95,13.08,12.821,12.87,9500,2021-08-03 14:40:00,LIND
12.89,13.04,12.89,13.025,1100,2021-08-03 14:45:00,LIND
13.04,13.04,12.895,12.9,10516,2021-08-03 14:50:00,LIND
12.88,12.9,12.8,12.82,2961,2021-08-03 14:55:00,LIND
12.83,12.87,12.82,12.87,868,2021-08-03 15:00:00,LIND
12.88,12.9,12.88,12.9,405,2021-08-03 15:05:00,LIND
12.93,12.95,12.9,12.95,800,2021-08-03 15:10:00,LIND
12.96,13.06,12.94,13.06,11903,2021-08-03 15:15:00,LIND
13.06,13.07,12.98,13.07,1300,2021-08-03 15:20:00,LIND
13.11,13.13,13.05,13.09,1000,2021-08-03 15:25:00,LIND
13.125,13.16,13.095,13.15,800,2021-08-03 15:30:00,LIND
13.16,13.26,13.14,13.26,800,2021-08-03 15:35:00,LIND
13.17,13.3,13.15,13.24,2700,2021-08-03 15:40:00,LIND
13.23,13.28,13.185,13.23,1149,2021-08-03 15:45:00,LIND
13.2499,13.25,13.215,13.215,1343,2021-08-03 15:50:00,LIND
13.18,13.18,13.18,13.18,300,2021-08-03 15:55:00,LIND
13.21,13.22,13.171,13.21,600,2021-08-03 16:00:00,LIND
13.205,13.27,13.2,13.27,695,2021-08-03 16:05:00,LIND
13.2,13.225,13.19,13.19,500,2021-08-03 16:10:00,LIND
13.23,13.24,13.21,13.21,1054,2021-08-03 16:15:00,LIND
13.21,13.21,13.2,13.2,500,2021-08-03 16:20:00,LIND
13.1229,13.135,13.12,13.135,900,2021-08-03 16:25:00,LIND
13.1,13.14,13.1,13.13,300,2021-08-03 16:30:00,LIND
13.1,13.115,13.08,13.09,7163,2021-08-03 16:35:00,LIND
13.08,13.095,13.08,13.095,300,2021-08-03 16:40:00,LIND
13.09,13.09,13.09,13.09,600,2021-08-03 16:45:00,LIND
13.08,13.09,13.0772,13.09,1758,2021-08-03 16:50:00,LIND
13.1,13.12,13.09,13.09,1600,2021-08-03 16:55:00,LIND
13.095,13.095,13.045,13.045,950,2021-08-03 17:00:00,LIND
13.01,13.01,13.0,13.01,906,2021-08-03 17:05:00,LIND
12.995,12.9957,12.97,12.97,527,2021-08-03 17:10:00,LIND
12.96,12.98,12.94,12.95,1800,2021-08-03 17:15:00,LIND
12.94,12.94,12.86,12.92,7094,2021-08-03 17:20:00,LIND
12.89,12.9,12.89,12.89,2645,2021-08-03 17:25:00,LIND
12.86,12.87,12.85,12.86,1500,2021-08-03 17:30:00,LIND
12.86,12.86,12.84,12.84,1200,2021-08-03 17:35:00,LIND
12.86,12.9,12.86,12.9,901,2021-08-03 17:40:00,LIND
12.88,12.89,12.88,12.89,1000,2021-08-03 17:45:00,LIND
12.8999,12.945,12.89,12.94,10711,2021-08-03 17:50:00,LIND
12.945,12.99,12.945,12.99,1527,2021-08-03 17:55:00,LIND
13.0,13.03,12.99,13.03,2000,2021-08-03 18:00:00,LIND
13.04,13.12,13.04,13.05,1800,2021-08-03 18:05:00,LIND
13.05,13.05,13.05,13.05,375,2021-08-03 18:10:00,LIND
13.045,13.045,13.03,13.045,500,2021-08-03 18:15:00,LIND
13.035,13.08,13.035,13.06,500,2021-08-03 18:20:00,LIND
13.05,13.07,13.05,13.07,1207,2021-08-03 18:25:00,LIND
13.07,13.17,13.07,13.14,2200,2021-08-03 18:30:00,LIND
13.15,13.15,13.15,13.15,300,2021-08-03 18:35:00,LIND
13.15,13.15,13.14,13.15,1633,2021-08-03 18:40:00,LIND
13.14,13.14,13.07,13.07,802,2021-08-03 18:45:00,LIND
13.06,13.06,13.035,13.035,1653,2021-08-03 18:50:00,LIND
13.035,13.035,13.01,13.01,300,2021-08-03 18:55:00,LIND
13.01,13.01,12.98,13.01,2095,2021-08-03 19:00:00,LIND
13.02,13.0418,13.02,13.0418,800,2021-08-03 19:05:00,LIND
13.04,13.055,13.02,13.055,3026,2021-08-03 19:10:00,LIND
13.055,13.08,13.05,13.05,1100,2021-08-03 19:15:00,LIND
13.03,13.03,13.01,13.02,500,2021-08-03 19:20:00,LIND
13.03,13.03,12.97,12.99,7919,2021-08-03 19:25:00,LIND
12.99,13.02,12.97,13.02,6588,2021-08-03 19:30:00,LIND
13.01,13.03,13.01,13.01,2200,2021-08-03 19:35:00,LIND
13.01,13.03,13.01,13.03,3049,2021-08-03 19:40:00,LIND
13.02,13.14,13.02,13.1396,9446,2021-08-03 19:45:00,LIND
13.16,13.2572,13.16,13.235,8014,2021-08-03 19:50:00,LIND
13.25,13.25,13.21,13.21,23759,2021-08-03 19:55:00,LIND
13.22,13.22,13.22,13.22,26849,2021-08-03 20:00:00,LIND
14.5,14.5,13.7,13.7,200,2021-08-03 21:10:00,LIND
12.96,12.96,12.96,12.96,348,2021-08-04 13:25:00,LIND
13.01,13.02,12.95,12.96,6844,2021-08-04 13:30:00,LIND
13.05,13.155,13.05,13.05,2033,2021-08-04 13:35:00,LIND
13.04,13.04,13.02,13.03,900,2021-08-04 13:40:00,LIND
12.9,12.94,12.9,12.93,1450,2021-08-04 13:45:00,LIND
12.95,12.95,12.87,12.87,300,2021-08-04 13:50:00,LIND
12.815,12.82,12.81,12.81,600,2021-08-04 13:55:00,LIND
12.8,12.8,12.71,12.71,1856,2021-08-04 14:00:00,LIND
12.71,12.76,12.7,12.73,1636,2021-08-04 14:05:00,LIND
12.8,12.89,12.7571,12.87,1871,2021-08-04 14:10:00,LIND
12.8876,12.8876,12.85,12.865,409,2021-08-04 14:15:00,LIND
12.83,12.86,12.82,12.86,1612,2021-08-04 14:20:00,LIND
12.83,12.92,12.83,12.92,600,2021-08-04 14:25:00,LIND
12.89,12.89,12.72,12.76,3778,2021-08-04 14:30:00,LIND
12.76,12.7906,12.73,12.73,600,2021-08-04 14:35:00,LIND
12.8,12.81,12.77,12.77,900,2021-08-04 14:40:00,LIND
12.78,12.89,12.78,12.89,1200,2021-08-04 14:45:00,LIND
12.865,12.92,12.865,12.885,800,2021-08-04 14:50:00,LIND
12.915,12.93,12.89,12.89,1068,2021-08-04 14:55:00,LIND
12.92,12.99,12.92,12.99,600,2021-08-04 15:00:00,LIND
13.02,13.06,13.02,13.06,1023,2021-08-04 15:05:00,LIND
13.07,13.145,13.07,13.13,4200,2021-08-04 15:10:00,LIND
13.14,13.19,13.13,13.19,1199,2021-08-04 15:15:00,LIND
13.1724,13.2,13.16,13.2,1850,2021-08-04 15:20:00,LIND
13.21,13.21,13.16,13.18,1000,2021-08-04 15:25:00,LIND
13.2032,13.2032,13.09,13.09,1400,2021-08-04 15:30:00,LIND
13.095,13.14,13.03,13.14,2697,2021-08-04 15:35:00,LIND
13.06,13.09,13.06,13.09,300,2021-08-04 15:40:00,LIND
13.08,13.09,13.05,13.06,1300,2021-08-04 15:45:00,LIND
13.08,13.08,13.08,13.08,350,2021-08-04 15:50:00,LIND
13.07,13.095,13.02,13.02,1082,2021-08-04 15:55:00,LIND
13.0,13.04,13.0,13.04,1930,2021-08-04 16:00:00,LIND
13.01,13.02,12.96,12.97,1178,2021-08-04 16:05:00,LIND
12.995,13.04,12.995,13.03,2899,2021-08-04 16:10:00,LIND
13.02,13.05,12.99,13.0,600,2021-08-04 16:15:00,LIND
12.99,13.03,12.99,13.03,699,2021-08-04 16:20:00,LIND
12.99,13.01,12.94,12.95,3600,2021-08-04 16:25:00,LIND
12.92,12.94,12.91,12.94,700,2021-08-04 16:30:00,LIND
12.95,12.96,12.92,12.96,3579,2021-08-04 16:35:00,LIND
12.96,13.0,12.9492,13.0,2762,2021-08-04 16:40:00,LIND
12.985,12.985,12.985,12.985,100,2021-08-04 16:45:00,LIND
