open,high,low,close,volume,datetime,symbol
92.91,93.33,92.84,92.84,1512,2021-08-02 13:30:00,LOPE
93.05,93.05,93.05,93.05,100,2021-08-02 13:35:00,LOPE
92.905,93.21,92.77,93.21,1621,2021-08-02 13:40:00,LOPE
93.05,93.05,92.89,92.89,1511,2021-08-02 13:45:00,LOPE
92.795,92.97,92.52,92.52,500,2021-08-02 13:50:00,LOPE
92.62,93.15,92.58,92.95,3637,2021-08-02 13:55:00,LOPE
92.75,92.75,92.75,92.75,200,2021-08-02 14:00:00,LOPE
92.342,92.46,92.2696,92.46,800,2021-08-02 14:10:00,LOPE
92.47,92.47,92.47,92.47,526,2021-08-02 14:15:00,LOPE
92.47,92.47,92.47,92.47,100,2021-08-02 14:25:00,LOPE
92.47,92.47,92.35,92.38,2000,2021-08-02 14:35:00,LOPE
92.35,92.395,92.35,92.395,700,2021-08-02 14:40:00,LOPE
92.36,92.36,92.36,92.36,100,2021-08-02 14:45:00,LOPE
92.375,92.4,92.35,92.375,3761,2021-08-02 14:50:00,LOPE
92.4,92.44,92.39,92.39,1085,2021-08-02 14:55:00,LOPE
92.39,92.43,92.38,92.4,900,2021-08-02 15:00:00,LOPE
92.47,92.53,92.455,92.455,1300,2021-08-02 15:05:00,LOPE
92.54,92.57,92.51,92.51,400,2021-08-02 15:10:00,LOPE
92.63,92.68,92.6,92.68,746,2021-08-02 15:15:00,LOPE
92.63,92.63,92.59,92.59,400,2021-08-02 15:20:00,LOPE
92.58,92.61,92.5307,92.61,1805,2021-08-02 15:25:00,LOPE
92.63,92.63,92.63,92.63,100,2021-08-02 15:30:00,LOPE
92.57,92.57,92.57,92.57,200,2021-08-02 15:35:00,LOPE
92.61,92.64,92.4,92.4,1793,2021-08-02 15:40:00,LOPE
92.57,92.57,92.55,92.55,404,2021-08-02 15:45:00,LOPE
92.48,92.48,92.36,92.3602,2169,2021-08-02 15:50:00,LOPE
92.42,92.42,92.42,92.42,200,2021-08-02 15:55:00,LOPE
92.415,92.64,92.415,92.64,1500,2021-08-02 16:00:00,LOPE
