open,high,low,close,volume,datetime,symbol
109.25,109.25,108.84,109.025,36711,2021-08-02 13:30:00,VCLT
109.005,109.0799,108.9101,108.97,23542,2021-08-02 13:35:00,VCLT
108.96,109.26,108.9301,109.2199,12612,2021-08-02 13:40:00,VCLT
109.08,109.2,108.9401,108.995,38400,2021-08-02 13:45:00,VCLT
108.99,109.0699,108.9,108.9819,13707,2021-08-02 13:50:00,VCLT
108.9599,108.9599,108.9,108.9153,4321,2021-08-02 13:55:00,VCLT
108.93,109.0,108.865,109.0,6594,2021-08-02 14:00:00,VCLT
109.02,109.0999,109.0,109.05,34698,2021-08-02 14:05:00,VCLT
109.13,109.13,109.13,109.13,619,2021-08-02 14:10:00,VCLT
109.16,109.3262,109.1401,109.29,15361,2021-08-02 14:15:00,VCLT
109.29,109.29,109.21,109.21,21633,2021-08-02 14:20:00,VCLT
109.215,109.29,109.16,109.29,2823,2021-08-02 14:25:00,VCLT
109.24,109.25,109.2,109.23,11242,2021-08-02 14:30:00,VCLT
109.102,109.21,109.102,109.21,774,2021-08-02 14:35:00,VCLT
109.17,109.1958,109.15,109.15,374,2021-08-02 14:40:00,VCLT
109.17,109.17,109.1586,109.1586,1318,2021-08-02 14:45:00,VCLT
109.175,109.23,109.175,109.23,800,2021-08-02 14:50:00,VCLT
109.23,109.3,109.23,109.29,3400,2021-08-02 14:55:00,VCLT
109.3,109.3,109.23,109.23,14109,2021-08-02 15:00:00,VCLT
109.28,109.28,109.28,109.28,200,2021-08-02 15:05:00,VCLT
109.26,109.344,109.1901,109.29,11100,2021-08-02 15:10:00,VCLT
109.33,109.36,109.33,109.36,900,2021-08-02 15:15:00,VCLT
109.36,109.36,109.3,109.3245,716,2021-08-02 15:20:00,VCLT
109.36,109.42,109.35,109.42,1644,2021-08-02 15:25:00,VCLT
109.42,109.45,109.3978,109.42,663,2021-08-02 15:30:00,VCLT
109.49,109.5,109.49,109.5,402,2021-08-02 15:35:00,VCLT
109.53,109.53,109.49,109.53,2251,2021-08-02 15:40:00,VCLT
109.5203,109.55,109.5203,109.55,313,2021-08-02 15:45:00,VCLT
109.58,109.6,109.56,109.6,670,2021-08-02 15:50:00,VCLT
109.62,109.63,109.56,109.621,1339,2021-08-02 15:55:00,VCLT
109.63,109.6599,109.6,109.659,12380,2021-08-02 16:00:00,VCLT
109.61,109.625,109.54,109.54,3396,2021-08-02 16:05:00,VCLT
109.5602,109.58,109.535,109.58,855,2021-08-02 16:10:00,VCLT
109.5244,109.5244,109.51,109.51,759,2021-08-02 16:15:00,VCLT
109.48,109.53,109.48,109.53,756,2021-08-02 16:20:00,VCLT
109.545,109.58,109.5,109.56,13221,2021-08-02 16:25:00,VCLT
109.568,109.568,109.52,109.56,7888,2021-08-02 16:30:00,VCLT
109.52,109.56,109.52,109.55,1213,2021-08-02 16:35:00,VCLT
109.53,109.53,109.51,109.521,7712,2021-08-02 16:45:00,VCLT
109.546,109.546,109.546,109.546,232,2021-08-02 16:50:00,VCLT
109.53,109.53,109.4731,109.4731,662,2021-08-02 16:55:00,VCLT
109.41,109.5092,109.41,109.5092,972,2021-08-02 17:00:00,VCLT
109.49,109.5,109.4201,109.44,112415,2021-08-02 17:05:00,VCLT
109.3801,109.435,109.3801,109.43,31122,2021-08-02 17:10:00,VCLT
109.44,109.45,109.4,109.45,300,2021-08-02 17:15:00,VCLT
109.42,109.4577,109.42,109.4577,733,2021-08-02 17:20:00,VCLT
109.4593,109.4593,109.4,109.4,1708,2021-08-02 17:25:00,VCLT
109.4599,109.4599,109.37,109.41,1339,2021-08-02 17:30:00,VCLT
109.399,109.3999,109.35,109.355,11000,2021-08-02 17:35:00,VCLT
109.32,109.3504,109.2305,109.2695,4962,2021-08-02 17:45:00,VCLT
109.31,109.31,109.31,109.31,100,2021-08-02 17:55:00,VCLT
109.25,109.25,109.23,109.23,600,2021-08-02 18:05:00,VCLT
109.22,109.22,109.1401,109.1675,11200,2021-08-02 18:10:00,VCLT
109.205,109.25,109.205,109.25,300,2021-08-02 18:15:00,VCLT
109.28,109.28,109.21,109.21,575,2021-08-02 18:20:00,VCLT
109.19,109.26,109.1829,109.2599,25235,2021-08-02 18:25:00,VCLT
109.2482,109.2573,109.2482,109.2573,417,2021-08-02 18:30:00,VCLT
109.29,109.325,109.225,109.2642,22300,2021-08-02 18:35:00,VCLT
109.26,109.279,109.25,109.25,1450,2021-08-02 18:40:00,VCLT
109.24,109.25,109.24,109.25,900,2021-08-02 18:45:00,VCLT
109.255,109.255,109.215,109.23,1237,2021-08-02 18:50:00,VCLT
109.25,109.26,109.21,109.231,13182,2021-08-02 18:55:00,VCLT
109.25,109.25,109.21,109.21,800,2021-08-02 19:00:00,VCLT
109.17,109.18,109.15,109.18,803,2021-08-02 19:05:00,VCLT
109.16,109.18,109.1101,109.15,13200,2021-08-02 19:10:00,VCLT
109.13,109.15,109.0263,109.15,19691,2021-08-02 19:15:00,VCLT
109.12,109.1299,109.0655,109.096,5766,2021-08-02 19:20:00,VCLT
109.06,109.0923,109.05,109.0923,849,2021-08-02 19:25:00,VCLT
109.06,109.0946,109.06,109.0946,1850,2021-08-02 19:30:00,VCLT
