open,high,low,close,volume,datetime,symbol
4.2,4.2,4.14,4.14,699,2021-08-02 08:00:00,XBIO
4.01,4.19,4.0,4.13,5540,2021-08-02 08:05:00,XBIO
4.15,4.15,4.13,4.13,400,2021-08-02 08:10:00,XBIO
4.13,4.13,4.11,4.11,1585,2021-08-02 08:15:00,XBIO
4.1,4.1,4.1,4.1,100,2021-08-02 08:20:00,XBIO
4.1,4.1,4.08,4.08,2321,2021-08-02 08:25:00,XBIO
4.08,4.11,4.08,4.11,1036,2021-08-02 08:30:00,XBIO
4.13,4.13,4.08,4.08,300,2021-08-02 08:35:00,XBIO
4.1,4.1,4.07,4.07,700,2021-08-02 08:45:00,XBIO
4.05,4.05,4.02,4.02,1461,2021-08-02 08:50:00,XBIO
4.02,4.02,4.01,4.01,1370,2021-08-02 08:55:00,XBIO
4.0,4.0,3.9,3.98,2542,2021-08-02 09:05:00,XBIO
3.98,3.98,3.92,3.93,2632,2021-08-02 09:10:00,XBIO
3.95,3.99,3.95,3.99,1608,2021-08-02 09:15:00,XBIO
3.99,3.99,3.96,3.96,400,2021-08-02 09:20:00,XBIO
3.94,3.94,3.94,3.94,919,2021-08-02 09:25:00,XBIO
3.94,3.94,3.94,3.94,3098,2021-08-02 09:30:00,XBIO
3.95,3.96,3.94,3.96,900,2021-08-02 09:35:00,XBIO
3.94,3.94,3.94,3.94,729,2021-08-02 09:40:00,XBIO
3.99,4.01,3.99,4.0,5510,2021-08-02 09:45:00,XBIO
4.0,4.0,4.0,4.0,300,2021-08-02 10:05:00,XBIO
3.99,4.0,3.99,4.0,350,2021-08-02 10:10:00,XBIO
3.99,3.99,3.99,3.99,100,2021-08-02 10:15:00,XBIO
3.97,3.97,3.97,3.97,116,2021-08-02 10:20:00,XBIO
3.97,3.97,3.97,3.97,421,2021-08-02 10:40:00,XBIO
3.97,3.97,3.97,3.97,152,2021-08-02 10:50:00,XBIO
3.97,3.99,3.97,3.97,4094,2021-08-02 11:00:00,XBIO
3.98,3.98,3.97,3.97,400,2021-08-02 11:05:00,XBIO
3.98,3.98,3.97,3.97,1299,2021-08-02 11:10:00,XBIO
3.98,3.98,3.97,3.97,4555,2021-08-02 11:15:00,XBIO
3.96,3.96,3.96,3.96,10000,2021-08-02 11:20:00,XBIO
3.96,4.0,3.96,3.98,1523,2021-08-02 11:30:00,XBIO
4.0,4.05,4.0,4.05,924,2021-08-02 11:35:00,XBIO
4.05,4.07,4.05,4.07,1100,2021-08-02 11:40:00,XBIO
4.07,4.07,4.07,4.07,200,2021-08-02 11:45:00,XBIO
4.08,4.08,4.06,4.06,3900,2021-08-02 11:55:00,XBIO
4.07,4.07,4.03,4.07,4397,2021-08-02 12:00:00,XBIO
4.03,4.03,4.02,4.02,400,2021-08-02 12:05:00,XBIO
4.0,4.02,3.98,3.99,5822,2021-08-02 12:10:00,XBIO
3.99,3.99,3.99,3.99,801,2021-08-02 12:15:00,XBIO
3.99,4.0,3.99,4.0,540,2021-08-02 12:20:00,XBIO
4.0,4.09,4.0,4.09,1456,2021-08-02 12:25:00,XBIO
4.08,4.08,4.08,4.08,1930,2021-08-02 12:30:00,XBIO
4.05,4.05,4.0,4.0,1287,2021-08-02 12:35:00,XBIO
4.01,4.01,4.01,4.01,225,2021-08-02 12:40:00,XBIO
4.02,4.04,4.0,4.0,1762,2021-08-02 12:45:00,XBIO
3.99,4.06,3.99,4.0,2517,2021-08-02 12:50:00,XBIO
3.99,4.0,3.9,3.9,9403,2021-08-02 12:55:00,XBIO
3.93,3.98,3.91,3.93,3834,2021-08-02 13:00:00,XBIO
4.01,4.05,3.94,3.97,4932,2021-08-02 13:05:00,XBIO
3.96,4.04,3.96,4.03,1807,2021-08-02 13:10:00,XBIO
4.03,4.03,3.97,3.98,1839,2021-08-02 13:15:00,XBIO
3.99,4.05,3.99,4.04,1086,2021-08-02 13:20:00,XBIO
4.05,4.05,3.99,3.99,4173,2021-08-02 13:25:00,XBIO
4.0,4.44,4.0,4.2501,570595,2021-08-02 13:30:00,XBIO
4.2501,4.44,4.2101,4.37,394477,2021-08-02 13:35:00,XBIO
4.4061,4.5,4.3,4.3344,460854,2021-08-02 13:40:00,XBIO
4.325,4.36,4.12,4.15,213612,2021-08-02 13:45:00,XBIO
4.18,4.24,4.13,4.205,104748,2021-08-02 13:50:00,XBIO
4.21,4.3,4.2,4.2646,77292,2021-08-02 13:55:00,XBIO
4.2601,4.3,4.15,4.15,50671,2021-08-02 14:00:00,XBIO
4.179,4.1844,4.03,4.13,145754,2021-08-02 14:05:00,XBIO
4.13,4.13,4.05,4.068,75593,2021-08-02 14:10:00,XBIO
4.05,4.16,4.05,4.14,82406,2021-08-02 14:15:00,XBIO
4.14,4.2,4.1068,4.17,101086,2021-08-02 14:20:00,XBIO
4.1763,4.2,4.1,4.1,103660,2021-08-02 14:25:00,XBIO
4.1084,4.11,3.95,4.0073,181663,2021-08-02 14:30:00,XBIO
3.995,4.0876,3.97,4.05,138036,2021-08-02 14:35:00,XBIO
4.06,4.0767,4.01,4.0275,28254,2021-08-02 14:40:00,XBIO
4.01,4.0172,3.95,3.97,74464,2021-08-02 14:45:00,XBIO
3.9952,4.1,3.98,4.07,124223,2021-08-02 14:50:00,XBIO
4.075,4.1,4.0499,4.09,27500,2021-08-02 14:55:00,XBIO
4.085,4.09,4.07,4.07,12814,2021-08-02 15:00:00,XBIO
4.0411,4.07,4.01,4.02,39169,2021-08-02 15:05:00,XBIO
4.03,4.09,4.02,4.0301,47133,2021-08-02 15:10:00,XBIO
4.07,4.16,4.06,4.1228,47410,2021-08-02 15:15:00,XBIO
4.1399,4.1556,4.09,4.1024,38452,2021-08-02 15:20:00,XBIO
4.11,4.12,4.05,4.09,14883,2021-08-02 15:25:00,XBIO
4.067,4.16,4.0601,4.1599,73709,2021-08-02 15:30:00,XBIO
4.1599,4.29,4.1501,4.2631,340702,2021-08-02 15:35:00,XBIO
4.2101,4.35,4.21,4.34,166721,2021-08-02 15:40:00,XBIO
4.34,4.47,4.3,4.4644,225210,2021-08-02 15:45:00,XBIO
4.4668,4.65,4.37,4.59,735249,2021-08-02 15:50:00,XBIO
4.57,4.62,4.4204,4.4508,392356,2021-08-02 15:55:00,XBIO
4.4515,4.8,4.45,4.7293,634401,2021-08-02 16:00:00,XBIO
4.7283,4.7695,4.65,4.6973,454433,2021-08-02 16:05:00,XBIO
4.6807,4.9,4.62,4.77,677977,2021-08-02 16:10:00,XBIO
4.77,4.84,4.7,4.8,336954,2021-08-02 16:15:00,XBIO
4.801,4.94,4.75,4.86,540744,2021-08-02 16:20:00,XBIO
4.866,5.55,4.8601,5.3865,2363927,2021-08-02 16:25:00,XBIO
5.35,5.68,5.25,5.309,2017158,2021-08-02 16:30:00,XBIO
5.31,5.41,5.09,5.1299,1057383,2021-08-02 16:35:00,XBIO
5.11,5.22,5.06,5.115,625589,2021-08-02 16:40:00,XBIO
5.1214,5.15,4.95,4.98,727828,2021-08-02 16:45:00,XBIO
4.9936,5.2,4.91,5.1557,928730,2021-08-02 16:50:00,XBIO
5.184,5.28,5.05,5.05,889683,2021-08-02 16:55:00,XBIO
5.0763,5.1394,4.95,5.0066,411317,2021-08-02 17:00:00,XBIO
5.0,5.1,4.9,5.0521,424037,2021-08-02 17:05:00,XBIO
5.0799,5.08,4.96,4.9905,330010,2021-08-02 17:10:00,XBIO
4.9801,5.13,4.98,5.11,489565,2021-08-02 17:15:00,XBIO
5.1288,5.14,4.94,4.95,588803,2021-08-02 17:20:00,XBIO
4.95,5.0,4.78,4.7995,398319,2021-08-02 17:25:00,XBIO
4.8,4.92,4.79,4.91,215986,2021-08-02 17:30:00,XBIO
4.9179,4.96,4.82,4.845,219231,2021-08-02 17:35:00,XBIO
4.845,4.8999,4.7,4.735,255267,2021-08-02 17:40:00,XBIO
4.74,4.76,4.68,4.7292,137877,2021-08-02 17:45:00,XBIO
4.7299,4.75,4.7,4.7,70654,2021-08-02 17:50:00,XBIO
4.71,4.72,4.62,4.7199,168011,2021-08-02 17:55:00,XBIO
4.72,4.8,4.69,4.77,185258,2021-08-02 18:00:00,XBIO
4.77,4.93,4.77,4.9,317935,2021-08-02 18:05:00,XBIO
4.9001,4.91,4.78,4.83,111182,2021-08-02 18:10:00,XBIO
4.83,4.86,4.74,4.8499,112231,2021-08-02 18:15:00,XBIO
4.85,5.15,4.845,5.1399,734246,2021-08-02 18:20:00,XBIO
5.135,5.29,5.01,5.04,756990,2021-08-02 18:25:00,XBIO
5.04,5.0799,4.94,4.999,348074,2021-08-02 18:30:00,XBIO
4.9974,5.23,4.98,5.2083,428567,2021-08-02 18:35:00,XBIO
5.18,5.2,5.02,5.03,374941,2021-08-02 18:40:00,XBIO
5.0411,5.0999,4.84,4.85,233177,2021-08-02 18:45:00,XBIO
4.85,4.88,4.83,4.87,207288,2021-08-02 18:50:00,XBIO
4.84,4.98,4.82,4.9001,239771,2021-08-02 18:55:00,XBIO
4.9099,4.95,4.885,4.915,161971,2021-08-02 19:00:00,XBIO
4.926,4.9299,4.73,4.8,245738,2021-08-02 19:05:00,XBIO
4.8047,4.819,4.72,4.8,196808,2021-08-02 19:10:00,XBIO
4.79,4.79,4.65,4.659,167300,2021-08-02 19:15:00,XBIO
4.6508,4.7296,4.58,4.59,183630,2021-08-02 19:20:00,XBIO
4.6012,4.73,4.6,4.69,136338,2021-08-02 19:25:00,XBIO
4.685,4.69,4.58,4.6399,88025,2021-08-02 19:30:00,XBIO
4.64,4.7,4.62,4.66,75626,2021-08-02 19:35:00,XBIO
4.66,4.68,4.43,4.45,267452,2021-08-02 19:40:00,XBIO
4.4301,4.5199,4.43,4.4806,101066,2021-08-02 19:45:00,XBIO
4.5,4.52,4.4657,4.49,107162,2021-08-02 19:50:00,XBIO
4.49,4.5,4.43,4.43,215332,2021-08-02 19:55:00,XBIO
4.46,4.46,4.33,4.34,64173,2021-08-02 20:00:00,XBIO
4.35,4.35,4.25,4.32,48932,2021-08-02 20:05:00,XBIO
4.32,4.32,4.22,4.24,44590,2021-08-02 20:10:00,XBIO
4.23,4.31,4.23,4.28,33077,2021-08-02 20:15:00,XBIO
4.28,4.3199,4.27,4.3,6899,2021-08-02 20:20:00,XBIO
4.29,4.31,4.28,4.3,7757,2021-08-02 20:25:00,XBIO
4.29,4.3,4.28,4.28,10334,2021-08-02 20:30:00,XBIO
4.3,4.3,4.3,4.3,850,2021-08-02 20:35:00,XBIO
4.3,4.31,4.29,4.31,3998,2021-08-02 20:40:00,XBIO
4.3,4.31,4.28,4.29,7732,2021-08-02 20:45:00,XBIO
4.3,4.31,4.29,4.29,12144,2021-08-02 20:50:00,XBIO
4.29,4.29,4.28,4.29,1775,2021-08-02 20:55:00,XBIO
4.28,4.28,4.27,4.28,2531,2021-08-02 21:00:00,XBIO
4.28,4.29,4.27,4.28,4103,2021-08-02 21:05:00,XBIO
4.28,4.28,4.27,4.27,12454,2021-08-02 21:10:00,XBIO
4.25,4.25,4.22,4.22,2425,2021-08-02 21:15:00,XBIO
4.24,4.2699,4.23,4.2699,23439,2021-08-02 21:20:00,XBIO
4.29,4.29,4.28,4.28,3912,2021-08-02 21:25:00,XBIO
4.26,4.3,4.23,4.3,3298,2021-08-02 21:30:00,XBIO
4.27,4.27,4.27,4.27,393,2021-08-02 21:35:00,XBIO
4.29,4.29,4.24,4.29,1331,2021-08-02 21:40:00,XBIO
4.29,4.29,4.29,4.29,1708,2021-08-02 21:45:00,XBIO
4.3,4.32,4.26,4.32,8995,2021-08-02 21:50:00,XBIO
4.33,4.35,4.33,4.34,2150,2021-08-02 21:55:00,XBIO
4.2701,4.2701,4.2701,4.2701,1500,2021-08-02 22:00:00,XBIO
4.34,4.34,4.34,4.34,756,2021-08-02 22:05:00,XBIO
4.27,4.27,4.27,4.27,1100,2021-08-02 22:10:00,XBIO
4.3,4.33,4.3,4.33,1190,2021-08-02 22:20:00,XBIO
4.32,4.3299,4.3,4.3299,3104,2021-08-02 22:25:00,XBIO
4.32,4.34,4.32,4.33,8091,2021-08-02 22:30:00,XBIO
4.32,4.32,4.31,4.31,838,2021-08-02 22:35:00,XBIO
4.4,4.4,4.4,4.4,500,2021-08-02 22:40:00,XBIO
4.35,4.4,4.35,4.4,920,2021-08-02 22:45:00,XBIO
4.4,4.4,4.35,4.35,1927,2021-08-02 22:50:00,XBIO
4.37,4.37,4.3,4.37,1400,2021-08-02 22:55:00,XBIO
4.3301,4.34,4.3301,4.34,3698,2021-08-02 23:00:00,XBIO
4.33,4.37,4.33,4.37,278,2021-08-02 23:05:00,XBIO
4.4,4.4,4.35,4.35,1351,2021-08-02 23:10:00,XBIO
4.35,4.4,4.35,4.4,589,2021-08-02 23:15:00,XBIO
4.36,4.36,4.36,4.36,1111,2021-08-02 23:25:00,XBIO
4.4,4.4,4.4,4.4,4000,2021-08-02 23:30:00,XBIO
4.4,4.4,4.4,4.4,100,2021-08-02 23:35:00,XBIO
4.4,4.4,4.38,4.38,625,2021-08-02 23:40:00,XBIO
4.37,4.38,4.36,4.36,3730,2021-08-02 23:45:00,XBIO
4.36,4.36,4.35,4.35,580,2021-08-02 23:50:00,XBIO
4.35,4.44,4.35,4.44,3429,2021-08-02 23:55:00,XBIO
4.65,4.65,4.41,4.46,2107,2021-08-03 08:00:00,XBIO
4.5,4.6,4.5,4.58,4378,2021-08-03 08:05:00,XBIO
4.59,4.59,4.53,4.57,723,2021-08-03 08:10:00,XBIO
4.54,4.54,4.49,4.5,2890,2021-08-03 08:15:00,XBIO
4.47,4.51,4.47,4.5,735,2021-08-03 08:20:00,XBIO
4.51,4.56,4.51,4.51,578,2021-08-03 08:30:00,XBIO
4.58,4.8,4.58,4.8,9974,2021-08-03 08:45:00,XBIO
4.74,4.75,4.6,4.61,5816,2021-08-03 08:50:00,XBIO
4.56,4.65,4.51,4.58,24191,2021-08-03 08:55:00,XBIO
4.63,4.64,4.63,4.64,900,2021-08-03 09:00:00,XBIO
4.64,4.64,4.64,4.64,100,2021-08-03 09:05:00,XBIO
4.6,4.6,4.58,4.58,326,2021-08-03 09:10:00,XBIO
4.57,4.58,4.57,4.58,550,2021-08-03 09:20:00,XBIO
4.58,4.6,4.58,4.6,327,2021-08-03 09:25:00,XBIO
4.6,4.6,4.6,4.6,496,2021-08-03 09:30:00,XBIO
4.61,4.61,4.6,4.6,2100,2021-08-03 09:35:00,XBIO
4.59,4.59,4.59,4.59,250,2021-08-03 09:40:00,XBIO
4.64,4.66,4.64,4.66,1925,2021-08-03 09:45:00,XBIO
4.65,4.65,4.65,4.65,201,2021-08-03 09:50:00,XBIO
4.64,4.65,4.64,4.64,1200,2021-08-03 09:55:00,XBIO
4.62,4.7,4.62,4.7,323,2021-08-03 10:05:00,XBIO
4.64,4.64,4.64,4.64,100,2021-08-03 10:20:00,XBIO
4.65,4.65,4.65,4.65,100,2021-08-03 10:25:00,XBIO
4.69,4.69,4.69,4.69,392,2021-08-03 10:30:00,XBIO
4.65,4.65,4.63,4.63,2493,2021-08-03 10:35:00,XBIO
4.64,4.64,4.64,4.64,293,2021-08-03 10:40:00,XBIO
4.68,4.68,4.68,4.68,200,2021-08-03 10:45:00,XBIO
4.64,4.64,4.64,4.64,152,2021-08-03 10:50:00,XBIO
4.67,4.67,4.64,4.64,331,2021-08-03 10:55:00,XBIO
4.69,4.69,4.51,4.51,18008,2021-08-03 11:00:00,XBIO
4.58,4.58,4.57,4.57,586,2021-08-03 11:05:00,XBIO
4.55,4.58,4.55,4.57,3943,2021-08-03 11:10:00,XBIO
4.53,4.53,4.53,4.53,1438,2021-08-03 11:15:00,XBIO
4.53,4.57,4.53,4.57,3201,2021-08-03 11:20:00,XBIO
4.55,4.55,4.53,4.54,1690,2021-08-03 11:25:00,XBIO
4.54,4.54,4.54,4.54,1000,2021-08-03 11:30:00,XBIO
4.541,4.541,4.54,4.54,394,2021-08-03 11:35:00,XBIO
4.6,4.61,4.55,4.55,6767,2021-08-03 11:40:00,XBIO
4.55,4.59,4.55,4.59,1388,2021-08-03 11:45:00,XBIO
4.57,4.57,4.55,4.55,350,2021-08-03 11:50:00,XBIO
4.57,4.58,4.57,4.58,800,2021-08-03 11:55:00,XBIO
4.56,4.56,4.5,4.5,31201,2021-08-03 12:00:00,XBIO
4.51,4.52,4.5,4.51,1345,2021-08-03 12:05:00,XBIO
4.51,4.52,4.51,4.52,671,2021-08-03 12:10:00,XBIO
4.51,4.52,4.51,4.51,1409,2021-08-03 12:15:00,XBIO
4.51,4.54,4.5,4.5,12765,2021-08-03 12:20:00,XBIO
4.56,4.56,4.46,4.46,9502,2021-08-03 12:25:00,XBIO
4.46,4.48,4.45,4.48,11954,2021-08-03 12:30:00,XBIO
4.4501,4.4501,4.44,4.44,5532,2021-08-03 12:35:00,XBIO
4.44,4.45,4.41,4.41,7551,2021-08-03 12:40:00,XBIO
4.4,4.4,4.3,4.39,11956,2021-08-03 12:45:00,XBIO
4.39,4.39,4.32,4.32,7110,2021-08-03 12:50:00,XBIO
4.39,4.39,4.355,4.39,830,2021-08-03 12:55:00,XBIO
4.35,4.38,4.35,4.36,10119,2021-08-03 13:00:00,XBIO
4.35,4.36,4.32,4.32,1508,2021-08-03 13:05:00,XBIO
4.37,4.37,4.32,4.37,1400,2021-08-03 13:10:00,XBIO
4.341,4.341,4.32,4.34,2198,2021-08-03 13:15:00,XBIO
4.29,4.36,4.29,4.33,8080,2021-08-03 13:20:00,XBIO
4.33,4.41,4.33,4.41,1226,2021-08-03 13:25:00,XBIO
4.47,4.49,4.18,4.1854,187111,2021-08-03 13:30:00,XBIO
4.18,4.29,4.1546,4.2707,124974,2021-08-03 13:35:00,XBIO
4.28,4.29,4.08,4.0935,146147,2021-08-03 13:40:00,XBIO
4.1129,4.2,4.05,4.17,127808,2021-08-03 13:45:00,XBIO
4.17,4.34,4.1448,4.3035,130130,2021-08-03 13:50:00,XBIO
4.3194,4.53,4.28,4.435,214805,2021-08-03 13:55:00,XBIO
4.43,4.46,4.26,4.2849,103094,2021-08-03 14:00:00,XBIO
4.28,4.4099,4.275,4.3961,53401,2021-08-03 14:05:00,XBIO
4.35,4.44,4.31,4.4285,98183,2021-08-03 14:10:00,XBIO
4.3801,4.43,4.25,4.29,46714,2021-08-03 14:15:00,XBIO
4.3,4.34,4.2,4.3157,72089,2021-08-03 14:20:00,XBIO
4.2801,4.32,4.23,4.23,30680,2021-08-03 14:25:00,XBIO
4.23,4.29,4.23,4.24,19480,2021-08-03 14:30:00,XBIO
