open,high,low,close,volume,datetime,symbol
10.191,10.2108,10.191,10.2108,300,2021-09-01 14:30:00,BTAQU
10.19,10.1901,10.17,10.17,520,2021-09-01 16:45:00,BTAQU
10.19,10.19,10.19,10.19,100,2021-09-02 16:00:00,BTAQU
10.27,10.27,10.27,10.27,200,2021-09-02 17:50:00,BTAQU
10.19,10.19,10.19,10.19,100,2021-09-03 13:40:00,BTAQU
10.27,10.27,10.27,10.27,200,2021-09-03 14:20:00,BTAQU
10.2,10.2,10.1917,10.1917,300,2021-09-08 15:30:00,BTAQU
10.1901,10.1901,10.1901,10.1901,300,2021-09-15 13:40:00,BTAQU
9.41,9.41,9.41,9.41,800,2021-09-27 13:30:00,BTAQU
10.23,10.23,10.23,10.23,216,2021-09-27 14:15:00,BTAQU
10.23,10.23,10.23,10.23,100,2021-09-30 13:55:00,BTAQU
10.25,10.25,10.25,10.25,1999,2021-09-30 18:55:00,BTAQU
10.22,10.22,10.2,10.2,800,2021-09-30 19:10:00,BTAQU
