open,high,low,close,volume,datetime,symbol
42.51,42.51,42.51,42.51,100,2021-09-01 15:45:00,RUSHB
42.55,42.55,42.55,42.55,100,2021-09-01 16:35:00,RUSHB
42.9,42.9096,42.9,42.9096,394,2021-09-01 16:40:00,RUSHB
42.675,42.675,42.675,42.675,100,2021-09-01 16:50:00,RUSHB
43.0,43.0,43.0,43.0,100,2021-09-01 17:10:00,RUSHB
43.1,43.1,43.1,43.1,200,2021-09-01 17:15:00,RUSHB
43.07,43.1,43.07,43.1,300,2021-09-01 17:20:00,RUSHB
43.3,43.3,43.3,43.3,100,2021-09-01 17:35:00,RUSHB
43.27,43.27,43.27,43.27,100,2021-09-01 18:45:00,RUSHB
43.43,43.5375,43.34,43.342,774,2021-09-01 19:25:00,RUSHB
43.44,43.44,42.8,42.8,300,2021-09-01 19:40:00,RUSHB
43.21,43.21,43.09,43.09,376,2021-09-01 19:50:00,RUSHB
43.03,43.58,42.515,43.58,500,2021-09-01 19:55:00,RUSHB
43.7,43.7,43.7,43.7,865,2021-09-01 20:00:00,RUSHB
43.53,43.53,43.53,43.53,230,2021-09-02 13:30:00,RUSHB
43.67,43.67,43.53,43.53,691,2021-09-02 17:25:00,RUSHB
43.0,43.2894,43.0,43.289,500,2021-09-02 17:35:00,RUSHB
43.3,43.3,43.3,43.3,100,2021-09-02 17:40:00,RUSHB
43.2,43.2,43.2,43.2,156,2021-09-02 17:50:00,RUSHB
43.55,43.55,43.54,43.54,200,2021-09-02 17:55:00,RUSHB
43.69,43.69,43.64,43.64,200,2021-09-02 19:00:00,RUSHB
43.46,43.46,43.46,43.46,100,2021-09-02 19:10:00,RUSHB
43.39,43.3995,43.39,43.3995,200,2021-09-02 19:40:00,RUSHB
43.64,43.64,43.64,43.64,779,2021-09-02 20:00:00,RUSHB
43.28,43.28,43.28,43.28,100,2021-09-03 15:05:00,RUSHB
43.24,43.24,43.23,43.23,244,2021-09-03 15:35:00,RUSHB
42.99,42.9995,42.99,42.9995,200,2021-09-03 16:15:00,RUSHB
43.0,43.16,43.0,43.16,200,2021-09-03 16:25:00,RUSHB
43.05,43.05,43.05,43.05,128,2021-09-03 16:35:00,RUSHB
43.4,43.4,43.4,43.4,100,2021-09-03 17:05:00,RUSHB
43.4,43.4,43.35,43.4,800,2021-09-03 18:05:00,RUSHB
43.4,43.4,42.85,42.85,400,2021-09-03 18:40:00,RUSHB
42.81,42.81,42.26,42.26,2041,2021-09-03 19:25:00,RUSHB
42.65,42.65,42.6006,42.6006,200,2021-09-03 19:45:00,RUSHB
42.39,42.39,42.39,42.39,100,2021-09-03 19:55:00,RUSHB
42.4,42.4,42.4,42.4,786,2021-09-03 20:00:00,RUSHB
42.5,42.5,42.5,42.5,218,2021-09-07 13:30:00,RUSHB
41.73,41.73,41.73,41.73,100,2021-09-07 14:35:00,RUSHB
41.88,41.88,41.88,41.88,100,2021-09-07 16:20:00,RUSHB
41.88,41.88,41.88,41.88,100,2021-09-07 17:40:00,RUSHB
42.2,42.2,42.2,42.2,150,2021-09-07 17:55:00,RUSHB
41.99,41.99,41.9,41.9,300,2021-09-07 18:05:00,RUSHB
42.315,42.315,42.23,42.23,600,2021-09-07 18:25:00,RUSHB
41.95,41.95,41.95,41.95,100,2021-09-07 18:40:00,RUSHB
42.02,42.02,42.02,42.02,100,2021-09-07 19:40:00,RUSHB
41.61,42.09,41.61,41.61,400,2021-09-07 19:55:00,RUSHB
41.62,41.62,41.62,41.62,693,2021-09-07 20:00:00,RUSHB
41.74,41.74,41.74,41.74,103,2021-09-08 13:30:00,RUSHB
41.34,41.34,41.29,41.29,200,2021-09-08 15:20:00,RUSHB
41.33,41.33,41.3006,41.3006,200,2021-09-08 15:30:00,RUSHB
