open,high,low,close,volume,datetime,symbol
114.9,115.0,114.9,115.0,1871,2021-10-01 12:10:00,CZR
115.32,115.32,115.32,115.32,100,2021-10-01 12:15:00,CZR
115.45,115.5,115.45,115.5,2000,2021-10-01 12:40:00,CZR
114.51,114.51,114.51,114.51,100,2021-10-01 13:25:00,CZR
114.96,116.73,114.52,116.58,53804,2021-10-01 13:30:00,CZR
116.6,116.615,114.68,114.76,57432,2021-10-01 13:35:00,CZR
114.75,116.22,114.64,115.72,60564,2021-10-01 13:40:00,CZR
115.69,116.01,115.21,115.65,33597,2021-10-01 13:45:00,CZR
115.63,116.845,115.5,116.18,38941,2021-10-01 13:50:00,CZR
116.01,116.21,115.685,115.8,32524,2021-10-01 13:55:00,CZR
115.89,117.3,115.67,116.75,32559,2021-10-01 14:00:00,CZR
116.695,117.155,116.57,117.06,15660,2021-10-01 14:05:00,CZR
117.07,117.31,116.92,117.1,19947,2021-10-01 14:10:00,CZR
117.05,117.19,115.8373,116.0,32319,2021-10-01 14:15:00,CZR
115.96,116.06,115.57,115.7501,23979,2021-10-01 14:20:00,CZR
115.75,116.21,115.63,116.136,15274,2021-10-01 14:25:00,CZR
116.09,116.348,115.9199,116.19,5980,2021-10-01 14:30:00,CZR
116.25,116.68,116.01,116.05,12914,2021-10-01 14:35:00,CZR
116.14,116.41,115.765,115.765,9349,2021-10-01 14:40:00,CZR
115.71,115.92,115.45,115.92,9749,2021-10-01 14:45:00,CZR
115.97,116.7,115.915,116.5,30822,2021-10-01 14:50:00,CZR
116.58,116.9,116.48,116.9,4338,2021-10-01 14:55:00,CZR
116.87,117.18,116.83,117.03,13559,2021-10-01 15:00:00,CZR
117.18,117.22,116.73,116.73,7663,2021-10-01 15:05:00,CZR
116.79,117.8,116.545,117.549,30519,2021-10-01 15:10:00,CZR
117.58,117.6314,117.41,117.47,10313,2021-10-01 15:15:00,CZR
117.55,117.97,117.44,117.87,17164,2021-10-01 15:20:00,CZR
117.875,117.92,117.3,117.3,23492,2021-10-01 15:25:00,CZR
117.37,117.585,117.295,117.41,11607,2021-10-01 15:30:00,CZR
117.5,117.87,117.49,117.87,8514,2021-10-01 15:35:00,CZR
117.86,118.09,117.78,118.0,13149,2021-10-01 15:40:00,CZR
118.05,118.12,117.34,117.345,20209,2021-10-01 15:45:00,CZR
117.39,117.48,117.23,117.41,17864,2021-10-01 15:50:00,CZR
117.41,117.55,117.09,117.45,6269,2021-10-01 15:55:00,CZR
117.515,117.615,117.18,117.54,10530,2021-10-01 16:00:00,CZR
117.61,117.61,117.22,117.365,50822,2021-10-01 16:05:00,CZR
117.35,117.44,117.06,117.44,54501,2021-10-01 16:10:00,CZR
117.49,117.61,117.3102,117.415,15911,2021-10-01 16:15:00,CZR
117.44,117.76,117.37,117.71,9130,2021-10-01 16:20:00,CZR
117.72,118.21,117.62,118.178,11457,2021-10-01 16:25:00,CZR
118.18,118.56,118.14,118.39,16087,2021-10-01 16:30:00,CZR
118.41,118.7,118.41,118.64,11760,2021-10-01 16:35:00,CZR
118.73,118.815,118.4904,118.515,10150,2021-10-01 16:40:00,CZR
118.54,118.93,118.495,118.86,21777,2021-10-01 16:45:00,CZR
118.8501,118.96,118.57,118.58,16725,2021-10-01 16:50:00,CZR
118.59,118.62,118.43,118.56,11988,2021-10-01 16:55:00,CZR
118.54,118.62,118.24,118.425,10577,2021-10-01 17:00:00,CZR
118.4227,118.7,118.36,118.675,22562,2021-10-01 17:05:00,CZR
118.74,118.8,118.39,118.39,39627,2021-10-01 17:10:00,CZR
118.4,118.43,117.9,118.17,17637,2021-10-01 17:15:00,CZR
118.21,118.46,118.205,118.26,10347,2021-10-01 17:20:00,CZR
118.27,118.4,118.06,118.26,19829,2021-10-01 17:25:00,CZR
118.3332,118.78,118.28,118.64,40850,2021-10-01 17:30:00,CZR
118.64,119.07,118.59,118.97,62165,2021-10-01 17:35:00,CZR
118.93,118.94,118.545,118.72,15670,2021-10-01 17:40:00,CZR
118.7685,119.05,118.7685,119.0177,14557,2021-10-01 17:45:00,CZR
119.025,119.025,118.82,118.895,6937,2021-10-01 17:50:00,CZR
118.84,118.93,118.53,118.72,9008,2021-10-01 17:55:00,CZR
118.85,118.87,118.6305,118.715,7921,2021-10-01 18:00:00,CZR
118.75,118.96,118.5651,118.665,13367,2021-10-01 18:05:00,CZR
118.7067,118.85,118.63,118.67,8803,2021-10-01 18:10:00,CZR
118.68,118.7543,118.51,118.54,9507,2021-10-01 18:15:00,CZR
118.545,118.64,118.4,118.605,12562,2021-10-01 18:20:00,CZR
118.605,118.768,118.58,118.61,14500,2021-10-01 18:25:00,CZR
118.61,118.87,118.59,118.795,16049,2021-10-01 18:30:00,CZR
118.79,118.79,118.4,118.5,23016,2021-10-01 18:35:00,CZR
118.5262,118.58,118.37,118.38,7359,2021-10-01 18:40:00,CZR
118.38,118.54,118.33,118.51,11346,2021-10-01 18:45:00,CZR
118.485,118.71,118.34,118.71,12065,2021-10-01 18:50:00,CZR
118.67,118.85,118.64,118.765,10079,2021-10-01 18:55:00,CZR
118.81,118.8983,118.54,118.805,22208,2021-10-01 19:00:00,CZR
118.815,118.97,118.75,118.78,29205,2021-10-01 19:05:00,CZR
118.82,118.98,118.77,118.77,28983,2021-10-01 19:10:00,CZR
118.86,119.2,118.825,119.17,18598,2021-10-01 19:15:00,CZR
119.17,119.4,119.17,119.355,21263,2021-10-01 19:20:00,CZR
119.355,119.43,119.16,119.19,18831,2021-10-01 19:25:00,CZR
119.22,119.5,119.06,119.215,25614,2021-10-01 19:30:00,CZR
