open,high,low,close,volume,datetime,symbol
11.98,11.98,11.98,11.98,100,2021-10-01 13:55:00,FFBW
11.98,11.98,11.98,11.98,5000,2021-10-01 15:00:00,FFBW
12.0,12.0,12.0,12.0,3586,2021-10-01 15:55:00,FFBW
12.0,12.0,12.0,12.0,244,2021-10-01 20:00:00,FFBW
11.64,11.66,11.64,11.64,400,2021-10-04 15:30:00,FFBW
12.1,12.1,12.1,12.1,200,2021-10-04 16:00:00,FFBW
11.99,11.99,11.98,11.98,300,2021-10-04 16:30:00,FFBW
11.99,12.0083,11.99,12.0083,492,2021-10-04 16:55:00,FFBW
11.9801,11.9801,11.9801,11.9801,100,2021-10-04 17:05:00,FFBW
11.98,11.98,11.98,11.98,895,2021-10-04 19:15:00,FFBW
12.05,12.1,12.0001,12.0001,400,2021-10-04 19:55:00,FFBW
12.0,12.0,12.0,12.0,375,2021-10-04 20:00:00,FFBW
12.04,12.05,12.03,12.05,4200,2021-10-05 18:50:00,FFBW
12.05,12.05,12.05,12.05,101,2021-10-05 18:55:00,FFBW
12.07,12.07,12.07,12.07,200,2021-10-05 19:10:00,FFBW
12.12,12.12,12.12,12.12,100,2021-10-05 19:50:00,FFBW
12.14,12.15,12.14,12.15,773,2021-10-05 19:55:00,FFBW
12.15,12.15,12.15,12.15,122,2021-10-05 20:00:00,FFBW
12.137,12.137,12.137,12.137,170,2021-10-06 16:55:00,FFBW
12.06,12.06,12.06,12.06,165,2021-10-06 17:15:00,FFBW
12.05,12.05,12.05,12.05,200,2021-10-07 13:45:00,FFBW
12.03,12.05,12.03,12.0484,665,2021-10-07 17:05:00,FFBW
12.08,12.08,12.08,12.08,100,2021-10-07 17:50:00,FFBW
12.0689,12.0689,12.0689,12.0689,100,2021-10-07 18:05:00,FFBW
12.075,12.075,12.075,12.075,100,2021-10-07 18:15:00,FFBW
12.06,12.06,12.05,12.05,600,2021-10-07 19:45:00,FFBW
12.05,12.05,12.05,12.05,122,2021-10-07 20:00:00,FFBW
12.05,12.05,12.05,12.05,905,2021-10-08 17:00:00,FFBW
12.05,12.05,12.05,12.05,3000,2021-10-11 16:10:00,FFBW
12.06,12.06,12.05,12.05,1802,2021-10-13 17:25:00,FFBW
12.05,12.05,12.05,12.05,1228,2021-10-15 15:05:00,FFBW
12.1,12.1,12.1,12.1,100,2021-10-18 13:55:00,FFBW
12.0776,12.1,12.0776,12.1,200,2021-10-18 15:25:00,FFBW
12.07,12.07,12.07,12.07,134,2021-10-19 16:45:00,FFBW
12.05,12.05,12.05,12.05,240,2021-10-20 13:50:00,FFBW
11.9697,11.9697,11.9697,11.9697,100,2021-10-25 14:55:00,FFBW
11.95,11.96,11.95,11.96,400,2021-10-25 15:25:00,FFBW
11.965,11.965,11.965,11.965,200,2021-10-25 19:50:00,FFBW
11.9,11.9,11.9,11.9,100,2021-10-27 19:30:00,FFBW
11.9,11.9,11.9,11.9,135,2021-10-27 20:00:00,FFBW
11.84,11.84,11.76,11.82,1175,2021-10-28 15:45:00,FFBW
11.82,11.8202,11.82,11.8202,796,2021-10-28 16:45:00,FFBW
11.845,11.845,11.845,11.845,100,2021-10-28 16:50:00,FFBW
11.87,11.9,11.87,11.9,708,2021-10-28 19:20:00,FFBW
11.925,11.95,11.925,11.95,2656,2021-10-28 19:30:00,FFBW
12.0059,12.0059,12.0,12.0,243,2021-10-29 15:05:00,FFBW
12.0,12.0,12.0,12.0,648,2021-10-29 15:25:00,FFBW
11.915,11.915,11.83,11.83,212,2021-10-29 15:35:00,FFBW
11.83,11.83,11.83,11.83,32038,2021-10-29 18:30:00,FFBW
11.82,11.82,11.82,11.82,100,2021-10-29 18:40:00,FFBW
12.0,12.0,12.0,12.0,3366,2021-10-29 19:40:00,FFBW
12.0,12.0,12.0,12.0,719,2021-10-29 19:45:00,FFBW
11.99,12.0,11.99,12.0,1972,2021-10-29 19:55:00,FFBW
12.0,12.0,12.0,12.0,336,2021-10-29 20:00:00,FFBW
