open,high,low,close,volume,datetime,symbol
9.92,9.92,9.92,9.92,100,2021-10-01 16:40:00,RMGCU
9.92,9.92,9.92,9.92,200,2021-10-01 17:30:00,RMGCU
9.92,9.92,9.92,9.92,200,2021-10-01 18:20:00,RMGCU
9.92,9.92,9.92,9.92,200,2021-10-01 19:25:00,RMGCU
9.92,9.92,9.92,9.92,200,2021-10-01 19:50:00,RMGCU
9.92,9.92,9.92,9.92,414,2021-10-01 19:55:00,RMGCU
9.885,9.885,9.885,9.885,100,2021-10-04 13:50:00,RMGCU
9.86,9.9,9.85,9.86,24857,2021-10-04 15:30:00,RMGCU
9.9,9.9,9.9,9.9,1100,2021-10-04 17:05:00,RMGCU
9.9,9.9,9.89,9.89,4950,2021-10-04 17:25:00,RMGCU
9.875,9.875,9.875,9.875,1000,2021-10-04 17:35:00,RMGCU
9.875,9.875,9.875,9.875,150,2021-10-04 18:20:00,RMGCU
9.92,9.92,9.92,9.92,100,2021-10-04 18:35:00,RMGCU
9.8802,9.8802,9.8802,9.8802,300,2021-10-05 18:20:00,RMGCU
9.8801,9.8801,9.8801,9.8801,100,2021-10-05 19:00:00,RMGCU
9.89,9.89,9.89,9.89,100,2021-10-05 19:05:00,RMGCU
9.85,9.85,9.85,9.85,130,2021-10-06 16:20:00,RMGCU
9.9,9.9,9.9,9.9,387,2021-10-06 19:05:00,RMGCU
9.9,9.9,9.9,9.9,100,2021-10-06 19:45:00,RMGCU
9.9,9.9,9.9,9.9,205,2021-10-06 19:55:00,RMGCU
9.86,9.86,9.86,9.86,180,2021-10-07 15:10:00,RMGCU
9.89,9.89,9.89,9.89,100,2021-10-07 16:15:00,RMGCU
9.86,9.86,9.86,9.86,1000,2021-10-07 16:35:00,RMGCU
9.89,9.9,9.89,9.9,1723,2021-10-07 17:15:00,RMGCU
9.89,9.9,9.89,9.9,5498,2021-10-07 17:40:00,RMGCU
9.92,9.92,9.9,9.9,600,2021-10-07 19:40:00,RMGCU
9.87,9.87,9.87,9.87,200,2021-10-08 15:05:00,RMGCU
9.84,9.93,9.84,9.93,23480,2021-10-11 13:30:00,RMGCU
9.93,9.93,9.93,9.93,34246,2021-10-11 13:50:00,RMGCU
9.93,9.93,9.93,9.93,426,2021-10-11 14:20:00,RMGCU
9.93,9.93,9.93,9.93,2280,2021-10-11 14:30:00,RMGCU
9.93,9.93,9.93,9.93,9727,2021-10-11 15:10:00,RMGCU
9.93,9.94,9.93,9.94,26060,2021-10-11 15:15:00,RMGCU
9.94,9.94,9.935,9.94,2033,2021-10-11 15:20:00,RMGCU
9.94,9.94,9.94,9.94,400,2021-10-11 15:25:00,RMGCU
9.94,9.94,9.94,9.94,800,2021-10-11 15:30:00,RMGCU
9.94,9.94,9.94,9.94,800,2021-10-11 15:35:00,RMGCU
9.94,9.94,9.935,9.94,1300,2021-10-11 15:40:00,RMGCU
9.94,9.94,9.94,9.94,800,2021-10-11 15:45:00,RMGCU
9.94,9.94,9.9314,9.94,1700,2021-10-11 15:50:00,RMGCU
9.94,9.94,9.94,9.94,800,2021-10-11 15:55:00,RMGCU
9.94,9.94,9.94,9.94,1000,2021-10-11 16:00:00,RMGCU
9.94,9.94,9.94,9.94,800,2021-10-11 16:05:00,RMGCU
9.94,9.94,9.94,9.94,800,2021-10-11 16:10:00,RMGCU
9.94,9.94,9.94,9.94,800,2021-10-11 16:15:00,RMGCU
9.94,9.94,9.93,9.94,1500,2021-10-11 16:20:00,RMGCU
9.94,9.94,9.94,9.94,360,2021-10-11 16:25:00,RMGCU
9.94,9.94,9.94,9.94,600,2021-10-11 16:30:00,RMGCU
9.935,9.94,9.935,9.94,50507,2021-10-11 16:35:00,RMGCU
9.94,9.94,9.935,9.935,1100,2021-10-11 16:40:00,RMGCU
9.94,9.94,9.935,9.935,2000,2021-10-11 16:45:00,RMGCU
9.94,9.94,9.935,9.935,2200,2021-10-11 16:50:00,RMGCU
9.94,9.94,9.935,9.94,1000,2021-10-11 16:55:00,RMGCU
9.94,9.94,9.935,9.94,2200,2021-10-11 17:00:00,RMGCU
9.94,9.94,9.935,9.94,2300,2021-10-11 17:05:00,RMGCU
9.94,9.94,9.935,9.935,1700,2021-10-11 17:10:00,RMGCU
9.94,9.94,9.935,9.935,1000,2021-10-11 17:15:00,RMGCU
