open,high,low,close,volume,datetime,symbol
23.25,23.25,23.25,23.25,500,2021-11-01 13:50:00,CDZIP
23.25,23.25,23.08,23.08,1490,2021-11-01 14:00:00,CDZIP
23.0801,23.0801,23.0801,23.0801,200,2021-11-01 14:05:00,CDZIP
23.09,23.09,23.08,23.08,400,2021-11-01 14:15:00,CDZIP
23.15,23.15,23.15,23.15,100,2021-11-01 14:35:00,CDZIP
23.25,23.25,23.25,23.25,100,2021-11-01 14:40:00,CDZIP
23.09,23.09,23.08,23.08,997,2021-11-01 15:05:00,CDZIP
23.08,23.08,23.08,23.08,200,2021-11-01 17:25:00,CDZIP
23.08,23.162,23.08,23.162,897,2021-11-01 18:55:00,CDZIP
23.225,23.225,23.1612,23.1612,500,2021-11-01 19:50:00,CDZIP
23.08,23.1187,23.08,23.1187,1150,2021-11-02 13:30:00,CDZIP
23.08,23.08,23.08,23.08,500,2021-11-02 13:40:00,CDZIP
23.08,23.08,23.08,23.08,500,2021-11-02 14:15:00,CDZIP
23.08,23.08,23.08,23.08,1100,2021-11-02 14:40:00,CDZIP
23.08,23.08,23.08,23.08,200,2021-11-02 15:05:00,CDZIP
23.08,23.08,23.08,23.08,100,2021-11-02 15:45:00,CDZIP
23.08,23.08,23.08,23.08,300,2021-11-02 15:50:00,CDZIP
23.08,23.08,23.08,23.08,100,2021-11-02 15:55:00,CDZIP
23.0,23.0,23.0,23.0,100,2021-11-02 17:00:00,CDZIP
23.0,23.0,23.0,23.0,100,2021-11-02 18:00:00,CDZIP
23.0,23.005,23.0,23.005,400,2021-11-02 18:30:00,CDZIP
23.045,23.045,23.045,23.045,100,2021-11-03 14:05:00,CDZIP
23.0508,23.0508,23.0508,23.0508,420,2021-11-03 16:15:00,CDZIP
23.01,23.04,23.01,23.04,1100,2021-11-03 16:50:00,CDZIP
23.032,23.032,23.032,23.032,125,2021-11-03 18:00:00,CDZIP
23.0499,23.05,23.0499,23.05,1200,2021-11-03 19:05:00,CDZIP
23.0448,23.0448,23.0448,23.0448,500,2021-11-03 19:10:00,CDZIP
23.04,23.04,23.04,23.04,200,2021-11-04 14:50:00,CDZIP
23.06,23.08,23.06,23.08,400,2021-11-04 14:55:00,CDZIP
23.0645,23.16,23.0645,23.16,1100,2021-11-05 13:45:00,CDZIP
