open,high,low,close,volume,datetime,symbol
145.46,145.46,145.46,145.46,161,2021-11-01 13:30:00,CIGI
146.28,146.29,146.28,146.29,520,2021-11-01 13:35:00,CIGI
145.78,145.78,145.4,145.4,300,2021-11-01 13:40:00,CIGI
145.33,145.38,145.33,145.38,500,2021-11-01 13:45:00,CIGI
145.38,145.74,145.38,145.555,3300,2021-11-01 13:50:00,CIGI
145.13,145.23,145.13,145.23,200,2021-11-01 13:55:00,CIGI
145.04,145.04,145.01,145.04,300,2021-11-01 14:00:00,CIGI
145.01,145.17,145.01,145.17,600,2021-11-01 14:05:00,CIGI
145.16,145.35,145.16,145.35,800,2021-11-01 14:10:00,CIGI
145.35,145.43,145.35,145.37,1201,2021-11-01 14:15:00,CIGI
145.35,145.43,145.29,145.29,800,2021-11-01 14:20:00,CIGI
144.97,145.0,144.97,145.0,200,2021-11-01 14:30:00,CIGI
144.95,144.95,144.95,144.95,100,2021-11-01 14:35:00,CIGI
144.29,144.29,144.29,144.29,100,2021-11-01 14:40:00,CIGI
144.85,144.93,144.85,144.92,400,2021-11-01 14:45:00,CIGI
144.3,144.3,144.16,144.16,210,2021-11-01 14:50:00,CIGI
144.31,144.36,143.97,143.97,2100,2021-11-01 14:55:00,CIGI
144.06,144.11,144.06,144.11,400,2021-11-01 15:00:00,CIGI
143.9,143.9,143.9,143.9,160,2021-11-01 15:05:00,CIGI
143.53,143.53,143.2,143.405,400,2021-11-01 15:10:00,CIGI
143.25,143.25,143.25,143.25,100,2021-11-01 15:15:00,CIGI
143.24,143.24,142.6,142.6,800,2021-11-01 15:20:00,CIGI
142.58,142.58,142.58,142.58,100,2021-11-01 15:25:00,CIGI
142.25,142.25,142.22,142.22,300,2021-11-01 15:35:00,CIGI
142.4,142.4,142.39,142.4,400,2021-11-01 15:40:00,CIGI
142.43,142.79,142.43,142.79,900,2021-11-01 15:45:00,CIGI
142.71,142.71,142.71,142.71,100,2021-11-01 15:50:00,CIGI
142.83,142.83,142.83,142.83,400,2021-11-01 15:55:00,CIGI
143.91,143.91,143.9,143.9,300,2021-11-01 16:40:00,CIGI
144.06,144.22,143.94,144.22,300,2021-11-01 16:45:00,CIGI
144.22,144.22,144.22,144.22,100,2021-11-01 16:50:00,CIGI
144.46,144.46,144.46,144.46,100,2021-11-01 17:00:00,CIGI
144.85,144.85,144.85,144.85,100,2021-11-01 17:15:00,CIGI
144.58,144.58,144.58,144.58,200,2021-11-01 17:20:00,CIGI
144.705,144.705,144.705,144.705,104,2021-11-01 17:25:00,CIGI
144.5,144.5,144.5,144.5,100,2021-11-01 17:30:00,CIGI
144.05,144.37,144.05,144.05,400,2021-11-01 17:45:00,CIGI
144.175,144.29,144.175,144.29,230,2021-11-01 17:55:00,CIGI
143.415,143.415,143.415,143.415,100,2021-11-01 18:20:00,CIGI
143.23,143.23,143.17,143.17,200,2021-11-01 18:25:00,CIGI
143.41,143.41,143.41,143.41,100,2021-11-01 18:30:00,CIGI
143.6,143.6,143.6,143.6,100,2021-11-01 18:35:00,CIGI
143.68,143.68,143.68,143.68,100,2021-11-01 19:00:00,CIGI
143.7,143.7,143.7,143.7,300,2021-11-01 19:05:00,CIGI
143.9,143.9,143.5,143.5,517,2021-11-01 19:20:00,CIGI
144.04,144.04,144.04,144.04,100,2021-11-01 19:30:00,CIGI
144.0,144.0,143.98,143.98,400,2021-11-01 19:35:00,CIGI
144.17,144.17,143.81,143.81,642,2021-11-01 19:40:00,CIGI
144.05,144.05,144.0,144.0,400,2021-11-01 19:45:00,CIGI
144.12,144.94,143.71,144.28,6154,2021-11-01 19:50:00,CIGI
144.12,144.27,143.85,143.87,2693,2021-11-01 19:55:00,CIGI
144.28,144.28,144.28,144.28,37257,2021-11-01 20:00:00,CIGI
144.86,150.64,144.86,146.6,4097,2021-11-02 13:30:00,CIGI
146.075,147.27,146.075,147.27,1835,2021-11-02 13:35:00,CIGI
145.83,146.15,144.68,144.69,3027,2021-11-02 13:40:00,CIGI
144.39,145.1,144.39,144.73,1000,2021-11-02 13:45:00,CIGI
144.91,144.91,144.22,144.55,1038,2021-11-02 13:50:00,CIGI
144.29,144.29,144.2,144.22,900,2021-11-02 13:55:00,CIGI
144.17,144.48,144.01,144.115,800,2021-11-02 14:00:00,CIGI
144.4,145.0,144.4,145.0,796,2021-11-02 14:05:00,CIGI
144.96,144.96,143.99,143.99,3100,2021-11-02 14:10:00,CIGI
143.69,143.69,143.24,143.24,400,2021-11-02 14:20:00,CIGI
142.88,143.2,142.88,143.075,1100,2021-11-02 14:25:00,CIGI
143.24,143.25,143.24,143.25,200,2021-11-02 14:30:00,CIGI
142.96,143.21,142.96,143.21,600,2021-11-02 14:35:00,CIGI
143.11,143.596,142.83,143.375,700,2021-11-02 14:55:00,CIGI
143.32,143.32,143.32,143.32,100,2021-11-02 15:00:00,CIGI
143.77,143.809,143.605,143.605,359,2021-11-02 15:05:00,CIGI
143.83,143.91,143.58,143.58,700,2021-11-02 15:10:00,CIGI
143.99,143.99,143.61,143.61,400,2021-11-02 15:25:00,CIGI
144.0,144.14,144.0,144.14,1000,2021-11-02 15:30:00,CIGI
143.71,144.01,143.71,144.01,300,2021-11-02 15:35:00,CIGI
144.31,144.31,144.31,144.31,100,2021-11-02 15:45:00,CIGI
144.35,144.35,144.22,144.22,516,2021-11-02 15:50:00,CIGI
143.96,143.96,143.91,143.91,400,2021-11-02 15:55:00,CIGI
144.28,144.28,144.09,144.09,400,2021-11-02 16:05:00,CIGI
143.96,143.96,143.96,143.96,100,2021-11-02 16:25:00,CIGI
144.095,144.095,144.095,144.095,200,2021-11-02 16:40:00,CIGI
143.99,143.99,143.87,143.99,1000,2021-11-02 16:45:00,CIGI
143.92,143.92,143.92,143.92,100,2021-11-02 16:50:00,CIGI
143.945,144.27,143.945,144.27,700,2021-11-02 16:55:00,CIGI
143.69,143.69,143.42,143.42,654,2021-11-02 17:00:00,CIGI
143.77,143.77,143.77,143.77,121,2021-11-02 17:05:00,CIGI
143.68,143.68,143.66,143.66,200,2021-11-02 17:20:00,CIGI
143.515,143.515,143.23,143.41,500,2021-11-02 17:35:00,CIGI
143.12,143.19,143.12,143.19,300,2021-11-02 17:45:00,CIGI
143.525,143.525,143.525,143.525,700,2021-11-02 17:50:00,CIGI
143.14,143.21,143.14,143.21,300,2021-11-02 18:15:00,CIGI
143.08,143.14,143.08,143.14,431,2021-11-02 18:25:00,CIGI
143.15,143.15,143.15,143.15,100,2021-11-02 18:35:00,CIGI
142.92,143.08,142.92,143.08,200,2021-11-02 18:45:00,CIGI
142.72,142.72,142.7,142.7,200,2021-11-02 18:50:00,CIGI
142.926,142.926,142.745,142.745,200,2021-11-02 18:55:00,CIGI
142.49,142.49,142.49,142.49,100,2021-11-02 19:10:00,CIGI
142.6,142.6,142.36,142.36,200,2021-11-02 19:15:00,CIGI
142.27,142.31,142.22,142.31,400,2021-11-02 19:25:00,CIGI
142.14,142.14,141.92,141.92,400,2021-11-02 19:30:00,CIGI
141.98,141.98,141.98,141.98,100,2021-11-02 19:35:00,CIGI
141.84,141.84,141.67,141.67,500,2021-11-02 19:40:00,CIGI
141.38,141.51,141.19,141.19,900,2021-11-02 19:45:00,CIGI
141.36,141.44,141.17,141.17,1500,2021-11-02 19:55:00,CIGI
141.3,141.3,141.3,141.3,483,2021-11-02 20:00:00,CIGI
140.69,140.93,138.43,138.8,5059,2021-11-03 13:30:00,CIGI
139.23,140.395,139.23,140.0,5554,2021-11-03 13:35:00,CIGI
140.24,140.24,139.64,139.64,600,2021-11-03 13:45:00,CIGI
140.0,140.1,140.0,140.1,600,2021-11-03 13:50:00,CIGI
140.52,140.66,140.52,140.65,800,2021-11-03 13:55:00,CIGI
140.42,140.42,140.42,140.42,100,2021-11-03 14:00:00,CIGI
139.69,139.75,139.6,139.68,500,2021-11-03 14:05:00,CIGI
139.94,140.46,139.94,140.46,400,2021-11-03 14:10:00,CIGI
140.69,140.69,140.65,140.65,700,2021-11-03 14:15:00,CIGI
140.63,140.63,140.63,140.63,100,2021-11-03 14:20:00,CIGI
140.58,140.93,140.18,140.93,1054,2021-11-03 14:25:00,CIGI
142.08,142.57,142.08,142.57,800,2021-11-03 14:35:00,CIGI
142.63,142.63,142.405,142.405,400,2021-11-03 14:40:00,CIGI
142.87,142.87,142.86,142.86,200,2021-11-03 14:45:00,CIGI
143.37,143.37,143.07,143.07,300,2021-11-03 14:55:00,CIGI
143.32,143.32,143.32,143.32,200,2021-11-03 15:00:00,CIGI
143.27,143.27,143.11,143.11,200,2021-11-03 15:10:00,CIGI
143.23,143.24,143.14,143.14,600,2021-11-03 15:15:00,CIGI
143.005,143.14,142.99,142.99,818,2021-11-03 15:20:00,CIGI
143.2,143.59,143.2,143.59,385,2021-11-03 15:25:00,CIGI
143.63,143.65,143.63,143.65,300,2021-11-03 15:30:00,CIGI
143.66,143.66,143.49,143.51,400,2021-11-03 15:35:00,CIGI
143.79,143.79,143.6,143.6,200,2021-11-03 15:55:00,CIGI
143.51,143.51,143.51,143.51,100,2021-11-03 16:05:00,CIGI
143.66,143.67,143.52,143.53,800,2021-11-03 16:10:00,CIGI
143.3,143.3,143.3,143.3,100,2021-11-03 16:25:00,CIGI
143.18,143.4,143.18,143.4,300,2021-11-03 16:45:00,CIGI
143.21,143.21,143.21,143.21,100,2021-11-03 16:50:00,CIGI
143.38,143.38,143.38,143.38,100,2021-11-03 16:55:00,CIGI
143.33,143.33,143.08,143.08,300,2021-11-03 17:00:00,CIGI
142.97,142.97,142.97,142.97,100,2021-11-03 17:05:00,CIGI
142.96,142.985,142.95,142.985,300,2021-11-03 17:10:00,CIGI
142.79,142.79,142.79,142.79,100,2021-11-03 17:15:00,CIGI
142.86,142.9,142.86,142.875,500,2021-11-03 17:35:00,CIGI
142.69,142.69,142.68,142.68,200,2021-11-03 17:40:00,CIGI
142.66,142.66,142.66,142.66,200,2021-11-03 17:45:00,CIGI
143.01,143.01,143.01,143.01,100,2021-11-03 18:00:00,CIGI
143.26,143.26,143.22,143.22,500,2021-11-03 18:10:00,CIGI
143.02,143.11,143.02,143.11,500,2021-11-03 18:15:00,CIGI
143.14,143.19,143.14,143.19,400,2021-11-03 18:20:00,CIGI
143.26,143.26,143.1,143.16,900,2021-11-03 18:25:00,CIGI
143.345,143.375,143.15,143.15,300,2021-11-03 18:35:00,CIGI
143.33,143.48,143.26,143.26,900,2021-11-03 18:40:00,CIGI
143.475,143.69,143.47,143.69,800,2021-11-03 18:45:00,CIGI
143.72,143.72,143.68,143.68,200,2021-11-03 18:55:00,CIGI
143.58,143.66,143.58,143.64,700,2021-11-03 19:00:00,CIGI
143.6,143.69,143.54,143.665,1239,2021-11-03 19:10:00,CIGI
143.85,143.85,143.85,143.85,200,2021-11-03 19:20:00,CIGI
143.87,143.87,143.73,143.73,759,2021-11-03 19:25:00,CIGI
143.96,143.96,143.79,143.79,200,2021-11-03 19:30:00,CIGI
143.79,143.79,143.77,143.77,500,2021-11-03 19:35:00,CIGI
143.895,143.95,143.895,143.935,300,2021-11-03 19:40:00,CIGI
144.05,144.05,143.88,143.88,1612,2021-11-03 19:45:00,CIGI
143.94,143.96,143.85,143.85,888,2021-11-03 19:50:00,CIGI
144.04,144.04,143.44,143.51,10200,2021-11-03 19:55:00,CIGI
143.51,143.51,143.51,143.51,1444,2021-11-03 20:00:00,CIGI
143.0005,143.0005,143.0005,143.0005,100,2021-11-04 13:35:00,CIGI
143.28,143.73,142.84,143.64,2167,2021-11-04 13:40:00,CIGI
143.32,143.325,143.09,143.305,1196,2021-11-04 13:50:00,CIGI
143.09,143.09,143.09,143.09,900,2021-11-04 13:55:00,CIGI
143.22,143.22,142.94,142.94,300,2021-11-04 14:00:00,CIGI
143.26,143.52,143.24,143.25,1400,2021-11-04 14:05:00,CIGI
143.27,143.37,143.2,143.37,800,2021-11-04 14:10:00,CIGI
143.09,143.5,143.09,143.15,600,2021-11-04 14:15:00,CIGI
143.31,143.32,143.28,143.29,800,2021-11-04 14:20:00,CIGI
143.35,143.75,143.28,143.75,700,2021-11-04 14:25:00,CIGI
143.51,143.51,143.5,143.5,500,2021-11-04 14:30:00,CIGI
143.95,144.02,143.74,143.74,1409,2021-11-04 14:35:00,CIGI
144.02,144.02,143.79,143.79,500,2021-11-04 14:40:00,CIGI
143.71,143.71,143.71,143.71,200,2021-11-04 14:45:00,CIGI
143.38,143.38,143.175,143.175,1032,2021-11-04 14:55:00,CIGI
142.63,142.63,142.63,142.63,300,2021-11-04 15:00:00,CIGI
142.95,142.95,142.95,142.95,100,2021-11-04 15:05:00,CIGI
142.64,142.64,142.62,142.62,300,2021-11-04 15:10:00,CIGI
142.58,142.58,142.58,142.58,100,2021-11-04 15:15:00,CIGI
142.37,142.37,142.35,142.35,200,2021-11-04 15:20:00,CIGI
142.3,142.3,142.3,142.3,100,2021-11-04 15:25:00,CIGI
142.49,142.49,142.49,142.49,200,2021-11-04 15:30:00,CIGI
142.9,143.17,142.9,143.17,300,2021-11-04 15:35:00,CIGI
142.77,142.965,142.77,142.965,400,2021-11-04 15:40:00,CIGI
142.82,142.82,142.82,142.82,100,2021-11-04 15:55:00,CIGI
143.71,143.77,143.71,143.77,300,2021-11-04 16:15:00,CIGI
143.81,143.81,143.81,143.81,100,2021-11-04 16:20:00,CIGI
143.62,143.75,143.62,143.75,200,2021-11-04 16:25:00,CIGI
143.61,143.69,143.42,143.42,600,2021-11-04 16:30:00,CIGI
143.14,143.14,143.14,143.14,100,2021-11-04 16:35:00,CIGI
143.35,143.39,143.35,143.39,200,2021-11-04 16:40:00,CIGI
143.1,143.225,143.1,143.225,200,2021-11-04 16:50:00,CIGI
143.12,143.13,143.11,143.11,500,2021-11-04 17:00:00,CIGI
143.12,143.145,143.12,143.145,200,2021-11-04 17:10:00,CIGI
143.46,143.47,143.46,143.47,200,2021-11-04 17:15:00,CIGI
143.88,143.88,143.88,143.88,100,2021-11-04 17:20:00,CIGI
144.0,144.06,144.0,144.06,400,2021-11-04 17:30:00,CIGI
143.81,143.81,143.56,143.56,400,2021-11-04 17:35:00,CIGI
143.525,143.55,143.4,143.55,400,2021-11-04 17:40:00,CIGI
143.53,143.53,143.53,143.53,200,2021-11-04 17:45:00,CIGI
143.48,143.49,143.48,143.49,400,2021-11-04 17:55:00,CIGI
143.35,143.35,143.31,143.31,300,2021-11-04 18:00:00,CIGI
143.43,143.43,143.43,143.43,400,2021-11-04 18:05:00,CIGI
143.44,143.44,143.44,143.44,100,2021-11-04 18:10:00,CIGI
143.32,143.49,143.27,143.49,900,2021-11-04 18:15:00,CIGI
143.535,143.535,143.33,143.33,1200,2021-11-04 18:20:00,CIGI
143.375,143.375,143.375,143.375,100,2021-11-04 18:25:00,CIGI
143.41,143.43,143.41,143.43,500,2021-11-04 18:35:00,CIGI
143.64,143.64,143.34,143.37,600,2021-11-04 18:45:00,CIGI
143.26,143.26,143.26,143.26,100,2021-11-04 18:50:00,CIGI
143.43,143.44,143.29,143.44,300,2021-11-04 18:55:00,CIGI
143.63,143.63,143.54,143.54,500,2021-11-04 19:00:00,CIGI
143.4,143.4,143.4,143.4,100,2021-11-04 19:05:00,CIGI
143.42,143.44,143.42,143.44,400,2021-11-04 19:20:00,CIGI
143.19,143.4,143.16,143.4,500,2021-11-04 19:30:00,CIGI
143.23,143.23,143.23,143.23,100,2021-11-04 19:35:00,CIGI
143.22,143.37,143.22,143.37,200,2021-11-04 19:40:00,CIGI
143.425,143.495,143.26,143.26,1529,2021-11-04 19:45:00,CIGI
143.4,143.4,143.26,143.4,1500,2021-11-04 19:50:00,CIGI
143.28,143.44,143.28,143.4,2959,2021-11-04 19:55:00,CIGI
143.4,143.4,143.4,143.4,738,2021-11-04 20:00:00,CIGI
143.425,144.34,143.425,144.34,200,2021-11-05 13:30:00,CIGI
143.52,144.33,143.52,144.33,1000,2021-11-05 13:40:00,CIGI
144.475,144.475,144.47,144.47,500,2021-11-05 13:45:00,CIGI
144.27,144.27,144.23,144.23,200,2021-11-05 13:50:00,CIGI
144.55,144.55,144.19,144.19,365,2021-11-05 14:00:00,CIGI
144.4,144.4,144.35,144.35,200,2021-11-05 14:10:00,CIGI
144.195,144.195,144.1,144.1,200,2021-11-05 14:15:00,CIGI
144.06,144.06,144.05,144.05,200,2021-11-05 14:30:00,CIGI
144.42,144.65,144.38,144.65,400,2021-11-05 14:55:00,CIGI
144.87,144.87,144.87,144.87,100,2021-11-05 15:10:00,CIGI
145.01,145.01,144.95,144.95,600,2021-11-05 15:25:00,CIGI
145.11,145.39,144.86,145.39,800,2021-11-05 15:30:00,CIGI
145.3786,145.3786,145.3786,145.3786,100,2021-11-05 15:35:00,CIGI
145.485,145.485,145.485,145.485,100,2021-11-05 15:45:00,CIGI
145.695,145.695,145.695,145.695,100,2021-11-05 15:50:00,CIGI
145.59,145.59,145.44,145.44,700,2021-11-05 15:55:00,CIGI
145.3,145.3,144.82,144.9,500,2021-11-05 16:05:00,CIGI
144.73,144.73,144.73,144.73,100,2021-11-05 16:10:00,CIGI
145.19,145.19,145.19,145.19,100,2021-11-05 16:25:00,CIGI
144.9,144.91,144.9,144.91,400,2021-11-05 16:35:00,CIGI
144.785,144.92,144.785,144.91,678,2021-11-05 16:40:00,CIGI
145.51,145.73,145.48,145.52,1000,2021-11-05 16:45:00,CIGI
145.77,145.92,145.75,145.75,2000,2021-11-05 16:55:00,CIGI
145.75,145.75,145.75,145.75,100,2021-11-05 17:00:00,CIGI
145.75,145.83,145.75,145.83,1807,2021-11-05 17:05:00,CIGI
145.75,145.75,145.37,145.37,200,2021-11-05 17:10:00,CIGI
145.41,145.44,145.41,145.44,300,2021-11-05 17:15:00,CIGI
145.7,145.7,145.48,145.48,300,2021-11-05 17:20:00,CIGI
145.41,145.47,145.315,145.47,1500,2021-11-05 17:25:00,CIGI
145.76,145.76,145.41,145.615,400,2021-11-05 17:30:00,CIGI
145.6,145.6,145.6,145.6,3100,2021-11-05 17:35:00,CIGI
145.44,145.44,145.39,145.39,200,2021-11-05 17:40:00,CIGI
145.53,145.53,145.53,145.53,100,2021-11-05 17:50:00,CIGI
145.39,145.43,145.39,145.43,200,2021-11-05 17:55:00,CIGI
145.55,145.56,145.55,145.56,200,2021-11-05 18:05:00,CIGI
145.71,145.71,145.71,145.71,100,2021-11-05 18:10:00,CIGI
145.595,145.64,145.54,145.58,2000,2021-11-05 18:15:00,CIGI
145.6,145.6,145.6,145.6,656,2021-11-05 18:20:00,CIGI
145.735,145.85,145.72,145.74,3447,2021-11-05 18:25:00,CIGI
145.735,145.74,145.69,145.72,500,2021-11-05 18:30:00,CIGI
145.7,145.7,145.66,145.68,300,2021-11-05 18:35:00,CIGI
145.76,145.76,145.705,145.715,5400,2021-11-05 18:40:00,CIGI
145.745,145.745,145.745,145.745,200,2021-11-05 18:45:00,CIGI
145.92,145.99,145.795,145.82,734,2021-11-05 18:50:00,CIGI
145.67,145.67,145.67,145.67,100,2021-11-05 18:55:00,CIGI
145.62,145.875,145.615,145.695,3140,2021-11-05 19:00:00,CIGI
145.58,145.85,145.58,145.79,500,2021-11-05 19:05:00,CIGI
146.21,146.21,146.21,146.21,100,2021-11-05 19:10:00,CIGI
146.27,146.328,146.205,146.205,300,2021-11-05 19:15:00,CIGI
146.1,146.21,146.1,146.195,400,2021-11-05 19:20:00,CIGI
146.3,146.3,146.3,146.3,100,2021-11-05 19:25:00,CIGI
146.21,146.35,146.21,146.31,700,2021-11-05 19:30:00,CIGI
146.48,146.48,146.39,146.39,300,2021-11-05 19:35:00,CIGI
146.22,146.22,146.22,146.22,100,2021-11-05 19:40:00,CIGI
146.17,146.41,146.17,146.39,2100,2021-11-05 19:45:00,CIGI
146.4,146.84,146.4,146.495,1660,2021-11-05 19:50:00,CIGI
146.44,146.62,146.2,146.2,2900,2021-11-05 19:55:00,CIGI
146.55,146.55,146.55,146.55,2129,2021-11-05 20:00:00,CIGI
147.58,148.14,145.635,147.3,1346,2021-11-08 14:30:00,CIGI
146.6,148.36,146.6,148.01,1258,2021-11-08 14:35:00,CIGI
148.0,148.0,147.99,147.99,320,2021-11-08 14:40:00,CIGI
147.4,147.55,146.31,146.31,4942,2021-11-08 14:45:00,CIGI
146.28,146.3,146.01,146.01,700,2021-11-08 14:50:00,CIGI
145.5,145.5,145.5,145.5,100,2021-11-08 14:55:00,CIGI
145.0,145.0,145.0,145.0,100,2021-11-08 15:00:00,CIGI
144.99,145.04,144.62,144.68,1000,2021-11-08 15:05:00,CIGI
144.72,144.81,144.72,144.81,300,2021-11-08 15:10:00,CIGI
145.43,145.43,145.43,145.43,100,2021-11-08 15:15:00,CIGI
145.71,145.97,145.71,145.97,300,2021-11-08 15:20:00,CIGI
146.075,146.075,145.85,145.85,400,2021-11-08 15:30:00,CIGI
146.3,146.41,146.3,146.41,200,2021-11-08 15:35:00,CIGI
145.88,146.17,145.88,146.17,214,2021-11-08 15:40:00,CIGI
146.34,146.67,146.34,146.67,885,2021-11-08 15:45:00,CIGI
146.74,146.74,146.555,146.555,337,2021-11-08 15:55:00,CIGI
146.7,146.7,146.7,146.7,400,2021-11-08 16:00:00,CIGI
