open,high,low,close,volume,datetime,symbol
288.7,288.7,288.7,288.7,100,2021-11-01 13:25:00,ICLR
288.38,290.6605,288.38,289.35,5695,2021-11-01 13:30:00,ICLR
289.67,290.91,289.67,290.91,400,2021-11-01 13:35:00,ICLR
290.6,291.56,289.91,289.96,3330,2021-11-01 13:40:00,ICLR
290.335,290.55,289.9,290.27,3377,2021-11-01 13:45:00,ICLR
290.265,290.265,288.945,289.455,3610,2021-11-01 13:50:00,ICLR
289.96,290.94,289.68,290.94,3488,2021-11-01 13:55:00,ICLR
291.0,291.0,290.21,290.71,4238,2021-11-01 14:00:00,ICLR
290.71,290.945,290.415,290.945,1600,2021-11-01 14:05:00,ICLR
290.67,290.91,290.67,290.67,1229,2021-11-01 14:10:00,ICLR
290.74,290.75,290.26,290.26,2291,2021-11-01 14:15:00,ICLR
290.11,290.11,289.09,289.09,2041,2021-11-01 14:20:00,ICLR
289.34,289.68,289.23,289.67,1100,2021-11-01 14:25:00,ICLR
289.95,290.325,289.93,289.96,2124,2021-11-01 14:30:00,ICLR
289.68,290.0,289.68,290.0,650,2021-11-01 14:35:00,ICLR
290.26,290.26,289.38,289.62,2235,2021-11-01 14:40:00,ICLR
289.535,289.7,289.535,289.7,300,2021-11-01 14:45:00,ICLR
289.72,289.92,289.06,289.06,2770,2021-11-01 14:50:00,ICLR
288.91,289.85,288.91,289.26,2416,2021-11-01 14:55:00,ICLR
289.39,289.4,289.36,289.38,1300,2021-11-01 15:00:00,ICLR
289.25,289.25,288.84,289.1,2900,2021-11-01 15:05:00,ICLR
289.03,289.12,289.03,289.12,500,2021-11-01 15:10:00,ICLR
288.94,289.115,288.85,289.0,1720,2021-11-01 15:15:00,ICLR
289.14,289.475,289.14,289.36,1334,2021-11-01 15:20:00,ICLR
289.27,289.49,289.25,289.42,3330,2021-11-01 15:25:00,ICLR
289.39,289.39,288.9,288.9,917,2021-11-01 15:30:00,ICLR
288.745,288.745,288.31,288.31,700,2021-11-01 15:35:00,ICLR
287.86,288.03,287.66,287.66,1075,2021-11-01 15:40:00,ICLR
287.98,288.0,287.71,287.71,958,2021-11-01 15:45:00,ICLR
287.79,287.79,286.88,286.93,4538,2021-11-01 15:50:00,ICLR
286.82,287.08,286.82,287.08,1200,2021-11-01 15:55:00,ICLR
286.96,286.96,286.38,286.41,1892,2021-11-01 16:00:00,ICLR
286.8,286.85,286.8,286.85,300,2021-11-01 16:05:00,ICLR
287.14,287.17,287.135,287.135,400,2021-11-01 16:15:00,ICLR
287.315,287.51,287.315,287.51,500,2021-11-01 16:20:00,ICLR
287.465,287.57,287.465,287.5,600,2021-11-01 16:25:00,ICLR
287.67,287.85,287.57,287.85,600,2021-11-01 16:30:00,ICLR
287.885,287.885,287.31,287.31,2712,2021-11-01 16:35:00,ICLR
287.29,287.29,286.74,287.09,934,2021-11-01 16:40:00,ICLR
287.35,287.35,287.35,287.35,100,2021-11-01 16:45:00,ICLR
287.48,287.58,287.48,287.58,400,2021-11-01 16:50:00,ICLR
287.72,288.0,287.64,287.64,1140,2021-11-01 16:55:00,ICLR
287.86,287.86,287.33,287.345,900,2021-11-01 17:00:00,ICLR
286.92,287.2375,286.92,287.2,400,2021-11-01 17:05:00,ICLR
286.915,287.2,286.915,287.095,423,2021-11-01 17:10:00,ICLR
287.29,287.6325,287.29,287.555,3978,2021-11-01 17:15:00,ICLR
287.644,287.6549,287.33,287.33,2048,2021-11-01 17:20:00,ICLR
287.33,287.57,287.005,287.57,600,2021-11-01 17:25:00,ICLR
287.37,287.585,287.37,287.41,700,2021-11-01 17:30:00,ICLR
287.45,287.45,287.13,287.325,1208,2021-11-01 17:40:00,ICLR
287.375,287.375,287.315,287.315,422,2021-11-01 17:45:00,ICLR
287.49,287.51,287.49,287.51,400,2021-11-01 17:50:00,ICLR
287.6,287.77,287.51,287.77,1100,2021-11-01 17:55:00,ICLR
287.81,287.81,287.57,287.57,560,2021-11-01 18:00:00,ICLR
287.67,287.67,287.26,287.26,1800,2021-11-01 18:05:00,ICLR
287.21,287.255,287.21,287.21,500,2021-11-01 18:10:00,ICLR
287.14,287.55,287.13,287.2,2123,2021-11-01 18:15:00,ICLR
287.11,287.24,286.765,287.04,1860,2021-11-01 18:20:00,ICLR
287.02,287.335,287.02,287.03,804,2021-11-01 18:25:00,ICLR
287.4,287.41,287.12,287.12,2000,2021-11-01 18:30:00,ICLR
287.395,287.56,287.0,287.1675,2423,2021-11-01 18:35:00,ICLR
287.11,287.11,286.78,286.79,700,2021-11-01 18:40:00,ICLR
287.15,287.525,287.15,287.316,1000,2021-11-01 18:45:00,ICLR
287.21,287.21,286.89,286.89,1028,2021-11-01 18:50:00,ICLR
287.2152,287.2152,287.1,287.185,503,2021-11-01 18:55:00,ICLR
287.2,287.67,287.2,287.54,2721,2021-11-01 19:00:00,ICLR
287.77,287.77,287.45,287.63,2400,2021-11-01 19:05:00,ICLR
287.785,287.94,287.76,287.87,1364,2021-11-01 19:10:00,ICLR
287.77,287.785,287.6,287.7425,2684,2021-11-01 19:15:00,ICLR
287.66,288.085,287.55,287.975,4080,2021-11-01 19:20:00,ICLR
288.06,288.3,287.92,288.3,500,2021-11-01 19:25:00,ICLR
287.8,287.8,287.8,287.8,200,2021-11-01 19:30:00,ICLR
287.7021,287.86,287.59,287.8,2632,2021-11-01 19:35:00,ICLR
287.81,288.2925,287.6,287.6,3867,2021-11-01 19:40:00,ICLR
287.69,288.7,287.69,288.66,6945,2021-11-01 19:45:00,ICLR
288.35,288.78,288.18,288.6475,8721,2021-11-01 19:50:00,ICLR
288.48,289.14,288.23,289.07,19176,2021-11-01 19:55:00,ICLR
288.91,288.91,288.91,288.91,29839,2021-11-01 20:00:00,ICLR
289.27,289.27,289.27,289.27,1936,2021-11-02 13:30:00,ICLR
287.81,288.83,286.985,287.865,1800,2021-11-02 13:35:00,ICLR
288.55,289.46,286.42,288.34,7769,2021-11-02 13:40:00,ICLR
287.8437,289.22,286.49,287.265,6726,2021-11-02 13:45:00,ICLR
287.095,288.68,286.88,286.88,11307,2021-11-02 13:50:00,ICLR
287.73,287.74,286.77,287.74,2643,2021-11-02 13:55:00,ICLR
287.72,287.72,286.83,287.11,1500,2021-11-02 14:00:00,ICLR
287.37,287.37,285.69,285.69,2700,2021-11-02 14:05:00,ICLR
285.75,286.745,285.75,286.745,2000,2021-11-02 14:10:00,ICLR
286.885,286.885,285.04,285.05,1879,2021-11-02 14:15:00,ICLR
285.72,285.85,285.12,285.85,800,2021-11-02 14:25:00,ICLR
286.0,286.1,285.45,285.515,2200,2021-11-02 14:30:00,ICLR
285.52,285.9799,284.9,285.23,3700,2021-11-02 14:35:00,ICLR
285.65,286.68,285.33,286.31,4700,2021-11-02 14:40:00,ICLR
286.12,286.305,285.963,285.963,360,2021-11-02 14:45:00,ICLR
285.98,285.981,285.23,285.595,2068,2021-11-02 14:50:00,ICLR
285.84,286.3,285.35,285.535,5183,2021-11-02 14:55:00,ICLR
285.48,285.48,285.48,285.48,200,2021-11-02 15:00:00,ICLR
285.1325,285.66,284.98,285.6,3700,2021-11-02 15:05:00,ICLR
285.405,285.66,284.62,284.745,4920,2021-11-02 15:10:00,ICLR
284.65,285.56,284.58,285.56,3040,2021-11-02 15:15:00,ICLR
285.56,285.71,285.185,285.185,2010,2021-11-02 15:20:00,ICLR
285.185,285.5,285.185,285.185,800,2021-11-02 15:25:00,ICLR
285.36,285.36,285.33,285.33,200,2021-11-02 15:30:00,ICLR
285.42,285.65,285.294,285.635,4020,2021-11-02 15:35:00,ICLR
285.47,285.565,285.19,285.19,600,2021-11-02 15:40:00,ICLR
285.46,285.71,285.05,285.16,2100,2021-11-02 15:45:00,ICLR
285.1,285.45,284.51,284.51,3598,2021-11-02 15:50:00,ICLR
284.8,284.92,284.39,284.625,3358,2021-11-02 15:55:00,ICLR
284.77,284.89,284.54,284.57,600,2021-11-02 16:00:00,ICLR
284.74,284.86,284.335,284.55,2400,2021-11-02 16:05:00,ICLR
284.3997,284.525,284.0886,284.0886,2208,2021-11-02 16:10:00,ICLR
283.455,283.795,283.455,283.51,938,2021-11-02 16:15:00,ICLR
283.81,283.98,283.33,283.33,4013,2021-11-02 16:20:00,ICLR
283.605,283.8,283.32,283.705,1734,2021-11-02 16:25:00,ICLR
283.5328,283.74,283.24,283.52,3892,2021-11-02 16:30:00,ICLR
283.485,283.66,283.17,283.17,3130,2021-11-02 16:35:00,ICLR
283.42,283.4293,283.06,283.07,1450,2021-11-02 16:40:00,ICLR
283.165,283.29,282.955,282.955,5694,2021-11-02 16:45:00,ICLR
282.99,283.0749,282.925,282.925,500,2021-11-02 16:50:00,ICLR
282.92,283.06,282.655,282.655,2100,2021-11-02 16:55:00,ICLR
282.72,282.735,282.72,282.735,200,2021-11-02 17:00:00,ICLR
282.735,282.74,282.35,282.35,3062,2021-11-02 17:05:00,ICLR
282.27,282.27,282.18,282.245,700,2021-11-02 17:10:00,ICLR
282.13,282.19,282.0,282.145,3115,2021-11-02 17:15:00,ICLR
282.075,282.075,281.5,281.74,2318,2021-11-02 17:20:00,ICLR
281.08,281.455,280.815,280.82,2200,2021-11-02 17:25:00,ICLR
280.835,281.0918,280.66,280.66,2832,2021-11-02 17:30:00,ICLR
280.835,281.12,280.68,280.915,2538,2021-11-02 17:35:00,ICLR
280.975,281.1,280.925,280.925,700,2021-11-02 17:40:00,ICLR
281.0101,281.06,280.88,280.88,900,2021-11-02 17:45:00,ICLR
280.9,281.05,280.8,280.8,2500,2021-11-02 17:50:00,ICLR
280.8,281.29,280.8,281.09,3696,2021-11-02 17:55:00,ICLR
281.175,281.43,281.105,281.105,1984,2021-11-02 18:00:00,ICLR
280.85,280.85,280.82,280.82,200,2021-11-02 18:05:00,ICLR
280.99,281.17,280.95,280.95,1300,2021-11-02 18:10:00,ICLR
280.945,281.09,280.86,281.09,1818,2021-11-02 18:15:00,ICLR
280.94,281.05,280.6,280.63,1900,2021-11-02 18:20:00,ICLR
280.61,280.88,280.5,280.81,2933,2021-11-02 18:25:00,ICLR
280.7325,280.88,280.18,280.28,3653,2021-11-02 18:30:00,ICLR
280.33,280.65,280.23,280.65,1676,2021-11-02 18:35:00,ICLR
280.7215,280.7215,280.48,280.48,440,2021-11-02 18:40:00,ICLR
280.48,280.59,280.44,280.49,1000,2021-11-02 18:45:00,ICLR
280.63,280.77,280.28,280.63,1700,2021-11-02 18:50:00,ICLR
280.64,280.8,280.315,280.8,600,2021-11-02 18:55:00,ICLR
280.77,281.03,280.665,280.88,3300,2021-11-02 19:00:00,ICLR
280.87,280.93,280.73,280.8,2801,2021-11-02 19:05:00,ICLR
280.82,280.9,280.67,280.88,2527,2021-11-02 19:10:00,ICLR
280.7,280.78,280.25,280.41,1636,2021-11-02 19:15:00,ICLR
280.38,280.56,280.08,280.445,2800,2021-11-02 19:20:00,ICLR
280.425,281.25,280.235,281.25,5916,2021-11-02 19:25:00,ICLR
281.23,281.71,281.23,281.685,5600,2021-11-02 19:30:00,ICLR
281.68,281.68,280.785,280.94,3830,2021-11-02 19:35:00,ICLR
280.755,281.035,280.62,280.745,4932,2021-11-02 19:40:00,ICLR
280.91,281.63,280.91,281.56,5934,2021-11-02 19:45:00,ICLR
281.465,281.88,281.14,281.88,7898,2021-11-02 19:50:00,ICLR
281.97,282.59,281.92,282.59,19846,2021-11-02 19:55:00,ICLR
282.39,282.39,282.39,282.39,28458,2021-11-02 20:00:00,ICLR
283.0,283.0,281.38,281.38,2999,2021-11-03 13:30:00,ICLR
281.23,282.1,280.0,280.45,6212,2021-11-03 13:40:00,ICLR
281.23,281.23,280.525,281.11,1000,2021-11-03 13:45:00,ICLR
281.13,281.13,278.595,278.595,10214,2021-11-03 13:50:00,ICLR
278.62,278.65,277.02,277.96,2100,2021-11-03 13:55:00,ICLR
277.24,277.5775,275.81,276.61,3126,2021-11-03 14:00:00,ICLR
276.57,276.5975,275.37,275.83,3106,2021-11-03 14:05:00,ICLR
275.435,276.95,275.435,276.045,7144,2021-11-03 14:10:00,ICLR
276.05,276.05,274.55,274.59,2900,2021-11-03 14:15:00,ICLR
274.7325,274.7325,272.21,272.89,9771,2021-11-03 14:20:00,ICLR
272.54,273.07,271.11,273.07,11331,2021-11-03 14:25:00,ICLR
273.025,274.91,273.025,274.91,2409,2021-11-03 14:30:00,ICLR
275.195,275.41,274.325,275.155,2539,2021-11-03 14:35:00,ICLR
275.155,275.155,273.77,274.31,1934,2021-11-03 14:40:00,ICLR
274.345,275.415,274.345,274.815,5692,2021-11-03 14:45:00,ICLR
275.1,275.23,274.69,275.11,1100,2021-11-03 14:50:00,ICLR
275.185,275.45,274.53,275.21,4302,2021-11-03 14:55:00,ICLR
275.115,275.665,274.94,275.515,3740,2021-11-03 15:00:00,ICLR
275.515,276.16,275.515,276.03,3053,2021-11-03 15:05:00,ICLR
276.03,276.16,275.49,275.6401,2255,2021-11-03 15:10:00,ICLR
275.91,275.91,275.1701,275.67,1500,2021-11-03 15:15:00,ICLR
275.665,275.73,275.3,275.73,800,2021-11-03 15:20:00,ICLR
275.575,275.575,275.27,275.44,700,2021-11-03 15:25:00,ICLR
275.23,275.54,275.07,275.23,3100,2021-11-03 15:30:00,ICLR
275.38,275.43,274.64,274.64,2091,2021-11-03 15:35:00,ICLR
274.71,275.13,273.97,274.74,4457,2021-11-03 15:40:00,ICLR
274.8,274.98,274.06,274.08,3200,2021-11-03 15:45:00,ICLR
274.63,274.765,274.04,274.355,1500,2021-11-03 15:50:00,ICLR
274.38,275.1,274.23,274.86,3671,2021-11-03 15:55:00,ICLR
274.835,274.835,274.08,274.08,3606,2021-11-03 16:00:00,ICLR
274.1,274.37,273.57,273.57,1830,2021-11-03 16:05:00,ICLR
273.84,274.08,273.26,274.08,2745,2021-11-03 16:10:00,ICLR
274.035,274.31,273.86,274.0,2814,2021-11-03 16:15:00,ICLR
274.145,274.3,273.38,273.38,2921,2021-11-03 16:20:00,ICLR
