open,high,low,close,volume,datetime,symbol
99.15,99.41,98.775,99.41,1514,2021-11-01 13:30:00,JACK
99.47,100.0,99.47,99.94,900,2021-11-01 13:35:00,JACK
100.32,100.35,100.32,100.35,500,2021-11-01 13:40:00,JACK
100.64,100.64,100.43,100.43,300,2021-11-01 13:45:00,JACK
100.46,100.59,100.3,100.3,1400,2021-11-01 13:50:00,JACK
100.19,100.5562,100.19,100.32,1157,2021-11-01 13:55:00,JACK
100.34,100.34,100.08,100.08,800,2021-11-01 14:00:00,JACK
100.02,100.13,100.02,100.11,700,2021-11-01 14:05:00,JACK
100.06,100.06,99.91,100.0,1277,2021-11-01 14:10:00,JACK
100.0,100.25,100.0,100.2,800,2021-11-01 14:15:00,JACK
100.1418,100.19,100.06,100.06,1013,2021-11-01 14:20:00,JACK
100.13,100.35,100.13,100.35,300,2021-11-01 14:25:00,JACK
100.33,100.53,100.32,100.53,1700,2021-11-01 14:30:00,JACK
100.47,100.58,100.41,100.41,1501,2021-11-01 14:35:00,JACK
100.38,100.45,100.38,100.43,600,2021-11-01 14:40:00,JACK
100.29,100.37,100.29,100.325,700,2021-11-01 14:45:00,JACK
100.19,100.22,100.09,100.09,929,2021-11-01 14:50:00,JACK
100.06,100.06,99.87,100.025,2200,2021-11-01 14:55:00,JACK
100.08,100.34,100.08,100.34,1400,2021-11-01 15:00:00,JACK
100.43,100.43,100.27,100.27,500,2021-11-01 15:05:00,JACK
100.275,100.33,100.2,100.2,1091,2021-11-01 15:10:00,JACK
100.145,100.23,100.06,100.09,1700,2021-11-01 15:15:00,JACK
100.085,100.1,99.92,99.92,900,2021-11-01 15:20:00,JACK
99.975,100.19,99.975,100.19,1600,2021-11-01 15:25:00,JACK
100.28,100.28,100.215,100.215,400,2021-11-01 15:30:00,JACK
100.14,100.14,100.11,100.14,600,2021-11-01 15:35:00,JACK
100.29,100.43,100.29,100.43,500,2021-11-01 15:40:00,JACK
100.44,100.44,100.35,100.35,843,2021-11-01 15:45:00,JACK
100.33,100.425,100.225,100.26,1547,2021-11-01 15:50:00,JACK
100.29,100.34,100.28,100.34,1000,2021-11-01 15:55:00,JACK
100.4,100.48,100.4,100.48,1100,2021-11-01 16:00:00,JACK
100.5,100.65,100.44,100.65,900,2021-11-01 16:05:00,JACK
100.71,100.72,100.67,100.67,700,2021-11-01 16:10:00,JACK
100.64,100.65,100.58,100.63,900,2021-11-01 16:15:00,JACK
100.68,100.71,100.655,100.71,300,2021-11-01 16:20:00,JACK
100.65,100.69,100.57,100.57,1900,2021-11-01 16:25:00,JACK
100.55,100.55,100.55,100.55,100,2021-11-01 16:30:00,JACK
100.58,100.6,100.42,100.46,800,2021-11-01 16:35:00,JACK
100.47,100.47,100.225,100.26,1300,2021-11-01 16:40:00,JACK
100.41,100.605,100.41,100.565,900,2021-11-01 16:45:00,JACK
100.59,100.67,100.575,100.66,600,2021-11-01 16:50:00,JACK
100.61,100.67,100.61,100.61,1339,2021-11-01 16:55:00,JACK
100.57,100.62,100.51,100.6,1400,2021-11-01 17:00:00,JACK
100.69,100.69,100.62,100.62,600,2021-11-01 17:05:00,JACK
100.39,100.39,100.33,100.33,500,2021-11-01 17:10:00,JACK
100.28,100.39,100.18,100.18,1200,2021-11-01 17:15:00,JACK
100.13,100.21,100.13,100.19,1700,2021-11-01 17:20:00,JACK
100.11,100.38,100.09,100.38,1300,2021-11-01 17:25:00,JACK
100.39,100.44,100.365,100.42,600,2021-11-01 17:30:00,JACK
100.49,100.49,100.43,100.44,300,2021-11-01 17:35:00,JACK
100.455,100.455,100.36,100.38,1000,2021-11-01 17:40:00,JACK
100.285,100.35,100.2543,100.275,621,2021-11-01 17:45:00,JACK
100.105,100.21,100.105,100.21,500,2021-11-01 17:50:00,JACK
100.21,100.23,100.13,100.17,700,2021-11-01 17:55:00,JACK
100.23,100.335,100.22,100.335,1100,2021-11-01 18:00:00,JACK
100.335,100.335,100.195,100.195,600,2021-11-01 18:05:00,JACK
100.2,100.2,100.045,100.045,500,2021-11-01 18:10:00,JACK
99.855,99.92,99.855,99.92,400,2021-11-01 18:15:00,JACK
99.86,99.92,99.86,99.87,300,2021-11-01 18:20:00,JACK
99.84,99.845,99.77,99.81,1665,2021-11-01 18:25:00,JACK
99.825,100.03,99.79,100.03,1400,2021-11-01 18:30:00,JACK
100.11,100.29,100.11,100.19,1700,2021-11-01 18:35:00,JACK
100.13,100.14,100.13,100.13,300,2021-11-01 18:40:00,JACK
100.09,100.14,100.075,100.11,800,2021-11-01 18:45:00,JACK
100.03,100.03,99.875,99.94,900,2021-11-01 18:50:00,JACK
99.865,99.89,99.865,99.87,400,2021-11-01 18:55:00,JACK
99.82,99.9,99.82,99.845,1200,2021-11-01 19:00:00,JACK
99.88,99.98,99.88,99.98,900,2021-11-01 19:05:00,JACK
99.98,99.99,99.97,99.975,500,2021-11-01 19:10:00,JACK
99.97,100.0,99.8675,99.91,1200,2021-11-01 19:15:00,JACK
99.87,99.91,99.82,99.91,400,2021-11-01 19:20:00,JACK
99.85,100.03,99.85,100.03,500,2021-11-01 19:25:00,JACK
99.96,99.965,99.86,99.92,2710,2021-11-01 19:30:00,JACK
99.94,100.12,99.93,100.1,3637,2021-11-01 19:35:00,JACK
100.1,100.1,99.89,99.9,2517,2021-11-01 19:40:00,JACK
99.91,99.91,99.61,99.66,4600,2021-11-01 19:45:00,JACK
99.69,99.76,99.61,99.65,2456,2021-11-01 19:50:00,JACK
99.65,99.66,99.59,99.66,4014,2021-11-01 19:55:00,JACK
99.65,99.65,99.65,99.65,15191,2021-11-01 20:00:00,JACK
99.17,99.17,98.56,98.56,2355,2021-11-02 13:30:00,JACK
98.71,98.71,98.09,98.1119,1250,2021-11-02 13:35:00,JACK
97.93,98.2,97.9,97.9,1900,2021-11-02 13:45:00,JACK
98.11,98.11,98.11,98.11,200,2021-11-02 13:50:00,JACK
97.955,97.955,97.77,97.77,200,2021-11-02 13:55:00,JACK
97.7,97.96,97.67,97.96,600,2021-11-02 14:00:00,JACK
97.77,97.77,97.65,97.65,300,2021-11-02 14:05:00,JACK
97.46,97.51,97.39,97.45,778,2021-11-02 14:10:00,JACK
97.46,97.46,97.22,97.26,720,2021-11-02 14:15:00,JACK
97.09,97.09,96.925,96.925,900,2021-11-02 14:20:00,JACK
96.87,96.96,96.68,96.68,2271,2021-11-02 14:25:00,JACK
96.65,96.99,96.37,96.99,6201,2021-11-02 14:30:00,JACK
96.58,96.58,96.28,96.28,2300,2021-11-02 14:35:00,JACK
96.5,96.535,96.44,96.51,2500,2021-11-02 14:40:00,JACK
96.515,96.52,96.2,96.34,9413,2021-11-02 14:45:00,JACK
96.34,96.6,96.34,96.6,300,2021-11-02 14:50:00,JACK
96.62,97.11,96.61,96.865,6065,2021-11-02 14:55:00,JACK
97.02,97.35,97.02,97.17,3844,2021-11-02 15:00:00,JACK
97.1,97.14,97.05,97.05,1202,2021-11-02 15:05:00,JACK
97.03,97.22,97.0,97.175,2100,2021-11-02 15:10:00,JACK
97.175,97.21,97.175,97.2,400,2021-11-02 15:15:00,JACK
97.195,97.195,96.9,97.115,2400,2021-11-02 15:20:00,JACK
97.16,97.415,97.16,97.32,1500,2021-11-02 15:25:00,JACK
97.25,97.29,97.2,97.29,1400,2021-11-02 15:30:00,JACK
97.205,97.445,97.2,97.445,1000,2021-11-02 15:35:00,JACK
