open,high,low,close,volume,datetime,symbol
318.8,318.8,318.2011,318.2011,1069,2021-11-01 13:30:00,MORN
318.0,318.5,315.56,315.56,300,2021-11-01 13:35:00,MORN
313.45,315.11,313.45,315.11,200,2021-11-01 13:40:00,MORN
313.0,313.64,312.73,312.73,477,2021-11-01 13:55:00,MORN
312.735,312.74,312.735,312.74,200,2021-11-01 14:00:00,MORN
313.75,313.75,313.75,313.75,100,2021-11-01 14:05:00,MORN
312.905,312.905,312.905,312.905,100,2021-11-01 14:10:00,MORN
312.865,312.865,312.865,312.865,100,2021-11-01 14:15:00,MORN
313.28,313.28,313.28,313.28,100,2021-11-01 14:20:00,MORN
313.27,313.27,313.27,313.27,100,2021-11-01 14:30:00,MORN
313.61,313.61,313.61,313.61,100,2021-11-01 14:55:00,MORN
314.34,314.34,314.34,314.34,100,2021-11-01 15:00:00,MORN
314.555,314.555,314.02,314.02,552,2021-11-01 15:05:00,MORN
312.82,313.59,312.82,313.59,200,2021-11-01 15:20:00,MORN
312.86,312.86,312.86,312.86,100,2021-11-01 15:25:00,MORN
311.57,312.29,311.57,312.29,200,2021-11-01 15:30:00,MORN
312.05,312.05,312.05,312.05,100,2021-11-01 15:40:00,MORN
311.16,311.16,310.39,310.39,396,2021-11-01 15:50:00,MORN
310.84,310.855,310.84,310.855,200,2021-11-01 15:55:00,MORN
311.33,312.03,311.33,311.98,300,2021-11-01 16:00:00,MORN
311.9,311.9,311.9,311.9,100,2021-11-01 16:05:00,MORN
311.9,312.18,311.9,312.18,200,2021-11-01 16:10:00,MORN
312.82,312.82,312.82,312.82,100,2021-11-01 16:20:00,MORN
312.4,312.4,312.4,312.4,100,2021-11-01 16:25:00,MORN
312.94,312.94,312.735,312.735,200,2021-11-01 16:30:00,MORN
313.3,313.3,312.47,312.47,226,2021-11-01 16:35:00,MORN
312.93,312.97,312.56,312.97,827,2021-11-01 16:40:00,MORN
313.29,313.29,312.89,313.29,508,2021-11-01 16:50:00,MORN
313.2,313.2,313.2,313.2,100,2021-11-01 16:55:00,MORN
312.59,312.81,312.57,312.81,471,2021-11-01 17:00:00,MORN
311.58,311.94,311.58,311.94,1044,2021-11-01 17:05:00,MORN
311.805,311.805,311.805,311.805,100,2021-11-01 17:10:00,MORN
311.885,311.885,311.07,311.13,400,2021-11-01 17:20:00,MORN
310.98,312.22,310.98,312.22,500,2021-11-01 17:25:00,MORN
311.87,311.87,311.87,311.87,100,2021-11-01 17:35:00,MORN
312.9,312.9,311.75,311.75,200,2021-11-01 17:40:00,MORN
311.74,312.19,311.74,312.18,400,2021-11-01 17:45:00,MORN
312.01,312.02,312.01,312.02,200,2021-11-01 17:50:00,MORN
312.02,312.68,312.02,312.68,500,2021-11-01 17:55:00,MORN
313.34,313.34,313.34,313.34,100,2021-11-01 18:05:00,MORN
312.45,312.45,312.45,312.45,100,2021-11-01 18:15:00,MORN
312.51,313.36,312.51,313.28,700,2021-11-01 18:20:00,MORN
313.15,314.18,313.07,313.73,1813,2021-11-01 18:25:00,MORN
314.12,314.82,314.04,314.82,1606,2021-11-01 18:30:00,MORN
315.0,315.0,315.0,315.0,124,2021-11-01 18:40:00,MORN
315.185,315.75,315.185,315.75,200,2021-11-01 18:55:00,MORN
315.56,315.85,315.56,315.85,300,2021-11-01 19:00:00,MORN
315.66,315.66,315.66,315.66,400,2021-11-01 19:05:00,MORN
315.46,315.49,315.31,315.37,600,2021-11-01 19:10:00,MORN
315.345,315.345,315.345,315.345,100,2021-11-01 19:15:00,MORN
315.13,315.62,315.13,315.355,300,2021-11-01 19:25:00,MORN
315.33,316.23,315.21,316.23,700,2021-11-01 19:30:00,MORN
315.75,315.75,315.75,315.75,100,2021-11-01 19:35:00,MORN
315.69,316.13,315.69,316.13,900,2021-11-01 19:40:00,MORN
316.2099,316.2099,315.6,315.795,2175,2021-11-01 19:45:00,MORN
315.78,315.78,315.46,315.46,600,2021-11-01 19:50:00,MORN
315.27,315.96,315.18,315.75,4314,2021-11-01 19:55:00,MORN
315.79,315.79,315.79,315.79,4598,2021-11-01 20:00:00,MORN
316.19,316.19,316.19,316.19,294,2021-11-02 13:30:00,MORN
316.63,316.63,316.63,316.63,147,2021-11-02 13:35:00,MORN
318.29,319.015,318.29,319.015,500,2021-11-02 13:50:00,MORN
319.6,319.6,317.535,319.34,300,2021-11-02 13:55:00,MORN
318.6724,318.6724,318.6724,318.6724,100,2021-11-02 14:10:00,MORN
317.8005,317.8005,317.42,317.42,257,2021-11-02 14:15:00,MORN
318.65,318.65,317.3,317.4,680,2021-11-02 14:20:00,MORN
317.44,317.45,316.59,316.59,524,2021-11-02 14:25:00,MORN
316.0,316.21,316.0,316.21,384,2021-11-02 14:30:00,MORN
316.55,316.55,315.45,315.45,920,2021-11-02 14:35:00,MORN
315.56,315.56,315.34,315.34,400,2021-11-02 14:45:00,MORN
315.21,315.21,314.515,314.515,300,2021-11-02 14:50:00,MORN
314.47,314.79,314.47,314.48,300,2021-11-02 14:55:00,MORN
315.2,315.34,315.13,315.13,1000,2021-11-02 15:00:00,MORN
314.94,315.58,314.31,314.8567,711,2021-11-02 15:05:00,MORN
314.61,314.75,313.61,313.61,560,2021-11-02 15:15:00,MORN
314.6,314.79,314.6,314.79,302,2021-11-02 15:30:00,MORN
315.54,315.54,315.54,315.54,100,2021-11-02 15:40:00,MORN
315.47,315.47,315.03,315.03,500,2021-11-02 15:45:00,MORN
314.56,314.56,314.37,314.37,400,2021-11-02 15:50:00,MORN
314.79,314.79,314.79,314.79,100,2021-11-02 16:00:00,MORN
315.14,315.14,315.14,315.14,100,2021-11-02 16:05:00,MORN
316.07,316.08,316.06,316.06,300,2021-11-02 16:25:00,MORN
315.8,315.8,315.8,315.8,100,2021-11-02 16:30:00,MORN
315.72,315.72,315.72,315.72,100,2021-11-02 16:35:00,MORN
315.07,315.07,315.07,315.07,100,2021-11-02 16:50:00,MORN
315.13,315.13,315.13,315.13,100,2021-11-02 16:55:00,MORN
315.44,315.44,315.44,315.44,200,2021-11-02 17:00:00,MORN
314.88,314.88,314.88,314.88,133,2021-11-02 17:15:00,MORN
314.33,314.33,314.33,314.33,200,2021-11-02 17:25:00,MORN
313.935,313.935,313.935,313.935,180,2021-11-02 17:35:00,MORN
313.91,313.91,313.91,313.91,100,2021-11-02 17:40:00,MORN
313.63,313.63,313.63,313.63,100,2021-11-02 17:45:00,MORN
313.7,313.77,313.54,313.77,600,2021-11-02 17:50:00,MORN
313.48,313.715,313.46,313.46,900,2021-11-02 17:55:00,MORN
313.04,313.04,312.29,312.29,300,2021-11-02 18:00:00,MORN
312.07,312.07,312.07,312.07,100,2021-11-02 18:05:00,MORN
311.76,312.32,311.76,312.07,700,2021-11-02 18:10:00,MORN
311.36,311.7,311.23,311.7,800,2021-11-02 18:20:00,MORN
311.77,311.77,311.77,311.77,100,2021-11-02 18:30:00,MORN
311.9,312.59,311.9,312.59,200,2021-11-02 18:35:00,MORN
313.02,313.02,313.02,313.02,200,2021-11-02 18:45:00,MORN
