open,high,low,close,volume,datetime,symbol
5.18,5.18,5.18,5.18,409,2021-11-01 12:15:00,POLA
5.2,5.2,5.2,5.2,500,2021-11-01 13:15:00,POLA
5.2,5.2,5.2,5.2,100,2021-11-01 13:20:00,POLA
5.13,5.37,5.13,5.33,15783,2021-11-01 13:30:00,POLA
5.3225,5.36,5.28,5.28,5579,2021-11-01 13:35:00,POLA
5.25,5.39,5.21,5.388,6375,2021-11-01 13:40:00,POLA
5.3999,5.4,5.31,5.365,3300,2021-11-01 13:45:00,POLA
5.34,5.341,5.29,5.31,9981,2021-11-01 13:50:00,POLA
5.275,5.275,5.23,5.23,3318,2021-11-01 13:55:00,POLA
5.23,5.23,5.14,5.202,6348,2021-11-01 14:00:00,POLA
5.21,5.23,5.18,5.18,3762,2021-11-01 14:05:00,POLA
5.18,5.18,5.15,5.15,621,2021-11-01 14:10:00,POLA
5.192,5.192,5.192,5.192,300,2021-11-01 14:15:00,POLA
5.24,5.24,5.24,5.24,100,2021-11-01 14:20:00,POLA
5.237,5.25,5.224,5.224,7075,2021-11-01 14:25:00,POLA
5.245,5.245,5.23,5.23,401,2021-11-01 14:30:00,POLA
5.25,5.25,5.2167,5.2316,2061,2021-11-01 14:35:00,POLA
5.2053,5.25,5.2053,5.25,800,2021-11-01 14:40:00,POLA
5.2464,5.28,5.2464,5.28,1950,2021-11-01 14:45:00,POLA
5.2613,5.2941,5.2613,5.292,7300,2021-11-01 14:50:00,POLA
5.29,5.3142,5.29,5.3,6348,2021-11-01 14:55:00,POLA
5.3,5.34,5.3,5.3105,2451,2021-11-01 15:00:00,POLA
5.33,5.33,5.33,5.33,200,2021-11-01 15:05:00,POLA
5.3453,5.35,5.3224,5.3498,1500,2021-11-01 15:10:00,POLA
5.33,5.33,5.33,5.33,100,2021-11-01 15:15:00,POLA
5.3339,5.35,5.31,5.3498,4354,2021-11-01 15:20:00,POLA
5.3331,5.3331,5.33,5.33,200,2021-11-01 15:25:00,POLA
5.32,5.33,5.3,5.3,396,2021-11-01 15:30:00,POLA
5.3148,5.3148,5.3148,5.3148,1500,2021-11-01 15:35:00,POLA
5.31,5.3123,5.31,5.3123,230,2021-11-01 15:40:00,POLA
5.3,5.3101,5.275,5.275,8185,2021-11-01 15:45:00,POLA
5.2968,5.3,5.284,5.284,500,2021-11-01 15:55:00,POLA
5.265,5.2862,5.255,5.285,2588,2021-11-01 16:00:00,POLA
5.2724,5.2724,5.2724,5.2724,100,2021-11-01 16:05:00,POLA
5.28,5.305,5.27,5.305,700,2021-11-01 16:10:00,POLA
5.3191,5.33,5.3191,5.33,3099,2021-11-01 16:15:00,POLA
5.31,5.31,5.31,5.31,5000,2021-11-01 16:20:00,POLA
5.3157,5.3344,5.3157,5.3344,5900,2021-11-01 16:25:00,POLA
5.3201,5.3378,5.31,5.3378,1707,2021-11-01 16:30:00,POLA
5.3,5.3078,5.3,5.3078,283,2021-11-01 16:35:00,POLA
5.3001,5.3015,5.29,5.29,3012,2021-11-01 16:40:00,POLA
5.292,5.3,5.29,5.29,1218,2021-11-01 16:45:00,POLA
5.28,5.29,5.28,5.29,904,2021-11-01 16:50:00,POLA
5.305,5.3061,5.305,5.3061,1200,2021-11-01 17:00:00,POLA
5.32,5.32,5.3059,5.3059,2056,2021-11-01 17:05:00,POLA
5.31,5.31,5.31,5.31,100,2021-11-01 17:10:00,POLA
5.32,5.32,5.32,5.32,350,2021-11-01 17:15:00,POLA
5.31,5.31,5.3097,5.3097,1300,2021-11-01 17:20:00,POLA
5.295,5.295,5.295,5.295,1500,2021-11-01 17:25:00,POLA
5.2995,5.3,5.2995,5.3,1581,2021-11-01 17:30:00,POLA
5.31,5.31,5.31,5.31,2200,2021-11-01 17:35:00,POLA
5.3254,5.3373,5.3254,5.33,880,2021-11-01 17:40:00,POLA
5.34,5.35,5.338,5.35,2008,2021-11-01 17:45:00,POLA
5.3499,5.3499,5.3499,5.3499,500,2021-11-01 17:50:00,POLA
5.35,5.35,5.34,5.34,6493,2021-11-01 17:55:00,POLA
5.345,5.35,5.345,5.35,200,2021-11-01 18:00:00,POLA
5.35,5.35,5.3405,5.3405,318,2021-11-01 18:05:00,POLA
5.35,5.39,5.345,5.37,6830,2021-11-01 18:10:00,POLA
5.3797,5.38,5.34,5.38,1050,2021-11-01 18:15:00,POLA
5.355,5.355,5.355,5.355,600,2021-11-01 18:20:00,POLA
5.34,5.34,5.27,5.27,9782,2021-11-01 18:25:00,POLA
5.2969,5.32,5.2969,5.32,200,2021-11-01 18:30:00,POLA
5.32,5.37,5.32,5.3548,1550,2021-11-01 18:35:00,POLA
5.3269,5.3269,5.3269,5.3269,250,2021-11-01 18:40:00,POLA
5.35,5.38,5.3401,5.38,2857,2021-11-01 18:45:00,POLA
5.35,5.39,5.35,5.39,300,2021-11-01 18:50:00,POLA
5.3873,5.3873,5.3873,5.3873,100,2021-11-01 18:55:00,POLA
5.35,5.39,5.35,5.39,200,2021-11-01 19:05:00,POLA
5.39,5.39,5.39,5.39,100,2021-11-01 19:10:00,POLA
