open,high,low,close,volume,datetime,symbol
4.25,4.25,4.25,4.25,100,2021-11-01 12:10:00,REE
4.25,4.25,4.25,4.25,100,2021-11-01 12:15:00,REE
4.1999,4.1999,4.1999,4.1999,200,2021-11-01 12:50:00,REE
4.1799,4.1799,4.1799,4.1799,1000,2021-11-01 13:05:00,REE
4.18,4.18,4.18,4.18,2000,2021-11-01 13:15:00,REE
4.1,4.15,4.09,4.11,11295,2021-11-01 13:30:00,REE
4.12,4.1495,4.11,4.1441,11990,2021-11-01 13:35:00,REE
4.12,4.15,4.11,4.12,7395,2021-11-01 13:40:00,REE
4.13,4.14,4.13,4.13,1258,2021-11-01 13:45:00,REE
4.13,4.13,4.11,4.11,4065,2021-11-01 13:50:00,REE
4.11,4.12,4.09,4.09,5342,2021-11-01 13:55:00,REE
4.09,4.09,4.05,4.05,12336,2021-11-01 14:00:00,REE
4.05,4.08,4.05,4.08,4361,2021-11-01 14:05:00,REE
4.1,4.1,4.08,4.1,6729,2021-11-01 14:10:00,REE
4.1164,4.12,4.11,4.11,2225,2021-11-01 14:15:00,REE
4.11,4.13,4.1,4.12,8351,2021-11-01 14:20:00,REE
4.115,4.14,4.115,4.13,16421,2021-11-01 14:25:00,REE
4.13,4.15,4.125,4.125,1300,2021-11-01 14:30:00,REE
4.12,4.13,4.11,4.11,765,2021-11-01 14:35:00,REE
4.13,4.13,4.1,4.11,6149,2021-11-01 14:40:00,REE
4.09,4.1,4.08,4.1,12837,2021-11-01 14:45:00,REE
4.095,4.1,4.09,4.1,11429,2021-11-01 14:50:00,REE
4.095,4.1,4.09,4.095,955,2021-11-01 14:55:00,REE
4.095,4.115,4.095,4.1127,2300,2021-11-01 15:00:00,REE
4.115,4.1199,4.1101,4.115,13870,2021-11-01 15:05:00,REE
4.12,4.12,4.11,4.115,3442,2021-11-01 15:10:00,REE
4.115,4.115,4.1127,4.1127,1338,2021-11-01 15:15:00,REE
4.115,4.115,4.11,4.115,1498,2021-11-01 15:20:00,REE
4.1184,4.12,4.11,4.12,2401,2021-11-01 15:25:00,REE
4.12,4.12,4.1101,4.115,915,2021-11-01 15:30:00,REE
4.11,4.115,4.11,4.11,1295,2021-11-01 15:35:00,REE
4.115,4.12,4.115,4.115,1000,2021-11-01 15:40:00,REE
4.115,4.115,4.11,4.115,2140,2021-11-01 15:45:00,REE
4.115,4.1186,4.11,4.1186,4316,2021-11-01 15:50:00,REE
4.11,4.11,4.1,4.11,3811,2021-11-01 15:55:00,REE
4.105,4.11,4.1,4.11,1998,2021-11-01 16:00:00,REE
4.105,4.11,4.1017,4.105,2950,2021-11-01 16:05:00,REE
4.1,4.11,4.1,4.105,1600,2021-11-01 16:10:00,REE
4.1,4.1072,4.1,4.1064,1037,2021-11-01 16:15:00,REE
4.105,4.105,4.105,4.105,500,2021-11-01 16:20:00,REE
4.11,4.11,4.105,4.105,500,2021-11-01 16:25:00,REE
4.105,4.115,4.102,4.115,5865,2021-11-01 16:30:00,REE
4.115,4.12,4.11,4.12,2800,2021-11-01 16:35:00,REE
4.125,4.145,4.125,4.1427,1517,2021-11-01 16:40:00,REE
4.145,4.15,4.145,4.15,2100,2021-11-01 16:45:00,REE
4.145,4.15,4.14,4.145,2558,2021-11-01 16:50:00,REE
4.15,4.15,4.14,4.14,1607,2021-11-01 16:55:00,REE
4.1481,4.155,4.145,4.15,19921,2021-11-01 17:00:00,REE
4.1574,4.185,4.1574,4.185,3432,2021-11-01 17:05:00,REE
4.185,4.185,4.17,4.175,2073,2021-11-01 17:10:00,REE
4.17,4.18,4.17,4.18,1412,2021-11-01 17:15:00,REE
4.185,4.185,4.18,4.18,680,2021-11-01 17:20:00,REE
4.17,4.1705,4.16,4.165,1084,2021-11-01 17:25:00,REE
4.17,4.17,4.16,4.16,1897,2021-11-01 17:30:00,REE
4.15,4.16,4.15,4.155,2038,2021-11-01 17:35:00,REE
4.155,4.155,4.14,4.149,26937,2021-11-01 17:40:00,REE
4.145,4.1477,4.14,4.145,1708,2021-11-01 17:45:00,REE
4.14,4.14,4.12,4.12,3945,2021-11-01 17:50:00,REE
4.12,4.12,4.11,4.115,1879,2021-11-01 17:55:00,REE
4.115,4.12,4.1,4.11,14030,2021-11-01 18:00:00,REE
4.115,4.1197,4.11,4.1101,1434,2021-11-01 18:05:00,REE
4.11,4.12,4.09,4.09,15560,2021-11-01 18:10:00,REE
4.095,4.095,4.07,4.07,11963,2021-11-01 18:15:00,REE
4.07,4.075,4.06,4.075,1411,2021-11-01 18:20:00,REE
4.08,4.08,4.075,4.075,3334,2021-11-01 18:25:00,REE
4.07,4.0799,4.07,4.075,3877,2021-11-01 18:30:00,REE
4.075,4.075,4.07,4.075,578,2021-11-01 18:35:00,REE
4.07,4.0773,4.07,4.07,1704,2021-11-01 18:40:00,REE
4.075,4.1,4.07,4.095,5847,2021-11-01 18:45:00,REE
4.0901,4.1,4.09,4.1,1097,2021-11-01 18:50:00,REE
4.1,4.1,4.095,4.1,1724,2021-11-01 18:55:00,REE
4.1,4.1,4.09,4.09,1590,2021-11-01 19:00:00,REE
4.09,4.0901,4.09,4.09,6172,2021-11-01 19:05:00,REE
4.09,4.095,4.08,4.08,2378,2021-11-01 19:10:00,REE
4.08,4.0886,4.07,4.08,2978,2021-11-01 19:15:00,REE
4.08,4.09,4.08,4.09,4214,2021-11-01 19:20:00,REE
4.085,4.085,4.08,4.085,3917,2021-11-01 19:30:00,REE
4.08,4.095,4.08,4.095,6623,2021-11-01 19:35:00,REE
4.1,4.1,4.095,4.1,1862,2021-11-01 19:40:00,REE
4.09,4.1,4.09,4.09,1676,2021-11-01 19:45:00,REE
4.09,4.11,4.07,4.11,30101,2021-11-01 19:50:00,REE
4.11,4.125,4.09,4.1,34749,2021-11-01 19:55:00,REE
4.1,4.1,4.1,4.1,113424,2021-11-01 20:00:00,REE
4.15,4.15,4.15,4.15,300,2021-11-01 22:25:00,REE
4.17,4.17,4.17,4.17,1700,2021-11-02 12:50:00,REE
4.16,4.16,4.16,4.16,200,2021-11-02 12:55:00,REE
4.102,4.115,4.1,4.115,16324,2021-11-02 13:30:00,REE
4.115,4.1159,4.1,4.1139,4557,2021-11-02 13:35:00,REE
4.1,4.1199,4.04,4.05,48683,2021-11-02 13:40:00,REE
4.05,4.0668,4.05,4.06,591,2021-11-02 13:45:00,REE
4.07,4.08,4.07,4.08,3750,2021-11-02 13:50:00,REE
4.0871,4.0871,4.08,4.08,6310,2021-11-02 13:55:00,REE
4.1,4.11,4.07,4.07,28405,2021-11-02 14:00:00,REE
4.07,4.07,4.05,4.05,10165,2021-11-02 14:05:00,REE
4.05,4.0582,4.04,4.058,25832,2021-11-02 14:10:00,REE
4.0525,4.06,4.05,4.05,3100,2021-11-02 14:15:00,REE
4.05,4.055,4.04,4.04,11212,2021-11-02 14:20:00,REE
4.03,4.0334,4.02,4.02,2579,2021-11-02 14:25:00,REE
4.02,4.04,4.015,4.04,15280,2021-11-02 14:30:00,REE
4.03,4.03,4.0201,4.03,8230,2021-11-02 14:35:00,REE
4.04,4.04,4.01,4.02,6881,2021-11-02 14:40:00,REE
4.0195,4.02,4.01,4.01,3957,2021-11-02 14:45:00,REE
4.015,4.025,4.015,4.025,2977,2021-11-02 14:50:00,REE
4.02,4.0289,4.02,4.02,4635,2021-11-02 14:55:00,REE
