open,high,low,close,volume,datetime,symbol
26.21,26.5104,26.21,26.45,562,2021-11-01 13:30:00,SGC
26.45,26.45,26.3,26.3,300,2021-11-01 13:50:00,SGC
26.16,26.19,26.16,26.19,200,2021-11-01 14:10:00,SGC
26.2686,26.2686,26.2686,26.2686,100,2021-11-01 14:35:00,SGC
26.12,26.2537,26.12,26.2537,500,2021-11-01 14:40:00,SGC
26.26,26.26,26.26,26.26,100,2021-11-01 14:45:00,SGC
26.3521,26.3521,26.3521,26.3521,155,2021-11-01 14:50:00,SGC
26.235,26.235,26.235,26.235,100,2021-11-01 14:55:00,SGC
26.4199,26.4199,26.4199,26.4199,500,2021-11-01 15:00:00,SGC
26.42,26.54,26.42,26.54,996,2021-11-01 15:05:00,SGC
26.5,26.6,26.5,26.6,349,2021-11-01 15:15:00,SGC
26.6605,26.79,26.6605,26.79,813,2021-11-01 15:35:00,SGC
26.59,27.0,26.59,27.0,2208,2021-11-01 15:45:00,SGC
26.9661,26.9661,26.9661,26.9661,375,2021-11-01 15:50:00,SGC
26.9888,26.9888,26.9888,26.9888,125,2021-11-01 15:55:00,SGC
27.0,27.0,27.0,27.0,299,2021-11-01 16:05:00,SGC
26.925,26.925,26.925,26.925,100,2021-11-01 16:15:00,SGC
27.1916,27.1916,27.19,27.19,650,2021-11-01 16:20:00,SGC
26.95,27.255,26.95,27.2384,969,2021-11-01 16:35:00,SGC
27.145,27.25,27.145,27.25,349,2021-11-01 16:50:00,SGC
27.2259,27.2259,27.2259,27.2259,225,2021-11-01 16:55:00,SGC
27.1763,27.1763,27.1763,27.1763,100,2021-11-01 17:10:00,SGC
27.03,27.11,26.96,26.96,6382,2021-11-01 17:25:00,SGC
27.005,27.005,27.0034,27.0034,500,2021-11-01 17:35:00,SGC
27.0102,27.0102,27.0102,27.0102,235,2021-11-01 17:40:00,SGC
26.91,26.91,26.91,26.91,200,2021-11-01 18:00:00,SGC
26.68,26.68,26.59,26.59,500,2021-11-01 18:15:00,SGC
26.89,26.89,26.89,26.89,237,2021-11-01 18:30:00,SGC
26.8,26.85,26.8,26.85,350,2021-11-01 18:55:00,SGC
26.8498,26.85,26.8498,26.85,3000,2021-11-01 19:05:00,SGC
26.71,26.87,26.65,26.74,966,2021-11-01 19:20:00,SGC
26.83,26.83,26.83,26.83,200,2021-11-01 19:40:00,SGC
26.71,27.03,26.71,27.03,300,2021-11-01 19:50:00,SGC
26.69,26.82,26.69,26.82,231,2021-11-01 19:55:00,SGC
27.02,27.02,27.02,27.02,2180,2021-11-01 20:00:00,SGC
27.09,27.09,27.0,27.0,535,2021-11-02 13:30:00,SGC
26.775,26.775,26.775,26.775,196,2021-11-02 13:50:00,SGC
26.67,26.67,26.67,26.67,200,2021-11-02 14:30:00,SGC
26.7304,26.7304,26.7304,26.7304,100,2021-11-02 14:35:00,SGC
26.6025,26.6025,26.6025,26.6025,100,2021-11-02 14:50:00,SGC
26.6109,26.6432,26.6109,26.6432,200,2021-11-02 15:05:00,SGC
26.64,26.64,26.58,26.58,325,2021-11-02 15:10:00,SGC
26.645,26.645,26.645,26.645,100,2021-11-02 15:15:00,SGC
26.63,26.63,26.63,26.63,100,2021-11-02 15:35:00,SGC
26.685,26.685,26.62,26.62,200,2021-11-02 16:00:00,SGC
26.77,26.77,26.7,26.7,226,2021-11-02 16:25:00,SGC
26.76,26.8627,26.76,26.8627,200,2021-11-02 16:50:00,SGC
26.65,26.65,26.65,26.65,351,2021-11-02 17:30:00,SGC
26.67,26.67,26.67,26.67,100,2021-11-02 17:35:00,SGC
26.74,26.74,26.74,26.74,100,2021-11-02 17:50:00,SGC
26.854,26.854,26.854,26.854,200,2021-11-02 18:00:00,SGC
26.77,26.77,26.71,26.71,757,2021-11-02 19:25:00,SGC
26.75,26.75,26.75,26.75,100,2021-11-02 19:35:00,SGC
26.665,26.665,26.665,26.665,100,2021-11-02 19:40:00,SGC
26.6,26.79,26.6,26.75,2363,2021-11-02 19:45:00,SGC
26.75,26.79,26.75,26.79,300,2021-11-02 19:50:00,SGC
26.8,26.92,26.77,26.85,1294,2021-11-02 19:55:00,SGC
27.01,27.01,27.01,27.01,2604,2021-11-02 20:00:00,SGC
26.02,26.02,26.02,26.02,153,2021-11-03 12:00:00,SGC
26.01,26.01,26.01,26.01,100,2021-11-03 12:05:00,SGC
24.71,24.71,24.71,24.71,100,2021-11-03 12:15:00,SGC
25.2,25.2,25.2,25.2,100,2021-11-03 13:05:00,SGC
26.0,26.0,25.2601,25.2721,7948,2021-11-03 13:30:00,SGC
25.5616,26.38,25.53,25.53,10745,2021-11-03 13:35:00,SGC
25.1001,25.28,25.1,25.2148,2632,2021-11-03 13:40:00,SGC
25.3,25.3,25.3,25.3,100,2021-11-03 13:45:00,SGC
25.0704,25.0704,25.0704,25.0704,116,2021-11-03 13:50:00,SGC
25.6836,25.6836,25.27,25.278,1525,2021-11-03 13:55:00,SGC
25.324,25.405,25.324,25.39,695,2021-11-03 14:00:00,SGC
25.4852,25.4852,25.01,25.01,1160,2021-11-03 14:05:00,SGC
25.3,25.31,25.096,25.096,1009,2021-11-03 14:10:00,SGC
25.298,25.298,25.03,25.03,495,2021-11-03 14:15:00,SGC
25.3664,25.45,25.3664,25.45,1293,2021-11-03 14:20:00,SGC
25.49,25.51,25.49,25.51,200,2021-11-03 14:25:00,SGC
25.55,25.73,25.55,25.73,296,2021-11-03 14:35:00,SGC
25.7,25.7,25.5,25.7,844,2021-11-03 15:05:00,SGC
25.8803,25.8803,25.8803,25.8803,500,2021-11-03 15:20:00,SGC
25.845,25.88,25.845,25.845,423,2021-11-03 15:35:00,SGC
25.7,25.7,25.7,25.7,100,2021-11-03 15:40:00,SGC
25.705,25.87,25.5,25.87,5135,2021-11-03 15:45:00,SGC
25.695,25.695,25.51,25.51,200,2021-11-03 15:50:00,SGC
25.525,25.525,25.525,25.525,100,2021-11-03 16:05:00,SGC
25.67,25.67,24.93,24.93,21502,2021-11-03 16:10:00,SGC
25.135,25.17,24.905,25.17,2833,2021-11-03 16:15:00,SGC
25.02,25.02,25.02,25.02,100,2021-11-03 16:35:00,SGC
25.25,25.25,25.031,25.031,2800,2021-11-03 16:40:00,SGC
25.06,25.06,25.06,25.06,799,2021-11-03 16:45:00,SGC
