open,high,low,close,volume,datetime,symbol
1.79,1.79,1.79,1.79,700,2021-11-01 11:35:00,STAF
1.78,1.79,1.78,1.79,1925,2021-11-01 12:00:00,STAF
1.8,1.8,1.8,1.8,200,2021-11-01 12:15:00,STAF
1.8,1.8,1.79,1.8,1100,2021-11-01 12:20:00,STAF
1.8,1.8,1.79,1.79,500,2021-11-01 12:35:00,STAF
1.79,1.79,1.77,1.77,498,2021-11-01 12:40:00,STAF
1.78,1.78,1.78,1.78,300,2021-11-01 13:00:00,STAF
1.76,1.76,1.75,1.75,1236,2021-11-01 13:10:00,STAF
1.75,1.75,1.75,1.75,100,2021-11-01 13:25:00,STAF
1.75,1.78,1.74,1.77,10462,2021-11-01 13:30:00,STAF
1.7773,1.78,1.7601,1.77,3890,2021-11-01 13:35:00,STAF
1.77,1.78,1.76,1.78,8000,2021-11-01 13:40:00,STAF
1.78,1.78,1.7675,1.7675,500,2021-11-01 13:45:00,STAF
1.78,1.78,1.76,1.76,5413,2021-11-01 13:50:00,STAF
1.76,1.8,1.74,1.76,7236,2021-11-01 13:55:00,STAF
1.77,1.77,1.77,1.77,300,2021-11-01 14:00:00,STAF
1.77,1.78,1.76,1.775,10685,2021-11-01 14:05:00,STAF
1.77,1.77,1.77,1.77,5480,2021-11-01 14:10:00,STAF
1.7793,1.7793,1.775,1.775,600,2021-11-01 14:20:00,STAF
1.775,1.775,1.7701,1.7701,600,2021-11-01 14:30:00,STAF
1.78,1.78,1.78,1.78,350,2021-11-01 14:35:00,STAF
1.79,1.79,1.79,1.79,440,2021-11-01 14:40:00,STAF
1.78,1.782,1.77,1.77,4041,2021-11-01 14:45:00,STAF
1.78,1.8,1.78,1.79,3240,2021-11-01 14:50:00,STAF
1.785,1.785,1.785,1.785,250,2021-11-01 14:55:00,STAF
1.785,1.785,1.78,1.78,3097,2021-11-01 15:00:00,STAF
1.78,1.7899,1.78,1.7899,10899,2021-11-01 15:05:00,STAF
1.78,1.7806,1.78,1.78,1300,2021-11-01 15:10:00,STAF
1.7899,1.7899,1.78,1.78,1000,2021-11-01 15:15:00,STAF
1.78,1.79,1.77,1.78,3794,2021-11-01 15:20:00,STAF
1.78,1.785,1.78,1.785,3065,2021-11-01 15:25:00,STAF
1.78,1.79,1.78,1.78,1900,2021-11-01 15:30:00,STAF
1.771,1.78,1.77,1.775,7459,2021-11-01 15:35:00,STAF
1.771,1.771,1.77,1.77,700,2021-11-01 15:40:00,STAF
1.77,1.77,1.77,1.77,100,2021-11-01 15:45:00,STAF
1.7715,1.7715,1.77,1.77,6248,2021-11-01 15:55:00,STAF
1.775,1.775,1.775,1.775,100,2021-11-01 16:05:00,STAF
1.775,1.775,1.74,1.745,32624,2021-11-01 16:10:00,STAF
1.745,1.76,1.745,1.75,900,2021-11-01 16:15:00,STAF
1.74,1.75,1.74,1.745,3700,2021-11-01 16:20:00,STAF
1.75,1.76,1.74,1.7565,7821,2021-11-01 16:25:00,STAF
1.76,1.76,1.75,1.76,3598,2021-11-01 16:30:00,STAF
1.76,1.76,1.75,1.7583,6892,2021-11-01 16:35:00,STAF
1.755,1.7599,1.75,1.752,2400,2021-11-01 16:40:00,STAF
1.7517,1.755,1.75,1.755,1200,2021-11-01 16:50:00,STAF
1.75,1.7559,1.75,1.7559,481,2021-11-01 16:55:00,STAF
1.7599,1.7599,1.75,1.75,4800,2021-11-01 17:00:00,STAF
1.76,1.76,1.75,1.75,7799,2021-11-01 17:05:00,STAF
1.755,1.7589,1.75,1.7589,2336,2021-11-01 17:15:00,STAF
1.75,1.755,1.75,1.755,2339,2021-11-01 17:20:00,STAF
1.755,1.755,1.755,1.755,300,2021-11-01 17:25:00,STAF
1.75,1.75,1.75,1.75,5912,2021-11-01 17:30:00,STAF
1.75,1.75,1.75,1.75,243,2021-11-01 17:35:00,STAF
1.755,1.78,1.75,1.7537,18555,2021-11-01 17:40:00,STAF
1.75,1.76,1.75,1.76,8200,2021-11-01 17:45:00,STAF
1.76,1.76,1.75,1.75,1505,2021-11-01 17:50:00,STAF
1.755,1.755,1.75,1.75,5385,2021-11-01 17:55:00,STAF
1.75,1.755,1.75,1.75,300,2021-11-01 18:00:00,STAF
1.76,1.76,1.76,1.76,5201,2021-11-01 18:05:00,STAF
1.75,1.755,1.74,1.75,9022,2021-11-01 18:10:00,STAF
1.74,1.74,1.74,1.74,1300,2021-11-01 18:15:00,STAF
1.7473,1.75,1.7473,1.75,1116,2021-11-01 18:20:00,STAF
1.75,1.75,1.74,1.745,550,2021-11-01 18:25:00,STAF
1.74,1.75,1.735,1.7478,8626,2021-11-01 18:30:00,STAF
1.74,1.75,1.74,1.75,450,2021-11-01 18:35:00,STAF
1.749,1.749,1.749,1.749,400,2021-11-01 18:40:00,STAF
1.75,1.75,1.741,1.745,2251,2021-11-01 18:45:00,STAF
1.74,1.74,1.73,1.74,5927,2021-11-01 18:50:00,STAF
1.735,1.75,1.73,1.74,11029,2021-11-01 18:55:00,STAF
1.735,1.75,1.735,1.75,4772,2021-11-01 19:00:00,STAF
1.75,1.75,1.74,1.74,650,2021-11-01 19:05:00,STAF
1.7499,1.758,1.74,1.74,10035,2021-11-01 19:10:00,STAF
1.745,1.75,1.74,1.7499,4129,2021-11-01 19:15:00,STAF
1.745,1.745,1.745,1.745,1000,2021-11-01 19:25:00,STAF
1.75,1.755,1.75,1.755,2121,2021-11-01 19:30:00,STAF
1.759,1.78,1.755,1.76,18323,2021-11-01 19:35:00,STAF
1.75,1.755,1.74,1.74,10981,2021-11-01 19:40:00,STAF
1.75,1.755,1.74,1.7499,7644,2021-11-01 19:45:00,STAF
1.745,1.75,1.74,1.745,5204,2021-11-01 19:50:00,STAF
