open,high,low,close,volume,datetime,symbol
23.03,23.03,22.8,22.8,745,2021-11-01 13:30:00,TMCI
23.29,23.3,23.29,23.3,400,2021-11-01 13:35:00,TMCI
23.29,23.3,23.21,23.21,1130,2021-11-01 13:40:00,TMCI
23.29,23.33,23.095,23.33,900,2021-11-01 13:45:00,TMCI
23.22,23.25,23.02,23.045,10029,2021-11-01 13:50:00,TMCI
23.31,23.31,23.125,23.125,200,2021-11-01 13:55:00,TMCI
23.07,23.07,22.925,22.98,3759,2021-11-01 14:00:00,TMCI
23.2,23.2,23.2,23.2,100,2021-11-01 14:05:00,TMCI
23.045,23.13,23.045,23.13,300,2021-11-01 14:10:00,TMCI
23.2079,23.2079,23.115,23.125,300,2021-11-01 14:15:00,TMCI
23.19,23.24,23.07,23.07,1613,2021-11-01 14:20:00,TMCI
23.26,23.26,23.1,23.1,400,2021-11-01 14:25:00,TMCI
23.185,23.26,23.02,23.165,2100,2021-11-01 14:30:00,TMCI
23.25,23.31,23.105,23.31,1100,2021-11-01 14:35:00,TMCI
23.39,23.6,23.24,23.51,2378,2021-11-01 14:40:00,TMCI
23.6099,23.61,23.42,23.585,1500,2021-11-01 14:45:00,TMCI
23.7,23.73,23.66,23.66,500,2021-11-01 14:50:00,TMCI
23.66,23.78,23.66,23.78,486,2021-11-01 14:55:00,TMCI
23.79,23.79,23.765,23.765,300,2021-11-01 15:00:00,TMCI
23.81,23.81,23.605,23.61,11318,2021-11-01 15:05:00,TMCI
23.7,23.81,23.56,23.78,1060,2021-11-01 15:10:00,TMCI
23.78,23.78,23.72,23.72,200,2021-11-01 15:15:00,TMCI
23.715,23.79,23.55,23.58,3204,2021-11-01 15:25:00,TMCI
23.69,23.71,23.47,23.61,3514,2021-11-01 15:30:00,TMCI
23.63,23.695,23.61,23.695,800,2021-11-01 15:35:00,TMCI
23.71,23.71,23.62,23.64,500,2021-11-01 15:40:00,TMCI
23.63,23.63,23.485,23.63,900,2021-11-01 15:45:00,TMCI
23.57,23.63,23.5,23.63,1106,2021-11-01 15:50:00,TMCI
23.54,23.59,23.54,23.59,200,2021-11-01 15:55:00,TMCI
23.61,23.62,23.54,23.56,1300,2021-11-01 16:00:00,TMCI
23.56,23.69,23.53,23.665,2200,2021-11-01 16:05:00,TMCI
23.64,23.67,23.54,23.65,500,2021-11-01 16:10:00,TMCI
23.61,23.67,23.55,23.55,1120,2021-11-01 16:15:00,TMCI
23.65,23.69,23.64,23.69,700,2021-11-01 16:20:00,TMCI
23.63,23.66,23.57,23.58,1000,2021-11-01 16:25:00,TMCI
23.57,23.7,23.57,23.67,1200,2021-11-01 16:35:00,TMCI
23.66,23.695,23.62,23.6835,1000,2021-11-01 16:40:00,TMCI
23.66,23.84,23.62,23.76,2200,2021-11-01 16:50:00,TMCI
23.83,23.83,23.65,23.73,900,2021-11-01 16:55:00,TMCI
23.66,23.685,23.33,23.425,8097,2021-11-01 17:00:00,TMCI
23.42,23.49,23.32,23.39,1300,2021-11-01 17:05:00,TMCI
23.31,23.35,23.2,23.275,1511,2021-11-01 17:10:00,TMCI
23.21,23.42,23.21,23.37,1700,2021-11-01 17:15:00,TMCI
23.255,23.37,23.25,23.27,1100,2021-11-01 17:20:00,TMCI
23.275,23.37,23.21,23.21,2728,2021-11-01 17:25:00,TMCI
23.3,23.3,23.235,23.235,500,2021-11-01 17:30:00,TMCI
23.275,23.275,23.08,23.08,1806,2021-11-01 17:35:00,TMCI
23.095,23.13,22.9,22.94,3518,2021-11-01 17:40:00,TMCI
22.91,23.0,22.91,23.0,3400,2021-11-01 17:45:00,TMCI
22.955,23.015,22.915,22.98,3000,2021-11-01 17:50:00,TMCI
23.05,23.05,22.96,23.05,1258,2021-11-01 17:55:00,TMCI
23.05,23.205,22.99,23.13,5479,2021-11-01 18:00:00,TMCI
23.215,23.27,23.14,23.16,9900,2021-11-01 18:05:00,TMCI
23.16,23.19,23.06,23.155,6271,2021-11-01 18:10:00,TMCI
23.16,23.16,23.08,23.08,1103,2021-11-01 18:15:00,TMCI
23.12,23.16,23.09,23.09,904,2021-11-01 18:20:00,TMCI
23.16,23.16,23.06,23.08,2488,2021-11-01 18:25:00,TMCI
23.14,23.16,23.09,23.135,1304,2021-11-01 18:30:00,TMCI
23.16,23.16,23.1,23.14,1000,2021-11-01 18:35:00,TMCI
23.105,23.17,23.09,23.145,4657,2021-11-01 18:40:00,TMCI
23.145,23.23,23.105,23.23,2100,2021-11-01 18:45:00,TMCI
23.24,23.24,23.19,23.22,1729,2021-11-01 18:50:00,TMCI
23.22,23.26,23.18,23.26,2928,2021-11-01 18:55:00,TMCI
23.255,23.38,23.25,23.38,800,2021-11-01 19:00:00,TMCI
23.36,23.365,23.25,23.25,1300,2021-11-01 19:05:00,TMCI
23.31,23.345,23.31,23.345,500,2021-11-01 19:10:00,TMCI
23.345,23.345,23.225,23.235,3152,2021-11-01 19:15:00,TMCI
23.31,23.31,23.26,23.26,300,2021-11-01 19:20:00,TMCI
23.305,23.32,23.265,23.28,1000,2021-11-01 19:25:00,TMCI
23.34,23.38,23.25,23.31,4205,2021-11-01 19:30:00,TMCI
23.36,23.36,23.3,23.3,1000,2021-11-01 19:35:00,TMCI
23.31,23.52,23.3,23.515,5000,2021-11-01 19:40:00,TMCI
23.57,23.66,23.49,23.64,4427,2021-11-01 19:45:00,TMCI
23.6,23.65,23.56,23.595,5723,2021-11-01 19:50:00,TMCI
23.61,23.64,23.45,23.49,22899,2021-11-01 19:55:00,TMCI
23.54,23.54,23.54,23.54,6157,2021-11-01 20:00:00,TMCI
23.31,23.49,23.27,23.485,4465,2021-11-02 13:30:00,TMCI
23.47,23.485,23.28,23.465,2000,2021-11-02 13:35:00,TMCI
23.38,23.38,23.38,23.38,100,2021-11-02 13:40:00,TMCI
23.63,23.63,23.31,23.5077,2356,2021-11-02 13:45:00,TMCI
23.42,23.475,23.295,23.295,2309,2021-11-02 13:50:00,TMCI
23.3,23.3,23.3,23.3,100,2021-11-02 13:55:00,TMCI
23.345,23.4,23.295,23.31,500,2021-11-02 14:00:00,TMCI
23.35,23.35,23.04,23.04,2010,2021-11-02 14:05:00,TMCI
23.05,23.05,22.79,22.895,50452,2021-11-02 14:10:00,TMCI
22.9,22.9,22.81,22.88,400,2021-11-02 14:15:00,TMCI
22.88,23.11,22.81,23.055,2200,2021-11-02 14:20:00,TMCI
23.0,23.06,22.95,23.06,3516,2021-11-02 14:30:00,TMCI
23.08,23.08,23.01,23.01,600,2021-11-02 14:35:00,TMCI
23.1,23.1,23.0,23.01,300,2021-11-02 14:40:00,TMCI
23.015,23.015,23.0,23.0,267,2021-11-02 14:45:00,TMCI
22.97,23.11,22.97,22.97,2406,2021-11-02 14:50:00,TMCI
22.96,23.02,22.94,23.02,1645,2021-11-02 14:55:00,TMCI
23.05,23.11,22.975,22.99,3916,2021-11-02 15:00:00,TMCI
22.975,23.08,22.96,23.03,2134,2021-11-02 15:05:00,TMCI
23.07,23.08,23.02,23.02,1374,2021-11-02 15:15:00,TMCI
23.02,23.08,22.995,23.02,3219,2021-11-02 15:20:00,TMCI
23.0,23.0,22.96,23.0,900,2021-11-02 15:25:00,TMCI
23.0,23.03,23.0,23.03,600,2021-11-02 15:35:00,TMCI
23.015,23.06,23.015,23.06,406,2021-11-02 15:40:00,TMCI
23.04,23.19,23.04,23.13,1871,2021-11-02 15:45:00,TMCI
23.12,23.12,23.12,23.12,100,2021-11-02 15:50:00,TMCI
23.12,23.12,23.12,23.12,100,2021-11-02 15:55:00,TMCI
23.08,23.08,23.06,23.06,624,2021-11-02 16:00:00,TMCI
23.1,23.15,23.1,23.12,1100,2021-11-02 16:05:00,TMCI
23.105,23.105,23.05,23.05,466,2021-11-02 16:10:00,TMCI
23.1,23.15,23.0,23.035,2315,2021-11-02 16:15:00,TMCI
23.1,23.1,23.06,23.06,202,2021-11-02 16:25:00,TMCI
23.04,23.08,23.02,23.03,800,2021-11-02 16:30:00,TMCI
23.045,23.14,23.045,23.14,660,2021-11-02 16:35:00,TMCI
23.13,23.13,23.12,23.12,200,2021-11-02 16:40:00,TMCI
23.14,23.2,23.12,23.19,1100,2021-11-02 16:45:00,TMCI
23.16,23.16,23.16,23.16,200,2021-11-02 16:50:00,TMCI
23.15,23.15,23.13,23.13,200,2021-11-02 17:00:00,TMCI
23.13,23.18,23.13,23.16,400,2021-11-02 17:05:00,TMCI
23.15,23.15,23.15,23.15,109,2021-11-02 17:15:00,TMCI
23.12,23.255,23.12,23.19,3400,2021-11-02 17:20:00,TMCI
23.19,23.19,23.145,23.145,700,2021-11-02 17:25:00,TMCI
23.15,23.15,23.141,23.15,3700,2021-11-02 17:30:00,TMCI
23.15,23.15,23.15,23.15,100,2021-11-02 17:35:00,TMCI
23.14,23.19,23.14,23.16,400,2021-11-02 17:40:00,TMCI
23.22,23.22,23.22,23.22,620,2021-11-02 17:45:00,TMCI
23.19,23.22,23.14,23.22,300,2021-11-02 17:50:00,TMCI
23.17,23.2,23.14,23.2,500,2021-11-02 18:00:00,TMCI
23.18,23.2,23.14,23.195,2881,2021-11-02 18:05:00,TMCI
23.14,23.14,23.12,23.12,704,2021-11-02 18:10:00,TMCI
23.11,23.19,23.11,23.16,500,2021-11-02 18:15:00,TMCI
23.14,23.18,23.11,23.11,700,2021-11-02 18:20:00,TMCI
23.18,23.19,23.18,23.19,200,2021-11-02 18:25:00,TMCI
23.16,23.2,23.16,23.2,400,2021-11-02 18:30:00,TMCI
23.19,23.25,23.18,23.23,6925,2021-11-02 18:35:00,TMCI
23.22,23.27,23.22,23.27,200,2021-11-02 18:40:00,TMCI
23.3,23.3,23.26,23.27,419,2021-11-02 18:45:00,TMCI
23.25,23.255,23.2,23.2,1100,2021-11-02 18:50:00,TMCI
23.2,23.23,23.2,23.23,200,2021-11-02 18:55:00,TMCI
23.23,23.27,23.21,23.22,3796,2021-11-02 19:00:00,TMCI
23.24,23.24,23.23,23.23,200,2021-11-02 19:05:00,TMCI
23.2,23.215,23.17,23.175,1500,2021-11-02 19:10:00,TMCI
23.17,23.2,23.085,23.115,1500,2021-11-02 19:15:00,TMCI
23.1,23.135,23.09,23.135,400,2021-11-02 19:20:00,TMCI
23.06,23.14,23.06,23.14,804,2021-11-02 19:25:00,TMCI
23.1,23.17,23.1,23.1,300,2021-11-02 19:30:00,TMCI
23.18,23.21,23.13,23.15,7439,2021-11-02 19:35:00,TMCI
23.13,23.13,22.96,23.0,4400,2021-11-02 19:40:00,TMCI
23.0,23.06,22.995,23.055,2800,2021-11-02 19:45:00,TMCI
23.045,23.17,23.045,23.14,3398,2021-11-02 19:50:00,TMCI
23.15,23.22,23.12,23.15,7446,2021-11-02 19:55:00,TMCI
23.16,23.16,23.16,23.16,5926,2021-11-02 20:00:00,TMCI
23.23,23.28,23.23,23.28,1587,2021-11-03 13:30:00,TMCI
23.44,23.44,23.43,23.44,300,2021-11-03 13:40:00,TMCI
23.61,23.7,23.23,23.51,6211,2021-11-03 13:45:00,TMCI
23.53,23.87,23.36,23.87,7900,2021-11-03 13:50:00,TMCI
23.68,23.79,23.5,23.63,2328,2021-11-03 13:55:00,TMCI
23.71,23.77,23.65,23.77,823,2021-11-03 14:00:00,TMCI
24.02,24.09,23.9,23.99,1942,2021-11-03 14:10:00,TMCI
23.93,23.93,23.53,23.7,19555,2021-11-03 14:15:00,TMCI
23.71,23.71,23.55,23.55,821,2021-11-03 14:20:00,TMCI
23.69,23.69,23.47,23.55,1722,2021-11-03 14:25:00,TMCI
23.66,23.74,23.6,23.74,625,2021-11-03 14:30:00,TMCI
23.67,23.71,23.63,23.68,1200,2021-11-03 14:35:00,TMCI
23.7,23.7,23.66,23.66,637,2021-11-03 14:40:00,TMCI
23.61,23.61,23.46,23.59,2521,2021-11-03 14:45:00,TMCI
23.545,23.58,23.5,23.57,1100,2021-11-03 14:50:00,TMCI
23.59,23.59,23.35,23.35,1600,2021-11-03 14:55:00,TMCI
23.51,23.52,23.51,23.52,500,2021-11-03 15:00:00,TMCI
23.49,23.49,23.2,23.25,3047,2021-11-03 15:05:00,TMCI
23.2,23.22,23.06,23.07,2716,2021-11-03 15:10:00,TMCI
23.1,23.18,23.1,23.18,500,2021-11-03 15:15:00,TMCI
23.22,23.22,23.22,23.22,200,2021-11-03 15:20:00,TMCI
23.18,23.24,23.13,23.2,1266,2021-11-03 15:25:00,TMCI
23.24,23.3196,23.2,23.24,2000,2021-11-03 15:30:00,TMCI
23.235,23.28,23.23,23.25,2515,2021-11-03 15:40:00,TMCI
23.23,23.3,23.23,23.27,500,2021-11-03 15:45:00,TMCI
23.3,23.31,23.28,23.31,400,2021-11-03 15:50:00,TMCI
23.285,23.39,23.285,23.34,2500,2021-11-03 15:55:00,TMCI
23.37,23.53,23.37,23.53,4002,2021-11-03 16:00:00,TMCI
23.56,23.56,23.56,23.56,100,2021-11-03 16:05:00,TMCI
23.56,23.56,23.48,23.49,2482,2021-11-03 16:10:00,TMCI
23.49,23.6,23.49,23.55,834,2021-11-03 16:15:00,TMCI
23.6,23.73,23.6,23.73,600,2021-11-03 16:20:00,TMCI
23.73,23.73,23.55,23.55,906,2021-11-03 16:25:00,TMCI
23.68,23.69,23.58,23.58,1300,2021-11-03 16:30:00,TMCI
23.62,23.62,23.52,23.52,534,2021-11-03 16:35:00,TMCI
23.56,23.56,23.53,23.55,600,2021-11-03 16:40:00,TMCI
23.58,23.58,23.52,23.52,300,2021-11-03 16:45:00,TMCI
23.52,23.52,23.43,23.44,2422,2021-11-03 16:50:00,TMCI
23.475,23.51,23.475,23.495,400,2021-11-03 16:55:00,TMCI
23.52,23.52,23.52,23.52,800,2021-11-03 17:00:00,TMCI
23.47,23.47,23.47,23.47,100,2021-11-03 17:05:00,TMCI
23.49,23.54,23.43,23.43,1889,2021-11-03 17:10:00,TMCI
23.45,23.45,23.385,23.385,614,2021-11-03 17:15:00,TMCI
23.36,23.36,23.36,23.36,100,2021-11-03 17:20:00,TMCI
23.45,23.48,23.42,23.48,600,2021-11-03 17:25:00,TMCI
23.47,23.47,23.41,23.44,864,2021-11-03 17:30:00,TMCI
23.41,23.52,23.41,23.44,400,2021-11-03 17:35:00,TMCI
23.49,23.49,23.44,23.46,500,2021-11-03 17:40:00,TMCI
23.44,23.44,23.39,23.39,1645,2021-11-03 17:45:00,TMCI
23.425,23.53,23.41,23.5296,2711,2021-11-03 17:50:00,TMCI
23.47,23.52,23.47,23.47,300,2021-11-03 17:55:00,TMCI
23.54,23.63,23.52,23.57,1700,2021-11-03 18:00:00,TMCI
23.68,23.68,23.52,23.52,522,2021-11-03 18:05:00,TMCI
23.53,23.61,23.53,23.61,400,2021-11-03 18:10:00,TMCI
23.54,23.56,23.455,23.56,1406,2021-11-03 18:15:00,TMCI
23.6,23.6,23.5,23.6,1200,2021-11-03 18:20:00,TMCI
23.54,23.61,23.54,23.61,400,2021-11-03 18:25:00,TMCI
23.58,23.61,23.55,23.56,900,2021-11-03 18:30:00,TMCI
23.56,23.56,23.52,23.52,2438,2021-11-03 18:35:00,TMCI
23.56,23.6,23.51,23.56,1402,2021-11-03 18:40:00,TMCI
23.59,23.62,23.575,23.62,900,2021-11-03 18:45:00,TMCI
23.68,23.69,23.55,23.63,1823,2021-11-03 18:50:00,TMCI
23.6,23.65,23.57,23.65,1000,2021-11-03 18:55:00,TMCI
23.655,23.655,23.58,23.6,1861,2021-11-03 19:00:00,TMCI
23.605,23.63,23.55,23.63,1112,2021-11-03 19:05:00,TMCI
23.62,23.62,23.57,23.59,600,2021-11-03 19:10:00,TMCI
23.62,23.63,23.57,23.63,829,2021-11-03 19:15:00,TMCI
23.65,23.72,23.64,23.72,2566,2021-11-03 19:20:00,TMCI
23.67,23.67,23.67,23.67,620,2021-11-03 19:25:00,TMCI
23.68,23.77,23.68,23.76,1112,2021-11-03 19:30:00,TMCI
23.765,23.92,23.765,23.92,1850,2021-11-03 19:35:00,TMCI
23.92,24.01,23.845,23.99,2889,2021-11-03 19:40:00,TMCI
23.96,24.05,23.96,23.99,2762,2021-11-03 19:45:00,TMCI
23.99,24.1,23.985,24.06,6250,2021-11-03 19:50:00,TMCI
24.09,24.14,24.03,24.11,7557,2021-11-03 19:55:00,TMCI
24.04,24.04,24.04,24.04,11135,2021-11-03 20:00:00,TMCI
24.04,24.04,24.04,24.04,314,2021-11-03 20:45:00,TMCI
23.8,23.8,23.8,23.8,150,2021-11-04 13:25:00,TMCI
23.66,23.66,23.5,23.5,5520,2021-11-04 13:30:00,TMCI
