open,high,low,close,volume,datetime,symbol
16.24,16.24,16.24,16.24,389,2021-11-01 13:30:00,TRIN
16.25,16.25,16.24,16.24,200,2021-11-01 13:45:00,TRIN
16.25,16.25,16.25,16.25,100,2021-11-01 13:50:00,TRIN
16.26,16.26,16.25,16.25,707,2021-11-01 13:55:00,TRIN
16.28,16.28,16.28,16.28,100,2021-11-01 14:00:00,TRIN
16.2966,16.2966,16.2966,16.2966,100,2021-11-01 14:20:00,TRIN
16.21,16.21,16.21,16.21,100,2021-11-01 14:25:00,TRIN
16.23,16.25,16.23,16.25,300,2021-11-01 14:30:00,TRIN
16.3,16.3,16.3,16.3,100,2021-11-01 14:35:00,TRIN
16.32,16.32,16.17,16.19,2269,2021-11-01 14:40:00,TRIN
16.19,16.2,16.19,16.2,5638,2021-11-01 14:45:00,TRIN
16.26,16.28,16.18,16.25,1300,2021-11-01 14:50:00,TRIN
16.25,16.25,16.18,16.25,1100,2021-11-01 14:55:00,TRIN
16.29,16.3,16.29,16.3,400,2021-11-01 15:00:00,TRIN
16.3,16.3,16.3,16.3,200,2021-11-01 15:05:00,TRIN
16.28,16.3,16.28,16.3,421,2021-11-01 15:10:00,TRIN
16.33,16.33,16.33,16.33,383,2021-11-01 15:15:00,TRIN
16.34,16.34,16.33,16.33,1700,2021-11-01 15:20:00,TRIN
16.33,16.34,16.33,16.34,400,2021-11-01 15:25:00,TRIN
16.4,16.4,16.4,16.4,1600,2021-11-01 15:30:00,TRIN
16.35,16.35,16.35,16.35,100,2021-11-01 15:40:00,TRIN
16.3,16.34,16.29,16.34,700,2021-11-01 15:45:00,TRIN
16.33,16.34,16.3,16.34,2896,2021-11-01 15:50:00,TRIN
16.33,16.33,16.33,16.33,100,2021-11-01 15:55:00,TRIN
16.34,16.42,16.34,16.42,7609,2021-11-01 16:00:00,TRIN
16.42,16.64,16.37,16.63,7436,2021-11-01 16:05:00,TRIN
16.63,16.63,16.595,16.595,400,2021-11-01 16:10:00,TRIN
16.47,16.505,16.47,16.505,500,2021-11-01 16:15:00,TRIN
16.52,16.52,16.47,16.52,500,2021-11-01 16:20:00,TRIN
16.43,16.43,16.42,16.42,1400,2021-11-01 16:30:00,TRIN
16.42,16.42,16.38,16.38,600,2021-11-01 16:35:00,TRIN
16.38,16.44,16.37,16.37,2200,2021-11-01 16:40:00,TRIN
16.41,16.42,16.365,16.42,2084,2021-11-01 16:45:00,TRIN
16.41,16.41,16.41,16.41,200,2021-11-01 17:00:00,TRIN
16.38,16.41,16.38,16.41,500,2021-11-01 17:05:00,TRIN
16.34,16.36,16.31,16.31,2202,2021-11-01 17:25:00,TRIN
16.335,16.35,16.335,16.35,2142,2021-11-01 17:30:00,TRIN
16.35,16.35,16.35,16.35,100,2021-11-01 17:35:00,TRIN
16.35,16.35,16.3212,16.35,800,2021-11-01 17:40:00,TRIN
16.35,16.35,16.32,16.32,2000,2021-11-01 17:45:00,TRIN
16.37,16.37,16.37,16.37,200,2021-11-01 17:55:00,TRIN
16.33,16.36,16.32,16.36,981,2021-11-01 18:00:00,TRIN
16.3573,16.36,16.3573,16.36,305,2021-11-01 18:10:00,TRIN
16.32,16.32,16.31,16.31,907,2021-11-01 18:15:00,TRIN
16.32,16.35,16.31,16.35,4082,2021-11-01 18:30:00,TRIN
16.35,16.35,16.35,16.35,250,2021-11-01 18:35:00,TRIN
16.35,16.35,16.35,16.35,264,2021-11-01 18:45:00,TRIN
16.34,16.35,16.33,16.35,1588,2021-11-01 18:50:00,TRIN
16.35,16.35,16.3408,16.35,2004,2021-11-01 18:55:00,TRIN
16.345,16.345,16.325,16.325,3251,2021-11-01 19:00:00,TRIN
16.35,16.35,16.35,16.35,100,2021-11-01 19:10:00,TRIN
16.32,16.32,16.31,16.31,300,2021-11-01 19:20:00,TRIN
16.325,16.325,16.325,16.325,100,2021-11-01 19:25:00,TRIN
16.325,16.35,16.325,16.35,1650,2021-11-01 19:35:00,TRIN
16.35,16.35,16.34,16.35,12050,2021-11-01 19:45:00,TRIN
16.34,16.35,16.32,16.335,3745,2021-11-01 19:50:00,TRIN
16.35,16.4,16.35,16.37,4307,2021-11-01 19:55:00,TRIN
16.4,16.4,16.4,16.4,1085,2021-11-01 20:00:00,TRIN
16.4,16.4,16.35,16.4,2427,2021-11-02 13:30:00,TRIN
16.34,16.35,16.3,16.3,3200,2021-11-02 13:35:00,TRIN
16.35,16.35,16.35,16.35,400,2021-11-02 13:40:00,TRIN
16.315,16.315,16.315,16.315,100,2021-11-02 13:45:00,TRIN
16.26,16.27,16.25,16.25,1100,2021-11-02 13:50:00,TRIN
16.2,16.29,16.2,16.28,1700,2021-11-02 14:05:00,TRIN
16.2,16.24,16.2,16.2,500,2021-11-02 14:10:00,TRIN
16.2,16.2,16.2,16.2,100,2021-11-02 14:15:00,TRIN
16.19,16.23,16.19,16.23,600,2021-11-02 14:20:00,TRIN
16.3,16.3,16.3,16.3,100,2021-11-02 14:25:00,TRIN
16.21,16.21,16.2,16.2,200,2021-11-02 14:35:00,TRIN
16.2,16.29,16.19,16.29,1350,2021-11-02 14:40:00,TRIN
16.25,16.25,16.25,16.25,200,2021-11-02 14:45:00,TRIN
16.19,16.235,16.19,16.235,800,2021-11-02 14:50:00,TRIN
16.19,16.235,16.19,16.235,300,2021-11-02 14:55:00,TRIN
16.27,16.28,16.27,16.27,455,2021-11-02 15:00:00,TRIN
16.2,16.27,16.19,16.24,1518,2021-11-02 15:05:00,TRIN
16.32,16.32,16.22,16.29,300,2021-11-02 15:10:00,TRIN
16.2,16.2,16.19,16.19,600,2021-11-02 15:20:00,TRIN
16.19,16.35,16.19,16.35,1876,2021-11-02 15:25:00,TRIN
16.35,16.35,16.35,16.35,100,2021-11-02 15:30:00,TRIN
16.23,16.3398,16.22,16.23,3150,2021-11-02 15:35:00,TRIN
16.2,16.33,16.2,16.33,300,2021-11-02 15:40:00,TRIN
16.21,16.22,16.21,16.21,300,2021-11-02 15:45:00,TRIN
16.3,16.3,16.19,16.19,400,2021-11-02 15:50:00,TRIN
16.19,16.3,16.19,16.3,573,2021-11-02 15:55:00,TRIN
16.22,16.3,16.21,16.27,500,2021-11-02 16:00:00,TRIN
16.22,16.27,16.21,16.21,700,2021-11-02 16:05:00,TRIN
16.28,16.3,16.2,16.2,1175,2021-11-02 16:15:00,TRIN
16.22,16.275,16.21,16.275,500,2021-11-02 16:25:00,TRIN
16.2,16.27,16.19,16.27,700,2021-11-02 16:30:00,TRIN
16.22,16.22,16.1915,16.1915,497,2021-11-02 16:35:00,TRIN
16.19,16.27,16.19,16.235,1475,2021-11-02 16:40:00,TRIN
16.21,16.21,16.2,16.2,300,2021-11-02 16:55:00,TRIN
16.2,16.2,16.2,16.2,300,2021-11-02 17:00:00,TRIN
16.2,16.21,16.2,16.2,1300,2021-11-02 17:05:00,TRIN
16.23,16.23,16.23,16.23,100,2021-11-02 17:10:00,TRIN
16.2,16.2,16.19,16.2,300,2021-11-02 17:20:00,TRIN
16.19,16.29,16.19,16.27,8474,2021-11-02 17:35:00,TRIN
16.33,16.35,16.33,16.35,1690,2021-11-02 17:40:00,TRIN
16.4,16.41,16.4,16.41,300,2021-11-02 17:45:00,TRIN
16.41,16.41,16.41,16.41,100,2021-11-02 17:50:00,TRIN
16.41,16.41,16.3,16.31,1900,2021-11-02 17:55:00,TRIN
16.3,16.3,16.3,16.3,100,2021-11-02 18:05:00,TRIN
16.3,16.3,16.3,16.3,100,2021-11-02 18:20:00,TRIN
16.26,16.26,16.25,16.25,300,2021-11-02 18:30:00,TRIN
16.275,16.275,16.275,16.275,100,2021-11-02 18:35:00,TRIN
16.22,16.23,16.22,16.23,600,2021-11-02 18:40:00,TRIN
16.24,16.24,16.23,16.23,200,2021-11-02 18:50:00,TRIN
16.24,16.24,16.24,16.24,200,2021-11-02 18:55:00,TRIN
16.275,16.3,16.21,16.28,1400,2021-11-02 19:00:00,TRIN
16.24,16.24,16.24,16.24,200,2021-11-02 19:10:00,TRIN
16.23,16.3,16.23,16.265,790,2021-11-02 19:15:00,TRIN
16.26,16.265,16.22,16.22,600,2021-11-02 19:20:00,TRIN
16.21,16.27,16.21,16.27,800,2021-11-02 19:25:00,TRIN
16.28,16.28,16.28,16.28,100,2021-11-02 19:30:00,TRIN
16.33,16.33,16.23,16.3,1746,2021-11-02 19:35:00,TRIN
16.3,16.3,16.285,16.285,500,2021-11-02 19:40:00,TRIN
16.31,16.31,16.31,16.31,100,2021-11-02 19:45:00,TRIN
16.27,16.33,16.27,16.33,1700,2021-11-02 19:55:00,TRIN
16.3,16.3,16.3,16.3,105,2021-11-02 20:00:00,TRIN
16.26,16.26,16.21,16.21,3822,2021-11-03 13:30:00,TRIN
16.21,16.22,16.21,16.21,1900,2021-11-03 13:35:00,TRIN
16.395,16.395,16.395,16.395,200,2021-11-03 13:45:00,TRIN
16.2691,16.2691,16.2691,16.2691,1415,2021-11-03 14:05:00,TRIN
16.23,16.31,16.21,16.31,1400,2021-11-03 14:10:00,TRIN
16.31,16.31,16.31,16.31,100,2021-11-03 14:15:00,TRIN
16.26,16.26,16.26,16.26,100,2021-11-03 14:30:00,TRIN
16.41,16.41,16.41,16.41,600,2021-11-03 14:35:00,TRIN
16.27,16.34,16.26,16.335,1495,2021-11-03 14:40:00,TRIN
16.34,16.34,16.34,16.34,100,2021-11-03 14:55:00,TRIN
16.345,16.345,16.28,16.335,1100,2021-11-03 15:00:00,TRIN
16.41,16.41,16.41,16.41,100,2021-11-03 15:10:00,TRIN
16.335,16.4,16.26,16.4,1600,2021-11-03 15:15:00,TRIN
16.4,16.4,16.36,16.36,300,2021-11-03 15:20:00,TRIN
16.39,16.39,16.36,16.38,539,2021-11-03 15:25:00,TRIN
16.39,16.5,16.3,16.35,2393,2021-11-03 15:30:00,TRIN
16.41,16.46,16.37,16.45,708,2021-11-03 15:35:00,TRIN
16.45,16.45,16.45,16.45,300,2021-11-03 15:40:00,TRIN
16.45,16.45,16.35,16.35,300,2021-11-03 15:45:00,TRIN
16.35,16.35,16.29,16.29,300,2021-11-03 15:50:00,TRIN
16.345,16.38,16.29,16.38,500,2021-11-03 16:00:00,TRIN
16.36,16.36,16.36,16.36,100,2021-11-03 16:05:00,TRIN
16.345,16.37,16.345,16.37,615,2021-11-03 16:10:00,TRIN
16.38,16.4,16.29,16.4,6555,2021-11-03 16:15:00,TRIN
16.39,16.45,16.34,16.45,1516,2021-11-03 16:20:00,TRIN
16.5,16.5,16.28,16.45,1753,2021-11-03 16:25:00,TRIN
16.46,16.46,16.46,16.46,400,2021-11-03 16:30:00,TRIN
16.45,16.46,16.45,16.46,400,2021-11-03 16:35:00,TRIN
16.45,16.45,16.45,16.45,200,2021-11-03 16:40:00,TRIN
16.365,16.365,16.365,16.365,100,2021-11-03 16:45:00,TRIN
16.31,16.39,16.31,16.39,632,2021-11-03 16:50:00,TRIN
16.41,16.41,16.355,16.355,200,2021-11-03 16:55:00,TRIN
16.355,16.4,16.31,16.38,3033,2021-11-03 17:00:00,TRIN
16.36,16.37,16.345,16.345,325,2021-11-03 17:05:00,TRIN
16.38,16.43,16.35,16.43,600,2021-11-03 17:10:00,TRIN
16.43,16.45,16.43,16.44,300,2021-11-03 17:15:00,TRIN
16.44,16.49,16.44,16.49,1582,2021-11-03 17:20:00,TRIN
16.46,16.51,16.46,16.51,700,2021-11-03 17:25:00,TRIN
16.51,16.57,16.51,16.57,200,2021-11-03 17:30:00,TRIN
16.59,16.59,16.46,16.46,300,2021-11-03 17:35:00,TRIN
16.515,16.515,16.515,16.515,100,2021-11-03 17:40:00,TRIN
16.515,16.515,16.45,16.51,439,2021-11-03 17:45:00,TRIN
16.37,16.45,16.35,16.45,824,2021-11-03 17:55:00,TRIN
16.445,16.445,16.445,16.445,100,2021-11-03 18:00:00,TRIN
16.36,16.44,16.35,16.35,300,2021-11-03 18:05:00,TRIN
16.35,16.35,16.35,16.35,500,2021-11-03 18:10:00,TRIN
16.36,16.445,16.35,16.36,1000,2021-11-03 18:15:00,TRIN
16.36,16.36,16.36,16.36,100,2021-11-03 18:20:00,TRIN
16.35,16.35,16.35,16.35,305,2021-11-03 18:25:00,TRIN
16.39,16.43,16.3,16.38,5900,2021-11-03 18:30:00,TRIN
16.38,16.38,16.38,16.38,100,2021-11-03 18:35:00,TRIN
16.38,16.385,16.33,16.33,800,2021-11-03 18:45:00,TRIN
16.34,16.34,16.34,16.34,100,2021-11-03 19:20:00,TRIN
16.375,16.375,16.375,16.375,600,2021-11-03 19:25:00,TRIN
16.33,16.385,16.33,16.385,300,2021-11-03 19:40:00,TRIN
16.385,16.385,16.385,16.385,200,2021-11-03 19:45:00,TRIN
16.43,16.44,16.4,16.41,3173,2021-11-03 19:50:00,TRIN
16.4,16.42,16.34,16.34,8699,2021-11-03 19:55:00,TRIN
16.34,16.34,16.34,16.34,318,2021-11-03 20:00:00,TRIN
16.3,16.35,16.3,16.32,8710,2021-11-04 13:30:00,TRIN
16.28,16.28,16.27,16.27,300,2021-11-04 13:35:00,TRIN
16.26,16.26,16.26,16.26,300,2021-11-04 13:40:00,TRIN
16.26,16.26,16.26,16.26,100,2021-11-04 13:45:00,TRIN
16.26,16.26,16.26,16.26,600,2021-11-04 13:50:00,TRIN
16.26,16.275,16.26,16.275,400,2021-11-04 14:00:00,TRIN
16.26,16.26,16.26,16.26,100,2021-11-04 14:05:00,TRIN
16.25,16.25,16.25,16.25,950,2021-11-04 14:10:00,TRIN
16.25,16.26,16.24,16.24,1011,2021-11-04 14:30:00,TRIN
16.21,16.25,16.205,16.25,1700,2021-11-04 14:35:00,TRIN
16.255,16.26,16.24,16.245,5127,2021-11-04 14:40:00,TRIN
16.25,16.275,16.245,16.25,4037,2021-11-04 14:45:00,TRIN
16.25,16.2507,16.25,16.2507,3070,2021-11-04 15:00:00,TRIN
16.25,16.25,16.25,16.25,670,2021-11-04 15:10:00,TRIN
16.25,16.27,16.21,16.27,3012,2021-11-04 15:20:00,TRIN
16.3,16.3,16.2792,16.2792,1000,2021-11-04 15:30:00,TRIN
16.3,16.31,16.3,16.31,1522,2021-11-04 15:35:00,TRIN
16.41,16.41,16.3,16.32,4800,2021-11-04 15:55:00,TRIN
16.29,16.29,16.25,16.25,2800,2021-11-04 16:25:00,TRIN
16.45,16.45,16.45,16.45,653,2021-11-04 16:35:00,TRIN
16.37,16.38,16.37,16.38,200,2021-11-04 16:40:00,TRIN
16.45,16.45,16.45,16.45,252,2021-11-04 16:45:00,TRIN
16.45,16.45,16.38,16.38,326,2021-11-04 16:50:00,TRIN
16.4,16.4,16.4,16.4,152,2021-11-04 16:55:00,TRIN
16.4,16.4,16.4,16.4,122,2021-11-04 17:00:00,TRIN
