open,high,low,close,volume,datetime,symbol
16.54,16.54,16.54,16.54,1518,2021-11-01 13:30:00,VITL
16.6181,16.6181,16.575,16.5972,850,2021-11-01 13:35:00,VITL
16.6,16.71,16.6,16.71,1300,2021-11-01 13:40:00,VITL
16.75,16.75,16.7348,16.75,800,2021-11-01 13:45:00,VITL
16.77,16.77,16.77,16.77,400,2021-11-01 13:50:00,VITL
16.78,16.8,16.7,16.7,2121,2021-11-01 13:55:00,VITL
16.7,16.7,16.61,16.61,900,2021-11-01 14:00:00,VITL
16.58,16.63,16.58,16.63,992,2021-11-01 14:05:00,VITL
16.75,16.75,16.74,16.74,300,2021-11-01 14:10:00,VITL
16.76,16.785,16.74,16.74,800,2021-11-01 14:15:00,VITL
16.74,16.785,16.74,16.785,686,2021-11-01 14:20:00,VITL
16.83,16.86,16.74,16.74,1201,2021-11-01 14:25:00,VITL
16.74,16.74,16.69,16.74,2400,2021-11-01 14:30:00,VITL
16.7,16.74,16.65,16.68,1450,2021-11-01 14:35:00,VITL
16.65,16.8,16.65,16.8,3460,2021-11-01 14:40:00,VITL
16.775,16.775,16.75,16.75,200,2021-11-01 14:45:00,VITL
16.77,16.87,16.75,16.86,3402,2021-11-01 14:50:00,VITL
16.89,16.89,16.84,16.855,1167,2021-11-01 14:55:00,VITL
16.835,16.88,16.835,16.88,1000,2021-11-01 15:00:00,VITL
16.86,16.88,16.84,16.85,1875,2021-11-01 15:05:00,VITL
16.855,16.87,16.85,16.865,4534,2021-11-01 15:10:00,VITL
16.87,16.87,16.81,16.81,600,2021-11-01 15:15:00,VITL
16.81,16.81,16.75,16.75,600,2021-11-01 15:20:00,VITL
16.69,16.72,16.68,16.68,2198,2021-11-01 15:25:00,VITL
16.69,16.69,16.69,16.69,260,2021-11-01 15:30:00,VITL
16.67,16.67,16.63,16.64,700,2021-11-01 15:35:00,VITL
16.65,16.675,16.64,16.675,500,2021-11-01 15:40:00,VITL
16.65,16.72,16.65,16.69,1500,2021-11-01 15:45:00,VITL
16.72,16.72,16.7,16.7,300,2021-11-01 15:50:00,VITL
16.74,16.775,16.74,16.7493,456,2021-11-01 15:55:00,VITL
16.79,16.79,16.76,16.76,500,2021-11-01 16:00:00,VITL
16.77,16.77,16.75,16.75,804,2021-11-01 16:05:00,VITL
