open,high,low,close,volume,datetime,symbol
13.75,13.845,13.31,13.31,5787,2021-12-01 14:30:00,AVTE
13.435,13.435,13.435,13.435,100,2021-12-01 15:05:00,AVTE
13.79,13.79,13.79,13.79,100,2021-12-01 15:30:00,AVTE
13.75,13.75,13.75,13.75,200,2021-12-01 15:35:00,AVTE
13.765,13.78,13.7,13.75,1000,2021-12-01 15:40:00,AVTE
13.78,13.78,13.78,13.78,300,2021-12-01 15:45:00,AVTE
13.75,13.75,13.75,13.75,100,2021-12-01 15:50:00,AVTE
13.75,13.75,13.75,13.75,100,2021-12-01 16:05:00,AVTE
13.72,13.72,13.72,13.72,200,2021-12-01 16:10:00,AVTE
13.825,13.825,13.825,13.825,100,2021-12-01 16:25:00,AVTE
13.5,13.5,13.5,13.5,100,2021-12-01 16:35:00,AVTE
13.5,13.5,13.5,13.5,100,2021-12-01 16:40:00,AVTE
13.5,13.5,13.5,13.5,100,2021-12-01 16:45:00,AVTE
13.405,13.405,13.405,13.405,100,2021-12-01 16:50:00,AVTE
13.5,13.5,13.32,13.5,900,2021-12-01 16:55:00,AVTE
13.5,13.5,13.5,13.5,100,2021-12-01 17:00:00,AVTE
13.5,13.5,13.5,13.5,700,2021-12-01 17:20:00,AVTE
13.5,13.5,13.34,13.34,200,2021-12-01 17:25:00,AVTE
13.32,13.5,13.32,13.5,1487,2021-12-01 17:30:00,AVTE
13.5,13.505,13.5,13.505,300,2021-12-01 17:35:00,AVTE
13.495,13.495,13.495,13.495,100,2021-12-01 17:40:00,AVTE
13.49,13.67,13.49,13.67,440,2021-12-01 17:45:00,AVTE
13.525,13.525,13.525,13.525,100,2021-12-01 18:05:00,AVTE
13.43,13.535,13.43,13.535,200,2021-12-01 18:30:00,AVTE
13.465,13.465,13.465,13.465,100,2021-12-01 18:35:00,AVTE
13.5,13.5,13.5,13.5,100,2021-12-01 18:40:00,AVTE
13.5,13.525,13.41,13.5,1135,2021-12-01 18:50:00,AVTE
13.41,13.5,13.4,13.5,1000,2021-12-01 18:55:00,AVTE
13.485,13.5344,13.485,13.5344,450,2021-12-01 19:00:00,AVTE
13.47,13.47,13.47,13.47,200,2021-12-01 19:05:00,AVTE
13.47,13.47,13.4,13.47,592,2021-12-01 19:10:00,AVTE
13.46,13.46,13.46,13.46,500,2021-12-01 19:15:00,AVTE
13.41,13.47,13.35,13.44,1187,2021-12-01 19:20:00,AVTE
13.38,13.57,13.35,13.43,2101,2021-12-01 19:25:00,AVTE
13.43,13.44,13.43,13.43,1504,2021-12-01 19:35:00,AVTE
13.43,13.43,13.43,13.43,100,2021-12-01 19:40:00,AVTE
13.435,13.435,13.36,13.36,200,2021-12-01 19:55:00,AVTE
13.435,13.44,13.34,13.44,700,2021-12-01 20:00:00,AVTE
13.45,13.45,13.39,13.41,703,2021-12-01 20:05:00,AVTE
13.41,13.47,13.41,13.47,400,2021-12-01 20:10:00,AVTE
13.41,13.41,13.41,13.41,200,2021-12-01 20:15:00,AVTE
13.52,13.52,13.52,13.52,241,2021-12-01 20:25:00,AVTE
13.52,13.52,13.43,13.43,300,2021-12-01 20:35:00,AVTE
13.47,13.47,13.47,13.47,100,2021-12-01 20:40:00,AVTE
13.39,13.39,13.39,13.39,100,2021-12-01 20:45:00,AVTE
13.36,13.5,13.36,13.36,24705,2021-12-01 20:50:00,AVTE
13.35,13.51,13.31,13.35,29257,2021-12-01 20:55:00,AVTE
13.41,13.41,13.41,13.41,6773,2021-12-01 21:00:00,AVTE
13.21,13.725,13.05,13.05,4205,2021-12-02 14:30:00,AVTE
13.245,13.245,13.245,13.245,19800,2021-12-02 14:40:00,AVTE
13.145,13.26,13.145,13.26,628,2021-12-02 14:50:00,AVTE
13.245,13.245,13.245,13.245,30000,2021-12-02 15:05:00,AVTE
13.06,13.06,12.63,12.63,425,2021-12-02 15:10:00,AVTE
12.61,12.63,12.6,12.63,1100,2021-12-02 15:15:00,AVTE
12.36,12.395,12.21,12.21,15019,2021-12-02 15:20:00,AVTE
12.35,12.35,12.06,12.2039,1800,2021-12-02 15:25:00,AVTE
12.21,12.58,12.21,12.5,2320,2021-12-02 15:30:00,AVTE
12.45,12.45,12.405,12.405,1400,2021-12-02 15:35:00,AVTE
12.5299,12.5299,12.38,12.38,295,2021-12-02 15:40:00,AVTE
12.01,12.185,12.01,12.185,400,2021-12-02 15:45:00,AVTE
12.185,12.185,12.16,12.16,200,2021-12-02 15:50:00,AVTE
12.17,12.2263,12.07,12.2263,739,2021-12-02 15:55:00,AVTE
12.12,12.12,12.12,12.12,100,2021-12-02 16:00:00,AVTE
12.11,12.11,12.11,12.11,200,2021-12-02 16:05:00,AVTE
12.2099,12.2099,12.1612,12.1612,530,2021-12-02 16:10:00,AVTE
12.09,12.09,12.09,12.09,100,2021-12-02 16:15:00,AVTE
12.09,12.09,12.06,12.06,300,2021-12-02 16:20:00,AVTE
12.11,12.1651,12.05,12.06,600,2021-12-02 16:25:00,AVTE
12.05,12.05,11.865,11.865,1570,2021-12-02 16:30:00,AVTE
11.97,12.05,11.865,12.05,1700,2021-12-02 16:35:00,AVTE
11.97,11.97,11.97,11.97,100,2021-12-02 16:40:00,AVTE
11.905,12.0,11.88,11.895,1400,2021-12-02 16:45:00,AVTE
11.915,11.915,11.915,11.915,300,2021-12-02 16:50:00,AVTE
11.915,11.955,11.915,11.955,1999,2021-12-02 16:55:00,AVTE
11.95,12.01,11.81,12.01,2826,2021-12-02 17:00:00,AVTE
12.01,12.27,11.975,12.27,500,2021-12-02 17:05:00,AVTE
12.169,12.169,12.06,12.06,300,2021-12-02 17:10:00,AVTE
11.875,12.0,11.83,11.915,1588,2021-12-02 17:15:00,AVTE
11.97,12.03,11.97,12.03,800,2021-12-02 17:20:00,AVTE
12.135,12.17,12.135,12.17,200,2021-12-02 17:25:00,AVTE
12.14,12.14,12.13,12.13,200,2021-12-02 17:30:00,AVTE
