open,high,low,close,volume,datetime,symbol
2.14,2.14,2.13,2.13,9863,2021-12-01 13:40:00,EJH
2.18,2.2,2.18,2.2,2661,2021-12-01 13:45:00,EJH
2.19,2.19,2.18,2.19,6500,2021-12-01 13:50:00,EJH
2.15,2.15,2.15,2.15,460,2021-12-01 14:25:00,EJH
2.16,2.16,2.11,2.16,22280,2021-12-01 14:30:00,EJH
2.1327,2.17,2.13,2.1583,14460,2021-12-01 14:35:00,EJH
2.1301,2.16,2.13,2.16,4764,2021-12-01 14:40:00,EJH
2.13,2.16,2.13,2.16,2700,2021-12-01 14:45:00,EJH
2.1555,2.1555,2.13,2.13,2250,2021-12-01 14:50:00,EJH
2.1201,2.15,2.1201,2.15,8536,2021-12-01 14:55:00,EJH
2.145,2.15,2.13,2.1335,9292,2021-12-01 15:00:00,EJH
2.13,2.13,2.1,2.1,16753,2021-12-01 15:05:00,EJH
2.109,2.14,2.105,2.14,39694,2021-12-01 15:10:00,EJH
2.11,2.135,2.1,2.1099,42018,2021-12-01 15:15:00,EJH
2.105,2.1271,2.105,2.1106,51596,2021-12-01 15:20:00,EJH
2.1179,2.1179,2.08,2.1,39809,2021-12-01 15:25:00,EJH
2.1,2.1368,2.1,2.13,27046,2021-12-01 15:30:00,EJH
2.13,2.13,2.13,2.13,2180,2021-12-01 15:35:00,EJH
2.14,2.14,2.11,2.14,14230,2021-12-01 15:40:00,EJH
2.1217,2.1484,2.11,2.1484,17649,2021-12-01 15:45:00,EJH
2.1484,2.15,2.1315,2.1377,3521,2021-12-01 15:50:00,EJH
2.139,2.17,2.139,2.1601,48112,2021-12-01 15:55:00,EJH
2.15,2.1501,2.14,2.1484,7361,2021-12-01 16:00:00,EJH
2.15,2.15,2.13,2.14,13074,2021-12-01 16:05:00,EJH
2.1454,2.15,2.1454,2.15,2100,2021-12-01 16:10:00,EJH
2.1401,2.1401,2.14,2.14,18082,2021-12-01 16:15:00,EJH
2.14,2.16,2.14,2.15,6940,2021-12-01 16:20:00,EJH
2.1412,2.15,2.13,2.15,40706,2021-12-01 16:25:00,EJH
2.15,2.17,2.145,2.16,7378,2021-12-01 16:30:00,EJH
2.17,2.17,2.13,2.14,9900,2021-12-01 16:35:00,EJH
2.1499,2.15,2.145,2.15,3400,2021-12-01 16:40:00,EJH
2.155,2.17,2.14,2.15,23135,2021-12-01 16:45:00,EJH
2.15,2.15,2.135,2.15,21142,2021-12-01 16:50:00,EJH
2.15,2.15,2.1317,2.1317,5430,2021-12-01 16:55:00,EJH
2.15,2.16,2.15,2.155,6762,2021-12-01 17:00:00,EJH
2.1501,2.16,2.15,2.1501,26478,2021-12-01 17:05:00,EJH
2.1301,2.1301,2.12,2.12,5579,2021-12-01 17:10:00,EJH
2.125,2.14,2.125,2.13,6100,2021-12-01 17:15:00,EJH
2.14,2.14,2.12,2.12,39619,2021-12-01 17:20:00,EJH
2.1299,2.16,2.1299,2.16,40024,2021-12-01 17:25:00,EJH
2.1601,2.1699,2.1501,2.1501,11225,2021-12-01 17:30:00,EJH
2.1515,2.1516,2.14,2.14,15100,2021-12-01 17:35:00,EJH
2.13,2.1308,2.13,2.1307,5349,2021-12-01 17:40:00,EJH
2.1307,2.1311,2.125,2.1311,13500,2021-12-01 17:45:00,EJH
2.1308,2.14,2.12,2.13,101238,2021-12-01 17:50:00,EJH
2.14,2.14,2.13,2.14,22470,2021-12-01 17:55:00,EJH
2.14,2.14,2.08,2.08,19567,2021-12-01 18:00:00,EJH
2.09,2.0934,2.09,2.0934,12832,2021-12-01 18:05:00,EJH
2.1,2.1,2.06,2.06,20422,2021-12-01 18:10:00,EJH
2.06,2.08,2.04,2.05,33942,2021-12-01 18:15:00,EJH
2.04,2.0766,2.04,2.0766,7050,2021-12-01 18:20:00,EJH
2.07,2.08,2.05,2.05,9074,2021-12-01 18:25:00,EJH
2.08,2.08,2.06,2.075,12808,2021-12-01 18:30:00,EJH
2.0715,2.08,2.07,2.07,20935,2021-12-01 18:35:00,EJH
2.0699,2.0782,2.0691,2.075,13799,2021-12-01 18:40:00,EJH
2.06,2.06,2.04,2.0551,15369,2021-12-01 18:45:00,EJH
2.06,2.08,2.06,2.0769,1614,2021-12-01 18:50:00,EJH
2.07,2.08,2.07,2.075,2220,2021-12-01 18:55:00,EJH
2.07,2.07,2.06,2.07,14750,2021-12-01 19:00:00,EJH
2.07,2.07,2.065,2.069,10653,2021-12-01 19:05:00,EJH
2.06,2.08,2.06,2.0626,17100,2021-12-01 19:10:00,EJH
2.06,2.06,2.03,2.05,36571,2021-12-01 19:20:00,EJH
2.06,2.0682,2.05,2.05,18741,2021-12-01 19:25:00,EJH
2.0699,2.08,2.05,2.06,5885,2021-12-01 19:30:00,EJH
2.06,2.06,2.06,2.06,1200,2021-12-01 19:35:00,EJH
2.0637,2.0637,2.0637,2.0637,295,2021-12-01 19:40:00,EJH
2.05,2.05,2.04,2.0401,5818,2021-12-01 19:45:00,EJH
2.04,2.06,2.04,2.06,603,2021-12-01 19:50:00,EJH
2.057,2.057,2.0427,2.0432,321,2021-12-01 19:55:00,EJH
2.06,2.06,2.0411,2.0411,2886,2021-12-01 20:00:00,EJH
2.0411,2.05,2.0411,2.05,2400,2021-12-01 20:05:00,EJH
2.0491,2.05,2.0326,2.0326,3165,2021-12-01 20:10:00,EJH
2.04,2.04,2.01,2.0197,33382,2021-12-01 20:15:00,EJH
2.02,2.03,2.0101,2.02,7109,2021-12-01 20:20:00,EJH
2.01,2.02,2.01,2.0105,19144,2021-12-01 20:25:00,EJH
2.0299,2.03,2.02,2.02,4068,2021-12-01 20:30:00,EJH
2.013,2.03,2.013,2.0201,7468,2021-12-01 20:35:00,EJH
2.03,2.0499,2.02,2.0499,13949,2021-12-01 20:40:00,EJH
2.05,2.05,2.02,2.02,2000,2021-12-01 20:45:00,EJH
2.02,2.03,2.02,2.03,1850,2021-12-01 20:50:00,EJH
2.03,2.03,2.0,2.02,19995,2021-12-01 20:55:00,EJH
2.0,2.0,2.0,2.0,3855,2021-12-01 21:00:00,EJH
2.0,2.0,1.9999,2.0,24023,2021-12-01 21:15:00,EJH
2.0,2.0,2.0,2.0,1476,2021-12-01 21:25:00,EJH
2.0,2.0,2.0,2.0,100,2021-12-01 21:40:00,EJH
2.0,2.0,2.0,2.0,3500,2021-12-01 21:50:00,EJH
2.0,2.0,2.0,2.0,100,2021-12-01 22:15:00,EJH
2.0,2.0,2.0,2.0,245,2021-12-01 22:25:00,EJH
