open,high,low,close,volume,datetime,symbol
24.79,24.79,24.79,24.79,151,2021-12-01 14:30:00,NYMTL
24.755,24.755,24.755,24.755,200,2021-12-01 14:45:00,NYMTL
24.79,24.79,24.79,24.79,100,2021-12-01 15:05:00,NYMTL
24.84,24.84,24.84,24.84,200,2021-12-01 17:15:00,NYMTL
24.84,24.84,24.84,24.84,100,2021-12-01 17:35:00,NYMTL
24.79,24.79,24.79,24.79,800,2021-12-01 18:35:00,NYMTL
24.79,24.79,24.7899,24.7899,500,2021-12-01 18:40:00,NYMTL
24.78,24.78,24.72,24.72,860,2021-12-01 18:45:00,NYMTL
24.72,24.72,24.72,24.72,385,2021-12-01 18:50:00,NYMTL
24.742,24.742,24.742,24.742,310,2021-12-01 19:45:00,NYMTL
24.63,24.6301,24.6,24.6,2200,2021-12-01 20:10:00,NYMTL
24.6301,24.6301,24.6301,24.6301,200,2021-12-01 20:15:00,NYMTL
24.6,24.6,24.6,24.6,500,2021-12-02 14:30:00,NYMTL
25.0,25.0,25.0,25.0,100,2021-12-02 15:15:00,NYMTL
24.95,24.95,24.95,24.95,585,2021-12-02 16:35:00,NYMTL
24.9326,24.9326,24.9326,24.9326,1100,2021-12-02 16:40:00,NYMTL
24.72,24.72,24.72,24.72,217,2021-12-02 20:15:00,NYMTL
24.65,24.65,24.65,24.65,100,2021-12-02 20:40:00,NYMTL
24.67,24.67,24.64,24.64,200,2021-12-02 20:55:00,NYMTL
24.69,24.69,24.69,24.69,300,2021-12-03 17:15:00,NYMTL
24.81,24.81,24.81,24.81,400,2021-12-06 18:00:00,NYMTL
24.75,24.75,24.75,24.75,367,2021-12-06 20:45:00,NYMTL
24.69,24.69,24.66,24.66,596,2021-12-07 14:30:00,NYMTL
24.67,24.68,24.66,24.67,753,2021-12-07 14:45:00,NYMTL
25.0,25.0,25.0,25.0,595,2021-12-07 16:05:00,NYMTL
24.85,24.85,24.85,24.85,100,2021-12-07 19:50:00,NYMTL
24.7124,24.7124,24.7124,24.7124,984,2021-12-07 20:40:00,NYMTL
24.76,24.76,24.76,24.76,400,2021-12-08 14:30:00,NYMTL
24.76,24.76,24.76,24.76,100,2021-12-08 14:50:00,NYMTL
24.76,24.76,24.6833,24.6833,800,2021-12-08 15:45:00,NYMTL
24.84,24.84,24.7862,24.7862,321,2021-12-08 16:05:00,NYMTL
24.74,24.74,24.74,24.74,100,2021-12-08 19:05:00,NYMTL
24.75,24.75,24.74,24.75,300,2021-12-08 20:00:00,NYMTL
24.74,24.74,24.72,24.72,300,2021-12-08 20:15:00,NYMTL
24.74,24.74,24.74,24.74,293,2021-12-08 20:45:00,NYMTL
24.74,24.74,24.74,24.74,200,2021-12-08 20:50:00,NYMTL
24.74,24.745,24.74,24.745,600,2021-12-08 20:55:00,NYMTL
24.7499,24.75,24.7499,24.75,320,2021-12-09 14:30:00,NYMTL
24.6,24.6,24.6,24.6,620,2021-12-09 15:10:00,NYMTL
24.71,24.71,24.71,24.71,100,2021-12-09 16:35:00,NYMTL
24.68,24.68,24.65,24.65,410,2021-12-09 17:10:00,NYMTL
24.62,24.65,24.6,24.6,655,2021-12-09 17:25:00,NYMTL
24.74,24.75,24.73,24.75,2800,2021-12-09 19:20:00,NYMTL
24.88,24.88,24.88,24.88,100,2021-12-09 19:25:00,NYMTL
24.7,24.7,24.7,24.7,100,2021-12-09 20:00:00,NYMTL
24.705,24.71,24.705,24.71,300,2021-12-09 20:05:00,NYMTL
24.7,24.7,24.7,24.7,100,2021-12-09 20:35:00,NYMTL
24.7,24.7,24.7,24.7,2585,2021-12-09 20:40:00,NYMTL
24.735,24.735,24.735,24.735,200,2021-12-09 20:55:00,NYMTL
24.82,24.82,24.82,24.82,500,2021-12-10 14:30:00,NYMTL
24.74,24.75,24.74,24.7499,740,2021-12-10 17:05:00,NYMTL
24.65,24.65,24.65,24.65,5315,2021-12-10 20:30:00,NYMTL
24.61,24.61,24.6,24.6,5779,2021-12-13 15:05:00,NYMTL
24.6,24.6,24.6,24.6,100,2021-12-13 15:10:00,NYMTL
24.6,24.6,24.6,24.6,363,2021-12-13 15:15:00,NYMTL
24.6,24.65,24.6,24.64,8368,2021-12-13 15:20:00,NYMTL
24.62,24.62,24.62,24.62,245,2021-12-13 15:25:00,NYMTL
24.62,24.62,24.62,24.62,100,2021-12-13 17:15:00,NYMTL
24.715,24.715,24.715,24.715,200,2021-12-13 17:45:00,NYMTL
24.715,24.715,24.715,24.715,100,2021-12-13 17:55:00,NYMTL
24.62,24.62,24.62,24.62,300,2021-12-13 18:25:00,NYMTL
24.62,24.62,24.6,24.6,523,2021-12-13 18:50:00,NYMTL
24.685,24.685,24.685,24.685,1163,2021-12-13 20:50:00,NYMTL
24.6,24.6,24.55,24.55,3120,2021-12-14 14:30:00,NYMTL
24.53,24.53,24.53,24.53,200,2021-12-14 15:35:00,NYMTL
24.5045,24.5299,24.5045,24.5299,499,2021-12-14 17:05:00,NYMTL
24.53,24.53,24.53,24.53,100,2021-12-14 17:10:00,NYMTL
24.51,24.51,24.51,24.51,300,2021-12-14 17:30:00,NYMTL
24.5141,24.5141,24.5141,24.5141,1000,2021-12-14 17:45:00,NYMTL
24.5,24.51,24.5,24.5,395,2021-12-14 17:50:00,NYMTL
24.5,24.5,24.5,24.5,190,2021-12-14 17:55:00,NYMTL
24.49,24.49,24.49,24.49,100,2021-12-14 18:40:00,NYMTL
24.4899,24.4899,24.4899,24.4899,100,2021-12-14 20:45:00,NYMTL
24.55,24.55,24.55,24.55,200,2021-12-15 14:30:00,NYMTL
24.4862,24.61,24.4862,24.61,2000,2021-12-15 15:30:00,NYMTL
24.4508,24.4508,24.4508,24.4508,165,2021-12-15 15:50:00,NYMTL
24.43,24.43,24.43,24.43,200,2021-12-15 16:10:00,NYMTL
24.4,24.4,24.4,24.4,183,2021-12-15 16:15:00,NYMTL
24.43,24.43,24.43,24.43,200,2021-12-15 17:15:00,NYMTL
24.42,24.4201,24.42,24.42,1855,2021-12-15 17:30:00,NYMTL
24.4272,24.4272,24.4272,24.4272,200,2021-12-15 18:20:00,NYMTL
24.48,24.48,24.48,24.48,200,2021-12-15 19:05:00,NYMTL
24.49,24.49,24.4683,24.4683,200,2021-12-15 19:10:00,NYMTL
24.5272,24.53,24.52,24.5299,2680,2021-12-15 20:10:00,NYMTL
24.5299,24.54,24.52,24.5399,1691,2021-12-15 20:40:00,NYMTL
24.575,24.575,24.575,24.575,135,2021-12-16 16:40:00,NYMTL
24.6,24.69,24.6,24.69,476,2021-12-16 16:50:00,NYMTL
24.6,24.6,24.6,24.6,4552,2021-12-16 19:30:00,NYMTL
24.5861,24.5861,24.5861,24.5861,200,2021-12-16 19:40:00,NYMTL
