open,high,low,close,volume,datetime,symbol
9.77,9.77,9.77,9.77,100,2021-12-01 17:50:00,PUCK
9.77,9.77,9.77,9.77,100,2021-12-01 18:30:00,PUCK
9.77,9.77,9.77,9.77,100,2021-12-01 19:10:00,PUCK
9.77,9.77,9.77,9.77,100,2021-12-01 19:50:00,PUCK
9.77,9.77,9.77,9.77,100,2021-12-01 20:15:00,PUCK
9.77,9.77,9.73,9.74,500,2021-12-01 20:50:00,PUCK
9.74,9.74,9.74,9.74,400,2021-12-01 20:55:00,PUCK
9.73,9.73,9.72,9.72,10036,2021-12-02 16:20:00,PUCK
9.74,9.74,9.74,9.74,2300,2021-12-02 16:50:00,PUCK
9.74,9.74,9.74,9.74,5200,2021-12-02 16:55:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 17:05:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 17:15:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 17:30:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 17:40:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 17:50:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 18:00:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 18:10:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 18:20:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 18:30:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 18:40:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 18:50:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 19:00:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 19:10:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 19:20:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 19:30:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 19:40:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 19:50:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 20:00:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 20:10:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-02 20:40:00,PUCK
9.75,9.755,9.75,9.755,3500,2021-12-03 17:05:00,PUCK
9.77,9.77,9.77,9.77,400,2021-12-03 18:15:00,PUCK
9.77,9.77,9.77,9.77,100,2021-12-03 18:30:00,PUCK
9.77,9.77,9.77,9.77,100,2021-12-03 18:50:00,PUCK
9.74,9.74,9.74,9.74,1225,2021-12-03 20:50:00,PUCK
9.77,9.77,9.77,9.77,1200,2021-12-06 14:40:00,PUCK
9.74,9.75,9.74,9.75,900,2021-12-06 14:55:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-06 15:05:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-06 15:15:00,PUCK
9.74,9.7404,9.74,9.7404,650,2021-12-06 15:50:00,PUCK
9.78,9.78,9.78,9.78,100,2021-12-06 16:20:00,PUCK
9.74,9.74,9.74,9.74,100,2021-12-06 16:55:00,PUCK
9.74,9.75,9.74,9.74,2241,2021-12-06 18:25:00,PUCK
9.77,9.77,9.77,9.77,100,2021-12-06 18:40:00,PUCK
9.77,9.77,9.77,9.77,100,2021-12-06 19:05:00,PUCK
9.75,9.75,9.74,9.74,600,2021-12-06 20:00:00,PUCK
9.7476,9.7476,9.7476,9.7476,150,2021-12-06 20:20:00,PUCK
9.76,9.76,9.76,9.76,400,2021-12-07 15:20:00,PUCK
