open,high,low,close,volume,datetime,symbol
12.1,12.165,10.9406,12.04,2966,2021-12-01 14:30:00,PWP
12.14,12.21,12.03,12.03,24028,2021-12-01 14:35:00,PWP
12.03,12.12,12.03,12.105,2729,2021-12-01 14:40:00,PWP
12.105,12.105,12.06,12.06,1300,2021-12-01 14:45:00,PWP
12.06,12.075,12.06,12.06,1100,2021-12-01 14:50:00,PWP
12.06,12.21,12.06,12.17,42349,2021-12-01 14:55:00,PWP
12.195,12.3085,12.17,12.275,7400,2021-12-01 15:00:00,PWP
12.25,12.25,12.21,12.24,1810,2021-12-01 15:05:00,PWP
12.22,12.23,12.21,12.225,1695,2021-12-01 15:10:00,PWP
12.21,12.21,12.19,12.19,1000,2021-12-01 15:15:00,PWP
12.19,12.195,12.15,12.195,2459,2021-12-01 15:20:00,PWP
12.17,12.185,12.15,12.17,1500,2021-12-01 15:25:00,PWP
12.15,12.16,12.12,12.13,2200,2021-12-01 15:30:00,PWP
12.145,12.145,12.1275,12.13,2700,2021-12-01 15:35:00,PWP
12.13,12.18,12.12,12.15,1557,2021-12-01 15:40:00,PWP
12.14,12.145,12.13,12.13,900,2021-12-01 15:45:00,PWP
12.14,12.17,12.14,12.17,2900,2021-12-01 15:50:00,PWP
12.16,12.175,12.15,12.16,1500,2021-12-01 15:55:00,PWP
12.16,12.2,12.16,12.18,4604,2021-12-01 16:00:00,PWP
12.18,12.22,12.17,12.2,5245,2021-12-01 16:05:00,PWP
12.22,12.22,12.2,12.2,3901,2021-12-01 16:10:00,PWP
12.21,12.23,12.17,12.2,24494,2021-12-01 16:15:00,PWP
12.2075,12.2075,12.16,12.18,1500,2021-12-01 16:20:00,PWP
12.18,12.2,12.18,12.18,900,2021-12-01 16:25:00,PWP
12.18,12.19,12.155,12.155,4500,2021-12-01 16:30:00,PWP
12.16,12.17,12.15,12.17,1402,2021-12-01 16:35:00,PWP
12.17,12.18,12.15,12.16,2601,2021-12-01 16:40:00,PWP
12.155,12.165,12.155,12.165,1600,2021-12-01 16:45:00,PWP
12.18,12.21,12.15,12.16,2500,2021-12-01 16:50:00,PWP
12.16,12.16,12.12,12.15,2800,2021-12-01 16:55:00,PWP
12.16,12.16,12.155,12.16,700,2021-12-01 17:00:00,PWP
12.16,12.18,12.15,12.17,3976,2021-12-01 17:05:00,PWP
12.16,12.18,12.16,12.18,3296,2021-12-01 17:10:00,PWP
12.16,12.18,12.16,12.18,1350,2021-12-01 17:15:00,PWP
12.18,12.18,12.17,12.18,2560,2021-12-01 17:20:00,PWP
12.17,12.18,12.17,12.18,3407,2021-12-01 17:25:00,PWP
12.18,12.21,12.18,12.2062,1100,2021-12-01 17:30:00,PWP
12.2,12.2,12.18,12.18,2584,2021-12-01 17:35:00,PWP
12.18,12.18,12.16,12.16,1100,2021-12-01 17:40:00,PWP
12.17,12.17,12.16,12.16,1400,2021-12-01 17:45:00,PWP
12.16,12.19,12.15,12.17,5144,2021-12-01 17:50:00,PWP
12.17,12.18,12.13,12.13,3149,2021-12-01 17:55:00,PWP
12.09,12.105,12.06,12.06,1600,2021-12-01 18:00:00,PWP
12.065,12.065,12.03,12.04,1800,2021-12-01 18:05:00,PWP
12.02,12.025,12.0,12.01,1400,2021-12-01 18:10:00,PWP
12.025,12.03,11.995,11.995,2792,2021-12-01 18:15:00,PWP
12.0,12.035,12.0,12.0,101472,2021-12-01 18:20:00,PWP
11.97,12.005,11.96,12.005,1300,2021-12-01 18:25:00,PWP
12.015,12.04,11.97,11.99,1702,2021-12-01 18:30:00,PWP
12.0,12.0,12.0,12.0,340,2021-12-01 18:35:00,PWP
11.98,11.98,11.95,11.95,588,2021-12-01 18:40:00,PWP
11.945,11.95,11.93,11.93,1500,2021-12-01 18:45:00,PWP
11.93,11.97,11.93,11.97,1400,2021-12-01 18:50:00,PWP
11.96,11.96,11.96,11.96,1970,2021-12-01 18:55:00,PWP
11.96,11.97,11.92,11.92,2979,2021-12-01 19:00:00,PWP
11.91,11.915,11.9,11.9,4700,2021-12-01 19:05:00,PWP
11.9,11.91,11.89,11.91,3683,2021-12-01 19:10:00,PWP
11.915,11.915,11.88,11.885,2121,2021-12-01 19:15:00,PWP
11.885,11.93,11.875,11.93,1500,2021-12-01 19:20:00,PWP
11.93,11.97,11.895,11.97,3408,2021-12-01 19:25:00,PWP
11.95,11.98,11.95,11.965,1300,2021-12-01 19:30:00,PWP
11.965,11.965,11.925,11.95,1500,2021-12-01 19:35:00,PWP
11.935,11.95,11.93,11.935,1200,2021-12-01 19:40:00,PWP
11.935,11.96,11.935,11.96,1900,2021-12-01 19:45:00,PWP
11.95,11.97,11.86,11.89,2200,2021-12-01 19:50:00,PWP
11.885,11.89,11.85,11.85,1400,2021-12-01 19:55:00,PWP
11.865,11.88,11.85,11.85,1802,2021-12-01 20:00:00,PWP
11.85,11.86,11.83,11.83,3799,2021-12-01 20:05:00,PWP
11.83,11.85,11.83,11.85,1781,2021-12-01 20:10:00,PWP
11.86,11.86,11.85,11.85,3822,2021-12-01 20:15:00,PWP
11.86,11.86,11.84,11.84,3381,2021-12-01 20:20:00,PWP
11.84,11.86,11.82,11.83,2900,2021-12-01 20:25:00,PWP
11.83,11.88,11.83,11.87,3232,2021-12-01 20:30:00,PWP
11.88,11.9,11.84,11.86,2800,2021-12-01 20:35:00,PWP
11.86,11.88,11.85,11.87,7300,2021-12-01 20:40:00,PWP
11.87,11.88,11.84,11.84,3200,2021-12-01 20:45:00,PWP
11.83,11.85,11.82,11.85,5256,2021-12-01 20:50:00,PWP
11.85,11.87,11.835,11.86,10308,2021-12-01 20:55:00,PWP
11.85,11.85,11.85,11.85,14296,2021-12-01 21:00:00,PWP
11.78,12.2,11.78,12.2,2191,2021-12-02 14:30:00,PWP
11.91,11.91,11.9,11.9,1540,2021-12-02 14:35:00,PWP
11.88,11.92,11.88,11.9,2700,2021-12-02 14:40:00,PWP
11.95,11.97,11.94,11.97,930,2021-12-02 14:45:00,PWP
12.0,12.0,12.0,12.0,200,2021-12-02 14:50:00,PWP
12.0,12.04,12.0,12.0,1800,2021-12-02 14:55:00,PWP
11.98,11.98,11.96,11.98,2600,2021-12-02 15:00:00,PWP
11.96,12.04,11.96,11.975,13200,2021-12-02 15:05:00,PWP
11.98,12.015,11.975,12.01,3166,2021-12-02 15:10:00,PWP
12.01,12.01,11.96,11.96,3833,2021-12-02 15:15:00,PWP
11.92,11.965,11.92,11.965,3930,2021-12-02 15:20:00,PWP
11.96,12.01,11.96,12.005,2601,2021-12-02 15:25:00,PWP
12.02,12.03,11.98,11.98,2500,2021-12-02 15:30:00,PWP
11.96,11.96,11.95,11.95,400,2021-12-02 15:35:00,PWP
11.84,11.885,11.83,11.885,2402,2021-12-02 15:45:00,PWP
11.91,11.91,11.89,11.9,1654,2021-12-02 15:50:00,PWP
11.91,11.94,11.9,11.94,800,2021-12-02 15:55:00,PWP
11.94,11.96,11.905,11.905,6000,2021-12-02 16:00:00,PWP
11.9,11.9346,11.9,11.92,2970,2021-12-02 16:10:00,PWP
11.93,11.93,11.92,11.925,975,2021-12-02 16:15:00,PWP
11.94,11.96,11.935,11.935,45265,2021-12-02 16:20:00,PWP
11.94,11.95,11.89,11.9,9766,2021-12-02 16:25:00,PWP
11.905,11.905,11.83,11.835,1410,2021-12-02 16:30:00,PWP
11.83,11.875,11.83,11.875,3452,2021-12-02 16:35:00,PWP
11.87,11.87,11.84,11.845,1191,2021-12-02 16:40:00,PWP
11.845,11.86,11.845,11.86,1400,2021-12-02 16:45:00,PWP
11.89,11.925,11.89,11.925,2035,2021-12-02 16:50:00,PWP
11.92,11.92,11.89,11.91,2671,2021-12-02 16:55:00,PWP
11.92,11.92,11.9,11.9,700,2021-12-02 17:00:00,PWP
11.905,11.905,11.905,11.905,100,2021-12-02 17:05:00,PWP
11.905,11.905,11.8825,11.8825,386,2021-12-02 17:10:00,PWP
11.9,11.9,11.9,11.9,400,2021-12-02 17:15:00,PWP
11.9,11.9,11.9,11.9,500,2021-12-02 17:20:00,PWP
11.91,11.94,11.91,11.94,1656,2021-12-02 17:30:00,PWP
