open,high,low,close,volume,datetime,symbol
9.81,9.81,9.81,9.81,6250,2021-12-01 14:15:00,TBCP
9.78,9.78,9.78,9.78,100,2021-12-01 16:45:00,TBCP
9.78,9.79,9.78,9.78,400,2021-12-01 16:50:00,TBCP
9.78,9.79,9.78,9.78,3500,2021-12-01 16:55:00,TBCP
9.79,9.79,9.79,9.79,100,2021-12-01 17:00:00,TBCP
9.78,9.81,9.78,9.81,1132,2021-12-01 17:05:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-01 17:15:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-01 17:30:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-01 17:45:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-01 18:00:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-01 18:20:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-01 18:55:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-01 19:15:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-01 20:50:00,TBCP
9.81,9.81,9.8098,9.81,12500,2021-12-02 20:20:00,TBCP
9.81,9.81,9.8,9.8,23625,2021-12-02 20:35:00,TBCP
9.8,9.8,9.8,9.8,100,2021-12-02 20:40:00,TBCP
9.8,9.81,9.79,9.795,19433,2021-12-02 20:45:00,TBCP
9.79,9.81,9.79,9.795,14250,2021-12-02 20:50:00,TBCP
9.8,9.8,9.79,9.8,18339,2021-12-02 20:55:00,TBCP
9.8,9.81,9.8,9.81,10793,2021-12-03 14:30:00,TBCP
9.84,9.84,9.84,9.84,100,2021-12-03 14:45:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-03 14:50:00,TBCP
9.82,9.82,9.82,9.82,220,2021-12-03 14:55:00,TBCP
9.82,9.82,9.82,9.82,340,2021-12-03 15:00:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-03 15:05:00,TBCP
9.83,9.83,9.81,9.81,300,2021-12-03 15:15:00,TBCP
9.83,9.83,9.83,9.83,100,2021-12-03 15:20:00,TBCP
9.83,9.83,9.83,9.83,100,2021-12-03 15:25:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-03 15:35:00,TBCP
9.84,9.84,9.84,9.84,100,2021-12-03 15:40:00,TBCP
9.83,9.83,9.83,9.83,100,2021-12-03 15:50:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-03 16:00:00,TBCP
9.83,9.83,9.83,9.83,100,2021-12-03 16:10:00,TBCP
9.83,9.83,9.81,9.81,700,2021-12-03 17:50:00,TBCP
9.83,9.83,9.81,9.81,200,2021-12-03 18:15:00,TBCP
9.8,9.8,9.8,9.8,75100,2021-12-03 18:35:00,TBCP
9.8,9.8,9.8,9.8,75000,2021-12-03 18:55:00,TBCP
9.8,9.8,9.8,9.8,1900,2021-12-03 19:10:00,TBCP
9.83,9.83,9.83,9.83,100,2021-12-03 19:25:00,TBCP
9.83,9.83,9.83,9.83,100,2021-12-03 19:35:00,TBCP
9.83,9.83,9.8,9.8,2600,2021-12-03 19:40:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-03 19:50:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-03 20:00:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-03 20:05:00,TBCP
9.8,9.81,9.8,9.81,2200,2021-12-03 20:10:00,TBCP
9.79,9.79,9.79,9.79,500,2021-12-03 20:15:00,TBCP
9.81,9.81,9.8,9.8,400,2021-12-03 20:20:00,TBCP
9.81,9.81,9.8,9.8,5300,2021-12-03 20:25:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-03 20:30:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-03 20:35:00,TBCP
9.81,9.81,9.81,9.81,200,2021-12-03 20:40:00,TBCP
9.81,9.81,9.8,9.8,1100,2021-12-03 20:45:00,TBCP
9.8,9.81,9.8,9.81,1300,2021-12-03 20:50:00,TBCP
9.81,9.83,9.8,9.8,1046,2021-12-03 20:55:00,TBCP
9.83,9.83,9.83,9.83,100,2021-12-03 21:00:00,TBCP
9.79,9.79,9.79,9.79,103,2021-12-06 14:30:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-06 14:40:00,TBCP
9.78,9.78,9.78,9.78,100,2021-12-06 17:15:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-06 17:20:00,TBCP
9.79,9.81,9.79,9.81,1600,2021-12-06 18:45:00,TBCP
9.8,9.81,9.8,9.81,4100,2021-12-06 18:50:00,TBCP
9.8,9.81,9.8,9.81,200,2021-12-06 19:05:00,TBCP
9.8,9.81,9.8,9.81,200,2021-12-06 19:25:00,TBCP
9.8,9.8,9.8,9.8,100,2021-12-06 19:40:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-06 19:45:00,TBCP
9.8,9.8,9.8,9.8,100,2021-12-06 19:55:00,TBCP
9.81,9.81,9.81,9.81,100,2021-12-06 20:00:00,TBCP
9.8,9.8,9.8,9.8,100,2021-12-06 20:10:00,TBCP
9.79,9.79,9.79,9.79,3434,2021-12-06 20:20:00,TBCP
9.8,9.8,9.8,9.8,100,2021-12-06 20:25:00,TBCP
9.8,9.8,9.8,9.8,100,2021-12-06 20:35:00,TBCP
9.8,9.8,9.8,9.8,100,2021-12-06 20:40:00,TBCP
9.8,9.8,9.8,9.8,200,2021-12-06 20:50:00,TBCP
9.8,9.8,9.8,9.8,200,2021-12-06 20:55:00,TBCP
9.82,9.82,9.82,9.82,100,2021-12-07 13:00:00,TBCP
