open,high,low,close,volume,datetime,symbol
2.3,2.3,2.3,2.3,179,2021-04-13 11:33:00,GALT
2.33,2.33,2.33,2.33,100,2021-04-13 12:24:00,GALT
2.37,2.37,2.37,2.37,1000,2021-04-13 12:52:00,GALT
2.28,2.32,2.28,2.31,5899,2021-04-13 13:30:00,GALT
2.3199,2.3199,2.3199,2.3199,173,2021-04-13 13:33:00,GALT
2.3199,2.3199,2.3,2.3,649,2021-04-13 13:34:00,GALT
2.3,2.3,2.2901,2.2901,700,2021-04-13 13:35:00,GALT
2.29,2.29,2.27,2.27,2325,2021-04-13 13:36:00,GALT
2.28,2.28,2.2701,2.2701,755,2021-04-13 13:37:00,GALT
2.28,2.28,2.28,2.28,200,2021-04-13 13:38:00,GALT
2.27,2.27,2.265,2.265,3217,2021-04-13 13:40:00,GALT
2.262,2.262,2.2573,2.2573,550,2021-04-13 13:42:00,GALT
2.259,2.259,2.25,2.25,599,2021-04-13 13:44:00,GALT
2.25,2.25,2.25,2.25,1234,2021-04-13 13:45:00,GALT
2.255,2.255,2.255,2.255,488,2021-04-13 13:46:00,GALT
2.2514,2.2514,2.2514,2.2514,100,2021-04-13 13:47:00,GALT
2.2511,2.2511,2.2511,2.2511,260,2021-04-13 13:48:00,GALT
2.25,2.25,2.25,2.25,800,2021-04-13 13:50:00,GALT
2.255,2.26,2.25,2.2528,2148,2021-04-13 13:51:00,GALT
2.255,2.255,2.255,2.255,800,2021-04-13 13:52:00,GALT
2.2501,2.2501,2.2501,2.2501,352,2021-04-13 13:54:00,GALT
2.255,2.255,2.255,2.255,200,2021-04-13 13:55:00,GALT
2.2599,2.2599,2.2599,2.2599,200,2021-04-13 13:56:00,GALT
2.2501,2.2501,2.2501,2.2501,250,2021-04-13 13:59:00,GALT
2.25,2.25,2.25,2.25,3115,2021-04-13 14:00:00,GALT
2.235,2.24,2.23,2.23,1500,2021-04-13 14:02:00,GALT
2.2306,2.24,2.2301,2.2301,5118,2021-04-13 14:03:00,GALT
2.23,2.23,2.22,2.22,1300,2021-04-13 14:04:00,GALT
2.2275,2.2275,2.2275,2.2275,500,2021-04-13 14:08:00,GALT
2.2201,2.2201,2.2201,2.2201,172,2021-04-13 14:11:00,GALT
2.22,2.22,2.22,2.22,1025,2021-04-13 14:14:00,GALT
2.225,2.225,2.225,2.225,100,2021-04-13 14:15:00,GALT
2.225,2.225,2.225,2.225,100,2021-04-13 14:18:00,GALT
2.225,2.225,2.22,2.2227,2489,2021-04-13 14:19:00,GALT
2.225,2.225,2.22,2.22,2463,2021-04-13 14:20:00,GALT
2.22,2.22,2.22,2.22,100,2021-04-13 14:22:00,GALT
2.225,2.2299,2.22,2.2299,500,2021-04-13 14:27:00,GALT
2.2254,2.2254,2.2254,2.2254,150,2021-04-13 14:29:00,GALT
2.2222,2.2222,2.2222,2.2222,488,2021-04-13 14:31:00,GALT
2.225,2.225,2.2225,2.2225,385,2021-04-13 14:34:00,GALT
2.225,2.225,2.225,2.225,100,2021-04-13 14:36:00,GALT
2.225,2.225,2.225,2.225,450,2021-04-13 14:38:00,GALT
2.23,2.23,2.23,2.23,100,2021-04-13 14:42:00,GALT
2.221,2.221,2.22,2.22,900,2021-04-13 14:46:00,GALT
2.2299,2.2299,2.2299,2.2299,673,2021-04-13 14:47:00,GALT
2.23,2.23,2.23,2.23,3000,2021-04-13 14:48:00,GALT
2.2299,2.2299,2.2299,2.2299,672,2021-04-13 14:49:00,GALT
2.222,2.222,2.22,2.22,1107,2021-04-13 14:51:00,GALT
2.22,2.22,2.22,2.22,400,2021-04-13 14:52:00,GALT
2.22,2.2201,2.22,2.22,1624,2021-04-13 14:56:00,GALT
2.225,2.225,2.225,2.225,500,2021-04-13 14:57:00,GALT
2.22,2.22,2.22,2.22,1321,2021-04-13 15:00:00,GALT
2.2279,2.2279,2.2,2.2,14077,2021-04-13 15:04:00,GALT
2.2099,2.2099,2.2099,2.2099,800,2021-04-13 15:08:00,GALT
2.2,2.2,2.2,2.2,100,2021-04-13 15:10:00,GALT
2.2,2.2,2.2,2.2,100,2021-04-13 15:13:00,GALT
2.21,2.21,2.21,2.21,600,2021-04-13 15:16:00,GALT
2.2,2.2,2.2,2.2,1600,2021-04-13 15:19:00,GALT
2.205,2.205,2.205,2.205,100,2021-04-13 15:21:00,GALT
2.2,2.2,2.2,2.2,100,2021-04-13 15:22:00,GALT
2.2,2.2,2.2,2.2,926,2021-04-13 15:23:00,GALT
2.2,2.2,2.2,2.2,451,2021-04-13 15:24:00,GALT
2.2002,2.2002,2.2002,2.2002,1850,2021-04-13 15:42:00,GALT
2.205,2.205,2.205,2.205,300,2021-04-13 15:45:00,GALT
2.2,2.2,2.175,2.175,18444,2021-04-13 15:52:00,GALT
2.17,2.17,2.17,2.17,100,2021-04-13 15:53:00,GALT
2.17,2.17,2.17,2.17,300,2021-04-13 15:55:00,GALT
2.18,2.18,2.1606,2.1606,8395,2021-04-13 15:56:00,GALT
2.1699,2.1699,2.1699,2.1699,400,2021-04-13 15:58:00,GALT
2.16,2.1678,2.16,2.1678,2213,2021-04-13 16:01:00,GALT
2.165,2.17,2.165,2.17,2100,2021-04-13 16:03:00,GALT
2.165,2.165,2.165,2.165,150,2021-04-13 16:05:00,GALT
2.17,2.17,2.17,2.17,150,2021-04-13 16:07:00,GALT
2.165,2.165,2.165,2.165,210,2021-04-13 16:11:00,GALT
2.16,2.16,2.16,2.16,3274,2021-04-13 16:15:00,GALT
2.1667,2.1667,2.1667,2.1667,100,2021-04-13 16:20:00,GALT
2.17,2.17,2.17,2.17,1000,2021-04-13 16:21:00,GALT
2.1699,2.1699,2.1699,2.1699,100,2021-04-13 16:24:00,GALT
2.165,2.165,2.165,2.165,175,2021-04-13 16:26:00,GALT
2.17,2.17,2.17,2.17,236,2021-04-13 16:28:00,GALT
2.16,2.16,2.16,2.16,2462,2021-04-13 16:29:00,GALT
2.16,2.16,2.16,2.16,550,2021-04-13 16:34:00,GALT
2.16,2.16,2.16,2.16,100,2021-04-13 16:35:00,GALT
2.155,2.16,2.155,2.16,690,2021-04-13 16:36:00,GALT
2.1573,2.16,2.1521,2.1521,6408,2021-04-13 16:38:00,GALT
2.155,2.155,2.155,2.155,300,2021-04-13 16:39:00,GALT
2.15,2.15,2.15,2.15,5697,2021-04-13 16:40:00,GALT
2.1599,2.16,2.1599,2.16,1500,2021-04-13 16:44:00,GALT
2.1501,2.1501,2.1501,2.1501,500,2021-04-13 16:45:00,GALT
2.15,2.155,2.15,2.155,903,2021-04-13 16:46:00,GALT
2.1599,2.1599,2.1599,2.1599,1000,2021-04-13 16:47:00,GALT
2.15,2.15,2.15,2.15,150,2021-04-13 16:48:00,GALT
2.142,2.142,2.1401,2.1401,600,2021-04-13 16:50:00,GALT
2.14,2.14,2.14,2.14,1217,2021-04-13 16:51:00,GALT
2.147,2.147,2.147,2.147,225,2021-04-13 16:54:00,GALT
