open,high,low,close,volume,datetime,symbol
10.15,10.15,10.15,10.15,500,2021-04-13 15:19:00,INKAU
10.1553,10.1553,10.1553,10.1553,200,2021-04-13 16:17:00,INKAU
10.15,10.15,10.15,10.15,100,2021-04-13 19:59:00,INKAU
10.1,10.1,10.1,10.1,220526,2021-04-14 13:34:00,INKAU
10.18,10.2,10.18,10.2,200,2021-04-14 14:23:00,INKAU
10.2,10.2,10.2,10.2,200,2021-04-14 14:28:00,INKAU
10.2,10.2,10.2,10.2,200,2021-04-14 14:35:00,INKAU
10.1909,10.1909,10.1909,10.1909,200,2021-04-14 15:50:00,INKAU
10.17,10.17,10.17,10.17,200,2021-04-14 16:46:00,INKAU
10.2,10.2,10.2,10.2,1400,2021-04-14 18:07:00,INKAU
10.2,10.2,10.2,10.2,3620,2021-04-14 19:27:00,INKAU
10.2,10.2,10.2,10.2,200,2021-04-14 19:36:00,INKAU
10.2,10.2,10.2,10.2,4364,2021-04-14 19:37:00,INKAU
10.24,10.24,10.24,10.24,200,2021-04-14 19:59:00,INKAU
10.175,10.175,10.175,10.175,200,2021-04-15 15:47:00,INKAU
10.1,10.1,10.1,10.1,71749,2021-04-15 16:05:00,INKAU
10.12,10.12,10.1,10.1,400,2021-04-15 16:33:00,INKAU
10.085,10.085,10.07,10.07,200,2021-04-15 16:51:00,INKAU
10.1,10.1,10.1,10.1,100,2021-04-15 19:59:00,INKAU
10.1261,10.1261,10.1261,10.1261,100,2021-04-19 16:19:00,INKAU
10.2,10.22,10.2,10.22,200,2021-04-20 14:02:00,INKAU
10.22,10.24,10.22,10.24,200,2021-04-20 14:08:00,INKAU
10.15,10.15,10.15,10.15,500,2021-04-20 15:34:00,INKAU
10.14,10.14,10.14,10.14,200,2021-04-20 19:59:00,INKAU
10.0971,10.0971,10.0971,10.0971,200,2021-04-22 15:14:00,INKAU
