open,high,low,close,volume,datetime,symbol
21.77,22.07,21.77,21.95,939,2021-04-13 13:30:00,PLSE
22.1,22.1,22.1,22.1,100,2021-04-13 13:38:00,PLSE
21.8507,21.8507,21.8507,21.8507,200,2021-04-13 13:42:00,PLSE
21.84,21.84,21.84,21.84,200,2021-04-13 13:43:00,PLSE
21.83,21.83,21.83,21.83,100,2021-04-13 13:44:00,PLSE
21.87,21.87,21.61,21.61,400,2021-04-13 13:46:00,PLSE
21.805,21.805,21.79,21.79,200,2021-04-13 13:50:00,PLSE
21.5,21.5,21.5,21.5,200,2021-04-13 14:06:00,PLSE
21.36,21.36,21.36,21.36,100,2021-04-13 14:23:00,PLSE
21.36,21.36,21.36,21.36,100,2021-04-13 14:25:00,PLSE
21.48,21.5,21.48,21.5,200,2021-04-13 14:26:00,PLSE
21.4931,21.4931,21.4931,21.4931,122,2021-04-13 14:28:00,PLSE
21.6695,21.6695,21.6695,21.6695,400,2021-04-13 15:04:00,PLSE
21.65,21.65,21.65,21.65,100,2021-04-13 15:07:00,PLSE
21.67,21.67,21.5,21.64,2210,2021-04-13 15:23:00,PLSE
21.435,21.435,21.435,21.435,500,2021-04-13 15:40:00,PLSE
21.56,21.56,21.56,21.56,500,2021-04-13 15:46:00,PLSE
21.36,21.36,21.33,21.33,200,2021-04-13 15:56:00,PLSE
21.44,21.44,21.44,21.44,100,2021-04-13 16:01:00,PLSE
21.32,21.32,21.3,21.3,704,2021-04-13 16:26:00,PLSE
21.3,21.33,21.3,21.33,500,2021-04-13 16:29:00,PLSE
21.36,21.36,21.36,21.36,500,2021-04-13 16:30:00,PLSE
21.35,21.35,21.35,21.35,100,2021-04-13 16:32:00,PLSE
21.54,21.54,21.54,21.54,100,2021-04-13 16:36:00,PLSE
21.4611,21.4611,21.4611,21.4611,676,2021-04-13 16:39:00,PLSE
21.47,21.47,21.47,21.47,100,2021-04-13 16:43:00,PLSE
21.44,21.44,21.44,21.44,110,2021-04-13 16:45:00,PLSE
21.36,21.36,21.36,21.36,100,2021-04-13 17:02:00,PLSE
21.415,21.525,21.415,21.525,316,2021-04-13 17:19:00,PLSE
21.43,21.43,21.38,21.39,900,2021-04-13 17:25:00,PLSE
21.44,21.44,21.4,21.4,300,2021-04-13 17:32:00,PLSE
21.53,21.53,21.53,21.53,100,2021-04-13 17:44:00,PLSE
21.4,21.4,21.4,21.4,100,2021-04-13 17:47:00,PLSE
21.39,21.39,21.39,21.39,100,2021-04-13 17:51:00,PLSE
21.39,21.39,21.39,21.39,100,2021-04-13 17:56:00,PLSE
21.39,21.39,21.39,21.39,500,2021-04-13 17:58:00,PLSE
21.4,21.4,21.4,21.4,185,2021-04-13 17:59:00,PLSE
21.62,21.64,21.62,21.62,1200,2021-04-13 18:01:00,PLSE
21.43,21.43,21.43,21.43,200,2021-04-13 18:02:00,PLSE
21.43,21.44,21.43,21.44,600,2021-04-13 18:03:00,PLSE
21.39,21.39,21.39,21.39,473,2021-04-13 18:04:00,PLSE
21.5,21.58,21.5,21.57,400,2021-04-13 18:07:00,PLSE
21.598,21.598,21.598,21.598,500,2021-04-13 18:09:00,PLSE
21.45,21.45,21.0,21.0,23409,2021-04-13 18:12:00,PLSE
21.14,21.14,21.02,21.02,2500,2021-04-13 18:14:00,PLSE
20.91,20.91,20.91,20.91,141,2021-04-13 18:19:00,PLSE
21.01,21.01,21.01,21.01,200,2021-04-13 18:30:00,PLSE
21.01,21.01,21.0,21.0,900,2021-04-13 18:31:00,PLSE
20.89,20.89,20.89,20.89,100,2021-04-13 18:32:00,PLSE
21.03,21.03,21.03,21.03,100,2021-04-13 18:38:00,PLSE
20.99,21.09,20.99,21.09,400,2021-04-13 18:40:00,PLSE
21.053,21.053,21.053,21.053,500,2021-04-13 18:41:00,PLSE
21.09,21.15,21.02,21.09,2499,2021-04-13 18:42:00,PLSE
21.3,21.3,21.3,21.3,500,2021-04-13 18:44:00,PLSE
21.27,21.28,21.19,21.19,385,2021-04-13 18:46:00,PLSE
21.34,21.35,21.34,21.35,500,2021-04-13 18:47:00,PLSE
21.48,21.48,21.18,21.18,500,2021-04-13 18:48:00,PLSE
21.37,21.37,21.37,21.37,500,2021-04-13 18:49:00,PLSE
21.355,21.355,21.355,21.355,500,2021-04-13 18:50:00,PLSE
21.48,21.48,21.33,21.33,498,2021-04-13 18:51:00,PLSE
21.6599,21.6599,21.6599,21.6599,500,2021-04-13 18:52:00,PLSE
21.45,21.45,21.45,21.45,100,2021-04-13 18:59:00,PLSE
21.76,21.76,21.45,21.45,200,2021-04-13 19:00:00,PLSE
21.76,21.76,21.76,21.76,100,2021-04-13 19:01:00,PLSE
21.52,21.53,21.52,21.53,200,2021-04-13 19:13:00,PLSE
21.51,21.51,21.51,21.51,100,2021-04-13 19:14:00,PLSE
21.52,21.52,21.51,21.51,300,2021-04-13 19:21:00,PLSE
21.41,21.41,21.34,21.34,233,2021-04-13 19:25:00,PLSE
21.23,21.23,21.23,21.23,100,2021-04-13 19:34:00,PLSE
21.19,21.19,21.19,21.19,100,2021-04-13 19:36:00,PLSE
21.35,21.35,21.3,21.3,200,2021-04-13 19:43:00,PLSE
21.2,21.2,21.2,21.2,100,2021-04-13 19:45:00,PLSE
21.3399,21.3399,21.3399,21.3399,100,2021-04-13 19:46:00,PLSE
21.26,21.26,21.26,21.26,100,2021-04-13 19:47:00,PLSE
21.34,21.34,21.34,21.34,100,2021-04-13 19:50:00,PLSE
21.27,21.27,21.27,21.27,146,2021-04-13 19:52:00,PLSE
21.32,21.32,21.31,21.32,306,2021-04-13 19:57:00,PLSE
21.32,21.32,21.24,21.24,2375,2021-04-13 19:58:00,PLSE
21.21,21.35,21.19,21.3,3528,2021-04-13 19:59:00,PLSE
21.34,21.34,21.34,21.34,5006,2021-04-13 20:00:00,PLSE
21.52,21.52,21.52,21.52,327,2021-04-14 13:30:00,PLSE
21.34,21.34,21.34,21.34,100,2021-04-14 13:46:00,PLSE
21.605,21.605,21.605,21.605,941,2021-04-14 13:47:00,PLSE
21.74,21.74,21.74,21.74,200,2021-04-14 13:53:00,PLSE
21.43,21.43,21.43,21.43,100,2021-04-14 14:02:00,PLSE
21.47,21.47,21.47,21.47,100,2021-04-14 14:05:00,PLSE
21.67,21.835,21.67,21.835,200,2021-04-14 14:22:00,PLSE
22.01,22.01,22.01,22.01,100,2021-04-14 14:23:00,PLSE
21.74,21.74,21.74,21.74,100,2021-04-14 14:30:00,PLSE
21.76,21.81,21.75,21.75,834,2021-04-14 14:31:00,PLSE
21.76,21.76,21.76,21.76,100,2021-04-14 14:37:00,PLSE
21.76,21.76,21.69,21.705,400,2021-04-14 14:39:00,PLSE
21.61,21.61,21.61,21.61,500,2021-04-14 14:40:00,PLSE
21.8051,21.87,21.8051,21.86,1100,2021-04-14 14:41:00,PLSE
22.075,22.075,22.075,22.075,100,2021-04-14 14:54:00,PLSE
22.165,22.165,22.06,22.06,400,2021-04-14 15:03:00,PLSE
22.04,22.04,21.99,21.99,200,2021-04-14 15:08:00,PLSE
21.99,22.06,21.76,21.76,325,2021-04-14 15:19:00,PLSE
21.75,21.75,21.75,21.75,100,2021-04-14 15:25:00,PLSE
21.83,21.83,21.7701,21.775,400,2021-04-14 15:36:00,PLSE
21.8,21.8,21.8,21.8,100,2021-04-14 15:37:00,PLSE
21.97,21.97,21.97,21.97,100,2021-04-14 15:39:00,PLSE
21.95,21.95,21.95,21.95,277,2021-04-14 15:49:00,PLSE
21.92,21.92,21.84,21.9,800,2021-04-14 15:50:00,PLSE
21.875,21.875,21.875,21.875,100,2021-04-14 15:53:00,PLSE
21.89,21.89,21.825,21.845,300,2021-04-14 16:00:00,PLSE
21.805,21.805,21.805,21.805,100,2021-04-14 16:03:00,PLSE
21.84,21.84,21.84,21.84,100,2021-04-14 16:07:00,PLSE
21.84,21.84,21.84,21.84,800,2021-04-14 16:09:00,PLSE
21.925,21.925,21.925,21.925,100,2021-04-14 16:12:00,PLSE
21.97,21.98,21.97,21.98,300,2021-04-14 16:24:00,PLSE
21.995,21.995,21.995,21.995,100,2021-04-14 16:48:00,PLSE
22.0,22.0,22.0,22.0,100,2021-04-14 16:49:00,PLSE
22.0,22.0,22.0,22.0,100,2021-04-14 16:50:00,PLSE
21.93,21.93,21.9,21.9,400,2021-04-14 16:58:00,PLSE
21.99,22.01,21.88,21.88,3600,2021-04-14 17:00:00,PLSE
21.91,21.91,21.87,21.87,200,2021-04-14 17:02:00,PLSE
21.9,22.0,21.835,21.835,1000,2021-04-14 17:27:00,PLSE
21.97,21.97,21.97,21.97,100,2021-04-14 17:28:00,PLSE
21.93,21.93,21.93,21.93,178,2021-04-14 17:30:00,PLSE
21.96,21.96,21.96,21.96,200,2021-04-14 17:49:00,PLSE
21.98,21.98,21.98,21.98,100,2021-04-14 17:53:00,PLSE
21.95,21.95,21.84,21.84,951,2021-04-14 17:56:00,PLSE
21.84,21.89,21.84,21.84,498,2021-04-14 17:59:00,PLSE
21.84,21.84,21.83,21.83,300,2021-04-14 18:15:00,PLSE
21.82,21.88,21.82,21.88,521,2021-04-14 18:21:00,PLSE
21.88,21.88,21.88,21.88,100,2021-04-14 18:31:00,PLSE
21.82,21.82,21.67,21.67,400,2021-04-14 18:33:00,PLSE
21.82,21.82,21.81,21.81,200,2021-04-14 18:48:00,PLSE
21.68,21.68,21.565,21.565,400,2021-04-14 18:50:00,PLSE
21.57,21.57,21.39,21.515,700,2021-04-14 18:59:00,PLSE
21.6,21.61,21.6,21.6048,703,2021-04-14 19:01:00,PLSE
21.55,21.55,21.31,21.31,200,2021-04-14 19:02:00,PLSE
