open,high,low,close,volume,datetime,symbol
81.57,81.57,81.57,81.57,2586,2021-04-13 13:30:00,POWI
82.0,82.0,82.0,82.0,118,2021-04-13 13:34:00,POWI
82.0,82.0,82.0,82.0,200,2021-04-13 13:36:00,POWI
81.5,81.5,81.5,81.5,412,2021-04-13 13:40:00,POWI
81.32,81.32,81.29,81.29,300,2021-04-13 13:43:00,POWI
81.02,81.02,81.02,81.02,100,2021-04-13 13:44:00,POWI
81.0,81.01,80.79,80.79,400,2021-04-13 13:48:00,POWI
80.77,80.77,80.76,80.76,1223,2021-04-13 13:49:00,POWI
80.82,81.0,80.82,81.0,200,2021-04-13 13:55:00,POWI
81.106,81.106,81.106,81.106,500,2021-04-13 13:57:00,POWI
81.1,81.11,80.97,81.11,1201,2021-04-13 13:58:00,POWI
80.79,80.79,80.79,80.79,115,2021-04-13 14:03:00,POWI
80.66,80.66,80.66,80.66,100,2021-04-13 14:04:00,POWI
80.52,80.72,80.52,80.72,440,2021-04-13 14:06:00,POWI
80.77,80.89,80.73,80.73,468,2021-04-13 14:09:00,POWI
80.56,80.56,80.56,80.56,200,2021-04-13 14:12:00,POWI
80.51,80.51,80.51,80.51,100,2021-04-13 14:15:00,POWI
80.34,80.34,80.32,80.32,200,2021-04-13 14:17:00,POWI
80.08,80.1,80.08,80.1,200,2021-04-13 14:20:00,POWI
80.33,80.33,80.33,80.33,300,2021-04-13 14:22:00,POWI
80.47,80.47,80.46,80.46,200,2021-04-13 14:23:00,POWI
80.525,80.525,80.525,80.525,100,2021-04-13 14:26:00,POWI
80.565,81.01,80.565,80.95,900,2021-04-13 14:29:00,POWI
81.01,81.01,81.01,81.01,100,2021-04-13 14:30:00,POWI
80.95,80.95,80.95,80.95,100,2021-04-13 14:35:00,POWI
81.17,81.17,81.01,81.01,400,2021-04-13 14:36:00,POWI
81.11,81.11,80.82,80.82,501,2021-04-13 14:37:00,POWI
80.39,80.75,80.39,80.75,400,2021-04-13 14:41:00,POWI
80.59,80.72,80.59,80.695,2396,2021-04-13 14:43:00,POWI
80.72,81.02,80.72,81.02,2884,2021-04-13 14:44:00,POWI
81.15,81.15,80.82,81.1,1224,2021-04-13 14:45:00,POWI
80.8,80.8,80.8,80.8,400,2021-04-13 14:46:00,POWI
80.97,81.02,80.81,81.02,730,2021-04-13 14:47:00,POWI
80.97,81.01,80.97,81.01,1100,2021-04-13 14:48:00,POWI
80.87,80.87,80.87,80.87,100,2021-04-13 14:50:00,POWI
81.01,81.01,81.01,81.01,100,2021-04-13 14:51:00,POWI
81.105,81.105,81.105,81.105,100,2021-04-13 14:57:00,POWI
81.06,81.21,81.06,81.12,400,2021-04-13 14:59:00,POWI
81.13,81.13,81.13,81.13,100,2021-04-13 15:01:00,POWI
81.13,81.13,81.13,81.13,100,2021-04-13 15:02:00,POWI
81.12,81.12,81.12,81.12,100,2021-04-13 15:03:00,POWI
81.11,81.11,81.11,81.11,200,2021-04-13 15:06:00,POWI
81.045,81.045,80.97,80.97,600,2021-04-13 15:07:00,POWI
80.76,80.78,80.76,80.78,200,2021-04-13 15:10:00,POWI
80.8,80.8,80.8,80.8,200,2021-04-13 15:11:00,POWI
80.74,80.74,80.74,80.74,100,2021-04-13 15:15:00,POWI
80.62,80.62,80.61,80.61,200,2021-04-13 15:16:00,POWI
80.415,80.415,80.415,80.415,100,2021-04-13 15:17:00,POWI
80.42,80.42,80.42,80.42,100,2021-04-13 15:20:00,POWI
80.45,80.53,80.45,80.53,300,2021-04-13 15:23:00,POWI
80.52,80.53,80.52,80.53,600,2021-04-13 15:25:00,POWI
80.6,80.6,80.6,80.6,100,2021-04-13 15:26:00,POWI
80.48,80.48,80.48,80.48,100,2021-04-13 15:27:00,POWI
80.65,80.65,80.65,80.65,100,2021-04-13 15:28:00,POWI
80.645,80.645,80.645,80.645,169,2021-04-13 15:31:00,POWI
80.63,80.63,80.56,80.625,1700,2021-04-13 15:32:00,POWI
80.59,80.59,80.555,80.555,500,2021-04-13 15:34:00,POWI
80.43,80.43,80.38,80.41,300,2021-04-13 15:35:00,POWI
80.51,80.675,80.51,80.675,300,2021-04-13 15:43:00,POWI
80.67,80.67,80.67,80.67,100,2021-04-13 15:44:00,POWI
80.605,80.605,80.605,80.605,100,2021-04-13 15:48:00,POWI
80.51,80.51,80.51,80.51,378,2021-04-13 15:50:00,POWI
80.55,80.55,80.55,80.55,100,2021-04-13 15:53:00,POWI
80.49,80.49,80.49,80.49,600,2021-04-13 15:54:00,POWI
80.442,80.442,80.442,80.442,123,2021-04-13 15:59:00,POWI
80.43,80.43,80.43,80.43,100,2021-04-13 16:05:00,POWI
80.43,80.45,80.37,80.395,1100,2021-04-13 16:11:00,POWI
80.41,80.41,80.39,80.39,532,2021-04-13 16:12:00,POWI
80.288,80.288,80.2,80.26,600,2021-04-13 16:14:00,POWI
80.155,80.155,80.155,80.155,100,2021-04-13 16:17:00,POWI
80.16,80.16,80.16,80.16,100,2021-04-13 16:19:00,POWI
80.2,80.2,80.2,80.2,100,2021-04-13 16:22:00,POWI
80.195,80.25,80.195,80.25,800,2021-04-13 16:23:00,POWI
80.24,80.25,80.06,80.1,4070,2021-04-13 16:24:00,POWI
