open,high,low,close,volume,datetime,symbol
6.106,6.106,6.106,6.106,100,2021-05-03 15:05:00,PFIN
6.1514,6.1514,6.1514,6.1514,217,2021-05-03 18:49:00,PFIN
6.1303,6.1303,6.1303,6.1303,107,2021-05-03 19:34:00,PFIN
6.145,6.145,6.145,6.145,800,2021-05-03 19:55:00,PFIN
6.287,6.287,6.02,6.02,6994,2021-05-04 13:30:00,PFIN
6.2873,6.32,6.17,6.32,2484,2021-05-04 13:31:00,PFIN
6.3,6.3,6.2432,6.2432,500,2021-05-04 13:33:00,PFIN
6.22,6.3,6.03,6.3,1305,2021-05-04 13:34:00,PFIN
6.2512,6.32,6.2,6.32,1630,2021-05-04 13:35:00,PFIN
6.32,6.42,6.255,6.42,1000,2021-05-04 13:36:00,PFIN
6.4999,6.4999,6.33,6.4145,1774,2021-05-04 13:37:00,PFIN
6.4657,6.6,6.4657,6.547,1054,2021-05-04 13:38:00,PFIN
6.545,6.554,6.47,6.5515,2117,2021-05-04 13:39:00,PFIN
6.59,6.5998,6.535,6.5356,1000,2021-05-04 13:40:00,PFIN
6.5868,6.5868,6.5169,6.5169,384,2021-05-04 13:41:00,PFIN
6.509,6.6291,6.509,6.54,8337,2021-05-04 13:42:00,PFIN
6.54,6.6115,6.54,6.54,1631,2021-05-04 13:43:00,PFIN
6.42,6.47,6.42,6.45,1152,2021-05-04 13:44:00,PFIN
6.42,6.432,6.37,6.415,1690,2021-05-04 13:45:00,PFIN
6.405,6.405,6.4,6.4,200,2021-05-04 13:46:00,PFIN
6.424,6.5,6.424,6.5,1500,2021-05-04 13:47:00,PFIN
6.47,6.47,6.4224,6.4224,2000,2021-05-04 13:48:00,PFIN
6.45,6.5,6.4,6.4233,2250,2021-05-04 13:49:00,PFIN
6.4113,6.49,6.4113,6.49,200,2021-05-04 13:50:00,PFIN
6.49,6.5611,6.49,6.5611,550,2021-05-04 13:51:00,PFIN
6.5007,6.56,6.4,6.4,2916,2021-05-04 13:52:00,PFIN
6.501,6.501,6.501,6.501,400,2021-05-04 13:56:00,PFIN
6.5263,6.5263,6.5263,6.5263,260,2021-05-04 13:57:00,PFIN
6.5245,6.5245,6.5245,6.5245,155,2021-05-04 13:58:00,PFIN
6.54,6.54,6.54,6.54,683,2021-05-04 13:59:00,PFIN
6.47,6.47,6.47,6.47,100,2021-05-04 14:01:00,PFIN
6.5234,6.5234,6.5234,6.5234,100,2021-05-04 14:02:00,PFIN
6.47,6.5299,6.47,6.5299,550,2021-05-04 14:07:00,PFIN
6.5299,6.5299,6.5299,6.5299,349,2021-05-04 14:16:00,PFIN
6.41,6.41,6.41,6.41,450,2021-05-04 14:18:00,PFIN
6.463,6.463,6.463,6.463,475,2021-05-04 14:19:00,PFIN
6.445,6.445,6.445,6.445,325,2021-05-04 14:20:00,PFIN
6.4095,6.4095,6.4095,6.4095,250,2021-05-04 14:21:00,PFIN
