open,high,low,close,volume,datetime,symbol
10.72,10.79,10.72,10.79,5338,2021-06-01 13:30:00,MDXG
10.79,10.79,10.72,10.755,4487,2021-06-01 13:31:00,MDXG
10.74,10.74,10.66,10.66,6445,2021-06-01 13:34:00,MDXG
10.66,10.68,10.655,10.655,374,2021-06-01 13:35:00,MDXG
10.62,10.63,10.62,10.63,384,2021-06-01 13:37:00,MDXG
10.6101,10.6101,10.5501,10.56,8466,2021-06-01 13:38:00,MDXG
10.535,10.535,10.5,10.5,2022,2021-06-01 13:40:00,MDXG
10.5,10.5,10.48,10.4999,1004,2021-06-01 13:41:00,MDXG
10.46,10.5171,10.46,10.5171,1981,2021-06-01 13:42:00,MDXG
10.5166,10.5166,10.5166,10.5166,500,2021-06-01 13:43:00,MDXG
10.49,10.49,10.46,10.49,900,2021-06-01 13:47:00,MDXG
10.49,10.502,10.49,10.49,1500,2021-06-01 13:48:00,MDXG
10.49,10.5,10.45,10.5,3720,2021-06-01 13:49:00,MDXG
10.485,10.52,10.485,10.52,1453,2021-06-01 13:50:00,MDXG
10.52,10.5356,10.52,10.5356,1300,2021-06-01 13:51:00,MDXG
10.54,10.55,10.51,10.51,2400,2021-06-01 13:52:00,MDXG
10.49,10.5194,10.48,10.48,1408,2021-06-01 13:53:00,MDXG
10.47,10.47,10.47,10.47,100,2021-06-01 13:54:00,MDXG
10.4903,10.4903,10.47,10.47,1163,2021-06-01 13:55:00,MDXG
10.465,10.465,10.46,10.46,200,2021-06-01 13:56:00,MDXG
10.445,10.445,10.44,10.44,395,2021-06-01 13:58:00,MDXG
10.46,10.5,10.46,10.5,1555,2021-06-01 14:01:00,MDXG
10.5,10.515,10.5,10.515,700,2021-06-01 14:02:00,MDXG
10.5,10.505,10.49,10.505,2096,2021-06-01 14:03:00,MDXG
10.51,10.51,10.51,10.51,100,2021-06-01 14:05:00,MDXG
10.52,10.52,10.51,10.51,200,2021-06-01 14:06:00,MDXG
10.51,10.51,10.51,10.51,100,2021-06-01 14:07:00,MDXG
10.52,10.56,10.52,10.56,998,2021-06-01 14:08:00,MDXG
10.55,10.56,10.53,10.5529,2300,2021-06-01 14:09:00,MDXG
10.52,10.52,10.52,10.52,300,2021-06-01 14:10:00,MDXG
10.525,10.525,10.51,10.51,300,2021-06-01 14:11:00,MDXG
10.515,10.515,10.47,10.47,1500,2021-06-01 14:12:00,MDXG
10.46,10.46,10.46,10.46,100,2021-06-01 14:13:00,MDXG
10.445,10.48,10.44,10.46,979,2021-06-01 14:14:00,MDXG
10.455,10.455,10.455,10.455,100,2021-06-01 14:16:00,MDXG
10.48,10.495,10.48,10.495,1026,2021-06-01 14:18:00,MDXG
10.51,10.51,10.49,10.49,300,2021-06-01 14:19:00,MDXG
10.51,10.51,10.51,10.51,300,2021-06-01 14:20:00,MDXG
10.51,10.53,10.47,10.475,1200,2021-06-01 14:21:00,MDXG
10.48,10.48,10.45,10.45,5100,2021-06-01 14:22:00,MDXG
10.455,10.485,10.455,10.485,1336,2021-06-01 14:23:00,MDXG
10.47,10.495,10.47,10.495,200,2021-06-01 14:24:00,MDXG
10.48,10.505,10.47,10.505,500,2021-06-01 14:25:00,MDXG
10.48,10.505,10.46,10.46,700,2021-06-01 14:26:00,MDXG
10.46,10.51,10.46,10.51,500,2021-06-01 14:27:00,MDXG
10.47,10.495,10.47,10.495,200,2021-06-01 14:29:00,MDXG
10.495,10.52,10.48,10.52,300,2021-06-01 14:30:00,MDXG
10.52,10.58,10.51,10.56,1389,2021-06-01 14:31:00,MDXG
10.56,10.58,10.56,10.58,300,2021-06-01 14:32:00,MDXG
10.57,10.57,10.54,10.54,2100,2021-06-01 14:33:00,MDXG
10.555,10.58,10.555,10.58,415,2021-06-01 14:35:00,MDXG
10.59,10.6,10.59,10.6,300,2021-06-01 14:39:00,MDXG
10.59,10.59,10.59,10.59,100,2021-06-01 14:40:00,MDXG
10.58,10.58,10.56,10.56,2000,2021-06-01 14:41:00,MDXG
10.56,10.61,10.54,10.56,11629,2021-06-01 14:42:00,MDXG
10.54,10.54,10.53,10.54,300,2021-06-01 14:44:00,MDXG
10.54,10.54,10.505,10.505,2833,2021-06-01 14:45:00,MDXG
10.515,10.515,10.515,10.515,100,2021-06-01 14:46:00,MDXG
10.515,10.515,10.515,10.515,100,2021-06-01 14:47:00,MDXG
10.49,10.49,10.47,10.47,500,2021-06-01 14:48:00,MDXG
10.48,10.48,10.48,10.48,100,2021-06-01 14:51:00,MDXG
10.485,10.485,10.45,10.46,1522,2021-06-01 14:53:00,MDXG
10.45,10.45,10.4,10.4,787,2021-06-01 14:55:00,MDXG
10.425,10.425,10.4,10.4,200,2021-06-01 14:56:00,MDXG
10.41,10.41,10.41,10.41,100,2021-06-01 14:57:00,MDXG
10.41,10.41,10.34,10.34,2142,2021-06-01 14:59:00,MDXG
10.38,10.39,10.36,10.39,660,2021-06-01 15:02:00,MDXG
10.375,10.4,10.375,10.4,1263,2021-06-01 15:04:00,MDXG
10.42,10.42,10.41,10.41,200,2021-06-01 15:05:00,MDXG
10.41,10.42,10.41,10.42,400,2021-06-01 15:06:00,MDXG
10.42,10.46,10.42,10.435,400,2021-06-01 15:07:00,MDXG
10.42,10.46,10.42,10.46,300,2021-06-01 15:08:00,MDXG
10.46,10.46,10.46,10.46,200,2021-06-01 15:09:00,MDXG
10.46,10.46,10.45,10.45,200,2021-06-01 15:10:00,MDXG
10.46,10.46,10.43,10.46,500,2021-06-01 15:11:00,MDXG
10.46,10.46,10.46,10.46,200,2021-06-01 15:12:00,MDXG
10.45,10.46,10.44,10.46,300,2021-06-01 15:13:00,MDXG
10.46,10.46,10.46,10.46,600,2021-06-01 15:14:00,MDXG
10.46,10.46,10.46,10.46,100,2021-06-01 15:15:00,MDXG
10.46,10.48,10.46,10.48,693,2021-06-01 15:17:00,MDXG
10.5,10.5,10.5,10.5,100,2021-06-01 15:18:00,MDXG
10.505,10.53,10.505,10.53,300,2021-06-01 15:19:00,MDXG
10.5,10.5,10.5,10.5,200,2021-06-01 15:20:00,MDXG
10.5,10.54,10.5,10.54,300,2021-06-01 15:21:00,MDXG
10.505,10.54,10.505,10.54,400,2021-06-01 15:22:00,MDXG
10.51,10.54,10.51,10.54,300,2021-06-01 15:23:00,MDXG
10.51,10.53,10.51,10.53,200,2021-06-01 15:24:00,MDXG
10.51,10.54,10.51,10.54,1400,2021-06-01 15:25:00,MDXG
10.51,10.52,10.5,10.52,478,2021-06-01 15:26:00,MDXG
10.52,10.52,10.52,10.52,300,2021-06-01 15:28:00,MDXG
10.53,10.55,10.53,10.55,200,2021-06-01 15:30:00,MDXG
10.535,10.56,10.52,10.56,400,2021-06-01 15:31:00,MDXG
10.535,10.535,10.535,10.535,200,2021-06-01 15:32:00,MDXG
10.535,10.56,10.535,10.56,800,2021-06-01 15:33:00,MDXG
10.53,10.54,10.53,10.54,300,2021-06-01 15:34:00,MDXG
10.55,10.55,10.53,10.55,1200,2021-06-01 15:35:00,MDXG
10.55,10.555,10.55,10.555,886,2021-06-01 15:36:00,MDXG
10.56,10.56,10.56,10.56,100,2021-06-01 15:37:00,MDXG
10.58,10.59,10.56,10.59,500,2021-06-01 15:38:00,MDXG
10.565,10.59,10.565,10.59,300,2021-06-01 15:39:00,MDXG
10.57,10.6,10.555,10.6,1468,2021-06-01 15:40:00,MDXG
10.6,10.63,10.58,10.58,600,2021-06-01 15:41:00,MDXG
10.6,10.64,10.6,10.64,500,2021-06-01 15:42:00,MDXG
10.59,10.61,10.59,10.61,300,2021-06-01 15:43:00,MDXG
10.61,10.64,10.61,10.63,1300,2021-06-01 15:44:00,MDXG
10.595,10.61,10.595,10.61,300,2021-06-01 15:45:00,MDXG
10.595,10.595,10.595,10.595,100,2021-06-01 15:46:00,MDXG
10.61,10.61,10.595,10.61,300,2021-06-01 15:47:00,MDXG
10.595,10.61,10.595,10.61,1100,2021-06-01 15:48:00,MDXG
10.63,10.63,10.615,10.63,500,2021-06-01 15:49:00,MDXG
10.615,10.63,10.615,10.62,394,2021-06-01 15:50:00,MDXG
10.63,10.64,10.63,10.64,700,2021-06-01 15:51:00,MDXG
10.625,10.65,10.625,10.65,200,2021-06-01 15:52:00,MDXG
10.64,10.68,10.64,10.68,2409,2021-06-01 15:53:00,MDXG
10.68,10.71,10.68,10.71,500,2021-06-01 15:54:00,MDXG
