open,high,low,close,volume,datetime,symbol
4.43,4.43,4.43,4.43,874,2021-08-02 13:30:00,ANIX
4.42,4.42,4.42,4.42,200,2021-08-02 13:32:00,ANIX
4.41,4.41,4.41,4.41,200,2021-08-02 13:33:00,ANIX
4.435,4.435,4.435,4.435,100,2021-08-02 13:35:00,ANIX
4.4101,4.4101,4.4101,4.4101,225,2021-08-02 13:37:00,ANIX
4.4357,4.4357,4.4357,4.4357,200,2021-08-02 13:40:00,ANIX
4.4244,4.4244,4.4244,4.4244,400,2021-08-02 13:41:00,ANIX
4.46,4.46,4.46,4.46,200,2021-08-02 13:45:00,ANIX
4.44,4.44,4.44,4.44,100,2021-08-02 13:46:00,ANIX
4.4275,4.4275,4.4275,4.4275,100,2021-08-02 13:48:00,ANIX
4.43,4.43,4.41,4.4138,300,2021-08-02 13:51:00,ANIX
4.4,4.4,4.4,4.4,400,2021-08-02 13:52:00,ANIX
4.41,4.42,4.41,4.41,478,2021-08-02 13:53:00,ANIX
4.405,4.405,4.405,4.405,500,2021-08-02 13:54:00,ANIX
4.405,4.405,4.405,4.405,500,2021-08-02 13:56:00,ANIX
4.405,4.405,4.405,4.405,454,2021-08-02 13:58:00,ANIX
4.4,4.4,4.4,4.4,200,2021-08-02 13:59:00,ANIX
4.4001,4.4001,4.4001,4.4001,200,2021-08-02 14:02:00,ANIX
4.4017,4.42,4.4017,4.42,2210,2021-08-02 14:03:00,ANIX
4.41,4.41,4.41,4.41,270,2021-08-02 14:05:00,ANIX
4.43,4.43,4.43,4.43,556,2021-08-02 14:06:00,ANIX
4.4101,4.4101,4.4101,4.4101,100,2021-08-02 14:07:00,ANIX
4.42,4.42,4.42,4.42,100,2021-08-02 14:10:00,ANIX
4.41,4.41,4.41,4.41,100,2021-08-02 14:11:00,ANIX
4.401,4.401,4.401,4.401,1000,2021-08-02 14:13:00,ANIX
4.4,4.4,4.36,4.36,3278,2021-08-02 14:14:00,ANIX
4.3507,4.3507,4.3507,4.3507,1000,2021-08-02 14:18:00,ANIX
4.3501,4.3501,4.31,4.31,6439,2021-08-02 14:19:00,ANIX
4.35,4.35,4.35,4.35,100,2021-08-02 14:21:00,ANIX
4.32,4.32,4.32,4.32,300,2021-08-02 14:24:00,ANIX
4.335,4.335,4.335,4.335,300,2021-08-02 14:25:00,ANIX
