open,high,low,close,volume,datetime,symbol
1.7,1.7,1.7,1.7,232,2021-08-02 12:43:00,ZCMD
1.7,1.7,1.7,1.7,200,2021-08-02 13:08:00,ZCMD
1.69,1.69,1.69,1.69,141,2021-08-02 13:36:00,ZCMD
1.6844,1.6844,1.6844,1.6844,750,2021-08-02 13:39:00,ZCMD
1.6851,1.6851,1.6851,1.6851,170,2021-08-02 13:50:00,ZCMD
1.68,1.68,1.68,1.68,100,2021-08-02 14:20:00,ZCMD
1.68,1.68,1.68,1.68,218,2021-08-02 14:27:00,ZCMD
1.695,1.695,1.695,1.695,100,2021-08-02 14:32:00,ZCMD
1.71,1.71,1.71,1.71,5000,2021-08-02 14:43:00,ZCMD
1.71,1.71,1.71,1.71,300,2021-08-02 14:52:00,ZCMD
1.7,1.71,1.7,1.71,1741,2021-08-02 14:56:00,ZCMD
1.71,1.71,1.71,1.71,300,2021-08-02 14:57:00,ZCMD
1.72,1.72,1.71,1.71,804,2021-08-02 15:09:00,ZCMD
1.7,1.7,1.7,1.7,900,2021-08-02 15:11:00,ZCMD
1.6922,1.6922,1.6922,1.6922,200,2021-08-02 15:41:00,ZCMD
1.7,1.7,1.7,1.7,150,2021-08-02 15:43:00,ZCMD
1.71,1.71,1.71,1.71,400,2021-08-02 15:56:00,ZCMD
1.7,1.7,1.7,1.7,100,2021-08-02 16:17:00,ZCMD
1.71,1.71,1.71,1.71,400,2021-08-02 16:23:00,ZCMD
1.6938,1.6938,1.6938,1.6938,490,2021-08-02 16:30:00,ZCMD
1.71,1.71,1.71,1.71,300,2021-08-02 16:57:00,ZCMD
1.71,1.71,1.71,1.71,300,2021-08-02 17:19:00,ZCMD
1.71,1.71,1.71,1.71,200,2021-08-02 17:46:00,ZCMD
1.71,1.71,1.71,1.71,100,2021-08-02 17:55:00,ZCMD
1.72,1.72,1.72,1.72,200,2021-08-02 18:13:00,ZCMD
1.72,1.72,1.71,1.71,1000,2021-08-02 18:16:00,ZCMD
1.71,1.71,1.71,1.71,296,2021-08-02 18:26:00,ZCMD
1.71,1.71,1.7,1.7,288,2021-08-02 18:50:00,ZCMD
1.7,1.7,1.7,1.7,882,2021-08-02 19:40:00,ZCMD
1.7027,1.7027,1.7027,1.7027,200,2021-08-02 19:45:00,ZCMD
1.72,1.72,1.72,1.72,100,2021-08-02 19:59:00,ZCMD
1.7,1.7,1.7,1.7,100,2021-08-03 12:16:00,ZCMD
1.7,1.7,1.7,1.7,200,2021-08-03 13:09:00,ZCMD
