open,high,low,close,volume,datetime,symbol
3.11,3.11,3.1,3.1,3757,2021-09-01 13:30:00,AVTX
3.11,3.11,3.11,3.11,1800,2021-09-01 13:33:00,AVTX
3.1038,3.1038,3.1038,3.1038,100,2021-09-01 13:34:00,AVTX
3.105,3.105,3.105,3.105,2500,2021-09-01 13:35:00,AVTX
3.1,3.11,3.085,3.11,6700,2021-09-01 13:36:00,AVTX
3.11,3.11,3.11,3.11,100,2021-09-01 13:37:00,AVTX
3.1,3.14,3.1,3.14,5501,2021-09-01 13:40:00,AVTX
3.14,3.14,3.14,3.14,100,2021-09-01 13:41:00,AVTX
3.1399,3.14,3.13,3.13,1066,2021-09-01 13:42:00,AVTX
3.14,3.14,3.14,3.14,100,2021-09-01 13:43:00,AVTX
3.14,3.14,3.14,3.14,100,2021-09-01 13:44:00,AVTX
3.145,3.145,3.145,3.145,200,2021-09-01 13:45:00,AVTX
3.145,3.145,3.13,3.13,1480,2021-09-01 13:46:00,AVTX
3.12,3.125,3.12,3.125,751,2021-09-01 13:47:00,AVTX
3.11,3.11,3.1,3.105,3300,2021-09-01 13:52:00,AVTX
3.1,3.1,3.1,3.1,300,2021-09-01 13:53:00,AVTX
3.09,3.1,3.09,3.09,18200,2021-09-01 13:55:00,AVTX
3.1,3.11,3.09,3.11,28800,2021-09-01 13:56:00,AVTX
3.11,3.11,3.11,3.11,806,2021-09-01 13:57:00,AVTX
3.11,3.11,3.1,3.1,1500,2021-09-01 13:58:00,AVTX
3.11,3.11,3.11,3.11,100,2021-09-01 13:59:00,AVTX
3.11,3.11,3.11,3.11,100,2021-09-01 14:00:00,AVTX
3.11,3.13,3.11,3.13,2946,2021-09-01 14:01:00,AVTX
3.13,3.13,3.13,3.13,100,2021-09-01 14:03:00,AVTX
3.13,3.13,3.13,3.13,100,2021-09-01 14:04:00,AVTX
3.1299,3.1299,3.1299,3.1299,1000,2021-09-01 14:05:00,AVTX
3.13,3.13,3.13,3.13,100,2021-09-01 14:06:00,AVTX
3.13,3.13,3.13,3.13,100,2021-09-01 14:07:00,AVTX
3.1101,3.13,3.1101,3.13,1884,2021-09-01 14:11:00,AVTX
3.125,3.125,3.125,3.125,100,2021-09-01 14:12:00,AVTX
3.125,3.125,3.12,3.12,200,2021-09-01 14:13:00,AVTX
3.113,3.113,3.113,3.113,350,2021-09-01 14:17:00,AVTX
3.1178,3.13,3.1178,3.13,3198,2021-09-01 14:20:00,AVTX
3.13,3.13,3.13,3.13,100,2021-09-01 14:21:00,AVTX
3.12,3.12,3.12,3.12,100,2021-09-01 14:22:00,AVTX
3.13,3.13,3.13,3.13,700,2021-09-01 14:25:00,AVTX
3.115,3.115,3.115,3.115,200,2021-09-01 14:26:00,AVTX
3.12,3.12,3.12,3.12,100,2021-09-01 14:29:00,AVTX
3.12,3.12,3.12,3.12,2439,2021-09-01 14:30:00,AVTX
