open,high,low,close,volume,datetime,symbol
30.51,30.57,30.5,30.5,306,2021-09-01 17:39:00,STRS
30.36,30.36,30.311,30.328,1025,2021-09-01 17:41:00,STRS
30.32,30.42,30.32,30.32,821,2021-09-01 17:45:00,STRS
30.3101,30.3101,30.3101,30.3101,134,2021-09-01 18:02:00,STRS
30.255,30.255,30.02,30.08,717,2021-09-01 18:40:00,STRS
30.02,30.02,30.02,30.02,100,2021-09-01 18:43:00,STRS
30.1,30.1,30.01,30.01,200,2021-09-01 19:59:00,STRS
30.22,30.22,30.22,30.22,100,2021-09-02 14:50:00,STRS
29.81,29.81,29.81,29.81,100,2021-09-02 14:51:00,STRS
30.2,30.2,30.2,30.2,100,2021-09-02 14:57:00,STRS
30.6,30.6,30.6,30.6,218,2021-09-02 16:15:00,STRS
30.51,30.51,30.51,30.51,200,2021-09-02 16:16:00,STRS
30.51,30.51,30.51,30.51,100,2021-09-02 16:17:00,STRS
30.19,30.1995,30.19,30.1995,200,2021-09-02 16:18:00,STRS
30.13,30.1896,30.13,30.1896,200,2021-09-02 16:23:00,STRS
30.2,30.2,30.04,30.0694,300,2021-09-02 16:44:00,STRS
30.2,30.3,30.2,30.3,426,2021-09-02 16:56:00,STRS
30.3,30.3,30.3,30.3,100,2021-09-02 16:57:00,STRS
30.11,30.11,30.11,30.11,100,2021-09-02 17:48:00,STRS
30.1,30.1,30.1,30.1,100,2021-09-02 17:50:00,STRS
30.0,30.0,30.0,30.0,300,2021-09-02 18:13:00,STRS
30.29,30.29,30.29,30.29,300,2021-09-02 18:28:00,STRS
30.29,30.3,30.29,30.29,500,2021-09-02 18:29:00,STRS
30.29,30.29,30.29,30.29,100,2021-09-02 18:30:00,STRS
30.3,30.3,30.3,30.3,100,2021-09-02 18:32:00,STRS
30.29,30.29,30.29,30.29,200,2021-09-02 18:40:00,STRS
30.28,30.46,30.28,30.46,300,2021-09-02 18:41:00,STRS
30.46,30.46,30.27,30.28,900,2021-09-02 18:42:00,STRS
30.2,30.2,30.2,30.2,100,2021-09-02 18:43:00,STRS
