open,high,low,close,volume,datetime,symbol
9.76,9.77,9.76,9.77,300,2021-10-04 19:14:00,DISA
9.72,9.72,9.72,9.72,100,2021-10-04 19:18:00,DISA
9.72,9.72,9.72,9.72,100,2021-10-04 19:21:00,DISA
9.72,9.72,9.72,9.72,100,2021-10-04 19:24:00,DISA
9.72,9.72,9.72,9.72,100,2021-10-04 19:27:00,DISA
9.72,9.72,9.72,9.72,100,2021-10-04 19:33:00,DISA
9.77,9.77,9.77,9.77,200,2021-10-04 19:45:00,DISA
9.77,9.77,9.77,9.77,100,2021-10-04 19:47:00,DISA
9.77,9.77,9.77,9.77,100,2021-10-04 19:49:00,DISA
9.77,9.77,9.77,9.77,100,2021-10-04 19:54:00,DISA
9.77,9.77,9.77,9.77,100,2021-10-04 19:56:00,DISA
9.77,9.77,9.77,9.77,100,2021-10-04 19:59:00,DISA
9.77,9.77,9.77,9.77,103,2021-10-07 19:34:00,DISA
9.77,9.77,9.72,9.72,17701,2021-10-07 19:40:00,DISA
9.77,9.77,9.77,9.77,249,2021-10-07 19:41:00,DISA
9.77,9.77,9.77,9.77,200,2021-10-07 19:42:00,DISA
9.77,9.77,9.77,9.77,146,2021-10-07 19:57:00,DISA
9.7,9.7,9.7,9.7,100,2021-10-08 19:50:00,DISA
9.7494,9.7494,9.7494,9.7494,100,2021-10-14 13:47:00,DISA
9.7274,9.7274,9.7274,9.7274,100,2021-10-18 17:01:00,DISA
9.72,9.72,9.72,9.72,535,2021-10-19 15:42:00,DISA
9.735,9.74,9.7325,9.74,775,2021-10-21 19:07:00,DISA
9.74,9.74,9.74,9.74,275,2021-10-21 19:09:00,DISA
9.74,9.74,9.74,9.74,150,2021-10-21 19:10:00,DISA
9.75,9.75,9.75,9.75,126,2021-10-21 19:26:00,DISA
9.75,9.75,9.75,9.75,150,2021-10-21 19:31:00,DISA
9.76,9.76,9.76,9.76,100,2021-10-21 19:42:00,DISA
9.74,9.74,9.74,9.74,1244,2021-10-21 19:58:00,DISA
9.7599,9.7599,9.7599,9.7599,100,2021-10-25 13:55:00,DISA
9.72,9.72,9.72,9.72,200,2021-10-25 15:35:00,DISA
9.72,9.72,9.72,9.72,200,2021-10-25 18:02:00,DISA
9.72,9.72,9.72,9.72,2618,2021-10-25 19:52:00,DISA
9.7599,9.76,9.75,9.76,2550,2021-10-26 15:11:00,DISA
9.76,9.76,9.7598,9.76,5000,2021-10-26 15:12:00,DISA
9.73,9.73,9.73,9.73,500,2021-10-27 14:06:00,DISA
9.725,9.725,9.725,9.725,2000,2021-10-29 17:35:00,DISA
9.74,9.74,9.74,9.74,2000,2021-10-29 18:25:00,DISA
