open,high,low,close,volume,datetime,symbol
43.2995,43.31,43.2995,43.31,402,2021-10-01 13:57:00,EMXF
43.1692,43.2,43.1692,43.2,364,2021-10-01 14:40:00,EMXF
43.35,43.35,43.35,43.35,5832,2021-10-01 16:23:00,EMXF
43.361,43.361,43.361,43.361,225,2021-10-01 17:21:00,EMXF
43.48,43.48,43.48,43.48,185,2021-10-01 18:11:00,EMXF
43.49,43.5,43.49,43.5,28020,2021-10-01 19:24:00,EMXF
43.05,43.05,43.0,43.0,250,2021-10-04 13:32:00,EMXF
42.795,42.795,42.795,42.795,123,2021-10-04 14:21:00,EMXF
42.62,42.62,42.62,42.62,115,2021-10-04 16:14:00,EMXF
42.58,42.58,42.58,42.58,560,2021-10-04 16:22:00,EMXF
42.63,42.63,42.63,42.63,253,2021-10-04 19:54:00,EMXF
42.88,42.88,42.88,42.88,145,2021-10-05 13:30:00,EMXF
42.98,42.98,42.98,42.98,300,2021-10-05 20:00:00,EMXF
42.31,42.31,42.31,42.31,200,2021-10-06 13:31:00,EMXF
42.61,42.61,42.61,42.61,700,2021-10-06 15:56:00,EMXF
42.84,42.84,42.84,42.84,200,2021-10-06 20:00:00,EMXF
43.62,43.62,43.62,43.62,337,2021-10-07 19:01:00,EMXF
43.62,43.829,43.6095,43.8,5906,2021-10-07 19:04:00,EMXF
43.5,43.5,43.49,43.49,300,2021-10-08 13:31:00,EMXF
43.48,43.48,43.48,43.48,400,2021-10-08 13:34:00,EMXF
43.46,43.46,43.46,43.46,400,2021-10-08 13:39:00,EMXF
43.51,43.51,43.51,43.51,100,2021-10-08 13:40:00,EMXF
43.53,43.53,43.53,43.53,309,2021-10-08 15:17:00,EMXF
43.47,43.47,43.47,43.47,345,2021-10-08 17:17:00,EMXF
43.51,43.51,43.51,43.51,300,2021-10-08 20:00:00,EMXF
43.84,43.84,43.84,43.84,100,2021-10-11 13:31:00,EMXF
43.52,43.52,43.52,43.52,300,2021-10-11 17:16:00,EMXF
43.51,43.51,43.51,43.51,179,2021-10-11 17:21:00,EMXF
43.42,43.42,43.42,43.42,1613,2021-10-11 19:49:00,EMXF
43.4,43.4,43.3765,43.3765,1000,2021-10-11 19:58:00,EMXF
43.4,43.4,43.4,43.4,100,2021-10-11 20:00:00,EMXF
43.42,43.42,43.42,43.42,133,2021-10-12 15:17:00,EMXF
43.3,43.3,43.3,43.3,500,2021-10-12 20:00:00,EMXF
43.86,43.86,43.86,43.86,300,2021-10-13 20:00:00,EMXF
44.1,44.1,44.1,44.1,137,2021-10-14 13:30:00,EMXF
44.07,44.07,44.07,44.07,100,2021-10-14 13:31:00,EMXF
43.97,43.97,43.97,43.97,3630,2021-10-14 18:12:00,EMXF
44.01,44.01,44.01,44.01,200,2021-10-14 20:00:00,EMXF
44.5113,44.5113,44.5113,44.5113,130,2021-10-15 14:12:00,EMXF
44.6,44.6,44.6,44.6,300,2021-10-18 20:00:00,EMXF
45.08,45.08,45.08,45.08,605,2021-10-19 18:51:00,EMXF
45.22,45.22,45.22,45.22,672,2021-10-20 19:39:00,EMXF
44.84,44.84,44.84,44.84,100,2021-10-21 13:30:00,EMXF
44.725,44.725,44.725,44.725,500,2021-10-21 13:38:00,EMXF
44.81,44.81,44.81,44.81,2683,2021-10-21 18:58:00,EMXF
44.93,44.93,44.9293,44.9293,848,2021-10-25 14:12:00,EMXF
44.99,44.99,44.99,44.99,150,2021-10-25 19:52:00,EMXF
45.12,45.12,45.12,45.12,700,2021-10-26 13:31:00,EMXF
45.055,45.055,45.055,45.055,100,2021-10-26 15:13:00,EMXF
45.05,45.05,45.05,45.05,120,2021-10-26 15:24:00,EMXF
44.8517,44.87,44.8517,44.87,444,2021-10-26 19:52:00,EMXF
44.86,44.86,44.86,44.86,221,2021-10-26 19:54:00,EMXF
44.39,44.39,44.39,44.39,100,2021-10-27 13:31:00,EMXF
44.37,44.37,44.37,44.37,200,2021-10-27 13:32:00,EMXF
44.42,44.42,44.42,44.42,200,2021-10-27 13:33:00,EMXF
44.44,44.62,44.44,44.62,200,2021-10-27 13:34:00,EMXF
44.6512,44.66,44.6512,44.66,230,2021-10-27 16:14:00,EMXF
44.53,44.53,44.53,44.53,143,2021-10-27 19:45:00,EMXF
44.42,44.42,44.42,44.42,100,2021-10-28 14:13:00,EMXF
44.4594,44.46,44.4594,44.46,270,2021-10-28 16:56:00,EMXF
44.415,44.415,44.415,44.415,135,2021-10-28 17:04:00,EMXF
44.48,44.48,44.438,44.438,308,2021-10-28 18:13:00,EMXF
43.94,43.94,43.94,43.94,561,2021-10-29 14:24:00,EMXF
43.95,43.95,43.95,43.95,118,2021-10-29 14:31:00,EMXF
43.98,43.98,43.98,43.98,142,2021-10-29 16:43:00,EMXF
43.9287,43.95,43.9287,43.95,444,2021-10-29 19:39:00,EMXF
