open,high,low,close,volume,datetime,symbol
33.86,33.86,33.81,33.81,200,2021-10-01 14:05:00,FTXD
33.813,33.813,33.813,33.813,350,2021-10-01 14:09:00,FTXD
33.6,33.6,33.6,33.6,290,2021-10-01 14:56:00,FTXD
33.99,33.99,33.99,33.99,100,2021-10-01 17:11:00,FTXD
33.96,33.96,33.93,33.93,1520,2021-10-01 17:27:00,FTXD
34.05,34.05,34.05,34.05,100,2021-10-01 17:37:00,FTXD
34.225,34.225,34.225,34.225,391,2021-10-01 19:24:00,FTXD
33.6657,33.695,33.6657,33.695,900,2021-10-04 14:28:00,FTXD
33.54,33.54,33.54,33.54,544,2021-10-04 14:40:00,FTXD
33.65,33.65,33.65,33.65,809,2021-10-04 14:48:00,FTXD
33.54,33.54,33.51,33.51,1000,2021-10-04 15:10:00,FTXD
33.5401,33.565,33.5401,33.565,1041,2021-10-04 15:11:00,FTXD
33.685,33.685,33.685,33.685,200,2021-10-04 17:23:00,FTXD
33.675,33.675,33.675,33.675,133,2021-10-04 17:45:00,FTXD
33.66,33.66,33.66,33.66,160,2021-10-04 18:02:00,FTXD
33.5501,33.5501,33.5501,33.5501,301,2021-10-04 19:21:00,FTXD
33.85,33.85,33.85,33.85,100,2021-10-05 15:45:00,FTXD
33.85,33.85,33.848,33.848,500,2021-10-05 15:47:00,FTXD
33.72,33.72,33.72,33.72,195,2021-10-05 17:27:00,FTXD
33.7213,33.7213,33.7213,33.7213,125,2021-10-05 18:05:00,FTXD
33.74,33.74,33.74,33.74,720,2021-10-05 19:01:00,FTXD
33.28,33.28,33.28,33.28,300,2021-10-06 16:19:00,FTXD
33.47,33.47,33.47,33.47,100,2021-10-06 18:01:00,FTXD
33.52,33.52,33.52,33.52,100,2021-10-06 19:56:00,FTXD
33.99,33.99,33.99,33.99,282,2021-10-07 13:35:00,FTXD
34.0501,34.0501,34.0501,34.0501,425,2021-10-07 13:42:00,FTXD
34.178,34.178,34.178,34.178,293,2021-10-07 14:25:00,FTXD
34.22,34.22,34.22,34.22,100,2021-10-07 15:11:00,FTXD
34.2379,34.2379,34.2,34.2,250,2021-10-07 15:38:00,FTXD
34.235,34.235,34.235,34.235,125,2021-10-07 16:03:00,FTXD
34.2551,34.2551,34.2551,34.2551,103,2021-10-07 18:03:00,FTXD
34.225,34.26,34.225,34.26,600,2021-10-07 18:07:00,FTXD
34.03,34.03,34.03,34.03,100,2021-10-07 19:57:00,FTXD
33.98,33.98,33.98,33.98,353,2021-10-08 13:30:00,FTXD
34.095,34.095,34.095,34.095,122,2021-10-08 13:37:00,FTXD
34.025,34.025,34.025,34.025,580,2021-10-08 16:15:00,FTXD
33.99,33.99,33.99,33.99,688,2021-10-08 16:39:00,FTXD
34.03,34.03,34.03,34.03,251,2021-10-08 17:07:00,FTXD
33.9801,33.9801,33.9801,33.9801,1704,2021-10-08 18:04:00,FTXD
34.12,34.155,34.11,34.155,7434,2021-10-11 14:08:00,FTXD
34.14,34.14,34.14,34.14,100,2021-10-11 14:18:00,FTXD
34.21,34.21,34.21,34.21,800,2021-10-11 14:27:00,FTXD
34.1278,34.1278,34.1278,34.1278,600,2021-10-11 16:18:00,FTXD
33.9301,33.9301,33.93,33.93,900,2021-10-11 17:53:00,FTXD
33.75,33.75,33.75,33.75,200,2021-10-11 19:57:00,FTXD
33.9,33.9,33.9,33.9,1000,2021-10-12 14:47:00,FTXD
33.88,33.88,33.88,33.88,700,2021-10-12 16:54:00,FTXD
33.84,33.8768,33.84,33.8768,280,2021-10-12 19:16:00,FTXD
33.8955,33.8955,33.8955,33.8955,111,2021-10-12 19:30:00,FTXD
33.87,33.87,33.87,33.87,300,2021-10-12 19:44:00,FTXD
33.88,33.88,33.86,33.88,700,2021-10-12 19:45:00,FTXD
33.9008,33.9008,33.9008,33.9008,1173,2021-10-13 15:49:00,FTXD
34.19,34.19,34.19,34.19,100,2021-10-13 18:03:00,FTXD
34.1899,34.1899,34.1899,34.1899,100,2021-10-13 18:27:00,FTXD
34.08,34.08,34.08,34.08,100,2021-10-13 19:50:00,FTXD
34.07,34.07,34.07,34.07,100,2021-10-13 19:56:00,FTXD
34.27,34.27,34.27,34.27,282,2021-10-14 13:58:00,FTXD
34.765,34.765,34.765,34.765,100,2021-10-15 13:42:00,FTXD
34.805,34.805,34.805,34.805,206,2021-10-15 13:46:00,FTXD
34.852,34.852,34.83,34.83,742,2021-10-15 14:24:00,FTXD
34.868,34.868,34.868,34.868,100,2021-10-15 16:26:00,FTXD
34.83,34.83,34.83,34.83,200,2021-10-15 19:02:00,FTXD
34.74,34.74,34.74,34.74,100,2021-10-15 19:58:00,FTXD
34.95,34.95,34.95,34.95,200,2021-10-18 14:24:00,FTXD
35.1542,35.1542,35.1542,35.1542,100,2021-10-18 15:13:00,FTXD
35.325,35.325,35.325,35.325,100,2021-10-18 16:41:00,FTXD
35.3698,35.3698,35.3698,35.3698,100,2021-10-18 18:34:00,FTXD
35.365,35.365,35.365,35.365,100,2021-10-18 19:00:00,FTXD
35.37,35.43,35.37,35.43,2918,2021-10-18 19:44:00,FTXD
35.43,35.43,35.43,35.43,100,2021-10-18 19:59:00,FTXD
35.475,35.475,35.475,35.475,110,2021-10-19 13:43:00,FTXD
35.325,35.325,35.26,35.3101,900,2021-10-19 14:00:00,FTXD
35.3393,35.3393,35.3393,35.3393,100,2021-10-19 14:14:00,FTXD
35.2494,35.2494,35.2494,35.2494,100,2021-10-19 14:50:00,FTXD
35.34,35.34,35.34,35.34,323,2021-10-19 16:07:00,FTXD
35.25,35.25,35.25,35.25,100,2021-10-19 18:45:00,FTXD
35.3,35.3,35.3,35.3,100,2021-10-19 19:06:00,FTXD
35.34,35.34,35.34,35.34,100,2021-10-19 19:29:00,FTXD
35.3,35.3,35.3,35.3,100,2021-10-19 19:30:00,FTXD
35.51,35.51,35.51,35.51,100,2021-10-20 13:57:00,FTXD
35.4819,35.4819,35.4819,35.4819,500,2021-10-20 13:58:00,FTXD
35.55,35.55,35.55,35.55,1722,2021-10-20 14:14:00,FTXD
35.55,35.55,35.55,35.55,100,2021-10-20 14:15:00,FTXD
35.55,35.55,35.55,35.55,100,2021-10-20 15:03:00,FTXD
35.5901,35.5901,35.5901,35.5901,200,2021-10-20 16:23:00,FTXD
35.59,35.59,35.59,35.59,100,2021-10-20 17:03:00,FTXD
35.57,35.57,35.57,35.57,100,2021-10-20 17:18:00,FTXD
35.53,35.53,35.48,35.48,414,2021-10-20 17:44:00,FTXD
35.51,35.51,35.51,35.51,100,2021-10-20 17:51:00,FTXD
35.38,35.38,35.38,35.38,117,2021-10-20 19:45:00,FTXD
35.7,35.7,35.7,35.7,200,2021-10-21 16:10:00,FTXD
35.74,35.74,35.74,35.74,100,2021-10-21 17:06:00,FTXD
35.67,35.67,35.65,35.65,440,2021-10-21 18:38:00,FTXD
35.695,35.695,35.695,35.695,141,2021-10-21 18:48:00,FTXD
35.7594,35.7594,35.7594,35.7594,100,2021-10-21 19:02:00,FTXD
35.75,35.75,35.75,35.75,314,2021-10-21 19:42:00,FTXD
35.75,35.75,35.75,35.75,300,2021-10-21 19:56:00,FTXD
35.92,35.92,35.92,35.92,161,2021-10-22 13:30:00,FTXD
35.75,35.8399,35.73,35.8399,664,2021-10-22 13:36:00,FTXD
35.82,35.82,35.82,35.82,100,2021-10-22 13:40:00,FTXD
35.825,35.858,35.825,35.858,446,2021-10-22 13:48:00,FTXD
35.79,35.79,35.79,35.79,400,2021-10-22 14:48:00,FTXD
35.76,35.76,35.735,35.735,200,2021-10-22 16:08:00,FTXD
35.765,35.765,35.765,35.765,100,2021-10-22 16:28:00,FTXD
35.79,35.81,35.79,35.81,200,2021-10-22 16:29:00,FTXD
35.868,35.868,35.868,35.868,200,2021-10-22 17:53:00,FTXD
35.77,35.805,35.77,35.772,500,2021-10-22 18:00:00,FTXD
35.8,35.8,35.8,35.8,280,2021-10-22 19:21:00,FTXD
35.82,35.82,35.82,35.82,100,2021-10-22 19:56:00,FTXD
36.015,36.015,36.015,36.015,400,2021-10-25 14:05:00,FTXD
35.97,36.0,35.95,36.0,500,2021-10-25 14:07:00,FTXD
36.14,36.14,36.14,36.14,626,2021-10-25 14:57:00,FTXD
36.06,36.13,36.05,36.13,522,2021-10-25 15:00:00,FTXD
36.15,36.15,36.15,36.15,2000,2021-10-25 16:09:00,FTXD
36.14,36.16,36.14,36.16,205,2021-10-25 16:31:00,FTXD
36.05,36.05,36.05,36.05,300,2021-10-25 16:40:00,FTXD
36.085,36.085,36.085,36.085,700,2021-10-25 17:09:00,FTXD
36.11,36.145,36.11,36.145,1000,2021-10-25 18:34:00,FTXD
36.08,36.115,36.08,36.115,524,2021-10-25 19:05:00,FTXD
36.135,36.135,36.135,36.135,1000,2021-10-26 13:48:00,FTXD
36.14,36.14,36.14,36.14,1250,2021-10-26 13:50:00,FTXD
36.1503,36.1503,36.1503,36.1503,400,2021-10-26 14:18:00,FTXD
36.1199,36.1199,36.1199,36.1199,500,2021-10-26 14:36:00,FTXD
