open,high,low,close,volume,datetime,symbol
18.27,18.27,18.27,18.27,700,2021-11-01 11:01:00,AMSC
18.6,18.6,18.6,18.6,615,2021-11-01 12:35:00,AMSC
18.5,18.5,18.5,18.5,1872,2021-11-01 13:30:00,AMSC
18.675,18.675,18.675,18.675,100,2021-11-01 13:31:00,AMSC
18.4,18.4,18.3,18.3,915,2021-11-01 13:32:00,AMSC
18.36,18.545,18.36,18.545,300,2021-11-01 13:33:00,AMSC
18.54,18.62,18.54,18.61,500,2021-11-01 13:34:00,AMSC
18.64,18.64,18.48,18.48,238,2021-11-01 13:35:00,AMSC
18.695,18.695,18.695,18.695,135,2021-11-01 13:36:00,AMSC
18.7,18.8,18.7,18.8,1450,2021-11-01 13:40:00,AMSC
18.8,18.8,18.8,18.8,100,2021-11-01 13:41:00,AMSC
18.83,18.87,18.8,18.87,434,2021-11-01 13:42:00,AMSC
18.98,18.98,18.9,18.9,1460,2021-11-01 13:46:00,AMSC
18.82,18.8405,18.8,18.8,1385,2021-11-01 13:47:00,AMSC
18.89,18.89,18.89,18.89,350,2021-11-01 13:48:00,AMSC
18.97,18.97,18.97,18.97,100,2021-11-01 13:49:00,AMSC
18.91,18.91,18.91,18.91,100,2021-11-01 13:51:00,AMSC
18.885,18.94,18.885,18.94,200,2021-11-01 13:55:00,AMSC
18.885,18.9344,18.885,18.9344,1100,2021-11-01 13:56:00,AMSC
18.87,18.87,18.87,18.87,150,2021-11-01 13:58:00,AMSC
18.785,18.785,18.73,18.73,1200,2021-11-01 14:00:00,AMSC
18.6,18.6,18.51,18.51,700,2021-11-01 14:02:00,AMSC
18.67,18.67,18.53,18.53,700,2021-11-01 14:04:00,AMSC
18.63,18.64,18.59,18.64,1290,2021-11-01 14:06:00,AMSC
18.5801,18.61,18.58,18.61,1152,2021-11-01 14:07:00,AMSC
18.55,18.55,18.55,18.55,100,2021-11-01 14:08:00,AMSC
18.555,18.555,18.555,18.555,150,2021-11-01 14:10:00,AMSC
18.63,18.66,18.63,18.66,300,2021-11-01 14:11:00,AMSC
18.675,18.675,18.675,18.675,100,2021-11-01 14:12:00,AMSC
18.87,18.87,18.87,18.87,100,2021-11-01 14:14:00,AMSC
18.9,18.9,18.9,18.9,1000,2021-11-01 14:17:00,AMSC
18.86,18.86,18.86,18.86,497,2021-11-01 14:20:00,AMSC
18.805,18.94,18.805,18.94,1512,2021-11-01 14:21:00,AMSC
18.97,19.0538,18.97,19.0538,1400,2021-11-01 14:22:00,AMSC
19.05,19.05,19.05,19.05,100,2021-11-01 14:23:00,AMSC
19.05,19.05,18.93,18.93,686,2021-11-01 14:24:00,AMSC
19.035,19.12,19.035,19.12,655,2021-11-01 14:27:00,AMSC
18.97,18.97,18.97,18.97,1500,2021-11-01 14:28:00,AMSC
19.03,19.03,18.98,18.98,1971,2021-11-01 14:29:00,AMSC
19.0,19.0,19.0,19.0,200,2021-11-01 14:33:00,AMSC
18.995,18.995,18.995,18.995,500,2021-11-01 14:34:00,AMSC
18.95,18.96,18.92,18.92,822,2021-11-01 14:35:00,AMSC
18.9002,18.98,18.9002,18.98,400,2021-11-01 14:36:00,AMSC
18.98,18.99,18.98,18.99,400,2021-11-01 14:37:00,AMSC
19.02,19.02,19.02,19.02,100,2021-11-01 14:38:00,AMSC
18.97,18.98,18.96,18.96,958,2021-11-01 14:39:00,AMSC
18.995,18.995,18.995,18.995,100,2021-11-01 14:41:00,AMSC
18.98,18.98,18.98,18.98,200,2021-11-01 14:42:00,AMSC
19.0,19.0,19.0,19.0,100,2021-11-01 14:45:00,AMSC
18.98,19.0,18.98,19.0,500,2021-11-01 14:47:00,AMSC
19.02,19.02,19.02,19.02,200,2021-11-01 14:50:00,AMSC
19.0,19.0,18.93,18.93,300,2021-11-01 14:51:00,AMSC
18.8831,18.8831,18.8831,18.8831,500,2021-11-01 14:53:00,AMSC
18.85,18.89,18.85,18.89,800,2021-11-01 14:54:00,AMSC
18.89,18.89,18.82,18.82,200,2021-11-01 14:55:00,AMSC
18.81,18.8863,18.8,18.8863,826,2021-11-01 14:57:00,AMSC
18.86,18.86,18.86,18.86,450,2021-11-01 15:01:00,AMSC
18.88,18.9,18.87,18.9,7329,2021-11-01 15:03:00,AMSC
18.935,18.935,18.935,18.935,100,2021-11-01 15:04:00,AMSC
19.0,19.0,19.0,19.0,100,2021-11-01 15:05:00,AMSC
19.05,19.05,19.02,19.02,1100,2021-11-01 15:06:00,AMSC
19.06,19.06,19.06,19.06,100,2021-11-01 15:07:00,AMSC
19.06,19.06,19.03,19.05,322,2021-11-01 15:08:00,AMSC
19.02,19.02,19.02,19.02,309,2021-11-01 15:10:00,AMSC
19.05,19.05,19.05,19.05,200,2021-11-01 15:11:00,AMSC
19.08,19.08,19.08,19.08,100,2021-11-01 15:12:00,AMSC
19.1,19.1,19.06,19.06,200,2021-11-01 15:14:00,AMSC
19.0999,19.0999,19.0999,19.0999,680,2021-11-01 15:15:00,AMSC
19.075,19.08,19.075,19.08,300,2021-11-01 15:16:00,AMSC
