open,high,low,close,volume,datetime,symbol
25.31,25.31,25.31,25.31,800,2021-11-01 15:02:00,CPTAL
25.3642,25.3642,25.3642,25.3642,400,2021-11-01 17:10:00,CPTAL
25.31,25.31,25.31,25.31,800,2021-11-01 18:19:00,CPTAL
25.3816,25.3816,25.3816,25.3816,140,2021-11-02 17:02:00,CPTAL
25.31,25.31,25.31,25.31,100,2021-11-02 17:06:00,CPTAL
25.45,25.45,25.45,25.45,200,2021-11-02 19:12:00,CPTAL
25.41,25.41,25.41,25.41,328,2021-11-02 19:49:00,CPTAL
25.3938,25.3938,25.3938,25.3938,325,2021-11-03 13:54:00,CPTAL
25.4,25.4,25.3005,25.3005,1100,2021-11-03 14:00:00,CPTAL
25.4287,25.4287,25.4287,25.4287,150,2021-11-03 14:02:00,CPTAL
25.3478,25.3478,25.3478,25.3478,400,2021-11-03 16:30:00,CPTAL
25.4,25.4298,25.4,25.4298,542,2021-11-03 16:31:00,CPTAL
25.35,25.35,25.35,25.35,200,2021-11-03 16:43:00,CPTAL
25.375,25.375,25.375,25.375,250,2021-11-03 16:46:00,CPTAL
25.4,25.4,25.4,25.4,200,2021-11-03 17:11:00,CPTAL
25.4,25.4,25.4,25.4,100,2021-11-03 17:13:00,CPTAL
25.33,25.33,25.3201,25.3201,418,2021-11-03 18:44:00,CPTAL
25.38,25.4,25.38,25.4,200,2021-11-03 19:31:00,CPTAL
25.3606,25.3606,25.3606,25.3606,110,2021-11-04 15:41:00,CPTAL
25.4299,25.4299,25.4299,25.4299,400,2021-11-04 16:07:00,CPTAL
25.416,25.416,25.416,25.416,100,2021-11-04 16:20:00,CPTAL
25.375,25.375,25.375,25.375,115,2021-11-04 19:38:00,CPTAL
25.35,25.35,25.35,25.35,400,2021-11-05 13:30:00,CPTAL
25.33,25.33,25.33,25.33,200,2021-11-05 13:51:00,CPTAL
25.34,25.35,25.335,25.3499,600,2021-11-05 13:56:00,CPTAL
25.35,25.35,25.3432,25.3432,200,2021-11-05 13:57:00,CPTAL
25.3491,25.35,25.3491,25.35,500,2021-11-05 15:30:00,CPTAL
25.35,25.35,25.35,25.35,200,2021-11-05 16:51:00,CPTAL
25.38,25.38,25.38,25.38,200,2021-11-05 17:46:00,CPTAL
25.44,25.44,25.44,25.44,100,2021-11-05 17:59:00,CPTAL
25.3919,25.3919,25.3919,25.3919,100,2021-11-05 19:00:00,CPTAL
25.39,25.39,25.39,25.39,100,2021-11-05 19:56:00,CPTAL
25.35,25.35,25.3455,25.35,1178,2021-11-08 14:33:00,CPTAL
25.35,25.36,25.35,25.36,700,2021-11-08 14:34:00,CPTAL
25.36,25.36,25.36,25.36,200,2021-11-08 15:02:00,CPTAL
25.35,25.35,25.35,25.35,400,2021-11-08 15:37:00,CPTAL
25.41,25.41,25.41,25.41,365,2021-11-08 15:48:00,CPTAL
25.3991,25.3991,25.3991,25.3991,250,2021-11-09 15:18:00,CPTAL
25.37,25.37,25.37,25.37,485,2021-11-09 17:28:00,CPTAL
25.45,25.45,25.45,25.45,100,2021-11-09 19:09:00,CPTAL
25.42,25.42,25.42,25.42,103,2021-11-09 20:28:00,CPTAL
