open,high,low,close,volume,datetime,symbol
9.84,9.84,9.84,9.84,120,2021-11-01 11:00:00,CYXT
9.98,9.98,9.86,9.86,1976,2021-11-01 13:30:00,CYXT
9.9,9.9,9.9,9.9,500,2021-11-01 13:31:00,CYXT
9.9,9.9,9.9,9.9,937,2021-11-01 13:35:00,CYXT
9.9292,9.9292,9.9292,9.9292,151,2021-11-01 13:40:00,CYXT
9.9501,9.9501,9.9501,9.9501,100,2021-11-01 13:42:00,CYXT
9.94,9.98,9.94,9.98,400,2021-11-01 13:45:00,CYXT
9.945,9.945,9.945,9.945,200,2021-11-01 13:46:00,CYXT
9.93,9.94,9.92,9.93,1229,2021-11-01 13:47:00,CYXT
9.9,9.9,9.9,9.9,100,2021-11-01 13:48:00,CYXT
9.93,9.93,9.93,9.93,300,2021-11-01 13:50:00,CYXT
9.93,9.93,9.93,9.93,177,2021-11-01 13:51:00,CYXT
9.9507,9.9507,9.91,9.915,1182,2021-11-01 13:56:00,CYXT
9.9,9.9,9.9,9.9,100,2021-11-01 13:58:00,CYXT
9.9,9.9,9.88,9.88,605,2021-11-01 13:59:00,CYXT
9.88,9.9,9.86,9.86,4400,2021-11-01 14:00:00,CYXT
9.895,9.895,9.895,9.895,100,2021-11-01 14:01:00,CYXT
9.9,9.9,9.9,9.9,100,2021-11-01 14:08:00,CYXT
9.905,9.905,9.905,9.905,100,2021-11-01 14:12:00,CYXT
9.905,9.905,9.905,9.905,100,2021-11-01 14:13:00,CYXT
9.89,9.92,9.89,9.92,600,2021-11-01 14:16:00,CYXT
9.92,9.93,9.92,9.92,744,2021-11-01 14:17:00,CYXT
9.9,9.9,9.9,9.9,200,2021-11-01 14:18:00,CYXT
9.92,9.92,9.92,9.92,100,2021-11-01 14:21:00,CYXT
9.91,9.91,9.91,9.91,100,2021-11-01 14:22:00,CYXT
9.91,9.92,9.9,9.92,836,2021-11-01 14:24:00,CYXT
9.9,9.9,9.89,9.89,400,2021-11-01 14:25:00,CYXT
