open,high,low,close,volume,datetime,symbol
10.0,10.0,10.0,10.0,2000,2021-11-02 13:30:00,FTVIU
10.01,10.01,10.01,10.01,350,2021-11-04 13:30:00,FTVIU
10.01,10.02,10.01,10.02,851,2021-11-04 13:31:00,FTVIU
10.02,10.02,10.02,10.02,300,2021-11-04 13:32:00,FTVIU
10.02,10.02,10.02,10.02,100,2021-11-04 13:34:00,FTVIU
10.02,10.02,10.02,10.02,434,2021-11-04 13:35:00,FTVIU
10.02,10.02,10.02,10.02,622,2021-11-04 13:36:00,FTVIU
10.02,10.02,10.02,10.02,150,2021-11-04 13:37:00,FTVIU
10.02,10.02,10.02,10.02,236,2021-11-04 13:40:00,FTVIU
10.02,10.02,10.02,10.02,150,2021-11-04 13:41:00,FTVIU
10.02,10.02,10.02,10.02,100,2021-11-04 13:42:00,FTVIU
10.01,10.01,10.01,10.01,175,2021-11-04 14:11:00,FTVIU
10.03,10.03,10.03,10.03,152,2021-11-04 15:20:00,FTVIU
10.1,10.1,10.1,10.1,100,2021-11-04 19:02:00,FTVIU
10.0266,10.0266,10.0266,10.0266,100,2021-11-05 13:55:00,FTVIU
10.01,10.01,10.01,10.01,150,2021-11-05 19:05:00,FTVIU
10.0,10.0,10.0,10.0,939,2021-11-05 19:30:00,FTVIU
10.01,10.01,10.01,10.01,250,2021-11-08 14:41:00,FTVIU
10.01,10.01,10.01,10.01,200,2021-11-08 14:42:00,FTVIU
10.01,10.06,10.01,10.06,700,2021-11-08 14:59:00,FTVIU
10.0083,10.0083,10.0083,10.0083,600,2021-11-12 15:26:00,FTVIU
10.0,10.0,10.0,10.0,5272,2021-11-12 19:49:00,FTVIU
10.0,10.0,10.0,10.0,778,2021-11-12 19:50:00,FTVIU
