open,high,low,close,volume,datetime,symbol
39.02,39.02,39.02,39.02,1771,2021-11-01 13:30:00,PINC
39.16,39.19,39.16,39.19,200,2021-11-01 13:31:00,PINC
39.04,39.04,39.04,39.04,100,2021-11-01 13:32:00,PINC
39.04,39.04,39.04,39.04,200,2021-11-01 13:33:00,PINC
39.03,39.03,39.03,39.03,200,2021-11-01 13:34:00,PINC
39.035,39.035,39.035,39.035,100,2021-11-01 13:35:00,PINC
39.04,39.04,39.04,39.04,200,2021-11-01 13:36:00,PINC
39.05,39.05,39.05,39.05,200,2021-11-01 13:37:00,PINC
39.06,39.06,39.06,39.06,100,2021-11-01 13:38:00,PINC
39.06,39.06,39.06,39.06,400,2021-11-01 13:40:00,PINC
39.06,39.06,39.06,39.06,100,2021-11-01 13:41:00,PINC
39.06,39.06,39.06,39.06,300,2021-11-01 13:42:00,PINC
39.0,39.0,38.99,38.99,400,2021-11-01 13:45:00,PINC
39.03,39.1,39.0,39.1,1400,2021-11-01 13:46:00,PINC
39.1,39.1,39.1,39.1,100,2021-11-01 13:47:00,PINC
39.075,39.075,39.075,39.075,100,2021-11-01 13:48:00,PINC
39.07,39.07,39.07,39.07,100,2021-11-01 13:50:00,PINC
39.065,39.065,39.065,39.065,200,2021-11-01 13:54:00,PINC
39.065,39.065,39.065,39.065,100,2021-11-01 13:55:00,PINC
39.05,39.065,39.05,39.065,200,2021-11-01 13:56:00,PINC
39.065,39.065,39.065,39.065,100,2021-11-01 13:58:00,PINC
39.065,39.09,39.065,39.09,1079,2021-11-01 13:59:00,PINC
39.19,39.19,39.19,39.19,100,2021-11-01 14:01:00,PINC
39.17,39.17,39.17,39.17,100,2021-11-01 14:02:00,PINC
39.18,39.24,39.18,39.24,2029,2021-11-01 14:03:00,PINC
39.22,39.22,39.21,39.215,1029,2021-11-01 14:04:00,PINC
39.23,39.23,39.23,39.23,393,2021-11-01 14:05:00,PINC
39.22,39.22,39.21,39.215,500,2021-11-01 14:07:00,PINC
39.22,39.26,39.22,39.26,760,2021-11-01 14:08:00,PINC
39.26,39.26,39.26,39.26,100,2021-11-01 14:09:00,PINC
39.275,39.28,39.275,39.28,300,2021-11-01 14:10:00,PINC
39.29,39.29,39.27,39.285,1000,2021-11-01 14:11:00,PINC
39.285,39.285,39.285,39.285,100,2021-11-01 14:13:00,PINC
39.285,39.35,39.285,39.35,2500,2021-11-01 14:14:00,PINC
39.325,39.33,39.32,39.33,1982,2021-11-01 14:15:00,PINC
39.32,39.32,39.31,39.31,400,2021-11-01 14:16:00,PINC
39.31,39.31,39.31,39.31,100,2021-11-01 14:17:00,PINC
39.31,39.31,39.31,39.31,100,2021-11-01 14:18:00,PINC
39.31,39.31,39.27,39.275,1200,2021-11-01 14:19:00,PINC
39.275,39.29,39.275,39.29,900,2021-11-01 14:20:00,PINC
