open,high,low,close,volume,datetime,symbol
41.58,41.58,41.58,41.58,390,2021-11-01 13:30:00,SBSI
41.65,41.65,41.65,41.65,100,2021-11-01 13:45:00,SBSI
41.61,41.61,41.61,41.61,100,2021-11-01 13:51:00,SBSI
41.5,41.5,41.5,41.5,300,2021-11-01 14:01:00,SBSI
41.5,41.5,41.5,41.5,200,2021-11-01 14:02:00,SBSI
41.82,41.87,41.82,41.87,200,2021-11-01 14:07:00,SBSI
41.64,41.64,41.64,41.64,100,2021-11-01 14:19:00,SBSI
41.63,41.63,41.63,41.63,300,2021-11-01 14:24:00,SBSI
41.69,41.69,41.69,41.69,100,2021-11-01 14:45:00,SBSI
41.69,41.69,41.69,41.69,100,2021-11-01 14:47:00,SBSI
41.73,41.73,41.73,41.73,200,2021-11-01 14:49:00,SBSI
41.81,41.81,41.81,41.81,100,2021-11-01 14:54:00,SBSI
41.68,41.74,41.61,41.74,600,2021-11-01 14:57:00,SBSI
41.81,41.81,41.81,41.81,100,2021-11-01 15:03:00,SBSI
41.755,41.755,41.755,41.755,200,2021-11-01 15:06:00,SBSI
41.805,41.805,41.805,41.805,118,2021-11-01 15:08:00,SBSI
41.86,41.86,41.86,41.86,100,2021-11-01 15:11:00,SBSI
41.805,41.88,41.805,41.88,319,2021-11-01 15:18:00,SBSI
41.99,41.99,41.99,41.99,100,2021-11-01 15:26:00,SBSI
41.99,41.99,41.99,41.99,197,2021-11-01 15:29:00,SBSI
41.85,41.86,41.85,41.86,200,2021-11-01 15:37:00,SBSI
41.95,41.95,41.95,41.95,100,2021-11-01 15:41:00,SBSI
41.98,42.0,41.98,42.0,485,2021-11-01 15:42:00,SBSI
41.91,42.07,41.91,41.93,5457,2021-11-01 15:44:00,SBSI
42.02,42.02,42.02,42.02,100,2021-11-01 15:50:00,SBSI
41.9624,41.9624,41.9624,41.9624,390,2021-11-01 15:52:00,SBSI
42.0,42.0,42.0,42.0,100,2021-11-01 15:56:00,SBSI
42.01,42.01,42.01,42.01,100,2021-11-01 15:57:00,SBSI
42.0,42.0,42.0,42.0,100,2021-11-01 16:05:00,SBSI
42.01,42.05,42.01,42.05,581,2021-11-01 16:12:00,SBSI
42.03,42.03,42.03,42.03,499,2021-11-01 16:13:00,SBSI
42.04,42.04,42.04,42.04,500,2021-11-01 16:14:00,SBSI
42.03,42.03,42.03,42.03,109,2021-11-01 16:19:00,SBSI
41.9708,41.9708,41.9708,41.9708,120,2021-11-01 16:20:00,SBSI
42.05,42.05,42.05,42.05,100,2021-11-01 16:23:00,SBSI
42.05,42.05,42.05,42.05,200,2021-11-01 16:25:00,SBSI
41.99,42.02,41.972,42.02,900,2021-11-01 16:27:00,SBSI
42.05,42.05,42.05,42.05,100,2021-11-01 16:28:00,SBSI
41.97,41.97,41.95,41.95,800,2021-11-01 16:30:00,SBSI
41.97,41.97,41.96,41.96,200,2021-11-01 16:37:00,SBSI
41.97,41.97,41.97,41.97,400,2021-11-01 16:38:00,SBSI
41.93,41.93,41.93,41.93,400,2021-11-01 16:41:00,SBSI
42.0,42.0,42.0,42.0,100,2021-11-01 16:48:00,SBSI
41.93,41.97,41.93,41.97,300,2021-11-01 16:50:00,SBSI
41.98,41.98,41.98,41.98,100,2021-11-01 16:53:00,SBSI
41.98,41.98,41.98,41.98,100,2021-11-01 16:54:00,SBSI
41.96,41.96,41.96,41.96,100,2021-11-01 16:55:00,SBSI
42.0,42.0,42.0,42.0,200,2021-11-01 16:56:00,SBSI
41.99,41.99,41.96,41.97,1107,2021-11-01 16:58:00,SBSI
42.0,42.0,42.0,42.0,100,2021-11-01 17:13:00,SBSI
41.95,41.99,41.94,41.99,484,2021-11-01 17:20:00,SBSI
41.99,41.99,41.94,41.94,600,2021-11-01 17:23:00,SBSI
41.96,41.98,41.95,41.98,500,2021-11-01 17:25:00,SBSI
42.0,42.0,42.0,42.0,100,2021-11-01 17:28:00,SBSI
42.0,42.02,42.0,42.02,596,2021-11-01 17:29:00,SBSI
42.04,42.04,42.04,42.04,666,2021-11-01 17:30:00,SBSI
42.08,42.095,42.08,42.095,600,2021-11-01 17:34:00,SBSI
42.08,42.08,42.05,42.05,800,2021-11-01 17:35:00,SBSI
42.05,42.05,42.01,42.05,800,2021-11-01 17:36:00,SBSI
42.05,42.06,42.05,42.06,347,2021-11-01 17:38:00,SBSI
42.02,42.03,42.01,42.011,1276,2021-11-01 17:40:00,SBSI
42.12,42.12,42.12,42.12,100,2021-11-01 17:42:00,SBSI
42.11,42.14,42.11,42.14,200,2021-11-01 17:47:00,SBSI
42.18,42.18,42.18,42.18,100,2021-11-01 17:53:00,SBSI
42.17,42.17,42.17,42.17,100,2021-11-01 17:55:00,SBSI
42.18,42.18,42.18,42.18,100,2021-11-01 17:57:00,SBSI
42.18,42.18,42.18,42.18,100,2021-11-01 17:59:00,SBSI
42.17,42.17,42.17,42.17,100,2021-11-01 18:00:00,SBSI
42.18,42.18,42.18,42.18,100,2021-11-01 18:01:00,SBSI
42.18,42.18,42.18,42.18,100,2021-11-01 18:02:00,SBSI
42.22,42.22,42.22,42.22,100,2021-11-01 18:04:00,SBSI
42.1,42.14,42.1,42.14,600,2021-11-01 18:05:00,SBSI
42.2,42.2,42.2,42.2,100,2021-11-01 18:11:00,SBSI
42.18,42.18,42.18,42.18,100,2021-11-01 18:17:00,SBSI
42.2,42.2,42.2,42.2,100,2021-11-01 18:18:00,SBSI
42.24,42.24,42.24,42.24,200,2021-11-01 18:19:00,SBSI
42.22,42.22,42.22,42.22,200,2021-11-01 18:21:00,SBSI
42.29,42.29,42.29,42.29,100,2021-11-01 18:24:00,SBSI
42.39,42.39,42.39,42.39,100,2021-11-01 18:29:00,SBSI
42.39,42.39,42.39,42.39,100,2021-11-01 18:31:00,SBSI
42.3848,42.3848,42.37,42.37,206,2021-11-01 18:34:00,SBSI
42.43,42.43,42.43,42.43,100,2021-11-01 18:35:00,SBSI
42.42,42.42,42.36,42.405,2510,2021-11-01 18:41:00,SBSI
42.43,42.43,42.43,42.43,100,2021-11-01 18:45:00,SBSI
42.47,42.48,42.47,42.48,300,2021-11-01 18:48:00,SBSI
42.5,42.5,42.49,42.49,299,2021-11-01 18:49:00,SBSI
42.53,42.56,42.5,42.5,700,2021-11-01 18:50:00,SBSI
42.43,42.43,42.34,42.34,1600,2021-11-01 18:54:00,SBSI
42.36,42.36,42.36,42.36,100,2021-11-01 18:55:00,SBSI
42.35,42.36,42.35,42.36,300,2021-11-01 19:01:00,SBSI
42.385,42.385,42.385,42.385,100,2021-11-01 19:02:00,SBSI
42.42,42.42,42.38,42.38,400,2021-11-01 19:04:00,SBSI
42.41,42.41,42.41,42.41,100,2021-11-01 19:05:00,SBSI
42.39,42.39,42.36,42.36,400,2021-11-01 19:07:00,SBSI
42.38,42.38,42.38,42.38,100,2021-11-01 19:10:00,SBSI
42.35,42.35,42.35,42.35,100,2021-11-01 19:14:00,SBSI
42.41,42.41,42.41,42.41,100,2021-11-01 19:16:00,SBSI
42.31,42.31,42.31,42.31,300,2021-11-01 19:18:00,SBSI
42.27,42.27,42.26,42.27,500,2021-11-01 19:19:00,SBSI
42.23,42.23,42.23,42.23,200,2021-11-01 19:20:00,SBSI
42.23,42.23,42.21,42.23,400,2021-11-01 19:21:00,SBSI
42.26,42.27,42.26,42.27,700,2021-11-01 19:26:00,SBSI
42.225,42.225,42.22,42.22,200,2021-11-01 19:28:00,SBSI
42.265,42.29,42.265,42.27,700,2021-11-01 19:30:00,SBSI
42.27,42.27,42.27,42.27,200,2021-11-01 19:31:00,SBSI
42.32,42.32,42.295,42.295,300,2021-11-01 19:32:00,SBSI
42.32,42.33,42.3,42.3,739,2021-11-01 19:33:00,SBSI
42.3,42.3,42.275,42.275,300,2021-11-01 19:36:00,SBSI
42.28,42.28,42.28,42.28,100,2021-11-01 19:38:00,SBSI
42.28,42.295,42.26,42.26,1391,2021-11-01 19:40:00,SBSI
