open,high,low,close,volume,datetime,symbol
0.7218,0.7218,0.7218,0.7218,300,2021-11-01 11:59:00,TANH
0.7401,0.7401,0.74,0.74,800,2021-11-01 12:51:00,TANH
0.73,0.73,0.73,0.73,5200,2021-11-01 12:55:00,TANH
0.73,0.73,0.72,0.72,3197,2021-11-01 12:56:00,TANH
0.72,0.7299,0.71,0.71,19499,2021-11-01 12:57:00,TANH
0.71,0.71,0.7099,0.71,6940,2021-11-01 12:58:00,TANH
0.7152,0.7152,0.712,0.712,9999,2021-11-01 13:05:00,TANH
0.7299,0.7299,0.7299,0.7299,400,2021-11-01 13:09:00,TANH
0.7299,0.7299,0.7299,0.7299,603,2021-11-01 13:11:00,TANH
0.73,0.73,0.73,0.73,1000,2021-11-01 13:25:00,TANH
0.7286,0.7286,0.7286,0.7286,754,2021-11-01 13:27:00,TANH
0.7286,0.729899,0.7236,0.7236,2884,2021-11-01 13:30:00,TANH
0.72361,0.72361,0.72361,0.72361,250,2021-11-01 13:31:00,TANH
0.723601,0.723601,0.723601,0.723601,2227,2021-11-01 13:32:00,TANH
0.729899,0.729899,0.729899,0.729899,1000,2021-11-01 13:33:00,TANH
0.7237,0.7299,0.7237,0.7299,2227,2021-11-01 13:34:00,TANH
0.723601,0.723601,0.723601,0.723601,2000,2021-11-01 13:35:00,TANH
0.7236,0.7236,0.7236,0.7236,100,2021-11-01 13:36:00,TANH
0.7236,0.7268,0.7236,0.7268,19499,2021-11-01 13:37:00,TANH
0.729899,0.729899,0.729899,0.729899,300,2021-11-01 13:38:00,TANH
0.7268,0.73,0.712,0.712,9168,2021-11-01 13:39:00,TANH
0.75699,0.75699,0.75699,0.75699,100,2021-11-01 13:41:00,TANH
0.757,0.757,0.756899,0.756899,1125,2021-11-01 13:42:00,TANH
0.72,0.72,0.72,0.72,1199,2021-11-01 13:45:00,TANH
0.73,0.73,0.72501,0.72501,300,2021-11-01 13:47:00,TANH
0.73,0.73,0.7131,0.7131,2551,2021-11-01 13:48:00,TANH
0.7487,0.7487,0.7487,0.7487,119,2021-11-01 13:49:00,TANH
0.754649,0.754649,0.754649,0.754649,100,2021-11-01 13:50:00,TANH
0.752,0.752,0.752,0.752,750,2021-11-01 13:53:00,TANH
0.7201,0.7201,0.7201,0.7201,1800,2021-11-01 13:54:00,TANH
0.73,0.73,0.73,0.73,100,2021-11-01 13:55:00,TANH
0.752,0.752,0.752,0.752,150,2021-11-01 13:56:00,TANH
0.73,0.73,0.73,0.73,147,2021-11-01 13:59:00,TANH
0.7202,0.7202,0.7202,0.7202,1239,2021-11-01 14:00:00,TANH
0.7201,0.7201,0.7153,0.7153,5962,2021-11-01 14:01:00,TANH
0.7386,0.7386,0.7386,0.7386,300,2021-11-01 14:02:00,TANH
0.7324,0.7324,0.7121,0.7324,11320,2021-11-01 14:06:00,TANH
0.7324,0.7324,0.7324,0.7324,775,2021-11-01 14:07:00,TANH
0.72615,0.72615,0.72,0.72,1260,2021-11-01 14:10:00,TANH
0.72,0.7215,0.72,0.7215,400,2021-11-01 14:11:00,TANH
0.72,0.7215,0.7182,0.7201,3710,2021-11-01 14:12:00,TANH
0.7201,0.722,0.7201,0.7215,2010,2021-11-01 14:13:00,TANH
0.720101,0.7202,0.720101,0.7202,3900,2021-11-01 14:14:00,TANH
0.732299,0.7323,0.7201,0.7201,4390,2021-11-01 14:15:00,TANH
0.72165,0.72165,0.7202,0.7202,600,2021-11-01 14:16:00,TANH
0.7203,0.7309,0.7201,0.7309,500,2021-11-01 14:17:00,TANH
0.7309,0.7309,0.7309,0.7309,325,2021-11-01 14:18:00,TANH
0.73,0.7309,0.73,0.7309,350,2021-11-01 14:21:00,TANH
0.715201,0.715201,0.715201,0.715201,125,2021-11-01 14:30:00,TANH
0.7153,0.7153,0.7153,0.7153,2000,2021-11-01 14:33:00,TANH
0.7176,0.7176,0.716201,0.716201,2000,2021-11-01 14:34:00,TANH
0.7185,0.7185,0.7185,0.7185,3000,2021-11-01 14:35:00,TANH
0.717,0.717,0.717,0.717,5000,2021-11-01 14:36:00,TANH
0.717001,0.7309,0.717001,0.7309,5103,2021-11-01 14:37:00,TANH
0.718,0.718,0.718,0.718,4000,2021-11-01 14:39:00,TANH
0.7303,0.7303,0.7303,0.7303,500,2021-11-01 14:45:00,TANH
0.730299,0.730299,0.730299,0.730299,540,2021-11-01 14:46:00,TANH
0.7205,0.7213,0.7205,0.7213,2178,2021-11-01 14:50:00,TANH
0.7205,0.7213,0.7201,0.7201,326,2021-11-01 14:51:00,TANH
0.7303,0.7303,0.7303,0.7303,100,2021-11-01 14:52:00,TANH
0.7308,0.7308,0.730799,0.730799,4000,2021-11-01 14:53:00,TANH
0.73,0.73,0.73,0.73,100,2021-11-01 14:55:00,TANH
0.7251,0.7251,0.7251,0.7251,300,2021-11-01 14:57:00,TANH
0.7252,0.7252,0.7252,0.7252,100,2021-11-01 14:58:00,TANH
0.73,0.73,0.73,0.73,150,2021-11-01 15:08:00,TANH
0.7281,0.7299,0.7263,0.7264,1900,2021-11-01 15:10:00,TANH
0.7253,0.7253,0.7252,0.7252,5600,2021-11-01 15:12:00,TANH
0.7225,0.7225,0.7225,0.7225,225,2021-11-01 15:13:00,TANH
0.72,0.72,0.72,0.72,334,2021-11-01 15:14:00,TANH
0.7181,0.7183,0.713,0.7135,20932,2021-11-01 15:15:00,TANH
0.7135,0.7135,0.71349,0.7135,400,2021-11-01 15:16:00,TANH
0.7134,0.7134,0.7134,0.7134,100,2021-11-01 15:17:00,TANH
0.7134,0.73,0.713,0.73,10365,2021-11-01 15:18:00,TANH
0.7205,0.7251,0.7203,0.7205,4916,2021-11-01 15:23:00,TANH
0.7251,0.7251,0.7251,0.7251,1000,2021-11-01 15:25:00,TANH
0.725,0.725,0.725,0.725,200,2021-11-01 15:28:00,TANH
0.7251,0.7251,0.7251,0.7251,1450,2021-11-01 15:29:00,TANH
0.7253,0.7253,0.7253,0.7253,1000,2021-11-01 15:31:00,TANH
0.7253,0.7253,0.7253,0.7253,100,2021-11-01 15:32:00,TANH
0.7253,0.7253,0.7253,0.7253,390,2021-11-01 15:33:00,TANH
0.728299,0.728299,0.7252,0.7252,1907,2021-11-01 15:35:00,TANH
0.7253,0.7306,0.7252,0.7252,4100,2021-11-01 15:36:00,TANH
0.7306,0.7306,0.7306,0.7306,260,2021-11-01 15:38:00,TANH
0.7252,0.7252,0.7252,0.7252,150,2021-11-01 15:40:00,TANH
0.728,0.728,0.7254,0.7254,1816,2021-11-01 15:44:00,TANH
0.7255,0.7255,0.7255,0.7255,400,2021-11-01 15:53:00,TANH
0.7256,0.7256,0.7256,0.7256,400,2021-11-01 15:58:00,TANH
0.7256,0.7256,0.7256,0.7256,674,2021-11-01 15:59:00,TANH
0.7306,0.7306,0.7306,0.7306,1000,2021-11-01 16:01:00,TANH
0.728651,0.728651,0.728651,0.728651,2440,2021-11-01 16:03:00,TANH
0.726799,0.726799,0.726799,0.726799,7785,2021-11-01 16:04:00,TANH
0.7267,0.7267,0.7267,0.7267,996,2021-11-01 16:07:00,TANH
0.7268,0.7296,0.7267,0.7276,8707,2021-11-01 16:11:00,TANH
0.726701,0.726701,0.726701,0.726701,700,2021-11-01 16:14:00,TANH
0.73,0.73,0.73,0.73,133,2021-11-01 16:16:00,TANH
0.7306,0.7309,0.7306,0.7309,455,2021-11-01 16:19:00,TANH
0.7309,0.7495,0.7306,0.742,1590,2021-11-01 16:20:00,TANH
0.747001,0.747001,0.747001,0.747001,999,2021-11-01 16:21:00,TANH
0.7398,0.7398,0.739,0.739,600,2021-11-01 16:22:00,TANH
0.7388,0.7388,0.7388,0.7388,400,2021-11-01 16:23:00,TANH
0.738901,0.738901,0.738901,0.738901,500,2021-11-01 16:28:00,TANH
0.7301,0.7301,0.73,0.73,1767,2021-11-01 16:32:00,TANH
0.7267,0.7319,0.7267,0.7319,2132,2021-11-01 16:33:00,TANH
0.728,0.728,0.728,0.728,500,2021-11-01 16:34:00,TANH
0.7319,0.7319,0.7319,0.7319,100,2021-11-01 16:36:00,TANH
0.7398,0.7398,0.7388,0.7388,1606,2021-11-01 16:37:00,TANH
0.7388,0.7388,0.7388,0.7388,100,2021-11-01 16:44:00,TANH
0.7388,0.7388,0.7388,0.7388,100,2021-11-01 16:45:00,TANH
0.7388,0.7388,0.7388,0.7388,500,2021-11-01 16:46:00,TANH
0.7267,0.7267,0.7267,0.7267,100,2021-11-01 16:50:00,TANH
0.7399,0.7399,0.7399,0.7399,801,2021-11-01 16:53:00,TANH
0.740001,0.7488,0.7399,0.7488,5500,2021-11-01 16:58:00,TANH
0.7399,0.7399,0.7399,0.7399,300,2021-11-01 17:00:00,TANH
0.74,0.744,0.74,0.7401,3750,2021-11-01 17:16:00,TANH
0.740101,0.740101,0.74,0.74,4500,2021-11-01 17:17:00,TANH
0.7401,0.7401,0.7268,0.7309,13570,2021-11-01 17:18:00,TANH
0.7272,0.7272,0.727,0.7272,1100,2021-11-01 17:19:00,TANH
0.73965,0.73965,0.73965,0.73965,2000,2021-11-01 17:25:00,TANH
0.735101,0.7488,0.735,0.735,7615,2021-11-01 17:27:00,TANH
0.735101,0.7419,0.735,0.73824,10012,2021-11-01 17:28:00,TANH
0.73715,0.73715,0.7361,0.7363,1100,2021-11-01 17:49:00,TANH
0.7362,0.7362,0.7362,0.7362,100,2021-11-01 17:50:00,TANH
0.7361,0.7361,0.7361,0.7361,300,2021-11-01 17:51:00,TANH
0.736,0.73605,0.736,0.736,2600,2021-11-01 17:52:00,TANH
0.735,0.735,0.735,0.735,5195,2021-11-01 17:53:00,TANH
0.7305,0.7305,0.73,0.73,7771,2021-11-01 17:56:00,TANH
0.73,0.73005,0.725,0.7254,9596,2021-11-01 17:57:00,TANH
0.722,0.722,0.718,0.718,4950,2021-11-01 17:58:00,TANH
0.717599,0.717599,0.7115,0.7115,12310,2021-11-01 17:59:00,TANH
0.7116,0.712,0.7114,0.712,16202,2021-11-01 18:00:00,TANH
0.712,0.712,0.7118,0.712,3600,2021-11-01 18:01:00,TANH
0.712,0.712,0.7116,0.7116,6800,2021-11-01 18:02:00,TANH
0.7119,0.712,0.7117,0.7119,2600,2021-11-01 18:03:00,TANH
0.7116,0.7116,0.7114,0.7116,9210,2021-11-01 18:04:00,TANH
0.7116,0.7116,0.7113,0.7116,3169,2021-11-01 18:05:00,TANH
0.737999,0.737999,0.737999,0.737999,400,2021-11-01 18:06:00,TANH
0.736,0.736,0.736,0.736,100,2021-11-01 18:10:00,TANH
