open,high,low,close,volume,datetime,symbol
4.42,4.42,4.42,4.42,100,2021-11-01 11:14:00,VEV
4.41,4.41,4.41,4.41,305,2021-11-01 11:27:00,VEV
4.42,4.42,4.4,4.41,5160,2021-11-01 11:43:00,VEV
4.41,4.41,4.41,4.41,974,2021-11-01 12:01:00,VEV
4.41,4.41,4.41,4.41,7000,2021-11-01 12:25:00,VEV
4.39,4.39,4.34,4.34,14099,2021-11-01 12:29:00,VEV
4.47,4.6,4.38,4.39,15801,2021-11-01 12:32:00,VEV
4.36,4.4,4.36,4.36,2800,2021-11-01 12:33:00,VEV
4.49,4.49,4.36,4.36,1060,2021-11-01 12:36:00,VEV
4.36,4.36,4.36,4.36,100,2021-11-01 12:37:00,VEV
4.37,4.37,4.37,4.37,400,2021-11-01 12:40:00,VEV
4.37,4.37,4.37,4.37,5000,2021-11-01 12:41:00,VEV
4.41,4.42,4.41,4.4199,1400,2021-11-01 12:42:00,VEV
4.37,4.37,4.36,4.36,5200,2021-11-01 12:43:00,VEV
4.38,4.38,4.37,4.38,1800,2021-11-01 12:45:00,VEV
4.35,4.35,4.34,4.34,14000,2021-11-01 12:46:00,VEV
4.26,4.26,4.26,4.26,14157,2021-11-01 12:47:00,VEV
4.34,4.34,4.34,4.34,995,2021-11-01 12:58:00,VEV
4.34,4.34,4.34,4.34,1000,2021-11-01 12:59:00,VEV
4.33,4.33,4.33,4.33,400,2021-11-01 13:00:00,VEV
4.3399,4.3399,4.3399,4.3399,1017,2021-11-01 13:01:00,VEV
4.33,4.33,4.33,4.33,100,2021-11-01 13:05:00,VEV
4.26,4.26,4.26,4.26,100,2021-11-01 13:07:00,VEV
4.3,4.3,4.3,4.3,200,2021-11-01 13:17:00,VEV
4.3,4.3,4.3,4.3,300,2021-11-01 13:19:00,VEV
4.29,4.34,4.29,4.34,6450,2021-11-01 13:20:00,VEV
4.3,4.3,4.29,4.3,3700,2021-11-01 13:21:00,VEV
4.33,4.34,4.25,4.25,10050,2021-11-01 13:22:00,VEV
4.27,4.27,4.27,4.27,500,2021-11-01 13:24:00,VEV
4.29,4.3,4.29,4.3,1900,2021-11-01 13:29:00,VEV
4.3,4.3284,4.25,4.32,14047,2021-11-01 13:30:00,VEV
4.275,4.2907,4.25,4.25,3700,2021-11-01 13:31:00,VEV
4.29,4.29,4.29,4.29,200,2021-11-01 13:32:00,VEV
4.275,4.275,4.25,4.26,2400,2021-11-01 13:33:00,VEV
4.26,4.3,4.26,4.26,8984,2021-11-01 13:34:00,VEV
4.255,4.31,4.25,4.26,16563,2021-11-01 13:35:00,VEV
4.245,4.26,4.245,4.26,800,2021-11-01 13:36:00,VEV
4.2494,4.2494,4.2494,4.2494,100,2021-11-01 13:37:00,VEV
4.24,4.26,4.24,4.26,2571,2021-11-01 13:38:00,VEV
4.25,4.26,4.25,4.26,2070,2021-11-01 13:40:00,VEV
4.26,4.26,4.26,4.26,1990,2021-11-01 13:41:00,VEV
4.26,4.26,4.26,4.26,2200,2021-11-01 13:42:00,VEV
4.275,4.275,4.275,4.275,110,2021-11-01 13:45:00,VEV
4.275,4.275,4.245,4.245,4000,2021-11-01 13:46:00,VEV
4.24,4.26,4.24,4.25,600,2021-11-01 13:47:00,VEV
4.2372,4.2372,4.2372,4.2372,100,2021-11-01 13:49:00,VEV
4.26,4.26,4.26,4.26,200,2021-11-01 13:50:00,VEV
4.23,4.23,4.22,4.23,421,2021-11-01 13:53:00,VEV
4.22,4.22,4.2001,4.2001,3360,2021-11-01 13:54:00,VEV
4.24,4.24,4.23,4.23,1000,2021-11-01 13:55:00,VEV
4.24,4.25,4.23,4.25,1460,2021-11-01 13:56:00,VEV
4.25,4.25,4.235,4.235,3995,2021-11-01 13:57:00,VEV
4.205,4.21,4.19,4.2,11485,2021-11-01 14:00:00,VEV
4.1856,4.2,4.1856,4.2,350,2021-11-01 14:01:00,VEV
4.2,4.2,4.2,4.2,100,2021-11-01 14:02:00,VEV
4.2,4.2,4.2,4.2,200,2021-11-01 14:03:00,VEV
4.195,4.2,4.195,4.2,800,2021-11-01 14:05:00,VEV
4.22,4.24,4.22,4.225,465,2021-11-01 14:07:00,VEV
4.24,4.28,4.24,4.25,7440,2021-11-01 14:09:00,VEV
4.26,4.26,4.26,4.26,700,2021-11-01 14:11:00,VEV
4.28,4.28,4.27,4.27,3800,2021-11-01 14:12:00,VEV
4.28,4.28,4.245,4.26,7700,2021-11-01 14:13:00,VEV
4.26,4.26,4.26,4.26,200,2021-11-01 14:14:00,VEV
4.26,4.26,4.26,4.26,500,2021-11-01 14:15:00,VEV
4.25,4.26,4.25,4.26,5472,2021-11-01 14:18:00,VEV
4.255,4.26,4.25,4.25,2500,2021-11-01 14:19:00,VEV
4.24,4.24,4.24,4.24,200,2021-11-01 14:21:00,VEV
4.23,4.23,4.23,4.23,1100,2021-11-01 14:22:00,VEV
4.24,4.26,4.24,4.25,1100,2021-11-01 14:26:00,VEV
4.24,4.25,4.22,4.225,3400,2021-11-01 14:27:00,VEV
4.23,4.23,4.21,4.21,5300,2021-11-01 14:28:00,VEV
4.22,4.22,4.22,4.22,200,2021-11-01 14:35:00,VEV
4.22,4.24,4.22,4.24,5270,2021-11-01 14:37:00,VEV
4.235,4.24,4.235,4.24,600,2021-11-01 14:41:00,VEV
4.23,4.23,4.23,4.23,2000,2021-11-01 14:44:00,VEV
4.23,4.23,4.23,4.23,100,2021-11-01 14:45:00,VEV
4.23,4.23,4.23,4.23,100,2021-11-01 14:49:00,VEV
4.2213,4.2213,4.2213,4.2213,400,2021-11-01 14:50:00,VEV
4.23,4.23,4.22,4.22,400,2021-11-01 14:51:00,VEV
4.2219,4.2219,4.2219,4.2219,100,2021-11-01 14:52:00,VEV
4.23,4.25,4.21,4.215,4287,2021-11-01 14:55:00,VEV
4.215,4.215,4.17,4.17,9380,2021-11-01 14:58:00,VEV
4.1956,4.1956,4.1956,4.1956,100,2021-11-01 15:00:00,VEV
4.2,4.2,4.2,4.2,100,2021-11-01 15:01:00,VEV
4.16,4.16,4.16,4.16,100,2021-11-01 15:02:00,VEV
4.17,4.17,4.17,4.17,100,2021-11-01 15:04:00,VEV
4.18,4.18,4.18,4.18,200,2021-11-01 15:05:00,VEV
4.18,4.18,4.18,4.18,1300,2021-11-01 15:06:00,VEV
4.18,4.18,4.16,4.16,500,2021-11-01 15:09:00,VEV
4.16,4.18,4.16,4.18,200,2021-11-01 15:11:00,VEV
4.16,4.16,4.16,4.16,100,2021-11-01 15:13:00,VEV
4.16,4.16,4.16,4.16,100,2021-11-01 15:15:00,VEV
4.17,4.17,4.17,4.17,100,2021-11-01 15:17:00,VEV
4.17,4.17,4.17,4.17,100,2021-11-01 15:18:00,VEV
4.1932,4.1932,4.1932,4.1932,140,2021-11-01 15:20:00,VEV
4.17,4.17,4.17,4.17,100,2021-11-01 15:21:00,VEV
4.18,4.18,4.18,4.18,100,2021-11-01 15:22:00,VEV
4.18,4.18,4.18,4.18,200,2021-11-01 15:24:00,VEV
4.18,4.18,4.18,4.18,100,2021-11-01 15:26:00,VEV
4.18,4.18,4.18,4.18,100,2021-11-01 15:28:00,VEV
4.18,4.18,4.17,4.18,300,2021-11-01 15:29:00,VEV
4.18,4.185,4.18,4.185,400,2021-11-01 15:30:00,VEV
4.185,4.185,4.185,4.185,100,2021-11-01 15:31:00,VEV
4.1997,4.2,4.1997,4.2,400,2021-11-01 15:34:00,VEV
4.185,4.185,4.185,4.185,100,2021-11-01 15:35:00,VEV
4.19,4.19,4.19,4.19,100,2021-11-01 15:37:00,VEV
4.2,4.21,4.2,4.21,2519,2021-11-01 15:38:00,VEV
4.21,4.21,4.21,4.21,200,2021-11-01 15:41:00,VEV
4.19,4.19,4.19,4.19,100,2021-11-01 15:42:00,VEV
4.19,4.19,4.19,4.19,100,2021-11-01 15:44:00,VEV
4.2,4.2,4.2,4.2,100,2021-11-01 15:45:00,VEV
4.2,4.2,4.2,4.2,266,2021-11-01 15:46:00,VEV
