open,high,low,close,volume,datetime,symbol
70.996,71.0,70.996,71.0,200,2021-12-01 13:35:00,ARWR
70.12,70.12,70.11,70.11,200,2021-12-01 14:25:00,ARWR
70.65,70.65,70.31,70.57,10914,2021-12-01 14:30:00,ARWR
70.54,70.54,69.89,70.35,1900,2021-12-01 14:31:00,ARWR
69.64,69.64,69.64,69.64,790,2021-12-01 14:32:00,ARWR
69.75,69.9965,69.72,69.89,1100,2021-12-01 14:33:00,ARWR
69.81,70.0,69.81,69.97,1500,2021-12-01 14:34:00,ARWR
70.17,70.23,69.965,69.965,400,2021-12-01 14:35:00,ARWR
70.11,70.25,70.09,70.25,1731,2021-12-01 14:37:00,ARWR
70.125,70.125,69.95,69.95,275,2021-12-01 14:40:00,ARWR
69.42,69.5656,69.42,69.5656,1100,2021-12-01 14:42:00,ARWR
69.52,69.52,69.47,69.47,600,2021-12-01 14:44:00,ARWR
69.438,69.69,69.36,69.675,400,2021-12-01 14:45:00,ARWR
69.515,69.515,69.35,69.35,200,2021-12-01 14:49:00,ARWR
69.5,69.65,69.5,69.65,1600,2021-12-01 14:50:00,ARWR
69.6,69.83,69.6,69.83,200,2021-12-01 14:51:00,ARWR
69.51,69.51,69.51,69.51,100,2021-12-01 14:52:00,ARWR
69.72,69.72,69.69,69.69,523,2021-12-01 14:53:00,ARWR
69.7,69.78,69.7,69.78,400,2021-12-01 14:54:00,ARWR
69.69,69.69,69.6783,69.6783,200,2021-12-01 14:55:00,ARWR
69.85,70.0,69.845,69.97,550,2021-12-01 14:58:00,ARWR
69.875,69.89,69.7,69.7,450,2021-12-01 14:59:00,ARWR
69.875,69.875,69.875,69.875,100,2021-12-01 15:00:00,ARWR
70.05,70.3,69.995,70.3,1069,2021-12-01 15:01:00,ARWR
70.3,70.48,70.3,70.4,400,2021-12-01 15:02:00,ARWR
70.37,70.37,70.36,70.36,400,2021-12-01 15:03:00,ARWR
70.49,70.49,70.265,70.265,310,2021-12-01 15:04:00,ARWR
70.52,70.52,70.51,70.51,300,2021-12-01 15:05:00,ARWR
70.7316,70.7316,70.7316,70.7316,100,2021-12-01 15:06:00,ARWR
70.45,70.45,70.45,70.45,100,2021-12-01 15:09:00,ARWR
70.495,70.59,70.43,70.545,400,2021-12-01 15:10:00,ARWR
70.42,70.42,70.42,70.42,100,2021-12-01 15:11:00,ARWR
70.36,70.36,70.22,70.35,1800,2021-12-01 15:12:00,ARWR
70.26,70.26,70.25,70.25,400,2021-12-01 15:13:00,ARWR
70.21,70.33,70.21,70.33,543,2021-12-01 15:15:00,ARWR
70.43,70.45,70.25,70.25,500,2021-12-01 15:16:00,ARWR
70.6,70.6,70.6,70.6,100,2021-12-01 15:17:00,ARWR
70.6091,70.83,70.6091,70.83,1725,2021-12-01 15:20:00,ARWR
70.64,70.64,70.61,70.61,300,2021-12-01 15:21:00,ARWR
70.585,70.585,70.585,70.585,100,2021-12-01 15:22:00,ARWR
70.83,70.86,70.725,70.86,814,2021-12-01 15:24:00,ARWR
70.9549,70.9549,70.65,70.65,300,2021-12-01 15:27:00,ARWR
70.66,70.72,70.66,70.72,500,2021-12-01 15:29:00,ARWR
70.6629,70.6629,70.6629,70.6629,250,2021-12-01 15:30:00,ARWR
70.65,70.65,70.65,70.65,100,2021-12-01 15:31:00,ARWR
70.7,70.7,70.69,70.7,400,2021-12-01 15:32:00,ARWR
70.415,70.415,70.2252,70.2252,200,2021-12-01 15:35:00,ARWR
70.14,70.14,70.14,70.14,100,2021-12-01 15:36:00,ARWR
70.39,70.54,70.39,70.445,2000,2021-12-01 15:38:00,ARWR
70.29,70.34,70.29,70.34,200,2021-12-01 15:39:00,ARWR
70.16,70.26,70.16,70.25,300,2021-12-01 15:40:00,ARWR
70.375,70.375,70.375,70.375,100,2021-12-01 15:41:00,ARWR
70.55,70.56,70.515,70.515,814,2021-12-01 15:42:00,ARWR
70.66,70.66,70.63,70.63,200,2021-12-01 15:43:00,ARWR
70.71,70.71,70.71,70.71,100,2021-12-01 15:44:00,ARWR
70.75,70.75,70.75,70.75,100,2021-12-01 15:45:00,ARWR
70.96,71.0,70.96,71.0,857,2021-12-01 15:46:00,ARWR
71.0,71.0,71.0,71.0,2124,2021-12-01 15:48:00,ARWR
70.93,70.93,70.76,70.76,600,2021-12-01 15:49:00,ARWR
71.0,71.0,71.0,71.0,200,2021-12-01 15:50:00,ARWR
71.02,71.02,71.02,71.02,100,2021-12-01 15:53:00,ARWR
70.99,70.99,70.99,70.99,100,2021-12-01 15:54:00,ARWR
70.96,70.96,70.96,70.96,100,2021-12-01 15:55:00,ARWR
71.1,71.17,71.09,71.17,600,2021-12-01 15:59:00,ARWR
71.26,71.45,71.26,71.45,1800,2021-12-01 16:00:00,ARWR
71.36,71.36,71.24,71.24,700,2021-12-01 16:01:00,ARWR
71.4,71.4,71.4,71.4,400,2021-12-01 16:02:00,ARWR
71.28,71.28,71.28,71.28,200,2021-12-01 16:03:00,ARWR
71.17,71.19,70.99,71.165,4695,2021-12-01 16:05:00,ARWR
71.08,71.33,71.08,71.33,500,2021-12-01 16:06:00,ARWR
71.08,71.195,70.84,70.85,8581,2021-12-01 16:08:00,ARWR
70.93,70.93,70.845,70.92,400,2021-12-01 16:09:00,ARWR
70.95,70.95,70.94,70.94,300,2021-12-01 16:10:00,ARWR
70.86,70.86,70.86,70.86,100,2021-12-01 16:11:00,ARWR
70.83,70.83,70.75,70.75,300,2021-12-01 16:12:00,ARWR
70.68,70.685,70.67,70.685,300,2021-12-01 16:13:00,ARWR
70.8,70.82,70.745,70.745,300,2021-12-01 16:14:00,ARWR
70.79,70.93,70.7,70.905,1350,2021-12-01 16:17:00,ARWR
70.89,70.89,70.89,70.89,100,2021-12-01 16:20:00,ARWR
70.81,70.92,70.74,70.815,3260,2021-12-01 16:21:00,ARWR
70.72,70.74,70.665,70.74,1600,2021-12-01 16:25:00,ARWR
70.74,70.74,70.675,70.675,200,2021-12-01 16:26:00,ARWR
70.6,70.6,70.6,70.6,100,2021-12-01 16:27:00,ARWR
70.55,70.65,70.55,70.65,600,2021-12-01 16:28:00,ARWR
70.64,70.64,70.64,70.64,200,2021-12-01 16:29:00,ARWR
70.56,70.56,70.5,70.5,200,2021-12-01 16:30:00,ARWR
70.43,70.43,70.43,70.43,300,2021-12-01 16:31:00,ARWR
70.425,70.43,70.425,70.43,200,2021-12-01 16:32:00,ARWR
70.4,70.455,70.39,70.455,2300,2021-12-01 16:33:00,ARWR
70.53,70.53,70.43,70.43,200,2021-12-01 16:36:00,ARWR
70.5084,70.5084,70.42,70.42,200,2021-12-01 16:37:00,ARWR
70.41,70.41,70.33,70.33,5555,2021-12-01 16:38:00,ARWR
70.26,70.26,70.26,70.26,100,2021-12-01 16:40:00,ARWR
70.24,70.24,70.17,70.17,900,2021-12-01 16:41:00,ARWR
70.08,70.08,70.08,70.08,300,2021-12-01 16:42:00,ARWR
70.0,70.0,70.0,70.0,500,2021-12-01 16:43:00,ARWR
70.0,70.09,69.9,70.09,3213,2021-12-01 16:44:00,ARWR
70.075,70.2099,69.96,70.1299,1400,2021-12-01 16:45:00,ARWR
70.1099,70.1699,69.98,70.1699,3200,2021-12-01 16:46:00,ARWR
69.99,70.1699,69.98,69.98,1000,2021-12-01 16:47:00,ARWR
70.1399,70.2,70.01,70.145,797,2021-12-01 16:48:00,ARWR
70.09,70.27,70.09,70.17,1600,2021-12-01 16:49:00,ARWR
70.17,70.17,69.93,70.03,1000,2021-12-01 16:50:00,ARWR
69.93,69.93,69.93,69.93,242,2021-12-01 16:51:00,ARWR
69.93,69.93,69.91,69.91,395,2021-12-01 16:52:00,ARWR
69.88,69.9,69.84,69.9,2590,2021-12-01 16:53:00,ARWR
69.91,69.91,69.82,69.82,480,2021-12-01 16:54:00,ARWR
69.79,69.86,69.73,69.86,1917,2021-12-01 16:55:00,ARWR
69.81,69.81,69.81,69.81,100,2021-12-01 16:56:00,ARWR
69.815,69.815,69.75,69.75,3900,2021-12-01 16:57:00,ARWR
69.59,69.6799,69.49,69.6699,500,2021-12-01 16:59:00,ARWR
69.67,69.67,69.5,69.5,300,2021-12-01 17:00:00,ARWR
69.52,69.53,69.52,69.53,326,2021-12-01 17:01:00,ARWR
69.71,69.73,69.7,69.72,1395,2021-12-01 17:02:00,ARWR
69.83,69.89,69.79,69.79,800,2021-12-01 17:04:00,ARWR
69.9,69.95,69.9,69.95,300,2021-12-01 17:05:00,ARWR
69.95,69.95,69.95,69.95,100,2021-12-01 17:07:00,ARWR
69.95,69.95,69.95,69.95,500,2021-12-01 17:08:00,ARWR
70.1,70.1,69.89,69.89,5100,2021-12-01 17:09:00,ARWR
69.88,69.89,69.63,69.7,3917,2021-12-01 17:10:00,ARWR
69.685,69.8199,69.63,69.685,3028,2021-12-01 17:11:00,ARWR
69.7799,69.7799,69.56,69.56,5676,2021-12-01 17:12:00,ARWR
69.68,70.04,69.575,70.04,5071,2021-12-01 17:13:00,ARWR
70.01,70.04,70.01,70.04,500,2021-12-01 17:15:00,ARWR
70.085,70.085,70.085,70.085,100,2021-12-01 17:16:00,ARWR
70.1824,70.1824,70.1824,70.1824,250,2021-12-01 17:17:00,ARWR
70.1201,70.29,70.1201,70.29,6500,2021-12-01 17:18:00,ARWR
70.284,70.29,70.1432,70.25,1646,2021-12-01 17:19:00,ARWR
70.28,70.29,70.12,70.12,600,2021-12-01 17:20:00,ARWR
70.02,70.03,70.02,70.03,300,2021-12-01 17:21:00,ARWR
69.86,69.86,69.86,69.86,200,2021-12-01 17:22:00,ARWR
69.8,69.81,69.8,69.81,200,2021-12-01 17:23:00,ARWR
69.9,69.97,69.81,69.81,2625,2021-12-01 17:24:00,ARWR
69.69,69.69,69.69,69.69,100,2021-12-01 17:25:00,ARWR
69.7,69.7,69.63,69.63,302,2021-12-01 17:26:00,ARWR
69.58,69.58,69.58,69.58,119,2021-12-01 17:28:00,ARWR
69.5,69.5,69.43,69.43,700,2021-12-01 17:29:00,ARWR
69.49,69.5,69.42,69.42,2500,2021-12-01 17:30:00,ARWR
69.5,69.56,69.4499,69.4499,3035,2021-12-01 17:31:00,ARWR
69.5,69.5,69.5,69.5,400,2021-12-01 17:33:00,ARWR
69.59,69.6699,69.585,69.585,929,2021-12-01 17:34:00,ARWR
69.53,69.53,69.53,69.53,100,2021-12-01 17:35:00,ARWR
69.37,69.39,69.37,69.39,300,2021-12-01 17:37:00,ARWR
69.32,69.32,69.32,69.32,100,2021-12-01 17:38:00,ARWR
69.36,69.5,69.36,69.5,300,2021-12-01 17:39:00,ARWR
69.68,69.69,69.6562,69.66,5200,2021-12-01 17:40:00,ARWR
69.69,69.69,69.69,69.69,100,2021-12-01 17:41:00,ARWR
69.76,69.76,69.76,69.76,100,2021-12-01 17:43:00,ARWR
69.62,69.62,69.62,69.62,500,2021-12-01 17:45:00,ARWR
69.67,69.67,69.67,69.67,100,2021-12-01 17:46:00,ARWR
69.6,69.6,69.55,69.55,878,2021-12-01 17:48:00,ARWR
69.63,69.73,69.62,69.73,830,2021-12-01 17:50:00,ARWR
69.56,69.56,69.56,69.56,300,2021-12-01 17:52:00,ARWR
69.6699,69.6699,69.47,69.47,600,2021-12-01 17:54:00,ARWR
69.45,69.45,69.45,69.45,100,2021-12-01 17:55:00,ARWR
69.37,69.405,69.37,69.39,300,2021-12-01 17:56:00,ARWR
69.31,69.42,69.3,69.38,1000,2021-12-01 17:57:00,ARWR
69.29,69.29,69.29,69.29,100,2021-12-01 17:58:00,ARWR
69.24,69.24,69.17,69.17,778,2021-12-01 17:59:00,ARWR
69.153,69.32,69.153,69.32,2400,2021-12-01 18:00:00,ARWR
69.25,69.42,69.25,69.42,200,2021-12-01 18:01:00,ARWR
69.29,69.29,69.17,69.17,474,2021-12-01 18:04:00,ARWR
69.14,69.18,69.09,69.17,2223,2021-12-01 18:06:00,ARWR
69.05,69.07,68.93,68.93,700,2021-12-01 18:07:00,ARWR
68.94,68.94,68.94,68.94,100,2021-12-01 18:08:00,ARWR
68.96,68.96,68.96,68.96,200,2021-12-01 18:10:00,ARWR
68.94,68.96,68.8,68.8,1034,2021-12-01 18:13:00,ARWR
68.86,68.91,68.78,68.85,2800,2021-12-01 18:14:00,ARWR
68.85,68.91,68.85,68.91,300,2021-12-01 18:15:00,ARWR
69.02,69.02,69.02,69.02,100,2021-12-01 18:16:00,ARWR
69.01,69.01,68.84,68.84,300,2021-12-01 18:17:00,ARWR
68.84,68.84,68.66,68.7,1350,2021-12-01 18:19:00,ARWR
68.8,68.81,68.8,68.81,900,2021-12-01 18:20:00,ARWR
68.71,68.71,68.71,68.71,300,2021-12-01 18:21:00,ARWR
68.82,68.85,68.775,68.845,2337,2021-12-01 18:22:00,ARWR
68.91,68.91,68.91,68.91,100,2021-12-01 18:23:00,ARWR
68.91,68.91,68.875,68.875,400,2021-12-01 18:24:00,ARWR
68.88,68.96,68.88,68.96,200,2021-12-01 18:26:00,ARWR
68.83,68.84,68.82,68.84,500,2021-12-01 18:28:00,ARWR
68.81,68.81,68.59,68.59,531,2021-12-01 18:30:00,ARWR
68.64,68.72,68.44,68.48,1820,2021-12-01 18:31:00,ARWR
68.55,68.55,68.49,68.49,206,2021-12-01 18:32:00,ARWR
68.63,68.63,68.63,68.63,100,2021-12-01 18:33:00,ARWR
68.53,68.595,68.51,68.58,1990,2021-12-01 18:34:00,ARWR
68.52,68.52,68.52,68.52,200,2021-12-01 18:35:00,ARWR
68.58,68.7,68.58,68.7,1194,2021-12-01 18:36:00,ARWR
68.74,68.81,68.74,68.81,900,2021-12-01 18:38:00,ARWR
68.75,68.86,68.75,68.75,512,2021-12-01 18:39:00,ARWR
68.7632,68.92,68.7632,68.92,2750,2021-12-01 18:40:00,ARWR
68.865,69.0,68.865,69.0,500,2021-12-01 18:41:00,ARWR
68.89,68.91,68.7,68.7,1616,2021-12-01 18:42:00,ARWR
68.8,68.8,68.595,68.595,900,2021-12-01 18:43:00,ARWR
68.65,68.79,68.65,68.79,500,2021-12-01 18:44:00,ARWR
68.53,68.53,68.53,68.53,100,2021-12-01 18:45:00,ARWR
68.37,68.38,68.37,68.38,400,2021-12-01 18:46:00,ARWR
68.34,68.34,68.25,68.285,3025,2021-12-01 18:47:00,ARWR
68.28,68.28,68.17,68.17,625,2021-12-01 18:48:00,ARWR
68.12,68.12,67.925,68.095,5020,2021-12-01 18:49:00,ARWR
68.125,68.52,68.125,68.38,1417,2021-12-01 18:50:00,ARWR
68.355,68.51,68.355,68.51,354,2021-12-01 18:51:00,ARWR
68.55,68.5858,68.545,68.57,6428,2021-12-01 18:52:00,ARWR
68.585,68.69,68.585,68.67,2600,2021-12-01 18:53:00,ARWR
68.57,68.57,68.565,68.565,200,2021-12-01 18:54:00,ARWR
68.68,68.75,68.68,68.75,450,2021-12-01 18:55:00,ARWR
68.74,68.76,68.74,68.76,200,2021-12-01 18:56:00,ARWR
69.0499,69.0499,69.0499,69.0499,100,2021-12-01 18:57:00,ARWR
68.79,68.87,68.77,68.77,600,2021-12-01 19:00:00,ARWR
68.9,68.9,68.79,68.805,400,2021-12-01 19:01:00,ARWR
68.77,68.9,68.7,68.9,584,2021-12-01 19:02:00,ARWR
68.77,68.77,68.77,68.77,100,2021-12-01 19:04:00,ARWR
68.93,68.95,68.73,68.75,700,2021-12-01 19:05:00,ARWR
68.71,68.81,68.64,68.7,7533,2021-12-01 19:06:00,ARWR
68.76,69.0,68.76,68.955,2305,2021-12-01 19:07:00,ARWR
68.89,68.89,68.86,68.86,200,2021-12-01 19:08:00,ARWR
68.84,68.84,68.71,68.82,1000,2021-12-01 19:09:00,ARWR
